Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20953761,0.00200904,-0.00012492,919.5526078116918,0.026202295062852963,-0.0005537495333372155,-14.66643201,62.31973892
1.0,0.20941304,0.00243263,-0.00016084,903.38257617619,0.0257417491395281,-0.0010285984454409484,-12.15505051,62.58192167
2.0,0.20900768,0.00284706,-0.00024562,879.1246212037154,0.025048082472089065,0.001105649447918376,4.00394593,62.54876774
3.0,0.207755,0.00322366,-0.00030885,864.4506586970915,0.024616595781529707,0.024638836917283347,57.27236618,62.05812779
4.0,0.20689852,0.00352149,-3.008e-05,864.4448156510108,0.0246014813334689,0.06807955904049225,88.24120974,62.18483675
5.0,0.20611039,0.00374969,1.877e-05,865.5185562850401,0.024621798098220654,0.10578952488365308,120.4291372,61.74945334
6.0,0.2059735,0.00392722,0.00020558,861.3853525501934,0.02449958919082586,0.1337113576883451,121.39725869,61.56043787
7.0,0.20527018,0.00408038,6.619e-05,871.0561186580127,0.02476856971685876,0.15614526015847316,154.77971386,61.43963564
8.0,0.20495798,0.00420517,2.165e-05,867.8801993802258,0.02467539514862851,0.16601860185517184,167.56198581,61.48326925
9.0,0.20473425,0.00430212,-0.0002212,875.6341845921582,0.02489768086751402,0.19038233153396944,181.90519192,61.29253893
10.0,0.20457896,0.00440751,-0.00015079,869.3258422572345,0.02471529925183888,0.2031126903765171,185.41225466,61.33369552
11.0,0.2044914,0.00452227,7.913e-05,873.4884677692505,0.02482858687652389,0.20187455400348198,185.57915673,61.21651355
12.0,0.20437557,0.00463663,2.309e-05,867.7951739712934,0.024666587866133873,0.20389789624047083,189.30210643,61.07398979
13.0,0.20433723,0.00476814,-0.00023988,863.8904209096021,0.02456023769243674,0.20890016669519434,192.97234164,61.08161138
14.0,0.2042152,0.00489657,-0.00039363,864.897833717987,0.024590451742272153,0.2217856708082162,199.75291121,60.86134739
15.0,0.20408757,0.00502536,-0.0001551,862.8393773765988,0.024526285715194125,0.235928946405898,200.06490665,60.84667582
16.0,0.20383262,0.00514131,-0.0001982,860.5127870227992,0.02445796561220321,0.23814008396416866,210.27033258,60.62069563
17.0,0.20369126,0.00523748,-0.00039076,857.7638770790091,0.024381765290635377,0.24678805902975096,217.80687048,60.44882875
18.0,0.20354218,0.00530514,-0.00013498,851.9525493807347,0.024210248442808554,0.2505144573746145,218.31436795,60.42729775
19.0,0.20338669,0.00536262,-2.721e-05,855.2143197738455,0.02429914562958206,0.25274534082214906,223.74425385,60.29792123
20.0,0.2033337,0.00549852,-0.00014935,848.6777009449106,0.024115293323179108,0.259263407344281,224.94802815,60.13310432
21.0,0.20331479,0.00567306,-0.00055169,846.6776846894396,0.024065888972742797,0.24636146485697902,229.71730727,59.98029141
22.0,0.20317852,0.00581777,-0.00059337,849.2998429015735,0.02413981444930061,0.2421168968717379,235.63783391,59.8629189
23.0,0.20285025,0.00595373,-0.00056463,844.1982415211797,0.023990487263941238,0.23663432159508588,246.61263736,59.86139458
24.0,0.20273299,0.00609673,-0.00052439,834.9429231696179,0.02372564993076589,0.23960028959117602,247.03111401,59.75412068
25.0,0.20255177,0.00620755,-6.744e-05,839.4973969047023,0.023844913885512978,0.2455072835894653,248.33906042,59.70172224
26.0,0.20239709,0.00627159,-0.00033328,836.3514957551206,0.023758490216356024,0.2519557500115664,257.30451203,59.34598445
27.0,0.20226652,0.00631089,-0.00017378,843.9538429645804,0.023970023766943876,0.24534645615533876,262.48800164,59.46107049
28.0,0.20217916,0.00635611,-0.00045254,837.5054282541174,0.02379085048517182,0.24503405628189776,267.89238722,59.29530087
29.0,0.20212689,0.0063996,-0.00025856,844.0588653398777,0.023972972641295335,0.2390355901382516,268.95394306,59.07046392
30.0,0.20211153,0.00644165,-0.00014647,844.5368760050031,0.023984447535064707,0.23458534456850685,267.73050831,58.86048907
31.0,0.20207197,0.00646311,-0.0001982,837.9442947385766,0.023797696009675955,0.22860013221994965,267.89028594,58.73244634
32.0,0.20205438,0.00643699,-0.00016228,842.7906831224341,0.023934396241900722,0.22345495600836085,269.8785432,58.61697923
33.0,0.20202092,0.00647761,-0.00027149,832.0581754835289,0.02363122004899551,0.2227907573962369,269.09775137,58.50722831
34.0,0.20203618,0.00651209,-0.00033471,835.7465354548812,0.0237373807000873,0.21924434379997876,270.28392226,58.47178791
35.0,0.20196428,0.00647623,-0.00035914,838.0083530153997,0.02380105031406536,0.2230028361445773,274.71830842,58.24561718
36.0,0.20199611,0.00637032,-0.00030166,826.972850387616,0.02348673718164818,0.21013568363763166,269.83556334,58.16273237
37.0,0.20214601,0.00627446,-0.0002758,843.4878419331804,0.023956982179171075,0.18523928348653923,269.30085392,58.12424333
38.0,0.20205275,0.00631795,-0.00037782,840.0966385536822,0.023861412775159477,0.19267350892519547,273.29876364,57.79098925
39.0,0.20223743,0.0064468,-0.00037351,846.2964108003896,0.02404013523810067,0.17604193625218914,266.26070253,57.75135697
40.0,0.20228614,0.00648855,-0.00027149,840.0741671662201,0.023862289599903448,0.16374908246430087,260.37100661,57.63455608
41.0,0.20219685,0.00643671,-0.00014504,820.2688252270887,0.023296271317259705,0.15225588709319215,256.53525025,57.45945001
42.0,0.20218607,0.00635239,-0.00019964,828.3397916709052,0.023526103711971492,0.17268123946119884,261.02251473,57.43277444
43.0,0.20215892,0.00623284,-0.00029879,834.5408740036611,0.023703332163802545,0.19166399040586718,266.59599621,57.36322742
44.0,0.20219716,0.00620604,-0.00011055,837.0364573906493,0.02377127814140428,0.18599971538576163,263.23731993,57.24680761
45.0,0.20233109,0.00621223,-0.0001436,849.8010124121143,0.024136122936179578,0.1593233683205933,261.95500756,57.13000672
46.0,0.20245394,0.00614871,-0.0002873,838.5595691163717,0.023820799069868854,0.14825735473196605,255.96417377,56.91450622
47.0,0.20257567,0.00607506,-0.00021976,823.6484665346408,0.02339736930963127,0.14389966135744525,245.99738285,56.82190388
48.0,0.20259275,0.00603121,-0.000237,840.5155024191788,0.023876921931390852,0.13664791195473688,250.94495546,56.67423555
49.0,0.20264818,0.0059837,-0.00013642,838.5989539891995,0.02382126640310982,0.1550784624557876,246.94986596,56.60354529
50.0,0.20274662,0.00593278,-0.00021257,837.4614438700041,0.023791421407089737,0.1494382415001206,244.01625889,56.39318936
51.0,0.20278892,0.00591109,-0.00029161,845.5572601526331,0.024023316526867525,0.12903005029183687,245.93664498,56.29506137
52.0,0.2029137,0.00587528,-0.0002643,831.9126959522508,0.023636648524075148,0.13456795742743274,236.63105489,56.18416721
53.0,0.2029017,0.00580192,-0.00038932,839.6502787942956,0.023858376930309375,0.1322273706310329,241.82811386,56.20455497
54.0,0.20290475,0.00572138,-0.00028873,831.6468294656743,0.023629019102961918,0.12432744595408626,238.60981043,55.86977656
55.0,0.20291767,0.00563953,-0.00030885,836.4363920215578,0.023765410518139768,0.12551776799001418,240.44069937,55.82366593
56.0,0.20307784,0.00556418,-0.00024275,843.2229227641802,0.023958890137721588,0.12806015614849645,235.23922137,55.73487439
57.0,0.20315096,0.00548615,-0.00010911,846.9575152413987,0.024063333554219645,0.11932495822176885,231.83562658,55.70076777
58.0,0.20327757,0.00542679,-0.00025568,839.9512940266276,0.02386832858676969,0.10804210234743793,227.22937247,55.72172715
59.0,0.20344323,0.00541439,-0.00027293,845.5635211378926,0.024030185638815052,0.10193133151991537,222.02712582,55.33988541
60.0,0.20351198,0.0054221,-0.00016084,838.4361391397194,0.02382652765653369,0.10312348642109474,215.51051056,55.47783622
61.0,0.20356445,0.00537955,-0.00032753,836.131381201161,0.023764526857994243,0.09846622456362514,215.52899218,55.36065425
62.0,0.20358164,0.00532334,-0.0002873,833.9707900243751,0.023702479720525305,0.09181478763593846,214.1392472,55.30215853
63.0,0.20361337,0.00531051,-0.00041087,839.6310891776575,0.023865911918851276,0.09718702018302003,216.18810489,55.0611257
64.0,0.20359211,0.00535286,-0.00027724,849.337481296574,0.024139249490910793,0.10184738810773737,217.22335507,54.97423956
65.0,0.20356882,0.00537364,-0.0002643,850.9249559254604,0.024183892291399518,0.10381182276209659,218.25557251,54.87935074
66.0,0.20356211,0.00536107,-0.00011055,839.4058906187246,0.023853666792416267,0.08904637788898691,213.41491353,54.65851513
67.0,0.20354503,0.00532558,-0.00035914,826.3291878857523,0.023486104195116014,0.09153188184521989,214.73992703,54.59392214
68.0,0.20355774,0.00528845,-0.00026287,831.8399727782221,0.02364110274439831,0.08890943713790474,214.54214668,54.58058436
69.0,0.20355306,0.00531956,-0.00032322,832.8919946128591,0.023672085655026993,0.09162378937425385,215.63121583,54.50474952
70.0,0.20355652,0.00542588,-0.00022838,837.0004445468429,0.023787492105695845,0.08468868674232408,214.22398416,54.28715308
71.0,0.20352408,0.00548227,-8.325e-05,841.7752247176937,0.023920344364513492,0.08495367208505025,214.17818317,54.23970867
72.0,0.20348736,0.00552674,-0.00020683,830.5946867781631,0.02360445894459036,0.08380000492309608,214.31001769,54.13281585
73.0,0.20333197,0.00556091,-0.00022551,828.2366744321621,0.02353593111800048,0.08022449823769766,220.19742784,54.11357133
74.0,0.20324055,0.00556873,-0.0002097,840.0375329938536,0.02386986088558559,0.08667508589379817,226.91694754,53.78831992
75.0,0.20317964,0.00556516,-0.00022407,818.5942317507771,0.023260035312719023,0.090144693472923,223.88447627,53.77040918
76.0,0.20316458,0.00549782,-0.00035196,838.0298020848537,0.023814196519374404,0.08038745311359166,232.3125708,53.76602676
77.0,0.20318564,0.00536081,-0.00018384,822.5933590212315,0.023372525200881022,0.08156223643993978,225.880632,53.45525637
78.0,0.20321614,0.00524067,-0.00023413,834.887542328226,0.02372280601616405,0.07664049387230608,229.74551907,53.44992125
79.0,0.2033094,0.00518097,-0.00026862,837.825410846591,0.02380791556000081,0.07862854091632436,227.62948911,53.42229298
80.0,0.20361387,0.00520276,-0.0001824,834.1325865239573,0.023705322079605823,0.07415408330360461,212.31746724,53.38856744
81.0,0.20377313,0.0052846,-0.00042524,829.1760154125211,0.02357089927982552,0.05895404537503661,207.2236514,53.369704
82.0,0.20374659,0.00536541,-0.00030166,828.6341241378933,0.023553207989478638,0.05279568298648844,205.69704784,53.08637134
83.0,0.20378198,0.00535451,-0.0003146,819.6715022554534,0.023299083326650552,0.05471247195781939,202.28228265,52.94765837
84.0,0.2035856,0.00529285,-0.00026574,823.5509662572455,0.02340593176071245,0.05389725800862668,211.24814017,52.98767173
85.0,0.20355316,0.00524457,-2.146e-05,827.9817969155716,0.02352705807564645,0.06829673014519258,210.58406885,52.66794596
86.0,0.2035556,0.00524838,5.47e-05,838.8001229075702,0.023833150488149137,0.0722545968636126,212.06961454,52.70319582
87.0,0.20356252,0.00530139,-2.433e-05,835.8077318723214,0.023749745428390128,0.06049740891280485,211.7278231,52.76016722
88.0,0.20358398,0.00534307,-2.78e-06,838.8097934547566,0.02383504518768253,0.051656793148979405,210.89463167,52.62012047
89.0,0.20359892,0.00537409,0.00015529,830.2995787236648,0.02359071653376883,0.052031150941427726,205.53828044,52.42615097
90.0,0.20361469,0.00536278,-7.319e-05,832.5879312386985,0.023659921614652947,0.05074849335560196,208.90193333,52.40957401
91.0,0.20360747,0.0052934,-0.00011055,831.6441187075673,0.023633490604403774,0.0560783292605969,210.117121,52.22856121
92.0,0.20360035,0.00521232,4.41e-06,835.6987587586333,0.023746386950627366,0.061545061125556806,210.44580349,52.12776566
93.0,0.20360503,0.00520786,-4.158e-05,828.629070871551,0.02354635387003705,0.058282189730660516,209.18125244,52.01801474
