Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20950393,0.00166164,3.79e-06,8008921.913589504,0.025736208840059716,-0.06353826205856554,-10.73552982,117.88877091
1.0,0.20951095,0.00336285,2.351e-05,8029297.6750767995,0.025806014467841965,-0.0639719068546851,-28.13445806,117.80309362
2.0,0.20939095,0.00444039,-9.02e-06,7680946.402866661,0.024688313488608914,-0.06470888412974748,-31.18902683,117.80577702
3.0,0.20816263,0.0048245,8.82e-06,7376736.438480327,0.023696545632779464,-0.06281312200073155,19.1622898,117.71051615
4.0,0.20632779,0.0051265,2.918e-05,7407502.641783216,0.023773532283251374,-0.041496078185380356,94.98690564,117.39310767
5.0,0.20522193,0.00535017,3.17e-05,7373376.194916613,0.02365098878453881,-0.011993437532504921,139.48210628,117.17287679
6.0,0.20485123,0.00549606,4.051e-05,7434596.6595461,0.02384297008892654,0.014349619870840059,155.03846527,117.00018051
7.0,0.20446885,0.00558185,1.449e-05,7547058.7801497765,0.024199484972192778,0.030348376571125348,173.5428434,116.74238196
8.0,0.20430735,0.00558198,1.512e-05,7476628.199625072,0.023971608048014483,0.03985235292685154,178.82089929,116.55281856
9.0,0.20428213,0.00552837,2.246e-05,7559009.070707226,0.024235144949644613,0.04073134648615401,182.2484743,116.41749828
10.0,0.20422813,0.00541972,4.21e-06,7498489.560330587,0.024040472529255195,0.04575530647618901,184.33397498,116.20531761
11.0,0.20422965,0.00526579,1.743e-05,7520727.818566318,0.02411115167230675,0.04590124419279541,185.97531307,116.13401571
12.0,0.20442827,0.00508055,4.63e-06,7615808.96785729,0.024418269449785982,0.04254092830852723,181.53294936,116.03127963
13.0,0.20455163,0.00487705,3.673e-05,7614911.1288279435,0.024415855183873958,0.034035770639741184,177.47449499,115.87372542
14.0,0.20483384,0.00468567,1.239e-05,7621250.46252781,0.02443972890523852,0.022416862137163592,167.40502957,115.71291279
15.0,0.20515999,0.00450608,-2.72e-06,7613355.374454651,0.02441836940758782,0.007327107704393312,154.85444109,115.66882828
16.0,0.20538708,0.00433266,1.407e-05,7691324.138909147,0.02467059141340789,-0.0034533461887974984,147.74637027,115.45760597
17.0,0.20565048,0.0041731,3.463e-05,7631554.620307781,0.024481435918634328,-0.015582714565901155,136.19330543,115.50245717
18.0,0.2057955,0.00402504,1.302e-05,7623069.824005287,0.024456057311131336,-0.02484236746176077,131.36322393,115.36445348
19.0,0.20585103,0.00389712,2.015e-05,7670713.531169334,0.024609148057602274,-0.029319531797314693,130.79330757,115.36656187
20.0,0.20594093,0.00378524,3.547e-05,7650276.171569429,0.024544153198481588,-0.03175853600334524,127.2762362,115.26631753
21.0,0.2060888,0.00368496,6.506e-05,7665308.035905459,0.024593462158200855,-0.03253048054491349,121.47311776,115.26478416
22.0,0.20613335,0.00359008,6.254e-05,7712314.132659639,0.024744641699169706,-0.03560353674654283,121.15255324,115.16683987
23.0,0.20616924,0.00351609,3.946e-05,7605886.045181828,0.02440384467752949,-0.03563599687003874,118.93227652,115.10857165
24.0,0.20621053,0.00346581,4.345e-05,7671676.85897186,0.024615258180220635,-0.03494846866704883,118.53800463,114.9207333
25.0,0.20624379,0.00342897,4.555e-05,7557570.975183098,0.024249422892534078,-0.03574084216681978,115.62956651,114.90194946
26.0,0.20624013,0.00340177,6.086e-05,7640490.777437099,0.024515088583049977,-0.03159635100236076,117.07175648,114.96500948
27.0,0.20623372,0.00338303,4.932e-05,7649739.900950615,0.024544842617933944,-0.03196852646735367,117.84259139,114.76222073
28.0,0.20625355,0.00337421,6.128e-05,7604250.219742502,0.02439889773930369,-0.029209025218768177,116.17256953,114.7984467
29.0,0.20622925,0.00337019,5.835e-05,7636361.965149155,0.024501665835958503,-0.028537861729107623,117.81142917,114.77812949
30.0,0.20619192,0.00338356,4.303e-05,7619131.123399967,0.02444621831886286,-0.022703393116703576,119.29241919,114.54543994
31.0,0.20616223,0.00340514,5.142e-05,7571075.661487508,0.024291564693806302,-0.02088889522479205,119.51043077,114.38136889
32.0,0.20612836,0.00342265,4.974e-05,7572677.327146315,0.024296353774894856,-0.023042944055875456,120.87703119,114.45765426
33.0,0.20606511,0.00343855,5.919e-05,7549394.552675898,0.024220733786994686,-0.02332501202891594,122.96313702,114.40686124
34.0,0.20601527,0.00345314,6.045e-05,7544296.669542669,0.02420376953094635,-0.020055594519881297,124.88944511,114.31275039
35.0,0.2059808,0.00347349,4.764e-05,7611905.481959024,0.02442052089448306,-0.01717007450154341,127.52672908,114.26943256
36.0,0.205957,0.00349901,3.862e-05,7544112.907566796,0.024202957034378164,-0.01674529047809226,127.32950024,114.20579753
37.0,0.20594327,0.00353119,6.8e-05,7602400.386446838,0.024389338359923296,-0.015129620938505804,128.1751928,114.21499778
38.0,0.20587971,0.00356419,4.639e-05,7531371.380853216,0.02416114318599444,-0.010963538954810075,129.75664068,114.08657768
39.0,0.20581737,0.00360014,5.835e-05,7562890.730977481,0.024261355525765513,-0.011989505737944849,132.5022922,113.8826389
40.0,0.20577069,0.0036277,6.045e-05,7525712.736655378,0.02414154005543547,-0.01082709442691585,133.5893296,113.94704062
41.0,0.2057415,0.00364841,6.128e-05,7512283.748939656,0.024098135385413996,-0.0074483360276781305,134.41195678,113.76936087
42.0,0.20564235,0.00365727,3.673e-05,7513641.440092304,0.024101708582858938,-0.0030084211964131885,138.99956348,113.69269216
43.0,0.20563136,0.00365809,6.443e-05,7569171.641486605,0.024279202829915966,-0.004050281107360807,140.07704027,113.62503202
44.0,0.20559872,0.00364717,5.961e-05,7543260.3010720145,0.024195735761083227,-0.00622618685334385,141.17976782,113.69652559
45.0,0.20563716,0.00363031,6.359e-05,7561356.354861491,0.024254150044595284,-0.005371930576612809,139.94246614,113.46805282
46.0,0.20560645,0.00360586,5.835e-05,7521915.733678999,0.024127283465729118,-0.007239386746119502,140.83360758,113.45885258
47.0,0.20562719,0.00358127,6.191e-05,7497345.834582748,0.02404860582280111,-0.008211345056146001,139.64657995,113.39675092
48.0,0.20569523,0.00355144,5.163e-05,7474521.176478116,0.023976344952261797,-0.010590234379342775,136.72317301,113.24073008
49.0,0.20575859,0.00351329,4.576e-05,7521896.419760171,0.02412911149788127,-0.012871726557541202,135.28469264,113.25433878
50.0,0.20580466,0.00347352,6.422e-05,7484871.225240291,0.02401048572154358,-0.02113458117203776,132.71694014,113.05327507
51.0,0.20583476,0.00343693,6.569e-05,7526385.701241373,0.0241439148736917,-0.021235945054813986,132.45746483,112.96242265
52.0,0.205927,0.00340208,7.891e-05,7509603.858869523,0.024090907950842358,-0.020502881156263666,128.29891273,112.91354634
53.0,0.20601507,0.00336084,5.982e-05,7567787.9601691775,0.024278903880935825,-0.020044636199911866,126.12657447,113.04407483
54.0,0.20608565,0.00332324,4.701e-05,7477172.154194389,0.023989196297112547,-0.02094076355414004,122.11142588,112.89303746
55.0,0.20611168,0.00328683,5.373e-05,7558689.072279231,0.02425084137651131,-0.02195367123024104,122.53782238,112.88230384
56.0,0.2061727,0.00325882,5.121e-05,7522641.578051167,0.024135922389336623,-0.021680570637826396,119.60530436,112.74334179
57.0,0.20620484,0.003238,4.513e-05,7529204.813942457,0.024157435306841748,-0.026923923517503764,118.59766814,112.75522545
58.0,0.20624654,0.00322686,6.59e-05,7530827.980553593,0.02416276649875513,-0.028283935719978302,116.60545739,112.69810725
59.0,0.20626311,0.00321232,5.31e-05,7516774.665747229,0.024118071674083967,-0.028249896340533234,115.99462063,112.57524564
60.0,0.20628894,0.00319841,3.673e-05,7483718.531318122,0.02401258177708285,-0.02928734013809399,114.74292982,112.59038771
61.0,0.20629525,0.00318131,6.569e-05,7525289.33145306,0.024145489120328503,-0.028970256408411353,114.82425038,112.4443338
62.0,0.20631294,0.00317059,6.59e-05,7551678.703375468,0.024230351268566167,-0.03449507312507307,114.55209749,112.36574837
63.0,0.20630227,0.00316513,0.00010703,7557497.305445466,0.02424814148404771,-0.03214051358259334,114.53082042,112.4090662
64.0,0.20628396,0.00316484,3.421e-05,7534197.884905645,0.02417444792582244,-0.03159295714301177,116.07204044,112.29137972
65.0,0.20632433,0.00316187,7.681e-05,7558358.516331573,0.024251710010873954,-0.0319183585049107,114.07223445,112.27949607
66.0,0.20628193,0.00315624,4.66e-05,7492456.804980607,0.024040250451300656,-0.032690887981912,115.40750777,112.18576856
67.0,0.20628132,0.00315404,7.22e-05,7526922.349781897,0.024150369457549916,-0.02987719095091203,115.59862437,112.15912618
68.0,0.2062806,0.00315803,6.107e-05,7554073.540372433,0.024237684173143877,-0.02883170676841267,116.17916399,112.02591429
69.0,0.20628579,0.00314796,4.366e-05,7515152.28693776,0.02411314977446698,-0.030552703030460333,115.70881303,111.86030987
70.0,0.20627949,0.00313791,3.505e-05,7551883.45486951,0.024231053849310243,-0.03326594356096932,116.76846849,111.88676057
71.0,0.20627969,0.00312136,5.394e-05,7524331.823643276,0.02414227658083122,-0.033659590219585145,116.19730111,111.9015193
72.0,0.20629698,0.0031138,3.61e-05,7571524.481281879,0.024294212292313537,-0.035068491591610164,116.5125066,111.79245805
73.0,0.20630613,0.00310604,6.464e-05,7602570.836091426,0.02439341271352778,-0.03479682414613938,116.22614269,111.75124862
74.0,0.20636329,0.00309754,6.632e-05,7595479.403260727,0.024371325952185458,-0.035912825093395495,113.67400259,111.53791792
75.0,0.20636664,0.0030954,4.534e-05,7552976.05847158,0.02423535635858096,-0.03816200923930345,113.22909604,111.54194303
76.0,0.2063884,0.00309354,4.03e-05,7565258.231873789,0.024275123668934858,-0.040890825929633355,112.56013518,111.4075811
