Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20952349,0.00044624,8.54e-06,928.2723659637807,0.026394856864739722,0.015164670899362966,1.00449904,79.1497162
1.0,0.20951617,0.00043997,1.232e-05,918.1433701793876,0.02610666100554121,0.012744710091264813,1.38424258,79.27261852
2.0,0.20949604,0.00043989,1.63e-05,921.4220171676304,0.02619954724553421,0.01364836583171039,2.39399338,79.07723047
3.0,0.2095723,0.00043437,-2.36e-06,918.6945475919972,0.02612332825698139,0.014711258902923697,-1.27674052,79.17844414
4.0,0.20958766,0.00043242,-1.284e-05,920.4482162356538,0.026173588056218437,0.01504461391764888,-1.88365489,80.14549137
5.0,0.20956203,0.00042765,-5.5e-06,920.0608375194283,0.026162085684711133,0.026271224357261473,-0.59539292,80.54730206
6.0,0.20954302,0.00042615,1.19e-05,912.9114075450491,0.025958213264188405,0.02971900086578471,0.11342466,80.71472318
7.0,0.20955898,0.00042388,-4.25e-06,922.3513011832338,0.026227141364345407,0.03869561819127181,-0.41444913,80.24499278
8.0,0.20954037,0.00042609,9.59e-06,917.0397694617062,0.026075610125734443,0.03575111314273374,0.29838213,80.56841995
9.0,0.20957078,0.00042942,-3.192e-05,913.3144998167447,0.025970866565501138,0.036316117914101595,-0.58677369,80.31120023
10.0,0.20956976,0.00043681,7.5e-06,921.9493317068175,0.026215665595842774,0.028242196891720084,-1.35625188,80.36485109
11.0,0.209554,0.00043338,-4.04e-06,910.1948681879207,0.02588142951457586,0.022237468092900097,-0.25461842,80.10477759
12.0,0.20955644,0.00043106,1.672e-05,920.8824040150358,0.02618496286992111,0.021497978296193553,-0.74897463,79.80265857
13.0,0.20957444,0.00043059,7.08e-06,917.6548324187307,0.026093603295696658,0.01944962416896696,-1.52211125,79.60346549
14.0,0.20960088,0.0004325,1.756e-05,917.6043722077496,0.02609232098941175,0.02054590367013944,-3.14859215,79.60023122
15.0,0.20956559,0.00043522,5.19e-06,917.5310333373925,0.02609001590923495,0.01991556549404871,-1.06676451,79.42139502
16.0,0.2095296,0.00043996,-3.004e-05,918.3616774219812,0.02611384309999458,0.01764755649910073,1.45529007,79.62781765
17.0,0.20949177,0.00044428,2.04e-06,916.509315411643,0.026060085263443517,0.018058146984517968,2.8241482,79.75623726
18.0,0.20954241,0.00045321,-1.242e-05,913.5235947711782,0.025976142745014325,0.021602116577797332,0.29428232,79.36222687
19.0,0.20950458,0.00046362,7.5e-06,912.4794889942572,0.02594561742619931,0.024403775566229798,1.81665756,79.28821913
20.0,0.20942699,0.00048508,-1.746e-05,909.3111637311625,0.02585504945416305,0.027133614458766296,6.13128352,79.18833721
21.0,0.20948302,0.00051663,9.38e-06,914.972909308276,0.026016344455549338,0.025122444138858068,2.34221062,79.19062022
22.0,0.2094032,0.00054996,3.72e-06,914.1977861120449,0.025993463322766083,0.02427204671134603,6.314469,79.11661248
23.0,0.2093911,0.00058952,4.14e-06,904.0354784616776,0.025704460699352234,0.01939976614135186,6.43681711,79.22087018
24.0,0.20933772,0.00063274,1.127e-05,902.1726945003688,0.025650794349950126,0.01877286713115922,8.61707038,79.03423368
25.0,0.20918427,0.00067288,2.67e-06,906.0887066145116,0.025760422216950886,0.026092232221730457,16.44377858,79.02129659
26.0,0.2091076,0.00070686,2.196e-05,910.5702286621492,0.02588656809803377,0.030711529948693573,19.84676734,78.80802491
27.0,0.20906703,0.00073697,2.25e-06,904.9607488490543,0.025727020762223704,0.032107704762512616,21.88482341,78.77796521
28.0,0.20900032,0.00077303,-2.36e-06,903.9776504418611,0.025698394192153015,0.02603166899766708,25.04843973,79.0001787
29.0,0.20899778,0.00080114,-1.41e-05,902.3060761138232,0.025651135673542994,0.025093236452399057,25.04140307,78.91304362
30.0,0.20892914,0.00083216,-3.62e-06,906.7781581481098,0.02577726867626336,0.019885950950218875,28.24270534,79.11528072
31.0,0.20888938,0.00086099,1.001e-05,906.5613611558264,0.025770413847878173,0.020627877362178176,29.76001718,78.83218683
32.0,0.20888003,0.00088838,6.03e-06,910.400630830205,0.025879578511924302,0.01665602720131675,30.15080124,78.80973718
33.0,0.20883498,0.00091164,7.71e-06,904.0836764618292,0.025699457971507644,0.015725105293893118,32.01779363,78.66343395
34.0,0.20881129,0.00093751,-9.07e-06,904.1761826077422,0.02570216367179312,0.017798491583793253,33.28591316,78.97487528
35.0,0.20876075,0.00094978,-6.13e-06,898.9054908310311,0.02555166686864726,0.016810369893611933,35.53876567,78.90733608
36.0,0.20877489,0.00095936,3.538e-05,907.1827032787252,0.025786382613553906,0.016190859656616208,34.25709692,78.73553918
37.0,0.2087699,0.0009687,-5e-08,902.5700257663634,0.025655888621605335,0.015987426090696342,34.88716031,78.83142582
38.0,0.20879156,0.00097769,2.07e-05,905.2763170289105,0.025732733828481905,0.016693357289791835,33.37691912,78.78576552
39.0,0.20879919,0.000983,7.9e-07,902.7574785463963,0.025661618552350853,0.015439643849506616,33.19008109,78.67599053
40.0,0.20880214,0.00098854,-2.99e-06,903.8349382424725,0.025692369786138702,0.015645706928261234,33.08309557,78.5898067
41.0,0.20880976,0.00099549,7.9e-07,905.0399555138328,0.025726670556758063,0.013594202073222837,32.58175923,78.63508651
42.0,0.20878709,0.00100798,3.999e-05,898.0751811126183,0.025527706346416212,0.013298470584485201,32.66498983,78.54642941
43.0,0.20880082,0.00101475,1.83e-06,906.5700278823059,0.025770081204510905,0.014375048877096883,32.87643791,78.56336178
44.0,0.20877224,0.00102052,-6.8e-07,908.7005064602279,0.0258303329468943,0.01626934753860179,34.44192295,78.58828469
45.0,0.20876909,0.00102011,3.51e-06,899.2363904716601,0.025561190695489497,0.014400511482079017,34.17586781,78.57839163
46.0,0.20879268,0.00102258,-6.76e-06,905.8251559834355,0.025748983608331746,0.016639492891560508,33.34776204,78.5898067
47.0,0.20877041,0.00102339,5.19e-06,905.228466301331,0.025731512732821878,0.013830467201033715,34.26734105,78.5890457
48.0,0.2087697,0.00102307,2.88e-06,904.5899165828563,0.02571339469393592,0.014853194200308804,34.3261966,78.58257716
49.0,0.20876757,0.00102359,1.42e-05,905.3971837776874,0.02573610416322123,0.01402811007385913,34.25628487,78.48326599
50.0,0.20880661,0.00101857,1.609e-05,904.9844551807801,0.02572482920185307,0.018942858224379897,32.21223625,78.53482409
51.0,0.20881312,0.00100821,4.77e-06,904.5080718485298,0.025711554942832584,0.01807568561985966,32.17433393,78.44445473
52.0,0.20883549,0.00099192,3.51e-06,904.3416605483075,0.02570709344367427,0.015456375704516932,31.19674648,78.27779462
53.0,0.20887169,0.00097675,8.54e-06,907.5413907651982,0.02579838471559614,0.014133719639472377,29.47641476,78.42010257
54.0,0.20887342,0.0009642,1.21e-06,900.944683132262,0.025610986804614464,0.015299764285059917,29.44252736,78.22300225
55.0,0.20889121,0.00094654,3.161e-05,898.7321967232675,0.025547711167304043,0.011683029688622443,28.08316501,78.40297995
56.0,0.2089142,0.00092908,7.91e-06,904.3774063557339,0.025708875805965897,0.015731566871307612,27.67827298,78.27798487
57.0,0.20893352,0.00092134,1.274e-05,908.932027409076,0.025838490325088996,0.012716197780234844,26.79581908,78.26752105
58.0,0.2089387,0.00091226,5.19e-06,902.3895224383062,0.025652687198367465,0.015542983552057537,26.56844986,78.44578649
59.0,0.20895162,0.00089969,4.14e-06,900.898028279111,0.025610439749072823,0.016806788390054513,26.00605406,78.43532267
