Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20719067,0.00042818,6.843e-05,1384.4449598088925,0.02527721498431158,,-1.91229079,236.10536928
1.0,0.20717796,0.00042803,6.128e-05,1372.5009533598657,0.025059110503185652,,-0.67192645,236.09156355
2.0,0.20715376,0.0004264,6.973e-05,1362.0252351819577,0.024867381918723685,,1.05830352,235.93797484
3.0,0.20710027,0.00042733,7.33e-05,1361.5958111706093,0.024858804959916977,,5.21086926,235.91822498
4.0,0.20720694,0.00042562,7.363e-05,1364.2207745224196,0.024908065368789402,,-3.28680806,235.88697035
5.0,0.2071567,0.00042405,5.283e-05,1369.4123985485314,0.02500259451994261,,1.33592533,235.9042275
6.0,0.20718884,0.00042569,6.193e-05,1370.309151189168,0.025019212468405248,,-1.52371398,235.89080527
7.0,0.20714796,0.00042741,0.0001084,1363.1053727086553,0.02488632779612283,,0.43634369,235.75984261
8.0,0.20721202,0.00042434,5.413e-05,1357.1391938984634,0.02477918322545369,,-3.11623189,235.69752509
9.0,0.20718833,0.00042601,6.355e-05,1361.3637138430959,0.024855850914170887,,-1.52344875,235.59609135
10.0,0.20717379,0.00042684,8.175e-05,1359.576385145394,0.024822706433097835,,-0.87838911,235.57327355
11.0,0.20720236,0.00042699,4.568e-05,1360.8999392183073,0.02484788737404099,,-2.16490128,235.69081398
12.0,0.20722026,0.00042642,3.431e-05,1370.2718290319167,0.025019436769480978,,-3.29154972,235.53377383
13.0,0.20717287,0.00042483,7.168e-05,1357.6843302098182,0.024788327797459524,,-0.49370198,235.62964694
14.0,0.20721538,0.00042697,5.153e-05,1350.6808740897486,0.024661360363947823,,-3.33907486,235.49983475
15.0,0.20718447,0.00042874,8.76e-05,1348.1060425471524,0.024613317373076243,,-1.90564491,235.49101443
16.0,0.20720358,0.00042887,5.251e-05,1359.7102730466456,0.024826062107623947,,-2.47964931,235.4016607
17.0,0.20715416,0.00042647,5.901e-05,1364.1379325668588,0.024906155459038813,,1.32305962,235.38363655
