Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20697966,0.00055033,9.6e-06,17378.71417763648,0.005903988437946725,,5.691e-05,-89.90575884
1.0,0.20700203,0.00054814,9.54e-06,15734.118870160804,0.005345337460505421,,-0.00196705,-89.87164123
2.0,0.20695638,0.00055089,9.62e-06,14355.672067523874,0.004876927283159855,,0.0019954,-89.90844224
3.0,0.20695719,0.00054936,9.89e-06,12438.886299796823,0.004225754590297954,,0.0016855,-89.88371656
4.0,0.20699441,0.00054992,9.55e-06,14702.586469778726,0.004994877531008092,,-0.00121315,-89.95808528
5.0,0.20694326,0.00055146,9.41e-06,17040.96432107153,0.00578914092637831,,0.00367428,-89.92128426
6.0,0.20694834,0.00054851,9.31e-06,15338.612516642506,0.005210831708344659,,0.0029085,-89.82295655
7.0,0.2069578,0.00054879,9.43e-06,13230.955261328358,0.004494839921727043,,0.0017677,-89.83139011
8.0,0.20695282,0.00054867,9.59e-06,13270.451497952636,0.00450824567318729,,0.00215778,-89.90633385
9.0,0.20699583,0.00055101,9.66e-06,16006.912925699673,0.005437997601647405,,-0.0014795,-89.88659164
10.0,0.20696929,0.00055021,9.71e-06,15889.375771927804,0.005397993659097915,,0.00101634,-89.9285678
11.0,0.20698098,0.00054859,9.57e-06,14163.259033330189,0.004811619504123857,,-3.241e-05,-89.78883894
12.0,0.20697844,0.00054843,9.43e-06,12518.992638338925,0.004253015257032676,,0.0001641,-89.82180652
13.0,0.20697895,0.00054948,9.59e-06,15933.751817085778,0.005413095812312224,,0.00013563,-89.83445686
14.0,0.20697224,0.0005475,9.51e-06,15789.835727569867,0.005364184853618189,,0.00079574,-89.84940728
15.0,0.20698068,0.00054596,9.72e-06,13973.833654772243,0.0047472643284649394,,3.289e-05,-89.91860086
16.0,0.20698098,0.00054988,9.82e-06,13363.605536193365,0.004539956645681043,,-5.872e-05,-89.94965171
17.0,0.20697895,0.00054827,9.71e-06,16404.23441298791,0.005572929372719015,,0.00015937,-89.84634053
18.0,0.20699644,0.00054657,1.002e-05,15397.177117048004,0.005230851033286533,,-0.00140709,-89.85036564
19.0,0.20695638,0.00054738,9.7e-06,13684.817053361863,0.004649021573671997,,0.00195811,-89.72501217
20.0,0.20697193,0.00054964,9.86e-06,13207.701372305763,0.004486971206536809,,0.00064512,-89.87566634
21.0,0.20697742,0.00055025,9.92e-06,16704.36496791824,0.005674887145703854,,0.00026402,-89.82487327
22.0,0.20698658,0.00054847,9.81e-06,16246.775854390831,0.00551945781492943,,-0.00057563,-89.8369486
23.0,0.20698993,0.00055109,1.012e-05,14059.098828039261,0.0047762546289464095,,-0.00082888,-89.79631414
24.0,0.20698454,0.00055049,9.75e-06,13613.769820428017,0.004624952694333676,,-0.00035185,-89.80187263
25.0,0.20696634,0.00055194,9.72e-06,16841.346383666576,0.005721392846066248,,0.00133255,-89.82084816
26.0,0.20695882,0.0005494,9.72e-06,15071.583861929324,0.005120142912346537,,0.00190354,-89.85784084
27.0,0.20698007,0.00054928,1.009e-05,12688.556146298075,0.004310622088294083,,1.411e-05,-89.88659164
28.0,0.20696746,0.0005462,9.76e-06,14754.607033882567,0.005012479156866007,,0.00117196,-89.90480048
29.0,0.20696563,0.00055303,9.97e-06,16998.538862119636,0.005774792271882021,,0.00138409,-89.88122482
30.0,0.20697976,0.00054774,9.8e-06,14570.004042038589,0.00494979679703939,,7.842e-05,-89.94390156
31.0,0.20697142,0.00054895,9.75e-06,12743.622818512864,0.004329311567884724,,0.00067387,-89.82851503
32.0,0.20697427,0.00054835,9.83e-06,15587.495993893712,0.005295449887175523,,0.00057322,-89.88755
33.0,0.20697,0.00055117,9.56e-06,15824.972911291072,0.005376117564483841,,0.00093286,-89.8587992
