Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20887875,0.00042732,-7.2e-07,973.9198884198933,0.027693030985648744,-0.0008120612763289414,35.15223769,-153.81917336
1.0,0.20884977,0.00043052,-8.3e-07,974.1551896094913,0.02769932916617167,-0.0012583408238561336,36.77669441,-153.84600744
2.0,0.20883259,0.00042768,-1.16e-06,976.7336556789386,0.027772403932852918,4.139404676780584e-05,37.89674258,-153.78352235
3.0,0.20886492,0.00042529,-8.6e-07,968.4900155334186,0.02753843990261346,0.00038438572069122285,35.76684386,-153.99953676
4.0,0.20880676,0.0004293,-9.6e-07,968.7814584501944,0.02754593389197684,0.0006360124221868097,39.02891409,-153.94280183
5.0,0.20883991,0.00042663,-1.26e-06,969.7937228966938,0.027575174755998758,0.0014904649700657338,37.22660055,-153.96714418
6.0,0.20905129,0.00042541,-1.24e-06,962.7521695277409,0.027377861221969762,0.0002023525330141919,25.05562524,-153.91922617
7.0,0.20941649,0.00042971,-8.6e-07,977.6231918047598,0.02780584622799473,-0.00020622968477613843,4.45141473,-153.84006561
8.0,0.20936301,0.00042898,-5.8e-07,975.6528621300644,0.027749054789468864,-0.00023634973184844001,7.50687498,-153.84600744
9.0,0.20943337,0.00043105,-6.9e-07,964.8894747475351,0.027443902435319373,0.002810465330800856,3.4185538,-153.86459963
10.0,0.20939046,0.00042683,-6e-07,977.8235289552795,0.02781116825512941,-0.0002668432447699413,5.97510811,-153.89795057
11.0,0.209399,0.00043263,-7.6e-07,968.0078533521697,0.027532129342271637,0.00023066810871656207,5.36408193,-153.90216735
12.0,0.2094229,0.00042212,-4.8e-07,974.0735487126275,0.027704945458404087,0.00019874598118724043,4.15233515,-154.0829141
13.0,0.209338,0.00042821,-6.8e-07,974.7433507025245,0.027722839390763553,0.0019310738491304874,8.94140623,-153.83565715
14.0,0.20939972,0.00042715,-1.01e-06,961.927780703675,0.02735919868564966,0.0008761771774608224,5.35995097,-153.90600079
15.0,0.2093928,0.00042719,-8.9e-07,968.2095802055824,0.027537768271018063,-0.0017148216050815654,5.78496759,-153.93187652
16.0,0.20943347,0.00042403,-1.01e-06,969.2163748280639,0.027566957907025336,0.0006657304601068237,3.51802719,-153.81898168
17.0,0.20940338,0.00042853,-5.7e-07,967.9787911969227,0.027531347500952656,0.0006232931056086727,5.16072835,-153.87724999
18.0,0.20937918,0.00043016,-8.6e-07,966.2317036123424,0.02748133416569462,0.0017861387404331135,6.509728,-153.78888917
19.0,0.20936789,0.00042715,-5.9e-07,975.5738364820885,0.02774686986271275,0.0010081221736143284,7.24926967,-153.9299598
20.0,0.20937196,0.00042898,-7e-07,967.5770508769054,0.027519492134053383,-0.0002530588332364863,6.93947816,-153.99685335
21.0,0.20938182,0.00042943,-9.7e-07,964.7791674494322,0.027440057828626414,-5.4728600944078525e-05,6.36128552,-153.9320682
22.0,0.20937796,0.00042752,-1.26e-06,964.6226866132985,0.02743555446330914,0.001184461552484981,6.60706605,-153.95583553
23.0,0.20940389,0.00042472,-8.5e-07,968.1472545801795,0.0275361405556054,0.0016472522795049698,5.18367149,-153.95391881
24.0,0.20939016,0.00042817,-8.3e-07,966.255713315083,0.027482161795510128,0.0007135810339303948,5.91037152,-153.94184347
25.0,0.20937684,0.00042829,-9.7e-07,967.0538628821624,0.02750468239214189,0.0005676559468872599,6.67229794,-153.86479131
26.0,0.20939809,0.00043032,-8.3e-07,964.8137941270714,0.027441265984848102,0.0012466480184834122,5.42710741,-153.89258375
27.0,0.20936108,0.00042711,-7.9e-07,977.5212442455162,0.027802166321992988,-0.001183899378783156,7.65883725,-153.80920641
28.0,0.20938497,0.0004291,-6.5e-07,969.139483672822,0.027564109219438238,0.0010324849809860432,6.20818542,-153.97270267
29.0,0.20935518,0.00042338,-3.4e-07,963.2088330811808,0.027394999357653223,-0.0009813250444698838,7.91532963,-153.96541913
30.0,0.20942402,0.00043109,-8.9e-07,964.970209923848,0.02744607440301191,0.00031064381373845947,3.95201445,-153.92938479
31.0,0.20968694,0.00042655,-8.9e-07,974.6295922457148,0.027724440386185885,0.000732546894744718,-11.00132054,-153.90638414
32.0,0.20942961,0.00042732,-5.5e-07,972.5959322919821,0.027663027949541893,0.00045861040470193654,3.70240543,-153.95966897
33.0,0.20948492,0.0004274,-1.21e-06,961.6184736489588,0.027351572098422247,-0.0013855290242578604,0.55098156,-154.04975484
34.0,0.2094777,0.00042533,-2.2e-07,966.38647524787,0.02748706474538967,-0.0010960209337117159,0.96833927,-153.91117594
35.0,0.20943063,0.00042695,-6.8e-07,975.0655150426285,0.027733284663521818,3.7508095658616195e-05,3.66055431,-153.94031009
36.0,0.20947821,0.00042618,-5.7e-07,969.7055282709989,0.027581485503110216,-5.935639959442232e-05,0.93932977,-154.06968873
37.0,0.20951023,0.00042691,-7.3e-07,963.2261142687248,0.027397634533388008,0.0004024390948423497,-0.88325265,-154.04323799
38.0,0.20945462,0.0004276,-8.2e-07,964.5015826938494,0.027433154157022695,0.0007657427423986186,2.25785049,-153.79732274
39.0,0.20946275,0.00042728,-7e-07,976.8476739580713,0.027784421598429105,-0.0002753473531092198,1.82184281,-153.94184347
40.0,0.20947831,0.00042642,2.048e-05,976.7643876790698,0.027781841129218925,0.0002920875937742326,0.51735179,-153.92593469
41.0,0.20948858,0.00042865,0.00017293,956.3669870531418,0.02719883275300549,-4.69178523646231e-05,-3.07549747,-153.91960951
42.0,0.20948187,0.00042586,0.00037124,967.2118076912392,0.02750321471782846,-0.0007345443608795536,-6.61611719,-154.10514806
43.0,0.20949519,0.00043575,0.00042865,970.1649488282667,0.027586257591267392,0.0012498003591510742,-8.6523139,-153.92210125
44.0,0.20966793,0.00046954,0.00041039,967.0488800102455,0.027500493756016015,0.0010662598875539012,-18.48349824,-153.94567691
45.0,0.2100189,0.00057407,0.00031665,968.069722468256,0.02753651409918515,-0.0003840182383424135,-37.8897562,-153.86804973
46.0,0.21001056,0.00072423,0.00021973,958.6717883868967,0.027271411844338917,0.0007221723385075455,-36.92956088,-153.82358181
47.0,0.21006791,0.000841,0.00016613,967.7862052193891,0.027532876045557764,-0.00024797053344996294,-40.88690995,-153.93168485
48.0,0.21001006,0.00091138,0.00014274,967.5870138245932,0.027527083244316065,0.0001027512641399348,-37.95985016,-154.03020429
49.0,0.20996929,0.00092626,0.00011991,966.5934448670287,0.027498754292326157,0.0010608042318480226,-35.3250475,-153.90101732
50.0,0.20997833,0.00090298,0.00010034,967.3584422265671,0.027520963017854085,0.00039003310457482685,-35.20165541,-153.90849253
51.0,0.21000396,0.00085873,8.315e-05,956.7591373445528,0.027219975658673293,-0.000524285949904856,-35.3986019,-153.92555135
52.0,0.21004096,0.0007991,6.845e-05,966.7805217668587,0.027505712270083225,0.0009595849591624826,-36.87182077,-154.07141378
53.0,0.20995881,0.00074706,5.628e-05,970.443131728876,0.027608880036367637,9.492367885187566e-05,-31.44916339,-153.9217179
54.0,0.209964,0.00070119,4.619e-05,967.1701851646088,0.027515904804449695,0.0005935334422333848,-30.88951072,-154.02713753
55.0,0.2095143,0.00065324,3.845e-05,962.5789385187172,0.027379156477194463,0.0006276989421906714,-4.56531231,-153.89239208
56.0,0.20949844,0.00061763,3.144e-05,966.1844553220018,0.027481528844882135,3.982581362475873e-05,-3.12025961,-153.89373378
57.0,0.20941619,0.00058693,2.608e-05,959.1212884169557,0.02727952395318846,0.0006767969143135993,2.00218853,-154.03652947
58.0,0.20947821,0.00056048,2.107e-05,972.0944562483983,0.027649390938997494,0.0001306633027483412,-1.09450143,-154.06298021
59.0,0.20951166,0.00053813,1.739e-05,978.1819029426769,0.027823011137355493,0.0005454945115424524,-2.67991196,-154.0033702
60.0,0.20945543,0.00052057,1.383e-05,967.3765756107335,0.02751491504358914,-0.0010238170091254528,0.82251969,-153.97289434
61.0,0.20947841,0.00050085,1.163e-05,961.4017120678159,0.02734527441066732,-0.000235920618583367,-0.20294431,-153.94625193
62.0,0.20946052,0.00049542,9.72e-06,957.2812504150023,0.027227853994831408,-0.0006022241438670503,0.9049475,-154.02100403
63.0,0.20946448,0.00048086,7.7e-06,963.1745263926583,0.027395528308002827,-0.0008056174748402996,0.89857353,-154.05818841
64.0,0.20948004,0.00047177,6.29e-06,969.751751029718,0.027582820527472005,0.0015860472830385149,0.15535979,-153.86613301
65.0,0.20946753,0.00046747,5.76e-06,969.6444226267598,0.027579593308492484,-3.2444463448998684e-05,0.92902987,-154.03058763
66.0,0.2094594,0.00046204,4.32e-06,968.3405181789493,0.027542407324490144,0.00045293107641494675,1.48338041,-153.92152624
67.0,0.20947648,0.00045749,3.52e-06,966.9325154733381,0.02750259743145334,0.0010303468833927102,0.58152942,-154.06489693
68.0,0.20946448,0.00045202,3.09e-06,956.9035161442357,0.027217170661137196,0.0004444117048127929,1.32226593,-153.84140731
69.0,0.20945919,0.00045015,2.96e-06,957.1184596398454,0.027223209464126527,0.0007948518925134295,1.64405034,-153.96101068
70.0,0.20951542,0.00045157,2.28e-06,964.830016777021,0.0274433377749897,-0.00025200515377458077,-1.53053593,-153.9512354
71.0,0.20947902,0.00044232,1.64e-06,958.9904295917688,0.0272767279114495,-0.0009148264601309921,0.64941312,-153.83987394
72.0,0.20944882,0.00044443,1.88e-06,959.279440766673,0.027284537373656055,-0.0003377199719881889,2.32037457,-153.94280183
73.0,0.20946428,0.00044391,9.5e-07,964.0115094749564,0.027419359406674695,5.162269141541083e-05,1.48196364,-153.9203762
74.0,0.20945472,0.00044443,1.12e-06,961.0382696604247,0.02733465899990673,-0.0013729530132548515,2.00699397,-154.0993979
75.0,0.20946316,0.00043815,8.3e-07,960.2548702266349,0.02731247996685629,0.0005256201795105878,1.6096742,-154.03001262
76.0,0.20947963,0.00043401,2.9e-07,968.0909309451264,0.02753558630309695,-0.001054253195716224,0.74676553,-153.87034979
77.0,0.20949021,0.00044082,6.4e-07,966.519441468194,0.027491046291023655,0.000691830519534069,0.05761836,-153.91366768
78.0,0.20945411,0.00043316,3.5e-07,963.4501636406578,0.0274032346285041,-0.00016451697497959193,2.19524164,-153.95909396
79.0,0.20945096,0.0004377,-1.1e-07,965.5630410769942,0.027463309730641348,-0.0011575235510464922,2.33381149,-154.03058763
80.0,0.20952203,0.00043669,2.5e-07,959.3908152219723,0.027288714410757354,-0.0003155164118824433,-1.67873462,-153.92401797
81.0,0.20949824,0.00043478,4.1e-07,956.4687949438197,0.027205268836320164,0.00040494648967958046,-0.31834294,-153.95698556
82.0,0.20949885,0.00043648,-7.1e-07,959.7292712025212,0.02729804330645462,-7.956219706201232e-05,-0.35199409,-153.92631803
83.0,0.20949265,0.00043871,-4e-07,956.7665770869817,0.027213689847793793,-0.00030825908364396677,-0.0347521,-153.83163204
84.0,0.20941731,0.0004407,-6e-07,963.6018612479935,0.027407085103917858,0.0006482855687157784,4.20615411,-153.89584218
85.0,0.20943398,0.00043904,-9.8e-07,966.5060811945696,0.027489920006122194,-0.000452597608549115,3.30034385,-153.96177736
86.0,0.20947434,0.000436,-7e-08,967.1846871869434,0.02750974994941091,-0.0001431464938676724,1.0296324,-153.96101068
87.0,0.20948095,0.00043393,-8e-08,973.8360487296264,0.02769902119652829,7.514342670345157e-05,0.68389917,-153.91845948
88.0,0.20950759,0.00043693,-9e-08,976.9187737917275,0.027787082941525033,-0.0011778819808472034,-0.87745841,-153.84658246
89.0,0.20948105,0.00043255,-7.5e-07,964.7673814998647,0.027441089901022307,-0.0013639541744937108,0.70134025,-153.96273573
90.0,0.20947231,0.00043381,-6.4e-07,957.9672186468235,0.027247553688735448,0.0015453704167262229,1.17115264,-153.97289434
91.0,0.20946601,0.00043316,-3.7e-07,971.8216808687503,0.02764152309585538,5.019483567480264e-05,1.55007962,-154.03748783
92.0,0.20946021,0.0004308,-1.6e-07,964.9682110045226,0.027446499261466,-0.0017263442077543381,1.89117787,-153.84811584
93.0,0.2094593,0.00043494,-5.9e-07,970.8058499277657,0.027612546667786703,-0.0011946965658341025,1.91382234,-153.87974172
94.0,0.20946408,0.00043194,-2.5e-07,962.4086573609285,0.027373756171725556,-0.0014405532309347746,1.65616546,-153.8929671
95.0,0.20945106,0.00043271,-7e-07,966.841765759281,0.027499678949886395,0.0002851361937690737,2.40197685,-153.86287458
96.0,0.20946824,0.00043247,6e-08,964.4403680801236,0.027431596515520157,-3.365180260865319e-05,1.41131142,-153.92075955
97.0,0.20945696,0.0004317,-4.4e-07,969.7541847947883,0.027582589595645274,-0.0006732062743360839,2.08061309,-153.98036956
98.0,0.20946774,0.00043153,-3.9e-07,963.629045646003,0.027408519414130923,-0.0009209053072664316,1.45893119,-153.89948395
99.0,0.20948116,0.00043717,-4.2e-07,964.8864312428719,0.027444484314238297,-0.0006603126027577094,0.63440665,-154.01352882
100.0,0.20949681,0.00043048,-4.9e-07,960.2997414044734,0.027314220078221877,-0.000534870374789812,-0.17091671,-154.10725646
101.0,0.2094719,0.00042865,3.9e-07,959.9172699184566,0.027302978488157877,-0.0005058744919356978,1.23697911,-153.89315877
102.0,0.20953372,0.0004347,-2.2e-07,957.500537901626,0.02723511049817841,-0.002286950568260028,-2.30016286,-153.9999201
103.0,0.20946336,0.0004332,-4.8e-07,960.32019180511,0.027314352328635945,5.501346781705098e-05,1.68239966,-153.87034979
104.0,0.20944659,0.00043551,-3.5e-07,961.1832274225287,0.027338674285442784,9.258735097583035e-05,2.60038916,-154.03557111
105.0,0.20947434,0.00043352,-5e-08,973.6295355102432,0.027693053942512452,-0.0006752400630304541,1.06573585,-153.7839057
106.0,0.20946855,0.00043308,-3e-07,968.9397905597475,0.02755958688631921,-0.0004956864990644386,1.40042255,-153.85923282
107.0,0.20944455,0.00043076,-3e-07,965.6691094127344,0.027466222304001434,-0.0006722634986921427,2.7831218,-153.87034979
108.0,0.20946031,0.00043462,-3.9e-07,970.4830526307586,0.027603374403593114,-0.0010548746142117992,1.85522912,-153.8881753
109.0,0.20945269,0.00043368,-3.7e-07,968.6555909428364,0.027551287900875226,-0.00029384463350867746,2.29604287,-154.07773896
110.0,0.2094532,0.00043304,-3.2e-07,972.4891397516402,0.02766032900750767,-0.001337662574836723,2.28285752,-154.06087182
111.0,0.20933241,0.00043421,-5.4e-07,972.3845335675551,0.027655689041390086,-0.001555092793766982,9.1642203,-153.96331074
112.0,0.20944344,0.00043312,2.5e-07,963.8210918392327,0.027413640379355113,-0.0014984996561533974,2.80249398,-153.84754082
113.0,0.209423,0.00043299,-4.9e-07,964.7461060755288,0.027439683873922902,-0.0010328897205523044,3.97811253,-154.00892869
114.0,0.20945482,0.00043701,-7e-08,964.2956758265819,0.027427312516294745,-0.0013418548514969927,2.11943599,-153.8991006
115.0,0.20944466,0.00042898,-2.3e-07,963.884452897426,0.027415456886023773,-0.0007195192845823773,2.79200627,-153.96541914
116.0,0.20946926,0.00043267,-6.6e-07,967.4493288077758,0.027517209384287786,-0.0007433441010707215,1.36991223,-153.86977478
117.0,0.20947577,0.00043218,-5.1e-07,955.9509604759959,0.027190244923461327,-0.0010094167265558803,0.99115348,-153.96733585
118.0,0.20944364,0.00043831,-6.9e-07,960.2566953491216,0.027312295599944764,-0.001726280294776559,2.73773453,-153.96561081
119.0,0.20944425,0.00043255,-1.7e-07,959.0407037026698,0.02727769110933812,-0.0012369320278387676,2.75766025,-154.11875678
120.0,0.20937989,0.00043231,-5.8e-07,960.1570426257531,0.027308570428020734,-0.0015949504310549438,6.3978109,-153.85137426
121.0,0.20941283,0.00043332,-2.2e-07,962.8574953694421,0.027385823474372493,-0.002465180129688665,4.5355997,-154.26979436
122.0,0.2094718,0.00042918,-8e-07,955.9971309728611,0.027191501305183108,-0.0011165016501539094,1.25465527,-154.03537943
123.0,0.20944984,0.00043352,-4.5e-07,964.6219458223686,0.02743652169734482,-0.001621602392756962,2.45103074,-153.93551829
124.0,0.20944018,0.000436,-2.4e-07,969.7484986205476,0.027582204729336098,-0.00031091827973154124,2.98004196,-153.9773028
125.0,0.20945553,0.0004336,-5.5e-07,969.3136115873228,0.027570046389295225,0.0008411091700833525,2.140022,-153.8243485
126.0,0.20947628,0.00043255,-1.7e-07,966.1855921913469,0.027481351286994835,-0.0013787865246353175,0.96202076,-154.00030345
127.0,0.20949407,0.00043186,1.2e-07,956.5638177834272,0.027207912246158837,-0.002290631187357534,-0.0442556,-154.01352882
128.0,0.20949478,0.00043385,-4.2e-07,969.9573575690025,0.027588896163888064,0.00023057410663581662,-0.09837969,-153.82856529
129.0,0.20948868,0.0004304,-3.6e-07,970.9929569168878,0.027618256697039323,-0.0012033739831061063,0.28923052,-153.99340325
130.0,0.20950983,0.00043551,-4e-07,969.1965108503905,0.027567466966191615,-0.0012993145553997485,-0.97471235,-153.95085206
131.0,0.20949895,0.00043267,-2.6e-07,969.123116595797,0.027565218394374043,-0.0018650272179590967,-0.32463472,-153.95679389
132.0,0.20948034,0.00043036,-4e-08,972.6386780212146,0.027664944538343512,-0.002248639491428882,0.75993404,-154.08406414
133.0,0.20951095,0.00043555,-4.5e-07,954.8464640462364,0.027159315850052785,-0.00024309540895417882,-1.02254451,-153.76818859
134.0,0.20949082,0.00043121,-4.2e-07,963.6415119866253,0.027409190099723566,0.0002448038880106021,0.15790843,-153.86325793
135.0,0.20949803,0.0004345,-3.4e-07,963.2578974378189,0.02739838547853579,-0.0016853468392658173,-0.29088278,-154.01122876
