Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20949983,0.00043052,2e-07,913.1469743228646,0.02594438369242946,0.00678923550167959,-0.92057984,275.47018314
1.0,0.20950847,0.00042684,4.5e-07,906.7950605421454,0.025764009598314878,0.005886068953290054,-1.33587334,275.41574836
2.0,0.20946191,0.00042496,1.58e-06,909.6770219133965,0.025845263568759085,0.004661149419357737,1.13485759,275.5213595
3.0,0.20943608,0.00042717,3.66e-06,921.6925137146457,0.026186269256999586,0.007275016139175076,2.47662308,275.56026887
4.0,0.20895799,0.00042978,5.5e-06,892.7968671722048,0.025359196557439897,0.007933063506781465,27.24190177,275.81500066
5.0,0.20811539,0.00044951,7.6e-06,855.4356797084822,0.02428764533395026,0.010641086504297528,67.78540299,275.54570182
6.0,0.20741352,0.00050662,9.81e-06,849.0262581534868,0.024097154717394983,0.020293324640510795,101.19113194,275.45791615
7.0,0.20632567,0.00082512,1.168e-05,859.599990820831,0.024384409424563387,0.04328480864055651,153.1279743,275.43453219
8.0,0.20624016,0.00150729,1.343e-05,877.849013759871,0.024902763176695535,0.0529737803956466,153.5472274,275.35633011
9.0,0.20631042,0.0021411,1.343e-05,886.055406143756,0.02513817507872216,0.05301495308705665,144.69523523,275.09680653
10.0,0.20631418,0.00238647,1.533e-05,885.268909666515,0.02511653301185227,0.052071028690370384,141.74676945,275.25915252
11.0,0.20629862,0.0025513,1.619e-05,878.5612056237209,0.02492644705337647,0.05379050922662796,139.71688249,275.09718987
12.0,0.20646182,0.00268618,1.708e-05,880.4404051706406,0.024982209053676187,0.057721534740202154,130.27212451,275.06652239
13.0,0.2066609,0.00276968,1.743e-05,879.971454242611,0.02497167694136122,0.054859993585375195,119.17591191,275.04371345
14.0,0.20676075,0.00279888,1.803e-05,886.0917800708505,0.02514671577771767,0.05748680387610218,114.55808957,274.8579835
15.0,0.20684555,0.00280542,1.89e-05,889.5777892515221,0.025246746967655553,0.06058500969854046,110.55113084,274.82654933
16.0,0.20698881,0.00278352,1.874e-05,885.8557917161768,0.02514290564467476,0.0665644945799345,102.96555337,274.97777836
17.0,0.20716868,0.00274157,1.846e-05,879.6974578358734,0.024970308881739022,0.06720093893568216,93.51711635,275.08607291
18.0,0.207164,0.00269774,1.83e-05,882.841731972124,0.025059385709195182,0.062007373154548386,94.56047911,274.81543237
19.0,0.20725886,0.0026332,1.855e-05,883.733069884034,0.02508572632417417,0.061205372566610725,90.4723874,274.77422294
20.0,0.20735037,0.00256633,1.823e-05,887.517038972762,0.025194143125765036,0.05934557676824715,86.86513111,274.85549177
21.0,0.2073945,0.00250767,1.861e-05,893.1362898216804,0.025354064365264543,0.05709630024855947,85.75162724,274.62855239
22.0,0.20743955,0.00243733,1.779e-05,887.9293251365103,0.02520665718416149,0.05636974010111116,83.69696824,274.55744217
23.0,0.2074613,0.00238366,1.734e-05,878.10266457878,0.024927839488981435,0.053959535115452276,82.23814648,274.73109679
24.0,0.20746161,0.00232581,1.694e-05,884.5368267543267,0.02511035161627541,0.05657303837212334,83.45021702,274.63027744
25.0,0.20751438,0.00228211,1.675e-05,887.4072990223846,0.0251924037255906,0.0570836506583516,81.47268589,274.51201596
26.0,0.20750086,0.00223934,1.631e-05,882.8366488868137,0.025062370161123285,0.053143540870974434,82.21042841,274.48192349
27.0,0.20752099,0.00220127,1.613e-05,895.7537665850587,0.02542922891649291,0.053343851087751915,82.78095994,274.52677468
28.0,0.20761158,0.00217398,1.609e-05,890.9835452832095,0.025294904274488387,0.050111293404952045,77.94482182,274.58619293
29.0,0.20761179,0.00214465,1.599e-05,886.5917319288076,0.025170147562590485,0.049757655612521594,77.8661702,274.59635153
30.0,0.20764687,0.00211316,1.589e-05,881.0827885456407,0.025014115174460307,0.05065087364719073,75.92356565,274.601335
31.0,0.20764015,0.00208236,1.558e-05,884.3770236776464,0.025107476956236573,0.048767852380473396,76.88724988,274.47521498
32.0,0.20767788,0.00205654,1.499e-05,885.9773274066607,0.02515333490494204,0.04664130843249441,75.37145001,274.29753524
33.0,0.20763782,0.0020304,1.514e-05,885.5608384422003,0.025140925267931522,0.04554697259750241,77.67454706,274.42423028
34.0,0.20770411,0.00200331,1.534e-05,892.0703311021603,0.025326507221861312,0.04511402519584507,75.09765766,274.50396574
35.0,0.20777823,0.00197668,1.435e-05,892.9405761952844,0.0253521170874547,0.04023178202014981,71.62963954,274.27970977
36.0,0.20780579,0.00195495,1.41e-05,884.5238532822993,0.025113450682649408,0.04039767160753938,69.77478634,274.25805086
37.0,0.20785449,0.00192431,1.451e-05,884.8651277057359,0.025123673249425528,0.040714315870867934,67.61697035,274.16413169
38.0,0.20786395,0.00189605,1.416e-05,888.9238079397318,0.02523896227089793,0.0370215731474169,67.74918511,274.14208944
39.0,0.2078792,0.0018737,1.381e-05,889.915961874531,0.025267274729083078,0.03526373869021032,67.28274972,274.06062893
40.0,0.20789892,0.00184854,1.365e-05,882.4418430816435,0.02505525027861179,0.032889585449202355,65.97742844,274.06963751
41.0,0.20793024,0.00182235,1.399e-05,889.1505896574457,0.025246057827889985,0.03226759732896865,65.1355205,274.05602881
42.0,0.207958,0.00180638,1.395e-05,890.5485158205356,0.025286064320102653,0.026387627356537345,63.9735747,274.04893696
43.0,0.2080129,0.00177795,1.456e-05,892.6526880434666,0.02534642879612554,0.026643792654522984,61.57042517,273.99066874
44.0,0.20802134,0.00175769,1.436e-05,885.2361161988185,0.025135896408785455,0.027670121390281834,60.84549862,273.96095961
45.0,0.20803731,0.00173486,1.436e-05,879.7372491384467,0.024979900610738525,0.025676144409341958,59.89418683,273.94620089
46.0,0.20808835,0.00170916,1.432e-05,893.6841576336585,0.02537650820435888,0.02230985444197437,58.46897031,274.11123028
47.0,0.20810512,0.00168469,1.453e-05,893.4764907026066,0.025370757709764075,0.024607381035963643,57.8446286,273.96000125
48.0,0.20820212,0.00166533,1.471e-05,885.4002342501268,0.025142609466774227,0.02043326298948763,52.52806313,273.8802658
49.0,0.20803059,0.00164965,1.544e-05,893.2579208496145,0.025363481428980105,0.018577438041382614,62.06692442,273.87259893
50.0,0.20810767,0.00163082,1.545e-05,894.3760607333122,0.02539617272516523,0.016823710962599388,58.33857203,273.9318255
51.0,0.20824503,0.00160786,1.618e-05,889.4580192923489,0.02525820662077416,0.017249985391118713,51.1414056,273.73919537
52.0,0.20822754,0.00159323,1.542e-05,889.5143724666963,0.025259558035844103,0.013911149872094278,52.22214104,273.71600309
53.0,0.20813898,0.00157694,1.58e-05,890.8385310939889,0.025295974266761813,0.016107809577104303,57.06090202,273.77599635
54.0,0.20816816,0.00155406,1.561e-05,888.061237276999,0.025217426657409187,0.014285871105749677,55.62506504,273.80398043
55.0,0.20823669,0.00153592,1.576e-05,889.4635788645605,0.025258073564220433,0.012479674902509437,52.35852284,273.65064302
56.0,0.2082372,0.00152265,1.624e-05,885.5102603928409,0.025145773757573358,0.012849828253677148,52.23365915,273.62917578
57.0,0.20825245,0.00150619,1.658e-05,896.6450394581972,0.02546211343300467,0.015065508472979643,52.26780002,273.54311515
58.0,0.20824493,0.00149728,1.675e-05,892.8566566712379,0.025354410797966385,0.012404183672938829,52.53132861,273.6976026
59.0,0.20828702,0.00148944,1.677e-05,887.890057848338,0.025213890724397527,0.01414118676321962,50.14784241,273.87930744
60.0,0.20826049,0.00148119,1.705e-05,891.4366907046585,0.025314239054211714,0.009738569826270088,51.80974055,273.712553
61.0,0.20823659,0.0014711,1.685e-05,892.5781285247062,0.025346322423064938,0.01237789241629106,53.23062658,273.44919598
62.0,0.20822693,0.0014644,1.719e-05,885.3164974997322,0.025139968620616904,0.009619213957297656,53.36124173,273.60560015
63.0,0.20826527,0.00146207,1.68e-05,891.8763263275034,0.02532673821127375,0.009812999938918317,51.79916092,273.40012801
64.0,0.20824025,0.00145749,1.678e-05,885.7769850715823,0.025153203773831827,0.010636226023501163,52.78425872,273.43922905
65.0,0.20824554,0.00144773,1.696e-05,896.6137046171096,0.025460970237109175,0.007869144933337027,53.25707835,273.41565342
