Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20943733,0.00044108,1.89e-06,919.402891660088,0.02612577096180852,0.0018424994753574889,1.10170059,273.86109862
1.0,0.20944424,0.00044583,3.5e-06,924.2290070281916,0.02626298337918731,0.004854861717493094,0.64870797,274.33299452
2.0,0.20927496,0.00044391,6.03e-06,917.5891694106837,0.026072039568134333,0.004347222309754792,9.7212808,274.20495778
3.0,0.20901406,0.00043613,1.036e-05,887.9553185398091,0.025226627675054628,-0.009983604114486453,22.97541317,274.15723151
4.0,0.20824745,0.00044313,1.515e-05,863.0738510525231,0.024510191361075143,-0.0039183117327099195,60.81259157,273.9807018
5.0,0.20764301,0.00047803,2.021e-05,845.9105685372236,0.024015392267188133,0.020447667548727743,88.92109283,274.07212924
6.0,0.20647795,0.00058333,2.463e-05,856.0490888416837,0.024288890727912668,0.05570250112671633,146.64329637,273.97456831
7.0,0.20557733,0.00106957,2.864e-05,862.0600662657781,0.024449220176722474,0.07748370478925291,187.42369306,273.88486592
8.0,0.20523673,0.00176814,3.249e-05,872.6171769665322,0.024746022428236845,0.0867865620309365,199.54962846,273.77925477
9.0,0.20500085,0.00240486,3.589e-05,873.4170277872579,0.024767282885321627,0.09946377372120052,204.95556496,273.51628111
10.0,0.20489328,0.00278927,3.851e-05,875.1015416351717,0.024814630775412502,0.11071490803790256,206.74559134,273.61767547
11.0,0.20485709,0.00304697,4.083e-05,877.5995292667627,0.024885639974391083,0.12473173832970161,206.44677629,273.25905759
12.0,0.20483757,0.00322784,4.212e-05,867.839756832116,0.024609090911616813,0.13200350403024783,203.24519709,273.67306861
13.0,0.20484356,0.00339791,4.322e-05,869.2606863261116,0.02464989202645079,0.13263049391309395,201.50556991,273.22915679
14.0,0.20489582,0.00354785,4.321e-05,871.3115872174076,0.024709124401821162,0.13479730893813072,197.80383766,273.36275201
15.0,0.20505759,0.00366613,4.293e-05,861.675833907374,0.02443825030935102,0.1295264858322881,186.36219696,273.03671833
16.0,0.20524914,0.00375667,4.272e-05,874.6903468588711,0.024810082682277693,0.13103473752314732,178.55286133,273.27879978
17.0,0.20537104,0.00381116,4.167e-05,883.4366574031842,0.0250599232406376,0.12833847710273125,173.55183152,272.84504656
18.0,0.20549589,0.00384275,4.119e-05,880.8337632120782,0.02498780425087333,0.12476590020852449,166.34944426,273.26289102
19.0,0.20557998,0.00384005,3.967e-05,878.373414010565,0.024919117350407943,0.11599138971434723,161.66164484,272.72563505
20.0,0.20579908,0.00382078,3.848e-05,882.830492701231,0.02504837944338031,0.11668810006021268,151.49378634,273.18238888
21.0,0.20593197,0.00377618,3.693e-05,879.8076804535003,0.024964240607389464,0.11044613231496744,144.69031683,272.5922315
22.0,0.20607878,0.00371723,3.579e-05,876.8994994397614,0.024883474631386127,0.10684817190200159,137.37979803,273.16954687
23.0,0.2063108,0.00365054,3.457e-05,883.2291950192632,0.02506593508421115,0.10377777101509468,127.1966214,272.50003737
24.0,0.20639936,0.00357306,3.336e-05,871.0289415724615,0.024720638920306515,0.10025663966798307,121.78956164,272.9968506
25.0,0.20646768,0.00348477,3.154e-05,880.0208090920734,0.0249765134547394,0.09799636988072756,120.51931962,272.43391061
26.0,0.20656498,0.00339607,3.028e-05,880.6958721512967,0.024996710862123878,0.09517786710642934,116.59221697,272.81687081
27.0,0.20659609,0.00329813,2.897e-05,881.2882878177978,0.025013688424872706,0.08900113844606986,116.14004952,272.27348134
28.0,0.20663778,0.00320432,2.686e-05,888.3480836475787,0.02521439458854544,0.08558028408754421,115.95931144,272.75611086
29.0,0.20681611,0.00311415,2.578e-05,887.6622782069471,0.025197014222830685,0.07985731280437847,107.64517437,272.18588734
30.0,0.20684661,0.00302647,2.385e-05,893.696615541167,0.025368499841038835,0.07131591458943602,107.77167623,272.78927008
31.0,0.20701732,0.00294989,2.231e-05,885.7428049951308,0.02514474597496601,0.07111333255553182,98.85743946,271.98290694
32.0,0.20708554,0.00286659,2.101e-05,884.9135512869811,0.025121883601977407,0.06412260632906136,96.16378033,272.57555605
33.0,0.20713058,0.00279495,2.018e-05,877.8888827055649,0.024922859440285945,0.05456268249567293,93.87293169,272.16633682
34.0,0.20721975,0.00272196,1.87e-05,878.3376470816553,0.024936570247689617,0.051206720120259536,90.16056651,272.50482917
35.0,0.20723714,0.00265798,1.762e-05,880.8281036653699,0.02500734800737558,0.04854769468482208,90.22582849,272.0327416
36.0,0.20731512,0.00259305,1.666e-05,878.3310499184486,0.024937293846898627,0.04256618693886473,86.68654868,272.33903309
37.0,0.20735203,0.00253177,1.579e-05,876.7591909396232,0.024892989186599806,0.03902728400174264,85.31233373,271.98884876
38.0,0.20742442,0.00246921,1.538e-05,885.196022392098,0.025133297315855126,0.03721143906872785,83.0764628,272.2581476
39.0,0.20751633,0.00241738,1.469e-05,885.0199669055152,0.025129350870658523,0.036086692136545105,78.88589597,272.05880896
40.0,0.20746082,0.00236129,1.46e-05,887.4055456824426,0.025196225902387372,0.03325781562336281,82.57639084,272.00475752
41.0,0.20759207,0.00230691,1.386e-05,884.8453652989401,0.025125083859597958,0.02811586029825183,76.16269597,272.09714331
42.0,0.2075694,0.00226314,1.352e-05,886.9477509722175,0.025184379416484437,0.02786938057618986,77.99389884,272.03446664
43.0,0.207606,0.00222038,1.281e-05,891.4055488780724,0.025311326401617158,0.025031524866801293,76.95867135,272.01357442
44.0,0.20769273,0.00217616,1.309e-05,879.3934466497342,0.02497122512909964,0.019106307361507792,71.94023778,271.772643
45.0,0.20769995,0.00213345,1.301e-05,880.6673226324615,0.025007378282773177,0.01919986938609187,72.13205502,271.9179302
46.0,0.20771428,0.00210145,1.257e-05,889.7373412110633,0.02526503671773801,0.01586278082199783,72.4845138,271.66626517
47.0,0.20778342,0.00206525,1.204e-05,881.2061460079314,0.025023578188523722,0.017906488685752387,68.63227055,271.78816841
48.0,0.20774682,0.00202728,1.209e-05,879.4973154444581,0.02497448635781836,0.01691101166458533,70.78220873,271.73200859
49.0,0.207776,0.00199713,1.197e-05,883.6139947400741,0.025091679412623778,0.014733084435366967,69.93517146,271.85985366
50.0,0.20780853,0.00195994,1.156e-05,885.9241752274471,0.02515760542465899,0.013253750795518613,68.84421952,271.46788489
51.0,0.20780091,0.0019392,1.127e-05,885.9622399501682,0.025158538950559615,0.013639966460548877,69.47003717,271.76938458
52.0,0.20777346,0.0019124,1.156e-05,890.6036358377986,0.025289909828023916,0.014858747487889538,71.54494629,271.3645738
53.0,0.20779308,0.00188499,1.198e-05,889.9450276699257,0.025271378857151926,0.015054378981897282,70.76221993,271.90259646
54.0,0.20777519,0.00187382,1.188e-05,881.6282627476644,0.025034955749404755,0.013944838060377175,71.14258445,271.41364178
55.0,0.2077879,0.00185856,1.149e-05,887.048419689536,0.025188997300301816,0.012468694358174718,71.093602,271.69961606
56.0,0.20779969,0.00184195,1.185e-05,894.1416046253131,0.025390519279692943,0.010822516370199948,71.22081578,271.33831477
57.0,0.2077824,0.00183557,1.155e-05,892.8877662738756,0.02535468007354,0.01030487216238245,72.09585793,271.69616597
58.0,0.20778118,0.00182988,1.131e-05,887.6541471267212,0.02520603840390944,0.010549741824086427,71.80204931,271.31416413
59.0,0.20778047,0.0018226,1.128e-05,887.2636659595462,0.025194922239811558,0.012375335906857273,71.8863315,271.87403737
60.0,0.20779898,0.00181969,1.179e-05,885.1901396563964,0.025136261520151304,0.015537119644868974,70.78486668,271.14913473
61.0,0.20776878,0.00181437,1.225e-05,891.0925139988461,0.02530345659475823,0.011306987404807338,72.87531922,271.6171972
62.0,0.20774641,0.0018138,1.127e-05,880.9225519849574,0.02501440207310049,0.011341156881334956,73.2162947,271.12134233
63.0,0.20772211,0.00181352,1.089e-05,884.7309349960224,0.02512223926526192,0.014758353447865833,74.79617772,271.65495654
64.0,0.20772293,0.00180607,1.148e-05,883.7201433008852,0.02509351737134495,0.015073125382473136,74.73825895,271.02397307
65.0,0.207709,0.00181401,1.114e-05,884.802848981449,0.025124110358119026,0.012148153614194336,75.46915988,271.56372077
66.0,0.20771754,0.00181249,1.11e-05,891.1654106792373,0.025304882921856068,0.015160919696532634,75.58511911,270.99618066
67.0,0.20772394,0.00181429,1.167e-05,884.6184570095797,0.02511905657998239,0.015280732683584174,74.6699811,271.69559095
68.0,0.20769527,0.00181765,1.077e-05,882.7348117808128,0.025065229356697152,0.014549808562571135,75.96669294,270.82520944
69.0,0.20766487,0.00182669,1.084e-05,883.1066642891271,0.025075422679883892,0.015815832042050417,77.46535721,271.32585611
70.0,0.20765613,0.00183074,1.127e-05,883.9634793697578,0.02509964274377125,0.01855786130990395,77.93991996,270.75831599
71.0,0.20756269,0.00183634,1.127e-05,888.7964509999367,0.025235685656606544,0.017766119640617903,83.14524989,271.22561177
72.0,0.20766396,0.00184772,1.139e-05,883.7363752175153,0.025093337259823035,0.01929629416129792,77.33246357,270.98276364
73.0,0.20763345,0.00185557,1.137e-05,881.4333918759386,0.025027577232817354,0.017264963128222885,78.61450802,271.18785243
