Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20944993,0.00044051,2.42e-06,912.2692098818151,0.025921705810171267,0.00984568934468005,-0.45855092,269.85745867
1.0,0.20938161,0.000439,6.17e-06,906.8070720398482,0.025765545760573074,0.011499116835689058,3.12486721,270.27741152
2.0,0.20873508,0.00044505,1.089e-05,876.0705778103318,0.024884053898690698,0.011332349955991151,36.02756087,269.98722046
3.0,0.20777712,0.00045692,1.734e-05,874.608861307271,0.024830386466742082,0.012577698710566985,84.58642085,270.38973118
4.0,0.20712519,0.00049631,2.416e-05,863.5046680158041,0.024506946730583422,0.04097729104635709,115.68646183,270.34487998
5.0,0.20647134,0.00066115,3.028e-05,866.8020166938828,0.02459257314387228,0.0754854422115568,147.13731093,269.86857563
6.0,0.20579552,0.00122062,3.571e-05,868.4557240874018,0.02463224203351551,0.10449684988785149,175.44221862,270.37688917
7.0,0.20538345,0.00186359,4.09e-05,865.243405588131,0.02453746334789478,0.1283202150133012,188.66477726,269.55615065
8.0,0.20500726,0.00239602,4.62e-05,865.9055382507169,0.02455272356285946,0.14475483801852915,202.03132574,270.1376828
9.0,0.20476019,0.00283312,5.14e-05,868.6969729832068,0.02462975049629715,0.1681681682159107,210.46427185,269.62323577
10.0,0.2045417,0.00318492,5.562e-05,860.3169045751764,0.02439020542615387,0.1881181125942528,215.61021769,269.62553583
11.0,0.20445091,0.00337893,6.082e-05,862.9645787921836,0.024464517786681347,0.2041218175840741,218.71769732,269.65141152
12.0,0.204329,0.00357612,6.61e-05,867.0621446502668,0.02457953162150342,0.21574289374251826,223.7315958,269.18066565
13.0,0.20412738,0.00375536,7.15e-05,867.5717490727213,0.024591743134631614,0.2212240124267142,232.00303069,269.75223087
14.0,0.20389283,0.00392527,7.51e-05,853.2013596914677,0.024181792447173802,0.23238970173200157,237.90238285,269.10131354
15.0,0.20384687,0.00407578,7.789e-05,852.0584039692436,0.024149154658846515,0.22499044688297845,238.2783061,269.37482915
16.0,0.20373584,0.00422777,8.063e-05,856.783940290678,0.024282010194922217,0.22626462908353795,243.49007336,269.05531231
17.0,0.20361709,0.00436307,8.461e-05,853.9000232890829,0.024199038632737375,0.22742822741188773,247.07312036,268.91309186
18.0,0.2034776,0.00449865,8.904e-05,856.9341424229115,0.024283504602977655,0.23846685063150247,253.37912638,269.19944948
19.0,0.20327669,0.00462715,9.476e-05,849.2662057402903,0.024063878513114836,0.24047740758394975,259.53324313,268.47435518
20.0,0.20301031,0.00475676,9.955e-05,843.3683706759678,0.023893626690346264,0.24205609765038322,269.26221575,268.94989284
21.0,0.20271058,0.00488997,0.00010369,841.7664906235185,0.023844699826094558,0.24170352589966146,281.83298134,268.37200245
22.0,0.20254831,0.00503165,0.00010651,843.7965921768817,0.02390044966799586,0.24333538266219162,288.91301589,268.65836008
23.0,0.20247694,0.00518057,0.0001075,854.6379087544356,0.024206978278612613,0.24549486280603774,294.61899121,268.35686038
24.0,0.20234893,0.00533407,0.00010781,844.2753609992948,0.02391222042919691,0.23737195029299255,295.7189785,267.92483221
25.0,0.20236662,0.00548962,0.00010786,841.8865298093094,0.023845191856681075,0.22323538149295108,292.50517656,268.40324495
26.0,0.20238675,0.00563142,0.00010664,841.5829201247642,0.023837240057941744,0.22332522300677538,290.05990888,267.50468769
