Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20946396,0.0004304,2.51e-06,18014.786318986087,0.0060496141962486216,-0.00327051014977854,0.00301249,-157.23457776
1.0,0.20948033,0.00042778,2.31e-06,15451.270777351228,0.005188792106177744,-0.0016135258172692134,0.001168,-157.1615507
2.0,0.20947057,0.00043256,2.34e-06,15810.299521751396,0.005309336494506303,-0.0027619175019945393,0.00200006,-157.243203
3.0,0.20945318,0.00042856,2.57e-06,17178.411478513735,0.005768715460342465,-0.0017723468012567824,0.0039863,-157.15695057
4.0,0.20945216,0.00042896,2.13e-06,17599.27471750934,0.005910045464224203,-0.002108036501563848,0.00419629,-157.10232404
5.0,0.20944433,0.00042941,2.62e-06,19119.463763805223,0.006420515850813199,-0.003549404207656171,0.00539913,-157.24588641
6.0,0.20945867,0.00042798,2.24e-06,17350.835269483112,0.005826634480667911,-0.0020848871994983255,0.0034969,-157.24550307
7.0,0.2094546,0.0004304,2.14e-06,14774.56613740028,0.004961481552684638,-0.0014618545604367606,0.00328692,-157.14928369
8.0,0.20946507,0.00042802,2.35e-06,15975.006501731197,0.005364630207912996,-0.001443701167778464,0.00261942,-157.21924399
9.0,0.20946813,0.00042606,2.13e-06,17246.72365683743,0.005791699187111747,-0.0012449067162150027,0.00257126,-157.22288576
10.0,0.20946772,0.00042798,2.51e-06,18798.995997709342,0.006312972926609581,-0.002314443498523567,0.002788,-157.25834509
11.0,0.20945735,0.00042909,2.54e-06,17190.124505969394,0.005772661336240706,-0.0011583953037919105,0.0035623,-157.30300468
12.0,0.20946223,0.00042901,1.81e-06,14669.18786220147,0.004926113507076455,-0.0020144457356884482,0.00264802,-157.28632921
13.0,0.20945674,0.00043023,2.18e-06,16214.668208545943,0.0054450911727839234,-0.0001610010501433858,0.00340793,-157.1780345
14.0,0.2094545,0.00042892,2.48e-06,17553.68853437348,0.005894742474604069,-0.000961039271988747,0.00393467,-157.30242967
15.0,0.20940905,0.00043068,1.71e-06,18587.37438450623,0.006241729297916324,-0.0013607318322541267,0.00907301,-157.13835838
16.0,0.20941555,0.00042986,2.05e-06,17628.886705614736,0.005919881861160607,-0.0024440606324166287,0.00794225,-157.21732727
17.0,0.20943345,0.00042676,2.42e-06,14917.05121658428,0.005009273807888059,-0.0032347704778448523,0.00521211,-157.43947519
18.0,0.2094306,0.00042786,2.33e-06,15309.884077942539,0.005141184042098769,-0.002223325441668661,0.00558524,-157.31124658
19.0,0.2094244,0.00043072,2.58e-06,17320.430051214007,0.005816324421301411,-0.001242189513214824,0.0068739,-157.34057241
20.0,0.20940447,0.00042717,2.24e-06,18671.017447368795,0.006269797938475107,-0.001279423298279969,0.00966974,-157.31143825
21.0,0.20941159,0.00042577,2.85e-06,17623.841519910708,0.005918169953464169,-0.00170497822368041,0.00840424,-157.18435968
22.0,0.20941179,0.00042426,2.2e-06,14863.250534037361,0.0049911524016764295,-0.0032070865251230566,0.00711845,-157.33175549
23.0,0.20942247,0.00043023,2.76e-06,16309.03892057829,0.005476685748810773,-0.004079271834129826,0.00665934,-157.26122018
