Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20939601,0.00053104,2e-07,77473.4358014118,0.02490527058849333,-0.006541329783646378,0.01409313,262.00869138
1.0,0.20938465,0.00053673,5.8e-07,77917.04709395624,0.025047743164111,-0.016376405760827904,0.01871661,262.07922659
2.0,0.20936141,0.00053657,6e-08,77781.75586537225,0.025003969305877952,-0.045975256650196465,0.02927805,262.16586223
3.0,0.2093695,0.00054081,1.12e-06,77368.43673227899,0.024871195275343295,-0.04089055887268366,0.02492274,261.91132212
4.0,0.20934821,0.00053966,3.3e-06,77478.51616419257,0.024906273852814048,-0.02303056671601222,0.03430523,262.12771955
5.0,0.20933961,0.00054584,8.09e-06,77437.42382720967,0.024892886900954064,-0.01122048820181725,0.0368214,261.96058177
6.0,0.20928567,0.00055285,1.405e-05,76945.64672319176,0.024734043712510156,-0.0073030599268651426,0.05910479,262.05967607
7.0,0.20871492,0.00056039,2.134e-05,71924.60277241327,0.023113296646858336,0.006381810163551413,0.29153542,261.98569077
8.0,0.20772757,0.00057726,2.9e-05,70726.07870683998,0.022716682501960513,0.048085195497745425,0.6875142,261.75932641
9.0,0.20568603,0.00065146,3.762e-05,68928.21134502547,0.022115989008147312,0.06070966902370729,1.46977866,261.55960443
10.0,0.20322307,0.00105841,4.848e-05,67052.05311132985,0.021486871665215138,0.0873188009621892,2.33389107,261.43041766
11.0,0.20069052,0.00194714,6.041e-05,65388.99666290156,0.020927115371140278,0.12007581284272845,3.13815522,261.2692217
12.0,0.20031476,0.00314403,7.344e-05,64036.676596762736,0.02049259628078763,0.1519754651522491,3.11995553,261.2142119
13.0,0.19772785,0.00466583,8.76e-05,62748.15534940321,0.020054542969566033,0.19432785837029182,3.85189438,260.95698839
14.0,0.19543246,0.00643185,0.00010142,62850.929403345224,0.020064891179058908,0.22120529950969442,4.53068748,260.59108698
15.0,0.19369042,0.00831892,0.00011423,63275.76559900588,0.020184193966426314,0.2586078107269794,5.03516863,260.3010876
16.0,0.19355674,0.01017131,0.00012485,64742.945184455006,0.020654797653276484,0.29782404363706105,5.06969001,260.00629641
17.0,0.19355152,0.0117848,0.00013228,64788.75821214435,0.02067305111317033,0.32978191373113835,4.96190585,260.18033438
18.0,0.19370424,0.01275185,0.00013704,66548.30362318004,0.021238662221731232,0.359423527678615,4.97065377,259.91161056
19.0,0.19393782,0.01303487,0.00013972,67354.37297143762,0.02149949461781026,0.36900818404167796,4.92307197,259.69176304
20.0,0.19495363,0.01321112,0.00014089,67337.93843009933,0.021507303102282656,0.3615072492178999,4.5300743,259.58327682
21.0,0.19588274,0.01323886,0.00014082,67637.13201199628,0.021614429522654518,0.3489282116496349,4.19849458,259.34886225
22.0,0.19626791,0.01310249,0.00014009,66969.57225134138,0.02140547110827961,0.3361643628525822,4.02329089,259.28982735
23.0,0.19693591,0.01256823,0.00013911,68440.33965783527,0.021882539152774244,0.32510445419576706,3.8967865,259.13878999
24.0,0.19781578,0.01165576,0.00013829,68162.30159277082,0.021802192328651476,0.31163482671353987,3.61450011,259.02934541
25.0,0.19836237,0.01082649,0.00013726,67667.81871388383,0.021648639150249376,0.30336573150926044,3.44382927,258.9662854
26.0,0.19894889,0.01012559,0.00013646,68196.9159713078,0.02182332116989192,0.30330566220290056,3.29989608,258.99541951
27.0,0.19934758,0.00959571,0.00013471,68156.41932083714,0.02181391016080992,0.30319919390459815,3.18610995,258.63852668
28.0,0.19986868,0.00918694,0.00013279,68149.54391395857,0.021817003290490366,0.2951152060393397,3.0174697,258.73493758
29.0,0.20028846,0.00892532,0.00013174,68384.2678604956,0.0218965604064456,0.298434353733559,2.88629175,258.6770527
30.0,0.20053616,0.00866126,0.00012959,68152.31115549465,0.02182463679741673,0.29275441024325843,2.80192343,258.5304238
31.0,0.20079707,0.00840384,0.0001285,68210.67621986897,0.021845827369480392,0.2845399531454614,2.72388659,258.38954505
32.0,0.20094437,0.00815838,0.00012619,68288.68681036834,0.021872009362423946,0.27164561962779327,2.68959947,258.27166691
33.0,0.20112841,0.00792516,0.00012458,67479.26690273704,0.021614391881894252,0.2754975349445846,2.60565218,258.24713293
34.0,0.20112268,0.00771425,0.0001233,68993.49688623112,0.022098858485592433,0.2571597545018014,2.68324386,257.88506496
35.0,0.20125656,0.00753029,0.00012116,67417.64147095883,0.021595271200237312,0.2639304356082374,2.58536823,257.89714028
36.0,0.20134633,0.00736291,0.00012053,67938.0915185246,0.021762650089325257,0.26483367686216075,2.58393374,257.83082185
37.0,0.2013449,0.00721425,0.00011947,67883.99073384324,0.02174496611791774,0.26022899249071774,2.59415976,257.91554077
38.0,0.2013667,0.00709333,0.00011796,67591.36760082735,0.02165122441132666,0.2552958359152512,2.58421936,257.65831725
39.0,0.2013842,0.00698041,0.00011688,66934.80643330918,0.021440866256581193,0.2622613376605795,2.56130426,257.69550158
40.0,0.20141184,0.00689145,0.00011529,67289.9427270471,0.021554762961514245,0.26177598414235215,2.5714481,257.39285186
41.0,0.20142105,0.00682532,0.00011366,68391.97575816371,0.021907750711877016,0.24519743853017809,2.61540815,257.33535033
42.0,0.20142863,0.00677267,0.00011172,67631.42408141242,0.02166412137381023,0.24340462899542228,2.58777059,257.24909803
43.0,0.20148585,0.00673812,0.00010999,67352.33662719645,0.021575336020371958,0.2492101010995563,2.55818386,257.0537845
44.0,0.20150908,0.00670646,0.00010755,66998.83797830077,0.021462332195227054,0.2509290243614808,2.53870731,257.05225112
45.0,0.20155054,0.00668144,0.00010585,67717.03970900204,0.02169285418299537,0.2450524947333937,2.55220986,256.93590636
46.0,0.20155647,0.00665493,0.00010434,67192.56544711787,0.021524872028169443,0.232782549730299,2.532436,256.77969387
47.0,0.20159465,0.00663877,0.00010325,67284.18914829506,0.02155464713767302,0.23187689641392195,2.52274393,256.69765835
48.0,0.20159875,0.00661411,0.00010239,68617.12048981524,0.021981658307337868,0.22659978072586398,2.57317646,256.86268775
49.0,0.20164645,0.00659795,0.00010136,68591.74844746281,0.021974074076093135,0.2236415528359838,2.55511731,256.58936381
50.0,0.20173632,0.00657895,0.0001017,67783.29114192878,0.021716078191415217,0.23283279526445938,2.49193953,256.49237789
51.0,0.20186181,0.00656217,0.00010176,68915.65525708061,0.022080310480549283,0.22815683384843222,2.48590597,256.33214029
52.0,0.20213316,0.00654077,0.00010091,68341.75480951878,0.02189959192671237,0.22099863166137346,2.36181619,256.2499131
53.0,0.20231393,0.00651604,0.0001005,68854.75305752114,0.022066064628058445,0.21242527863840394,2.31088112,256.05076614
54.0,0.2025125,0.00648437,9.927e-05,68519.65076212147,0.021960951843294035,0.2115598040046101,2.22498641,256.01415683
55.0,0.20269838,0.00642765,9.769e-05,69754.35700015076,0.022358790771650844,0.19859989367672568,2.19613711,256.24761304
56.0,0.20280699,0.0063588,9.616e-05,68666.95777447283,0.02201137545459211,0.18735560368709817,2.12516134,255.78645077
57.0,0.20297383,0.00626167,9.388e-05,68784.2668855119,0.022050743464879768,0.1803311196525604,2.07152263,255.74926645
58.0,0.20325347,0.00616124,9.229e-05,69110.29738913155,0.02215833937622692,0.17627145180824122,1.9794969,255.62678819
59.0,0.20344622,0.0060435,9.03e-05,70211.84262910964,0.022513566650443045,0.17771819152787693,1.94377713,255.71821562
60.0,0.20376322,0.0059178,8.87e-05,69015.99402413116,0.022133550969352916,0.18168853182288103,1.79610359,255.52443546
61.0,0.20386701,0.00578649,8.661e-05,68602.78449691807,0.022001960875426184,0.17656977474414842,1.75550028,255.39199027
62.0,0.20395115,0.00565118,8.442e-05,68705.04712198452,0.022035449311981935,0.16883883160852045,1.73627575,255.21852732
63.0,0.20399916,0.00551802,8.343e-05,68952.54935415603,0.02211508720154888,0.16657588257522735,1.73451601,255.23002763
64.0,0.20403928,0.00538436,8.235e-05,69282.01685839341,0.02222092369779524,0.16663132448743367,1.73792344,255.28618746
65.0,0.20411308,0.00526435,8.141e-05,69121.65841193788,0.022170081479800097,0.16410435549329044,1.71460349,255.20185188
66.0,0.20414379,0.0051638,8.02e-05,69235.49331846902,0.022206730748460742,0.17114698317647506,1.71361304,255.10429095
67.0,0.20421483,0.00506259,7.879e-05,70400.72815108945,0.022581091514303583,0.17218381123717638,1.72242397,255.01784698
68.0,0.20425362,0.00498137,7.825e-05,69431.88377306733,0.022270601968154235,0.17137331642067613,1.6900175,255.06231483
69.0,0.20425495,0.00490597,7.669e-05,69563.87343134015,0.02231279816254648,0.16116731318776695,1.6990753,254.88501845
70.0,0.20426693,0.004845,7.482e-05,69262.77937219852,0.022216246052703968,0.15771858902060473,1.69219415,254.62913664
71.0,0.20425301,0.0047879,7.376e-05,69473.91691648349,0.02228368616044085,0.16280479567645342,1.7076817,254.66210418
72.0,0.20428167,0.00473876,7.358e-05,69362.59923616087,0.0222482014771768,0.1691142640919626,1.69759445,254.65117889
