Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20679368,3.191e-05,8.9e-07,77981.63926348547,0.026515369625836463,,1.26910523,-89.91649247
1.0,0.20680344,3.183e-05,8.5e-07,78642.86835158648,0.026740334224248208,,1.27541919,-89.95827696
2.0,0.20679571,3.597e-05,7.1e-07,78862.63376867074,0.026814968573205616,,1.2821527,-89.89310849
3.0,0.206807,3.191e-05,8.7e-07,78580.50860433823,0.02671917862815042,,1.27276839,-89.83100677
4.0,0.2068011,3.211e-05,9.6e-07,78781.89040331013,0.026787571640544097,,1.27869331,-89.8910001
5.0,0.20682236,3.251e-05,8.8e-07,77995.99103484287,0.026520637440414253,,1.25627921,-89.76487994
6.0,0.20680294,3.283e-05,1.04e-06,78834.38693808607,0.02680544710292656,,1.27862055,-89.75702139
7.0,0.20680833,3.275e-05,1.07e-06,78851.32493462904,0.026811278934060257,,1.27642682,-89.97801917
8.0,0.20680304,3.384e-05,8.2e-07,78304.86970238922,0.02662540792138946,,1.26992699,-89.93661802
9.0,0.2067654,3.493e-05,7.3e-07,78091.69062802206,0.026552419660905838,,1.28344788,-89.89694193
10.0,0.20676479,3.094e-05,7.9e-07,78764.0405091387,0.02678100864504985,,1.29514359,-89.90000868
11.0,0.20679693,3.207e-05,1.25e-06,78894.19344081702,0.026825694537338095,,1.28236756,-89.92224263
12.0,0.20676306,2.949e-05,1.08e-06,78573.98995681468,0.026716355257382463,,1.29288995,-89.83963201
13.0,0.20681504,2.941e-05,1.23e-06,78466.95732352826,0.0266806634118457,,1.26742284,-89.88524994
14.0,0.20678056,2.913e-05,1.13e-06,78245.37386110681,0.026604855189177806,,1.27955664,-89.79957257
15.0,0.20677975,3.352e-05,7.8e-07,78384.21261633768,0.026652071065193014,,1.28184427,-90.00006144
16.0,0.20676479,3.162e-05,8.3e-07,79213.27678964555,0.02693375715629307,,1.30245145,-89.94006812
17.0,0.20678025,3.255e-05,1.15e-06,78865.65472533296,0.02681576701826503,,1.28951344,-89.88371656
18.0,0.2067831,3.106e-05,8.7e-07,78464.44911122025,0.026679389670476374,,1.28184314,-89.93450963
19.0,0.20679744,3.287e-05,1.16e-06,78854.46936013839,0.026812198472407466,,1.28142689,-89.82372324
20.0,0.20676256,3.307e-05,7.8e-07,78740.1510564969,0.026772861723746957,,1.29557214,-89.84595718
21.0,0.20677059,3.134e-05,9.6e-07,78695.66106164368,0.026757835151027313,,1.29130106,-89.83714027
22.0,0.2067768,3.058e-05,9.7e-07,78821.17605051342,0.02680059450554419,,1.29059376,-89.83100677
23.0,0.20674272,3.34e-05,7.6e-07,78874.08014616735,0.026818130784558192,,1.30683743,-89.69108624
24.0,0.20677324,3.412e-05,1.13e-06,78646.30468431492,0.026741093612134503,,1.28899618,-90.02555382
25.0,0.20681321,3.086e-05,7.9e-07,78492.09330184566,0.026689198138376773,,1.26861149,-89.95923532
26.0,0.20676266,3.537e-05,1.03e-06,78524.34013859183,0.026699485601421838,,1.29172278,-89.85094065
27.0,0.20679195,3.146e-05,1.13e-06,79259.4971632653,0.026949838046950402,,1.29068673,-89.86876615
28.0,0.20678748,3.187e-05,1.13e-06,78710.768666265,0.02676319963902169,,1.28376038,-89.8910001
29.0,0.20680965,3.231e-05,1.05e-06,77991.9122647887,0.026519075628784767,,1.26196434,-89.9368097
30.0,0.20678707,3.15e-05,8.7e-07,78515.83446210827,0.02669691669718047,,1.28084632,-89.84710722
31.0,0.20682033,3.259e-05,5.7e-07,78219.42766117309,0.026596590494092697,,1.26084831,-89.7897973
32.0,0.20681728,3.396e-05,9.8e-07,78671.35183583692,0.026750210580313245,,1.26932949,-89.76718001
33.0,0.20678229,3.287e-05,5.1e-07,78663.56137166193,0.02674709273293815,,1.28537461,-89.83254015
34.0,0.20680924,3.227e-05,1.17e-06,78465.51718254891,0.02668010437387811,,1.26979862,-89.84614886
35.0,0.20684586,3.207e-05,9.6e-07,78723.72480723483,0.026768401976784522,,1.2572848,-89.92185928
36.0,0.20680212,2.953e-05,1.15e-06,78333.16426493348,0.026634997771013906,,1.27115776,-89.8198898
37.0,0.2067887,3.134e-05,1.08e-06,78262.54545497124,0.02661081096387694,,1.27595644,-89.80838948
38.0,0.20680812,3.03e-05,4.6e-07,78817.45592623357,0.026799764926307992,,1.27631304,-89.85515744
39.0,0.20679582,3.307e-05,1.02e-06,78761.84630945213,0.02678068595242307,,1.28068458,-89.86129094
40.0,0.20680568,3.199e-05,7.6e-07,78487.11840165386,0.026687408310077737,,1.27186583,-89.94811834
41.0,0.20676327,3.09e-05,5.6e-07,78619.22194360293,0.0267317518275186,,1.29351012,-89.95348516
42.0,0.20681443,3.062e-05,9.6e-07,79016.43575356322,0.026867499783033766,,1.27652342,-89.81797308
43.0,0.2067773,3.09e-05,1.16e-06,78774.4508953574,0.026784711092659598,,1.2895295,-89.89406685
44.0,0.20680904,3.03e-05,1.02e-06,78228.99036400909,0.02659967446912357,,1.26626027,-89.77388853
45.0,0.20679683,3.07e-05,9.6e-07,78148.66177902448,0.026572198484180937,,1.27047257,-89.90729221
46.0,0.20679978,3.013e-05,1.16e-06,78543.36058764473,0.026706438906253054,,1.27556199,-89.94735165
47.0,0.20682328,3.215e-05,8.8e-07,78447.7829740135,0.026674269733360862,,1.26316087,-89.83522355
48.0,0.20679165,2.659e-05,9.2e-07,78626.21865928963,0.026734496877990618,,1.28100076,-89.85381573
49.0,0.2067888,2.864e-05,9.8e-07,78752.21326905019,0.026777303423895223,,1.28415106,-89.93374294
50.0,0.20681382,3.207e-05,8.5e-07,78567.67413158872,0.026714907925203174,,1.26942162,-89.75184625
51.0,0.20679775,2.957e-05,5.4e-07,78591.7171314897,0.026722864219602693,,1.27743624,-89.91821751
52.0,0.20678819,3.038e-05,7.4e-07,78641.91754887604,0.026739802017756907,,1.28250895,-89.90595051
53.0,0.20681107,3.094e-05,7.4e-07,78187.14950253927,0.026585482240737146,,1.26464704,-89.96709387
54.0,0.20680548,3.082e-05,8.5e-07,78481.27461416747,0.026685413541491086,,1.27194771,-89.85304905
55.0,0.20679968,2.635e-05,6.3e-07,79036.69016228493,0.02687418003441495,,1.2840718,-89.80973118
56.0,0.20680822,3.368e-05,9.3e-07,78012.15272455961,0.026525944755397227,,1.26280714,-89.90710054
57.0,0.20679612,3.175e-05,5.3e-07,78672.38024884652,0.026750275588633972,,1.27927602,-89.70335324
58.0,0.20681494,2.873e-05,8.5e-07,78621.36384810785,0.026733169549906732,,1.27008601,-89.9368097
59.0,0.20681036,3.066e-05,7e-07,79022.542201731,0.026869525855811836,,1.27850912,-89.84883226
60.0,0.20679622,2.732e-05,6.9e-07,78453.78104017027,0.026675933045932756,,1.27606739,-89.9442849
61.0,0.20679429,3.042e-05,9e-07,79715.43516987762,0.027104900035076495,,1.29715101,-89.83886532
62.0,0.20677985,3.026e-05,8.7e-07,78769.97683853314,0.02678322840670464,,1.28839408,-89.88237486
63.0,0.20676642,2.921e-05,7e-07,78584.92649581029,0.026720126098615134,,1.29162321,-89.77465521
64.0,0.20678066,2.748e-05,5.7e-07,77790.7444112698,0.02645028050408759,,1.27231886,-89.83119844
65.0,0.20681097,3.142e-05,8.7e-07,79108.18164682809,0.026898652404696584,,1.27951268,-89.89080842
66.0,0.20677771,2.981e-05,5.7e-07,79121.59273085059,0.026902759640417558,,1.29521909,-89.83024008
67.0,0.20678229,2.985e-05,9.6e-07,78521.44201736567,0.026698752198061365,,1.28323556,-89.76890505
68.0,0.20678524,3.287e-05,6.9e-07,78499.44004763389,0.026691324841686542,,1.28129208,-89.91208401
69.0,0.20677863,3.291e-05,8.9e-07,79391.90119420756,0.02699468442140455,,1.2988682,-89.84864059
70.0,0.20679775,3.219e-05,8e-07,79519.50085055166,0.027038332801925954,,1.29220836,-89.91074231
71.0,0.20678798,3.13e-05,6.2e-07,79371.62816197026,0.02698792011371327,,1.29441063,-89.9805109
72.0,0.20678269,2.997e-05,5.5e-07,79289.98519951498,0.02696008511085275,,1.29565117,-89.77944701
73.0,0.20679602,3.082e-05,8.9e-07,80040.13887514237,0.02721533126688521,,1.30157437,-89.86531605
74.0,0.20680517,3.05e-05,4.4e-07,78598.57874066957,0.026725302538459946,,1.27405782,-89.73900423
75.0,0.20681056,2.885e-05,8.2e-07,78439.01412068354,0.02667110785514736,,1.2691062,-89.77714695
76.0,0.20677924,2.941e-05,9.5e-07,78572.68822919138,0.026716134456418596,,1.28548779,-89.80244765
77.0,0.2067892,3.118e-05,9.2e-07,78771.50530349328,0.026783876854947826,,1.28401744,-89.8403987
