Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20680504,3.304e-05,3.4e-07,75752.94269120527,0.025757582942980483,,1.22815556,-89.96287708
1.0,0.20683381,3.114e-05,3.8e-07,74960.68682821548,0.025488565717930744,,1.20294462,-89.72175375
2.0,0.20680036,3.094e-05,3.6e-07,75151.63547424847,0.025553059219101313,,1.22063556,-89.97418573
3.0,0.20679589,3.139e-05,8.3e-07,75315.56204478831,0.025608731807339243,,1.22513925,-89.88237486
4.0,0.20678623,3.506e-05,3.3e-07,74541.81218366479,0.02534553682195633,,1.21648872,-89.77427187
5.0,0.2067783,2.921e-05,5.1e-07,74751.47139159696,0.025416703373712275,,1.22385017,-89.72137041
6.0,0.20678034,3.143e-05,4.9e-07,74939.3702241919,0.025480624704463252,,1.22584573,-89.78136373
7.0,0.20679396,3.386e-05,0.0,74493.5829092072,0.02532924034886076,,1.21251889,-89.82813169
8.0,0.20679122,3.131e-05,6.7e-07,75300.62524679519,0.025603595102457886,,1.22697833,-89.84902394
9.0,0.20679681,3.374e-05,8.6e-07,75535.63932280094,0.025683580057133656,,1.22810341,-89.79343907
10.0,0.20678013,3.415e-05,5.3e-07,75774.66130394494,0.025764641334359198,,1.23934606,-89.96651885
11.0,0.2067901,2.888e-05,6.3e-07,75250.13506494954,0.025586407189510413,,1.22687307,-89.87930811
12.0,0.20677942,3.135e-05,4e-07,76082.54960093947,0.025869313997713025,,1.24497451,-89.86895782
13.0,0.2067841,3.189e-05,6.9e-07,75144.90668093225,0.0255505567573959,,1.22749511,-89.81279793
14.0,0.20678227,3.015e-05,4.7e-07,75037.6524846082,0.02551406424352549,,1.2267321,-89.8910001
15.0,0.20676163,3.106e-05,5.2e-07,75274.76716763305,0.025594420503045938,,1.23954206,-89.87949978
16.0,0.20677729,2.941e-05,5.9e-07,75386.87127422364,0.02563273545013855,,1.2346696,-89.82851504
17.0,0.20677708,3.114e-05,4.6e-07,75174.16304829516,0.025560415624170562,,1.23113897,-89.79995591
18.0,0.20678867,3.395e-05,4.4e-07,75160.9536649227,0.025556082511485646,,1.22561287,-89.82199819
19.0,0.20679559,3.172e-05,5.1e-07,75421.99892816221,0.02564492538549099,,1.2270291,-89.92875947
20.0,0.20679477,3.011e-05,4.7e-07,75479.50197157526,0.025664463254869974,,1.22847365,-89.89885865
21.0,0.20679793,3.259e-05,5.4e-07,75155.01090797604,0.02555417646622076,,1.22158066,-89.84672387
22.0,0.20680494,3.189e-05,4.8e-07,75064.51305946049,0.02552349549009165,,1.2171218,-89.90786723
23.0,0.20679172,3.304e-05,2.1e-07,74446.86780045995,0.025313321458338717,,1.21276276,-89.98990283
24.0,0.20678379,3.366e-05,6.5e-07,75417.01207587129,0.0256430787389864,,1.2319129,-89.84499882
25.0,0.20678278,3.057e-05,4.8e-07,75558.57615716965,0.025691194652394802,,1.23497771,-89.81318128
26.0,0.20677851,2.958e-05,6.3e-07,75653.13029890214,0.02572328339182759,,1.23847354,-89.88965839
27.0,0.20677861,3.353e-05,5.5e-07,75776.32807675083,0.025765186126312047,,1.24009758,-89.81318128
28.0,0.2067901,3.341e-05,6.6e-07,75115.66527703941,0.025540696613254164,,1.22426531,-89.87374962
29.0,0.20677058,3.514e-05,3.9e-07,75352.94762941565,0.025621132754377787,,1.23656155,-89.80915617
30.0,0.2067167,3.37e-05,5.9e-07,74648.07484675095,0.02538076330986188,,1.24845336,-89.8225732
31.0,0.2067718,3.362e-05,1.8e-07,74660.83253733192,0.025385818823345414,,1.22484329,-89.81701472
32.0,0.20678674,3.197e-05,6e-07,74962.77346359481,0.025488664398717404,,1.22336631,-89.96153538
33.0,0.20683371,3.011e-05,2.8e-07,75021.12129617816,0.025509112813330084,,1.20406263,-89.79612247
34.0,0.20682751,3.226e-05,8e-07,75188.21663671949,0.025565845118036685,,1.20917412,-89.84902393
35.0,0.20686136,3.184e-05,5.4e-07,74890.8505898098,0.025465174418322824,,1.18973495,-89.85304905
36.0,0.20674476,2.933e-05,4.3e-07,74990.22962335117,0.025497452564390524,,1.24236339,-89.89042508
37.0,0.2068455,3.275e-05,3.3e-07,75231.7881135925,0.025580904133941942,,1.20203555,-89.83579857
38.0,0.20679467,3.287e-05,2.7e-07,75076.53339350951,0.025527456135025207,,1.22172718,-89.92262597
39.0,0.20684062,3.456e-05,4.1e-07,74321.692568382,0.025271387037109287,,1.18942347,-89.77599692
40.0,0.20679223,3.135e-05,4.9e-07,75241.25709360029,0.025583425442439373,,1.22557317,-89.85496577
41.0,0.20685526,3.283e-05,1.8e-07,75664.28051763249,0.025728094042431218,,1.20466627,-89.84806558
42.0,0.20680687,3.156e-05,5.6e-07,74800.47431512558,0.025433739367892623,,1.21200963,-89.84346545
43.0,0.20679467,3.065e-05,3.9e-07,76396.7993078783,0.025976363437374528,,1.24340075,-90.00408655
44.0,0.20677454,3.119e-05,1.7e-07,76044.68672679704,0.025856379863842108,,1.24654904,-89.91745083
45.0,0.20676072,3.015e-05,6.2e-07,75547.72142734531,0.0256872123675228,,1.24448964,-89.85841586
46.0,0.20676224,3.16e-05,2.4e-07,74824.81562564155,0.025441445551935272,,1.23184833,-89.78136373
47.0,0.20675787,3.292e-05,2.4e-07,75026.28669691728,0.025509895356966353,,1.23695094,-89.90901726
48.0,0.20676001,3.329e-05,2.7e-07,74606.94510481611,0.025367341856236438,,1.22907583,-89.87355795
49.0,0.20680352,2.884e-05,3e-07,74774.74191423785,0.02542494416545028,,1.21333243,-89.95156844
50.0,0.2067595,2.748e-05,4.1e-07,74623.18413793322,0.02537283868567855,,1.23006045,-89.77523023
51.0,0.2068023,3.456e-05,3.6e-07,75058.71090761683,0.025521497837850685,,1.21794338,-89.88237486
52.0,0.20679081,2.76e-05,3.5e-07,74855.93433635887,0.025452382791463737,,1.22027678,-89.95425184
53.0,0.20678583,3.156e-05,3.9e-07,74238.52183374674,0.025242397217647088,,1.21201209,-89.91189234
54.0,0.20679488,3.127e-05,5.2e-07,75237.45856490934,0.025582167508268343,,1.22436787,-89.73191237
55.0,0.20680331,3.003e-05,5.7e-07,74588.71669557526,0.02536168722269514,,1.21025612,-89.86723277
56.0,0.20678593,3.287e-05,4.4e-07,75352.14161560686,0.025621051325836173,,1.23001658,-89.83503188
57.0,0.20678756,3.246e-05,3.1e-07,75380.07964389083,0.025630573295970255,,1.22981853,-89.88409991
58.0,0.20682913,2.892e-05,1.8e-07,75089.67928608293,0.025532363639566104,,1.20728062,-89.82889838
59.0,0.20680667,3.143e-05,2.8e-07,75275.27819004307,0.025595185010925125,,1.2198465,-89.83349851
60.0,0.20680718,3.399e-05,4e-07,75999.97466002248,0.02584160848155263,,1.23111298,-89.98626106
61.0,0.20680138,2.978e-05,5e-08,75893.40083251857,0.025805290362750238,,1.23238259,-89.75682972
62.0,0.20682517,2.669e-05,3.6e-07,76317.20154076522,0.02594969017357338,,1.22894746,-89.78193875
63.0,0.20676255,3.205e-05,4.7e-07,75572.11526732662,0.02569553842348215,,1.24394138,-89.82333989
64.0,0.2068084,3.176e-05,2.8e-07,75489.77154249283,0.025668140710406528,,1.2225232,-89.94946004
65.0,0.20681063,3.168e-05,4.2e-07,75752.62559679248,0.025757543016487257,,1.22578041,-89.85151567
66.0,0.20679955,3.032e-05,2.1e-07,75387.88347720703,0.025633378877767208,,1.22488768,-89.85994924
67.0,0.20681023,2.789e-05,3.2e-07,75532.05343019334,0.02568253012668263,,1.22274827,-89.79823087
68.0,0.20681307,3.065e-05,4e-07,75575.35394040163,0.02569729621330849,,1.22193518,-90.00542826
69.0,0.2068026,2.9e-05,4.4e-07,75076.69945061949,0.025527601800878257,,1.21858208,-89.87374962
70.0,0.20681195,3.18e-05,6.1e-07,74659.51903720826,0.025385876762162387,,1.20747454,-89.87336627
