Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20692133,3.11e-05,1.11e-06,79415.6231902834,0.026991090966621358,,1.23292833,-89.79516411
1.0,0.20683213,3.396e-05,1.12e-06,79156.17882697817,0.026901703411976514,,1.26963514,-89.98587772
2.0,0.2068839,3.187e-05,9.2e-07,79409.03098169711,0.026988343913659636,,1.25004739,-89.81490633
3.0,0.20691451,3.396e-05,1.25e-06,79461.2286366476,0.02700650285804062,,1.23648239,-89.86589107
4.0,0.20685328,3.235e-05,1.1e-06,79604.82862082923,0.027054466034416216,,1.26720023,-89.71542858
5.0,0.20690801,3.34e-05,1.05e-06,80751.90248615055,0.027445076339199705,,1.25970335,-89.89195845
6.0,0.20688054,3.263e-05,9.6e-07,79675.20788572168,0.027078763303787,,1.2557108,-89.86550772
7.0,0.20683487,3.106e-05,1.02e-06,79213.07532060085,0.02692107125199159,,1.26957548,-89.76852171
8.0,0.20682775,3.066e-05,1.02e-06,79027.83901737422,0.026858019292660917,,1.26990689,-89.84614886
9.0,0.20683701,3.082e-05,1.03e-06,79654.04014664861,0.027070964503524655,,1.27567158,-89.82410658
10.0,0.2068778,3.15e-05,1.32e-06,80024.70393402305,0.027197496333889275,,1.2625344,-89.82506494
11.0,0.20689905,3.505e-05,1.11e-06,80206.07044302767,0.027259444506915236,,1.25518545,-89.86627441
12.0,0.20689916,2.864e-05,7.6e-07,79471.61641746797,0.02700981764423164,,1.24431692,-89.86416602
13.0,0.20685796,3.63e-05,1.19e-06,78874.20742929267,0.026806230425572404,,1.25304226,-89.8561158
14.0,0.20682765,3.368e-05,1.11e-06,79098.59383310094,0.026882071068654388,,1.27079073,-89.80877282
15.0,0.20686671,3.066e-05,9.3e-07,80074.933167608,0.027214419647837898,,1.26863701,-89.92320099
16.0,0.20693313,3.231e-05,9.5e-07,79716.86717355972,0.02709364392087567,,1.23204954,-89.86895782
17.0,0.20687678,3.44e-05,9.9e-07,79869.15380532059,0.027144631263983515,,1.26033682,-89.79209736
18.0,0.20683915,3.082e-05,1.04e-06,79716.24884185761,0.027092135783613247,,1.27567943,-89.75376297
19.0,0.20689549,3.199e-05,7.4e-07,79441.15317780724,0.026999423797804855,,1.24522096,-89.71485356
20.0,0.20689783,3.267e-05,1.07e-06,79199.06961160342,0.02691717495689954,,1.24022887,-90.04912947
21.0,0.20691482,3.291e-05,9.3e-07,79384.35587067518,0.026980383693777008,,1.23529758,-89.92454269
22.0,0.20689112,3.489e-05,9.8e-07,79593.07936131614,0.02705100198717935,,1.24930518,-89.8718329
23.0,0.20684606,3.295e-05,1.29e-06,79357.55702397156,0.02697032750483551,,1.2665053,-89.86512438
24.0,0.2069135,3.102e-05,9.5e-07,79442.54376954796,0.02700013620052776,,1.23699071,-89.88237486
25.0,0.20695144,3.352e-05,1.2e-06,79846.84146728067,0.027138069186407942,,1.22540482,-89.92875947
26.0,0.20688837,3.223e-05,1.22e-06,79617.86762658207,0.027059376608909513,,1.25117709,-89.87355795
27.0,0.2068842,3.356e-05,1.2e-06,80950.64870057271,0.0275122891175222,,1.27396416,-89.68821116
28.0,0.20692611,3.154e-05,1.02e-06,79775.95253907928,0.027113625347407418,,1.2362828,-89.8321568
29.0,0.20692611,3.4e-05,1.23e-06,79602.47138533166,0.027054666754114255,,1.23332247,-89.88103315
30.0,0.20692184,3.509e-05,1.17e-06,79184.47005439232,0.026912545699105214,,1.22871614,-89.78864727
31.0,0.20693048,3.468e-05,1.46e-06,79851.41969915602,0.0271393348784103,,1.23504419,-89.93546799
32.0,0.20690851,3.106e-05,1.08e-06,79816.53748711645,0.02712717430099166,,1.24510242,-89.86953284
33.0,0.20692072,3.533e-05,1.48e-06,80095.26042585788,0.02722207643726431,,1.24329133,-89.83445687
34.0,0.20684474,3.388e-05,1.25e-06,80210.89848183,0.027260327910576317,,1.28067052,-89.88927505
35.0,0.206902,3.404e-05,1.16e-06,79704.44042957026,0.027088993396669786,,1.24607653,-89.87068287
36.0,0.20689377,2.852e-05,1.65e-06,79207.8016088106,0.026920064052334998,,1.24254047,-89.77599692
37.0,0.20691024,3.396e-05,1.44e-06,79312.21644343654,0.02695579591385017,,1.2361059,-89.86991618
38.0,0.20682887,3.239e-05,1.07e-06,79469.63069672526,0.02700818375111353,,1.27632455,-89.89445019
39.0,0.20688319,3.456e-05,1.22e-06,78858.6425045559,0.02680127819700386,,1.24140703,-89.7767636
40.0,0.20692133,3.452e-05,9.9e-07,79718.31820435428,0.027093980422646,,1.23731849,-89.81126456
41.0,0.20683172,3.187e-05,8.7e-07,79466.73148157133,0.027007240001074035,,1.27504377,-89.85899088
42.0,0.20688675,3.17e-05,1.33e-06,79825.80381570695,0.027130020974654848,,1.25523023,-89.79305572
43.0,0.20690963,3.319e-05,1.15e-06,79265.73849950252,0.02693999469524703,,1.23577495,-89.85055731
44.0,0.20679673,3.295e-05,1.33e-06,79047.8905617814,0.026864411100377995,,1.28419328,-89.80877282
45.0,0.20691553,3.638e-05,1.3e-06,79343.47477357378,0.026966501644268517,,1.23393401,-89.92320098
46.0,0.20685064,3.352e-05,1.22e-06,79550.69245942005,0.027036032053167444,,1.26743563,-89.7487795
47.0,0.20686976,3.472e-05,1.19e-06,79142.2242596978,0.0268974753902395,,1.25202656,-89.95310181
48.0,0.20693669,3.215e-05,1.45e-06,79296.30974594297,0.026950745961997417,,1.22383985,-89.90135038
49.0,0.20689783,3.227e-05,1.69e-06,79422.47845121467,0.026993090917919522,,1.24365677,-89.92435102
50.0,0.20683152,3.384e-05,1.11e-06,79428.16055222659,0.026994129534872856,,1.27428544,-89.86301599
51.0,0.20688787,3.573e-05,1.18e-06,79426.28269331515,0.026994267336543597,,1.2480705,-89.82640664
52.0,0.20689,3.392e-05,1.21e-06,79477.12023234907,0.02701156873745766,,1.24805128,-89.8116479
53.0,0.20690078,3.05e-05,9.9e-07,79518.9721629748,0.027025935254561758,,1.24409014,-89.85324072
54.0,0.20686376,3.243e-05,9.4e-07,79537.8735467024,0.027031857893485077,,1.26131345,-89.80762279
55.0,0.20689692,3.001e-05,1.13e-06,79455.4649449405,0.02700429415421373,,1.24490302,-89.88333322
56.0,0.20691757,3.271e-05,7.4e-07,79085.98540097736,0.02687901711067222,,1.22943959,-89.7972725
57.0,0.20698836,3.17e-05,1.1e-06,79006.1812590367,0.026852847945453836,,1.19572892,-89.76545496
58.0,0.20690516,3.4e-05,1.27e-06,79619.72900401417,0.02706024377446098,,1.24325201,-89.90825057
59.0,0.20682389,3.211e-05,8.7e-07,79579.94212394448,0.027045608473691158,,1.28043917,-89.82353156
60.0,0.206967,3.654e-05,1.32e-06,79458.63048471666,0.027006344621775192,,1.21195105,-89.92396767
61.0,0.20688715,3.569e-05,1.1e-06,79759.62641521108,0.027107550998947436,,1.25365635,-89.88045814
62.0,0.20681423,3.412e-05,1.18e-06,80084.76562734875,0.027217041117092184,,1.29281147,-89.82928172
63.0,0.20699578,3.392e-05,1.21e-06,80566.50190505806,0.02738328136726445,,1.21563892,-89.85439075
64.0,0.2068304,3.553e-05,7.7e-07,80104.32913663528,0.027223925560683013,,1.28554265,-89.79382241
65.0,0.20701531,3.642e-05,1.08e-06,79810.27350541834,0.02712652946252223,,1.19495503,-89.98568605
66.0,0.20684321,3.042e-05,8.5e-07,79829.97040124283,0.027130843424461055,,1.27568957,-89.75050455
67.0,0.20690272,3.593e-05,8.7e-07,79472.08054516139,0.027010042660086036,,1.24197562,-89.83311516
68.0,0.20701714,3.251e-05,8.3e-07,79400.94709416034,0.02698742335337382,,1.18841002,-89.82103983
69.0,0.20682257,3.613e-05,7.6e-07,79047.43017268537,0.02686462734675462,,1.27213368,-89.87087454
70.0,0.20697097,2.949e-05,7.6e-07,79355.04979968836,0.026971185089984837,,1.20931714,-89.90575884
71.0,0.20681484,2.909e-05,8.1e-07,79030.93136055235,0.026858893887428275,,1.27607604,-89.89291681
72.0,0.20698622,3.243e-05,1.11e-06,79498.39870250368,0.027020116786741988,,1.20411168,-89.92895114
73.0,0.20679185,3.126e-05,1.1e-06,79087.79353700078,0.026877905264960866,,1.28729083,-89.79573913
74.0,0.20690282,3.416e-05,9.9e-07,79423.2530033653,0.026993441705230534,,1.24131259,-89.82794002
75.0,0.20697076,3.138e-05,8e-07,79107.94600123986,0.02688720116137889,,1.20545714,-89.87719971
76.0,0.20681331,3.565e-05,7.7e-07,79238.47300310487,0.02692942594418677,,1.27951043,-89.82295655
77.0,0.20682714,3.263e-05,7.7e-07,79945.90209315311,0.02717002995776478,,1.28480265,-89.79343907
78.0,0.20688909,3.287e-05,8.9e-07,78987.36267372912,0.026845107751696295,,1.24094093,-89.91840919
79.0,0.20686691,3.485e-05,1.12e-06,79099.1377047633,0.026882794749046715,,1.2526564,-89.7091034
80.0,0.20711275,3.247e-05,1.08e-06,79014.50461131663,0.02685737171017559,,1.1386703,-89.79056399
81.0,0.20668851,3.287e-05,9.1e-07,79092.37393051322,0.026878058676649646,,1.3346802,-89.85381573
82.0,0.20687902,3.77e-05,1.14e-06,79556.2763353391,0.027038332677526044,,1.25402298,-89.84979062
83.0,0.20706373,2.877e-05,9.2e-07,79690.95791089706,0.02708662143062646,,1.17151326,-89.8718329
84.0,0.20689265,3.054e-05,1.25e-06,79289.77610641079,0.026947922725452055,,1.24421868,-89.8971336
85.0,0.20673092,2.965e-05,7e-07,80700.1280382681,0.02742500990798899,,1.34230408,-89.81183957
86.0,0.20691085,3.267e-05,9.7e-07,79914.51829929395,0.027160513971642607,,1.24541133,-89.80915617
87.0,0.2070858,3.239e-05,1.02e-06,79566.05345437636,0.027044477488677984,,1.15911023,-89.91438408
88.0,0.20665769,3.4e-05,1.1e-06,79904.32674993806,0.027153559469632504,,1.36253307,-89.89406685
89.0,0.20683284,3.13e-05,9.3e-07,79778.11255134782,0.027113077305561003,,1.27956748,-89.82909005
90.0,0.20710146,3.456e-05,8.9e-07,79465.77537519534,0.02701061588690746,,1.15023114,-89.86339933
91.0,0.20668281,3.195e-05,7.9e-07,79381.562058576,0.026976255418217136,,1.34230436,-89.84461548
92.0,0.20711102,3.179e-05,1.04e-06,79295.22153157374,0.026952763867838958,,1.14359265,-89.88639997
93.0,0.20662168,3.211e-05,9.8e-07,79143.153887991,0.026894397584381932,,1.36629056,-89.77024676
94.0,0.20720704,3.102e-05,1.12e-06,78758.00813584549,0.02677145981819292,,1.0919233,-89.92875947
95.0,0.20655109,3.05e-05,8.2e-07,78975.83244471774,0.02683657286355237,,1.39591158,-89.79650582
96.0,0.20685166,3.38e-05,8.8e-07,79206.43790648859,0.026919055426628896,,1.26151749,-89.82659832
97.0,0.20726726,3.227e-05,8.9e-07,79286.81883535572,0.02695204204961442,,1.0713985,-89.86780779
98.0,0.20648925,3.013e-05,1.29e-06,79358.40770017562,0.026965715070817235,,1.4310791,-89.95348516
99.0,0.20687607,3.319e-05,9.4e-07,79357.1823739339,0.02697061857117629,,1.2527139,-89.80244765
100.0,0.20746855,3.219e-05,1.09e-06,79956.48831204121,0.027182441705476422,,0.98672605,-89.85726583
101.0,0.20693669,3.34e-05,8.5e-07,80179.54623417345,0.027250950548848848,,1.23745713,-89.90748388
102.0,0.2068244,3.074e-05,7.9e-07,79861.84730571687,0.027141419958655686,,1.28490273,-89.90499215
103.0,0.20606918,3.138e-05,7.2e-07,80170.49448571287,0.027235832122583504,,1.64072645,-89.81739806
104.0,0.20581622,2.953e-05,1.1e-06,79545.32288180871,0.0270199313412158,,1.74437784,-89.82774835
105.0,0.20612756,3.114e-05,1.01e-06,79475.4113877762,0.027000495669324,,1.59962461,-89.8198898
106.0,0.20676256,3.082e-05,9.9e-07,80238.7721447426,0.027268659375090435,,1.31972763,-89.79209736
107.0,0.20653624,2.913e-05,6.2e-07,79403.18245662223,0.02698158561244103,,1.41045853,-89.80647276
108.0,0.20670956,3.158e-05,1.05e-06,79229.9363690924,0.02692508841178148,,1.32741898,-89.8683828
109.0,0.20746875,3.074e-05,9.9e-07,79060.51295518318,0.026877841658300716,,0.97572633,-89.83254015
110.0,0.20677191,3.36e-05,1.11e-06,79135.9221443074,0.0268939957358098,,1.29700442,-89.83637359
111.0,0.20662545,2.828e-05,7.6e-07,79185.35165019649,0.02690878233686151,,1.36568008,-89.86129094
112.0,0.20708722,3.021e-05,8.1e-07,78916.21091473725,0.026823613486717857,,1.14922604,-89.86014091
113.0,0.20663297,3.195e-05,1.14e-06,79255.22852457761,0.02693263382899804,,1.36301137,-89.84423214
114.0,0.20686478,3.046e-05,8.8e-07,79546.8245027726,0.0270349095712775,,1.26119051,-89.88927505
115.0,0.20716829,3.199e-05,8.8e-07,79282.1716139131,0.02694911294765211,,1.11700296,-89.84749056
116.0,0.20663135,3.001e-05,9.9e-07,79041.75698464522,0.026860066943899603,,1.36028776,-89.84327378
117.0,0.20704776,2.913e-05,9.6e-07,79401.29720958092,0.026987948891356788,,1.17457733,-89.75069622
118.0,0.20670743,3.271e-05,8.4e-07,79314.95476060003,0.026953958787408205,,1.32974893,-89.77848865
119.0,0.20681738,2.897e-05,8.2e-07,79447.9201707454,0.02700064304378263,,1.28163419,-89.89157511
120.0,0.2070741,3.195e-05,9.3e-07,79226.88946215964,0.026929036730700302,,1.15960267,-89.89042508
121.0,0.20683111,3.195e-05,9e-07,79970.34711420702,0.027178387974188346,,1.28338687,-89.80302266
122.0,0.20684881,3.074e-05,1.08e-06,79734.30567849202,0.0270984043884036,,1.27148921,-89.92511771
123.0,0.20690353,3.352e-05,1.04e-06,79668.56659110439,0.027076822945675493,,1.24486241,-89.83771529
124.0,0.20685278,3.324e-05,8.6e-07,79577.32307044521,0.027045118431178315,,1.26695227,-89.89138344
125.0,0.20687434,3.223e-05,8e-07,79714.52010969144,0.027092040929951097,,1.25926106,-89.88199151
126.0,0.20681463,3.477e-05,7.9e-07,79801.12139645441,0.027120658914274537,,1.28805384,-89.81183957
127.0,0.20682897,3.158e-05,1.1e-06,80179.59324607388,0.027249466829105985,,1.28773783,-89.7897973
128.0,0.20685013,3.456e-05,9.6e-07,80223.92154101563,0.027264836244432152,,1.27833109,-89.93642635
129.0,0.20686885,3.07e-05,1.13e-06,79361.04772065255,0.02697182262870169,,1.25628514,-89.89004174
130.0,0.20687037,2.973e-05,9.4e-07,79621.95110173723,0.027060515721388657,,1.25983282,-89.95425184
131.0,0.20687576,2.937e-05,8.6e-07,78853.09232736338,0.02679928331581245,,1.24524762,-89.8622493
132.0,0.20688207,3.142e-05,8.6e-07,78832.13196448196,0.02679225120938427,,1.24183328,-89.83119844
133.0,0.20687932,3.328e-05,9.9e-07,79068.29112693813,0.026872478536320757,,1.24661601,-89.77216348
134.0,0.20688685,3.146e-05,9.1e-07,79431.64530606967,0.02699606917472976,,1.24906038,-89.90480048
135.0,0.20688888,3.094e-05,9.6e-07,79276.66545966695,0.02694342217878652,,1.24572706,-89.91955922
136.0,0.20692021,3.114e-05,8.1e-07,79741.49817342452,0.02710183719671216,,1.23852915,-89.93489297
137.0,0.20698816,3.315e-05,1.12e-06,79351.40032339294,0.026970182966946275,,1.20090212,-89.94639329
138.0,0.20687027,3.34e-05,6.2e-07,79543.15080423155,0.027033749841212082,,1.25834013,-89.85956589
139.0,0.20680599,3.231e-05,9.9e-07,80415.19064500718,0.027329221281144088,,1.3021933,-89.84825725
140.0,0.20698592,3.15e-05,7.9e-07,79659.180150897,0.02707476318104909,,1.20681321,-89.93125121
141.0,0.2068722,3.07e-05,1.16e-06,79268.24738957497,0.026940328509972453,,1.25325956,-89.94869336
