Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),original HRR (kW/m2),Mass (g)
0.0,0.20680629,3.215e-05,1.01e-06,79154.1977964158,0.026911047067307764,,1.2823557,-89.70641999
1.0,0.20682002,3.477e-05,1.16e-06,78547.89338054313,0.026705104658488223,,1.26599683,-89.77158846
2.0,0.20684433,3.384e-05,9.8e-07,79940.90176668014,0.027179042842159266,,1.27728196,-89.72577886
3.0,0.20685522,2.981e-05,1.08e-06,78677.01864022577,0.02674947076588315,,1.25247917,-89.87451631
4.0,0.20682582,3.13e-05,1.23e-06,78248.83898880787,0.02660349791185646,,1.25886045,-90.02076202
5.0,0.20682033,3.448e-05,7.6e-07,78324.57011927538,0.02662918929235418,,1.26236057,-89.83637359
6.0,0.20683131,3.005e-05,9.5e-07,78642.76167229214,0.026737502528179805,,1.2628577,-89.88946672
7.0,0.20681809,3.376e-05,1.12e-06,78293.87624795707,0.02661871452957622,,1.26289265,-89.89521688
8.0,0.20682369,3.102e-05,1.03e-06,79792.17238757676,0.027128183281408993,,1.28474584,-89.77484688
9.0,0.20683386,2.84e-05,9.3e-07,79513.69527492914,0.02703363917357656,,1.27583106,-89.95080175
10.0,0.20680639,3.456e-05,1.05e-06,78250.54304326524,0.02660382750901245,,1.26744812,-89.87451631
11.0,0.20680426,3.75e-05,1.17e-06,78225.68893357305,0.02659535465462797,,1.26772136,-89.85669081
12.0,0.20681636,3.525e-05,7.8e-07,78663.14439381876,0.026744247390956752,,1.26955941,-89.88007479
13.0,0.20682267,3.066e-05,9.6e-07,78173.24363422563,0.026577757546981644,,1.25918245,-89.82659832
14.0,0.20685613,3.255e-05,1.08e-06,78441.21228478392,0.026669318732585247,,1.24805092,-89.84365712
15.0,0.20682592,2.973e-05,7.4e-07,78603.4566836079,0.026724069464218472,,1.26475323,-89.77350518
16.0,0.20682857,3.231e-05,8.5e-07,79059.96844864174,0.026879318304037406,,1.27062178,-89.92626774
17.0,0.20682165,3.062e-05,1.33e-06,78789.58240058091,0.026787282449456218,,1.26952283,-89.84979062
18.0,0.2068364,3.078e-05,6.8e-07,78177.62202161549,0.026579437133126486,,1.2530607,-89.91189234
19.0,0.20682948,3.319e-05,1.16e-06,78043.34763948526,0.026533689673809525,,1.25373785,-89.88697498
20.0,0.20682389,3.489e-05,8.3e-07,77941.2978564095,0.02649893008139333,,1.25453232,-89.85726583
21.0,0.20682155,3.191e-05,1.11e-06,78796.21709130667,0.02678954473534793,,1.26959931,-89.81068954
22.0,0.20680131,3.154e-05,1.08e-06,78975.45463420541,0.026850206532169924,,1.28181367,-89.8164397
23.0,0.20681768,3.315e-05,1.01e-06,79062.53369238372,0.026880041099492557,,1.27556682,-89.85649914
24.0,0.20680446,3.271e-05,1.2e-06,78668.79708917228,0.02674599229002697,,1.27525697,-89.81011453
25.0,0.20681636,3.199e-05,1.09e-06,78225.34479283779,0.0265953871782894,,1.26274884,-89.85688249
26.0,0.20682643,3.557e-05,9.9e-07,78490.61995056983,0.026685724936719928,,1.26211993,-89.76334657
