,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0,0.0,213.405695,0.2095157911,0.0005060773,-2.798e-06,-0.6132516859017103,0.0269114735301811
1,1.0,213.475834,0.2095257483,0.0005068555,-5.577000000000001e-07,-1.1555514563828508,0.0270926290243836
2,2.0,213.192621,0.2095066281,0.0004898141999999,-9.765e-07,-0.0272618213263633,0.0268899180716645
3,3.0,213.250179,0.2094551663,0.0004795176,-2.2359e-06,2.643295793990711,0.0271033167592091
4,4.0,213.291978,0.2094202028,0.0004881124,-2.7981000000000004e-06,4.336971227670365,0.0273928606222172
5,5.0,213.378955,0.209447972,0.0005049726999999,-1.684e-06,2.734820955049956,0.0271933160125757
6,6.0,213.405797,0.2094823337,0.0005241318,5.961e-07,0.7781896197483903,0.026674323148027
7,7.0,213.31585,0.2094953919,0.0005167973,2.0975e-06,0.1942126703840545,0.0268861697272059
8,8.0,213.379261,0.2094804892,0.0004954436,6.056000000000001e-07,1.170432394673589,0.0269114729424287
9,9.0,213.406387,0.2094539003,0.0004800596,-1.2532e-06,2.661267594195732,0.0268792230355438
10,10.0,213.404893,0.209441981,0.0004796796999999,-2.2694e-06,3.2711872922307395,0.0269191371122978
11,11.0,213.405406,0.2094746834,0.0005002085,-1.9731e-06,1.440292437995482,0.0267316245878532
12,12.0,213.406209,0.2095059987,0.0005111873,-9.483e-07,-0.214995142025617,0.0267006030881014
13,13.0,213.406605,0.2095140039,0.0004955033,-1.1451e-06,-0.4412179755642526,0.0266929876022714
14,14.0,213.405671,0.2094944482,0.0004764197,-4.0942000000000005e-06,0.7566949748889449,0.026763207281878
15,15.0,213.404354,0.2094494204,0.000469562,-6.5439e-06,3.060777985047922,0.0267280666531768
16,16.0,213.40456,0.2094448360999999,0.0004690257,-8.0912e-06,3.3803296486506165,0.0272496547864767
17,17.0,213.477864,0.2094812476999999,0.0004910309,-7.9863e-06,1.3162585056939229,0.0267492619648822
18,18.0,213.426519,0.2095084964,0.0004979584,-5.7785e-06,-0.1215298347161319,0.0269640120474248
19,19.0,213.478041,0.2095123641,0.0004828346,-5.211000000000001e-06,-0.1663740184424407,0.0271123871677111
20,20.0,213.499207,0.2094871122,0.0004739751,-6.5714e-06,1.1793484785703183,0.0267173706836119
21,21.0,213.429377,0.209442287,0.0004701492,-7.8947e-06,3.412104016682565,0.0266271845051319
22,22.0,213.478415,0.209450398,0.0004778807,-7.5796e-06,2.9538162249715003,0.0268020414340346
23,23.0,213.427491,0.2094853866,0.0005058991,-5.5334e-06,0.9225338126315789,0.0267897333427704
24,24.0,213.40668,0.2095104333,0.0005156523999999,-2.1068e-06,-0.4559453032430813,0.0266415960835681
25,25.0,213.405921,0.2094993322999999,0.0004969761,-1.5368e-06,0.2678789018022559,0.0270485479131021
26,26.0,213.405948,0.2094611257,0.0004818548,-2.287e-06,2.30617558237286,0.0268774691891819
27,27.0,213.322788,0.2094469769999999,0.0004730409,-3.275e-06,3.0271556836754425,0.0261906059036367
28,28.0,213.292389,0.209445458,0.0004824276,-2.6718e-06,3.0009195899075025,0.0262351613824055
29,29.0,212.834739,0.2094734366,0.000504691,-1.3227e-06,1.4092962844682315,0.0260834201895488
30,30.0,212.702291,0.2094930902,0.0005017758,9.272e-07,0.4505166135322132,0.0251721826292893
31,31.0,212.632027,0.2094864538999999,0.000479079,1.264e-07,0.9447585541100432,0.0241178095625776
32,32.0,212.999992,0.2094657395,0.0004643926,-1.6088e-06,1.991946409213456,0.0238167143014124
33,33.0,212.952197,0.20943773,0.0004636586,-2.6235e-06,3.2334057273514336,0.0238436458301687
34,34.0,212.749753,0.2094493835,0.0004967198999999,-2.3931e-06,2.340481020626186,0.0230372148058164
35,35.0,212.630852,0.209465292,0.0005579987,3.51e-08,1.0939620397128964,0.0229556383218242
36,36.0,212.456938,0.2094085072,0.0006735932,4.558e-06,2.4009169145515927,0.0230487626850656
37,37.0,212.327347,0.2092496935999999,0.0008492103,6.6084e-06,7.696639727725413,0.0236596761822494
38,38.0,211.756529,0.2088848494,0.0011627794,8.4002e-06,19.83510244226574,0.0228170056245537
39,39.0,211.526157,0.208227166,0.0016720615999999,1.0663e-05,42.08480647419561,0.0224919827569876
40,40.0,211.42051,0.2073477714,0.0023441295,1.5837500000000002e-05,72.34446768693954,0.0225305516336728
41,41.0,211.326419,0.2063974654,0.003169524,2.3833e-05,103.2924354415177,0.0223673132549826
42,42.0,211.079884,0.205576456,0.003824378,3.3375000000000005e-05,124.72858926526872,0.0213128672750719
43,43.0,210.783561,0.2046430433,0.0048091832,4.20806e-05,152.36236578172074,0.0212623329497666
44,44.0,210.631286,0.2036051928999999,0.0058727058,5.3542700000000005e-05,189.1159867474738,0.0218993153278429
45,45.0,210.533118,0.2024088440999999,0.0069429171999999,6.7612e-05,228.016668148885,0.0219566965136953
46,46.0,210.355633,0.2010468063,0.0079495317,8.377829999999999e-05,279.9471712655199,0.0224861235091212
47,47.0,210.001307,0.1996415502,0.008844355,0.0001004288,319.9254050773972,0.0218723726651297
48,48.0,209.451237,0.1983981877,0.0096357284,0.0001137122,337.94537605015137,0.0204206236426086
49,49.0,209.232727,0.1973601096999999,0.0103657707,0.0001237736,363.9370637327667,0.020077473427403
50,50.0,209.135948,0.1964720318,0.0110268989,0.0001323879,410.3357611090319,0.0210850962967711
51,51.0,208.959398,0.1957434773,0.0116152776,0.0001406375,434.27909478436135,0.0211458841764811
52,52.0,208.841708,0.1951536452999999,0.0121032852999999,0.0001482074,464.05396678961824,0.0216814811807658
53,53.0,208.420184,0.1946521093,0.0125032844,0.0001567412,471.8123451079613,0.0213075745983485
54,54.0,208.231551,0.1942320521,0.0127990158999999,0.0001612092,489.46351433219576,0.0214891608225423
55,55.0,208.140502,0.1938762675999999,0.0130917274,0.0001630879,480.1631983103077,0.0206073054818452
56,56.0,207.650691,0.19351367,0.0133986835,0.0001654863,498.7865264060536,0.0209305843797089
57,57.0,207.439133,0.1931932942999999,0.0136879604,0.0001690805,501.3900687933724,0.0206406518728406
58,58.0,207.332625,0.1929514622,0.0139540797,0.0001745261999999,514.8099908191782,0.0209092637524577
59,59.0,206.922151,0.1926906725,0.0141683397,0.0001808545,525.3164868943966,0.021011515498948
60,60.0,206.582668,0.1924309139,0.0143509893,0.000183773,540.7108329572677,0.0212941561094536
61,61.0,206.35894,0.1921939358,0.0145236241,0.0001848137999999,540.0157386960743,0.02097312504634
62,62.0,206.243127,0.1919229234,0.0147099634,0.0001862724,524.8866694862352,0.0200659873520452
63,63.0,206.064417,0.1917400161999999,0.0149020723999999,0.0001883796,527.2740143233937,0.0199638839384395
64,64.0,205.706326,0.1916326317,0.015079777,0.0001929303,559.0828354904751,0.021068775595811
65,65.0,205.544547,0.1914880611,0.0152446568,0.000198071,559.9692776608049,0.0209492070101584
66,66.0,205.365354,0.1912809258,0.0153914586,0.0002013128,576.5175088937592,0.0213207131581138
67,67.0,205.246345,0.1910481154,0.0155287079,0.0002016782,574.8943202094958,0.0209813000435484
68,68.0,204.821309,0.1908626491,0.0156982635,0.0002025438,581.9667733966774,0.021035220552417
69,69.0,204.249363,0.1907044513,0.0158688961,0.0002044448,568.7126308450545,0.0203959156042138
70,70.0,203.958747,0.19057004,0.0160193886999999,0.0002085679,575.7403597990742,0.0205145500961218
71,71.0,203.754076,0.1904343368,0.0161457991,0.0002123579,571.9635349172504,0.0202415735127365
72,72.0,203.409489,0.1902679523,0.0162308312999999,0.0002135996,576.7116032671328,0.0202229319732331
73,73.0,203.320966,0.1900701421,0.0163206153,0.0002148316999999,598.1182566698566,0.0207452152232194
74,74.0,203.166474,0.1899220619999999,0.0164146693999999,0.0002179322,587.4754997038876,0.020218577015204
75,75.0,202.966754,0.1898788250999999,0.0165276002,0.0002220979,567.2030428106823,0.0194974530826714
76,76.0,202.603823,0.1898425269999999,0.016614423,0.0002270063,583.5278395920748,0.0200371374696743
77,77.0,202.21,0.1897687399,0.0166693654,0.0002307352,583.0880525581919,0.01994811466707
78,78.0,201.965872,0.1896499918,0.0167363982,0.0002304432,584.8878506299611,0.0198841859306326
79,79.0,201.767511,0.1894615325999999,0.0168328764,0.0002298758,587.0671487358612,0.0197593809309681
80,80.0,201.488629,0.1892968582,0.0169483273,0.0002301212,587.6559079354016,0.0196156361379569
81,81.0,201.265167,0.1892280154999999,0.0170705427,0.0002314703,594.5536595711793,0.0197943132912491
82,82.0,200.97849,0.1891696668,0.0171535187,0.0002331903999999,608.577421065445,0.0202122651800376
