,Time (s),Mass (g),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s)
0,0.0,34.03144,0.2094425378,0.0005491275999999,5.5102e-06,1.5769517854844957,0.0260535312970605
1,1.0,39.3776,0.2094277702,0.0005302477,3.3849e-06,2.633080512907388,0.0261602376149831
2,2.0,43.090255,0.2093906732,0.0005226393,1.2934e-06,4.831282822736459,0.02655769260308
3,3.0,43.967577,0.2094121752,0.0005226034,3.843e-07,3.649802466267104,0.026400442264539
4,4.0,44.698642,0.2094631269,0.0005355532,1.2597e-06,0.6979165467030708,0.0258842290560267
5,5.0,45.414301,0.2094857846,0.0005279043,3.1658000000000003e-06,-0.4723286658453177,0.0265091637468042
6,6.0,45.77529,0.2094782915,0.0005083317999999,2.4492e-06,0.1719225320134036,0.0260211146551465
7,7.0,46.15723,0.2094553901999999,0.0004867665999999,1.351e-07,1.66696699567899,0.0257238974575274
8,8.0,46.315088,0.2094283697999999,0.0004825059,-2.039e-07,3.158914298858249,0.0257662963937425
9,9.0,46.168958,0.2094710767,0.0004982973,3.233e-07,0.6935526766916421,0.0253698404700308
10,10.0,45.968777,0.2095105991999999,0.0005152682,2.8982e-06,-1.5908010074423158,0.0251134855820427
11,11.0,45.932992,0.2095393671,0.0005095822,4.7722e-06,-3.046118682489205,0.0250583498087292
12,12.0,45.851508,0.2095319386,0.0004862268,3.1151e-06,-2.356205223983741,0.0248133407628667
13,13.0,45.590713,0.2094905618,0.0004754941,1.7247e-06,-0.1011165140544531,0.0253544243919392
14,14.0,45.578619,0.2094696312,0.0004773241,7.834e-07,1.0004596093050302,0.025616846567001
15,15.0,45.543754,0.2094921026,0.0004977289,1.2423e-06,-0.4190573763580821,0.025500976982495
16,16.0,45.454319,0.209517215,0.0005236676,2.4289e-06,-2.0577186976696207,0.0256293359416412
17,17.0,45.428349,0.2095251741,0.0005541271,4.8817e-06,-2.85382568054716,0.025566104555454
18,18.0,45.434249,0.2095073463,0.0006425881,7.1748e-06,-2.978527883877918,0.025958860086616
19,19.0,45.351707,0.2094485089,0.0007933167,1.7595e-05,-1.6788929599217883,0.025449154873551
20,20.0,45.332698,0.2093943717,0.0009191956,3.77856e-05,-0.6007883952046834,0.0260003767195445
21,21.0,45.332751,0.2092863676,0.0009874321,6.28016e-05,3.8949096131961056,0.0255603220014691
22,22.0,45.252418,0.2091886036,0.0009894773,9.02939e-05,8.48428390899044,0.0254364040624102
23,23.0,45.153321,0.2090992287,0.0009293621,0.0001146198,13.511160741813372,0.0256646908911887
24,24.0,45.217287,0.209037259,0.0008487445,0.0001248171,17.703770081404762,0.0259705365027784
25,25.0,45.155365,0.2089860927,0.0007775398,0.0001241749,21.04590063186101,0.0257204553808854
26,26.0,45.13597,0.2090195071999999,0.0007254879999999,0.0001168760999999,19.82674376114989,0.0255155720625885
27,27.0,45.136049,0.2091032226,0.0007000776999999,0.0001082862,15.870078523279552,0.0255296116882
28,28.0,45.136342,0.2091722285,0.0006769226,0.0001007599,12.648010267044304,0.0255631566255318
29,29.0,45.051687,0.2092146266,0.0006376274,9.12965e-05,10.94524600507975,0.0253900676797145
30,30.0,45.032746,0.2092157076,0.0005966392999999,8.02276e-05,11.511077959549402,0.0253312405461631
31,31.0,44.953396,0.2091926107999999,0.0005767224,7.24335e-05,13.313223447907236,0.0257928656998161
32,32.0,44.936096,0.2092281237,0.00057399,6.791349999999999e-05,11.488515238771749,0.025680011636242
33,33.0,44.936655,0.2092850688,0.0005832032,6.71899e-05,8.452436558053565,0.0258847920052215
34,34.0,44.854902,0.2093154578,0.0005867756,7.05802e-05,6.65965114009551,0.0256201864132677
35,35.0,44.753012,0.20932174,0.0005659485,7.13008e-05,6.495881777437273,0.0254274929924161
36,36.0,44.803023,0.2092898508,0.0005574468,7.2455e-05,8.332647751040534,0.0257137900811122
37,37.0,44.834182,0.2092531031,0.0005561978,7.41632e-05,10.242140813910355,0.0256618205172021
38,38.0,44.752914,0.2092783834,0.0005676579,7.66914e-05,8.649327070914987,0.0254192418034607
39,39.0,44.742655,0.2093302046,0.0005938881,8.10682e-05,5.5951130350502565,0.0255493213662447
40,40.0,44.73584,0.2093391445,0.0005988216999999,8.595500000000001e-05,4.973814988039365,0.0255135440940108
41,41.0,44.653757,0.2093221629,0.000575251,8.714120000000001e-05,6.025667303032269,0.0251807823366001
42,42.0,44.636965,0.2092822433,0.0005616915,8.6707e-05,8.326556085695366,0.0254048253911314
43,43.0,44.551844,0.2092534679,0.0005642217,8.801160000000001e-05,9.712240276385174,0.0252235593775473
44,44.0,44.45246,0.2092858097,0.0005959601,9.08075e-05,7.6377524092911395,0.0252330582693025
45,45.0,44.43558,0.2093189342,0.0006748461,9.55668e-05,4.998317971007617,0.0253806907448464
46,46.0,44.435818,0.2093315245,0.0007685433999999,9.88275e-05,3.215950575826141,0.0250929248992213
47,47.0,44.356701,0.2092821269999999,0.0008919755999999,9.75275e-05,4.448415175838425,0.0250426147491209
48,48.0,44.25437,0.2091924419,0.0010385025,9.4847e-05,7.496569521250868,0.0248877967144428
49,49.0,44.235185,0.2090909342999999,0.0012182097,9.04818e-05,10.802288489546775,0.0247726475320301
50,50.0,44.153992,0.2089869758,0.001419677,8.62783e-05,14.1720913229588,0.0250186895117615
51,51.0,44.136793,0.2088883878,0.0015822004,8.26707e-05,17.34630413425453,0.0247031900627033
52,52.0,44.055493,0.2087327124,0.0016919569,7.86122e-05,24.78006014913171,0.0253197728088543
53,53.0,43.955922,0.2085270471,0.0017741153,7.25374e-05,34.64585539537033,0.0252632288025659
54,54.0,44.019377,0.2082957844,0.0018405762,6.693110000000001e-05,45.42439098352481,0.0249176250299069
55,55.0,43.877087,0.2081545951,0.0019048429,6.43676e-05,52.29840202327797,0.0250501182159465
56,56.0,43.757189,0.2080912233999999,0.0019657912,6.3797e-05,54.90595851206943,0.0250440278581297
57,57.0,43.81927,0.2080166904,0.0019984427,6.485430000000001e-05,57.658088918489725,0.0247360816074159
58,58.0,43.755462,0.2079463009,0.0020033946999999,6.38218e-05,61.24605798920903,0.0247530079447308
59,59.0,43.654604,0.2078700926999999,0.0019996536,6.08327e-05,66.25033441042059,0.025145529852671
60,60.0,43.636818,0.2077944555999999,0.0019981554,5.70956e-05,69.41373616611304,0.0248490843101242
61,61.0,43.588558,0.2077838561,0.0020143634999999,5.49572e-05,70.1402424227662,0.0249629694666226
62,62.0,43.464126,0.2078039674,0.0020472549,5.46042e-05,69.94896426019255,0.0253933430131242
63,63.0,43.440032,0.2078246603,0.0020542765,5.60219e-05,68.00360366261954,0.025111368005116
64,64.0,43.354835,0.2078226809,0.0020306503,5.55435e-05,67.97471277413865,0.0249668333884523
65,65.0,43.337691,0.2077906132,0.0020171521,5.34511e-05,70.69012339111048,0.0252847639012957
66,66.0,43.258577,0.2077480321,0.0020147,5.30199e-05,72.47311792902144,0.0251240899561704
67,67.0,43.241166,0.2077691991,0.0020275942,5.33689e-05,70.62564948774818,0.0249089470857301
68,68.0,43.155113,0.2078231317,0.0020446131,5.520899999999999e-05,67.60648688282674,0.0248925342963341
69,69.0,43.136158,0.2078461305,0.002041384,5.77275e-05,67.54933706533265,0.0253158534199029
70,70.0,43.055588,0.2078557453,0.0020255648,5.73797e-05,66.21276515134015,0.024934023418945
71,71.0,43.038542,0.2078203098,0.002017179,5.61224e-05,68.91629294011082,0.0252179260726546
72,72.0,42.958425,0.2077860102,0.0020175466,5.4713e-05,69.72522914279622,0.0248649595667108
73,73.0,42.856956,0.2078157131,0.0020387094,5.55606e-05,67.81081734837798,0.0248076937788819
74,74.0,42.837411,0.207851876,0.0020521304,5.78266e-05,65.51618896366669,0.0247064831596589
75,75.0,42.836968,0.2078675236,0.0020289617,5.93862e-05,65.1354378158212,0.0247810954744092
76,76.0,42.757047,0.207855252,0.0020142974,5.7838e-05,65.83703511987305,0.0247411657229771
77,77.0,42.66032,0.2078123228999999,0.0020071144,5.397640000000001e-05,67.04826687240862,0.0243363175611438
78,78.0,42.641619,0.2077984706,0.0020135242,5.1526e-05,69.33285159518961,0.0249172102401325
79,79.0,42.642291,0.2078403026999999,0.0020291208,5.04641e-05,67.06861298868193,0.0249266878566464
80,80.0,42.557453,0.207874167,0.0020367281,5.00955e-05,65.11081540988971,0.0248701392550777
81,81.0,42.457204,0.2078857338,0.0020205263,4.99409e-05,64.3255428352677,0.024728207057993
82,82.0,42.439321,0.2078690219,0.0019950419,4.74758e-05,66.71099524771533,0.0251900026284966
83,83.0,42.422252,0.2078378172,0.0019791908,4.46131e-05,67.46032207786348,0.0247901179910424
84,84.0,42.357685,0.207831236,0.0019767146,4.37017e-05,68.29047096436234,0.0249555115510298
85,85.0,42.343018,0.2078691866,0.0019996189,4.52799e-05,65.36883814693607,0.0246901312576244
86,86.0,42.234573,0.2079130914,0.0020038275,4.79618e-05,64.00873753990712,0.0250659145496119
87,87.0,42.234545,0.2079239028,0.0019776618,4.81511e-05,64.94317762822755,0.0255434007171868
88,88.0,42.158026,0.2079150042999999,0.0019568462,4.56957e-05,64.82862261387278,0.0252112998403997
89,89.0,42.14036,0.2078743287,0.0019517984,4.39607e-05,66.06475856444253,0.0248512469937468
90,90.0,42.14041,0.2078893456,0.0019539852999999,4.30757e-05,65.43482973174042,0.0249063584606869
91,91.0,41.976133,0.2079337203,0.0019732276,4.45958e-05,62.14379027626944,0.0245948486833657
92,92.0,41.858429,0.2079748362,0.0019689005,4.6301900000000005e-05,60.16563460075518,0.0246296720094937
93,93.0,41.924089,0.2079801979,0.0019380752,4.67629e-05,60.4939486595058,0.0247452556403217
94,94.0,41.860377,0.2079675836999999,0.0019088195,4.43029e-05,61.70724106901152,0.024833084336994
95,95.0,41.761323,0.2079270271,0.0018967845999999,4.17365e-05,64.76835299767279,0.0251505734103427
96,96.0,41.743554,0.2079579560999999,0.0018967854,4.07481e-05,62.52506456522614,0.0248871221524848
97,97.0,41.743671,0.2080049306,0.0019176682,4.16094e-05,60.37568501911581,0.0250915880952229
98,98.0,41.660296,0.2080387607999999,0.0019114454,4.371210000000001e-05,58.26498820129593,0.0249227386802278
99,99.0,41.641469,0.2080523933,0.0018927611,4.32601e-05,58.003022878314205,0.0250215774669381
100,100.0,41.559534,0.2080232513,0.0018780225,4.10592e-05,59.65795647777961,0.0250041505855191
101,101.0,41.542799,0.2079826894,0.0018719667,3.98694e-05,61.80889186624563,0.0249959669639801
102,102.0,41.456295,0.2080065160999999,0.0018828592,3.99127e-05,60.89214713498557,0.0251717060949137
103,103.0,41.438519,0.20804388,0.0018977466,4.11868e-05,58.20954199307933,0.0249295721354442
104,104.0,41.359946,0.2080505696,0.0018799087,4.35972e-05,58.1562966137688,0.0249904477729083
105,105.0,41.33646,0.2080457583999999,0.0018485069,4.22546e-05,57.97941617514803,0.0246569197287928
106,106.0,41.259063,0.2080172881,0.0018314817999999,4.0162e-05,58.407095150416765,0.0241475137831101
107,107.0,41.242179,0.2079992545,0.0018256689,3.90244e-05,60.55874510013076,0.0246260533877985
108,108.0,41.205459,0.2080498070999999,0.0018458018,3.95562e-05,58.56326676123134,0.0249609762612889
109,109.0,41.148574,0.2080886635,0.0018554874,4.16534e-05,56.328089466541,0.0249167730553213
110,110.0,41.057214,0.2081017406,0.0018472583,4.3060700000000006e-05,55.51666646363757,0.024825391157658
111,111.0,41.040483,0.2081011691,0.0018234605,4.15901e-05,56.085409880051145,0.0249411687691667
