,File Name,Less Than 5 Pages,Greater Than 66 Pages,Page Count
,0831_001.pdf,No,No,6
,0832_001.pdf,No,No,29
,0833_001.pdf,No,No,16
,0834_001.pdf,No,No,30
,0835_001.pdf,No,No,11
,0836_001.pdf,No,No,16
,0837_001.pdf,No,No,10
,0838_001.pdf,No,No,14
,0839_001.pdf,No,No,19
,0840_001.pdf,No,No,14
,0841_001.pdf,No,No,11
,0842_001.pdf,No,No,18
,0843_001.pdf,No,No,16
,0844_001.pdf,No,No,19
,0845_001.pdf,No,No,18
,0846_001.pdf,No,No,18
,0847_001.pdf,No,No,42
,0848_001.pdf,No,No,24
,0849_001.pdf,No,No,18
,0850_001.pdf,No,No,62
,0851_001.pdf,No,No,39
,0852_001.pdf,No,No,44
,0853_001.pdf,No,No,53
,0854_001.pdf,No,No,46
,0855_001.pdf,No,Yes,70
,0856_001.pdf,No,No,63
,0857_001.pdf,No,No,35
,0858_001.pdf,No,No,30
,0859_001.pdf,No,No,36
,0860_001.pdf,No,No,36
,0861_001.pdf,No,No,36
,0862_001.pdf,No,No,36
,0863_001.pdf,No,No,22
,0864_001.pdf,No,No,17
,0865_001.pdf,No,No,11
,0866_001.pdf,No,No,14
,0867_001.pdf,No,No,18
,0868_001.pdf,No,No,36
,0869_001.pdf,No,No,30
,0870_001.pdf,No,No,21
,0871_001.pdf,No,No,12
,0872_001.pdf,No,No,14
,0873_001.pdf,No,No,16
,0874_001.pdf,No,No,10
,0875_001.pdf,No,No,8
,0876_001.pdf,No,No,5
,0877_001.pdf,No,No,9
,0878_001.pdf,No,No,12
,0879_001.pdf,No,No,12
,0880_001.pdf,No,No,10
,0881_001.pdf,No,No,26
,0882_001.pdf,No,No,32
,0883_001.pdf,No,No,24
,0884_001.pdf,No,No,26
,0885_001.pdf,No,No,10
,0886_001.pdf,No,No,8
,0887_001.pdf,No,No,6
,0888_001.pdf,No,No,6
,0889_001.pdf,No,No,6
,0890_001.pdf,No,No,10
,0891_001.pdf,No,No,10
,0892_001.pdf,Yes,No,1
Totals,62,1,1,1377
