Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg)
0.0,0.0,0.0,0.0
3.0,0.8884,0.0027,0.0
6.0,-2.2378,0.0027,0.0
9.0,-1.3212,0.0027,0.0
12.0,-1.065,0.0027,0.0
15.0,1.162,0.0062,0.0
18.0,-0.871,0.0062,0.0
21.0,-1.323,0.0062,0.0
24.0,0.0331,0.0063,0.0
27.0,-1.3066,0.0063,0.0
30.0,0.9249,0.009,0.0
33.0,-2.6546,0.009,0.0
36.0,1.8176,0.0145,0.0
39.0,1.1322,0.0179,0.0
42.0,-1.5778,0.0179,0.0
45.0,0.8905,0.0205,0.0
48.0,0.225,0.0212,0.0
51.0,-3.3446,0.0212,0.0
54.0,1.1511,0.0247,0.0
57.0,-1.9684,0.0247,0.0
60.0,3.3655,0.0348,0.0
63.0,-2.0099,0.0348,0.0
66.0,-3.1203,0.0348,0.0
69.0,1.3887,0.0389,0.0
72.0,-0.6259,0.0389,0.0
75.0,-3.9714,0.0389,0.0
78.0,-0.3743,0.0389,0.0
81.0,-1.6992,0.0389,0.0
84.0,-0.5977,0.0389,0.0
87.0,-1.9416,0.0389,0.0
90.0,1.1766,0.0425,0.0
93.0,-2.8506,0.0425,0.0
96.0,-2.3966,0.0425,0.0
99.0,-2.8081,0.0425,0.0
102.0,-1.0056,0.0425,0.0
105.0,-0.3468,0.0425,0.0
108.0,-1.4923,0.0425,0.0
111.0,-0.3852,0.0425,0.0
114.0,-1.2848,0.0425,0.0
117.0,-2.3952,0.0425,0.0
120.0,-1.2639,0.0425,0.0
123.0,-1.0334,0.0425,0.0
126.0,0.0674,0.0427,0.0
129.0,-2.3976,0.0427,0.0
132.0,-0.1661,0.0427,0.0
135.0,-2.161,0.0427,0.0
138.0,-1.4901,0.0427,0.0
141.0,-1.9259,0.0427,0.0
144.0,0.9674,0.0456,0.0
147.0,-1.7283,0.0456,0.0
150.0,-2.8495,0.0456,0.0
153.0,-1.4781,0.0456,0.0
156.0,-0.8008,0.0456,0.0
159.0,2.2936,0.0525,0.0
162.0,-5.3208,0.0525,0.0
165.0,-1.9393,0.0525,0.0
168.0,0.9939,0.0554,0.0
171.0,-1.4932,0.0554,0.0
174.0,-0.6199,0.0554,0.0
177.0,-0.3974,0.0554,0.0
180.0,-0.1861,0.0554,0.0
183.0,-2.1975,0.0554,0.0
186.0,-0.8418,0.0554,0.0
189.0,-1.9368,0.0554,0.0
192.0,-2.8192,0.0554,0.0
195.0,-0.796,0.0554,0.0
198.0,-1.9131,0.0554,0.0
201.0,0.5235,0.057,0.0
204.0,-1.5025,0.057,0.0
207.0,-0.6213,0.057,0.0
210.0,0.4901,0.0585,0.0
213.0,-1.0857,0.0585,0.0
216.0,-0.1992,0.0585,0.0
219.0,1.7974,0.0639,0.0
222.0,-0.6761,0.0639,0.0
225.0,1.3184,0.0678,0.0
228.0,15.2916,0.1137,0.0
231.0,152.7119,0.5718,34.8922
234.0,332.3986,1.569,86.6804
237.0,409.2163,2.7967,93.4525
240.0,413.4616,4.0371,74.7707
243.0,390.1413,5.2075,57.5978
246.0,381.722,6.3527,46.1097
249.0,380.3052,7.4936,39.4412
252.0,381.0718,8.6368,35.1628
255.0,370.2582,9.7476,31.6962
258.0,368.3545,10.8526,29.0151
261.0,383.0978,12.0019,27.9263
264.0,378.4655,13.1373,27.1224
267.0,368.7211,14.2435,25.7638
270.0,365.425,15.3397,24.7009
273.0,363.7548,16.431,24.0744
276.0,375.5952,17.5578,24.0445
279.0,373.5083,18.6783,24.0561
282.0,366.3517,19.7774,23.5007
285.0,364.3181,20.8703,22.9894
288.0,368.4101,21.9756,22.8741
291.0,376.2827,23.1044,23.115
294.0,373.9398,24.2262,23.2138
297.0,366.9212,25.327,22.9174
300.0,362.5633,26.4147,22.6189
303.0,362.6951,27.5028,22.5866
306.0,364.1758,28.5953,22.7583
309.0,368.6867,29.7014,23.0627
312.0,361.2118,30.785,23.0534
315.0,361.6905,31.8701,22.8653
318.0,363.455,32.9604,22.9138
321.0,356.18,34.029,22.6717
324.0,362.212,35.1156,22.5389
327.0,363.1483,36.2051,22.6622
330.0,361.6617,37.29,22.5728
333.0,361.3705,38.3741,22.4866
336.0,352.3746,39.4313,22.2176
339.0,348.2849,40.4761,21.8803
342.0,351.4569,41.5305,21.9653
345.0,379.0517,42.6677,23.0815
348.0,371.4105,43.7819,23.8793
351.0,375.3833,44.908,23.9191
354.0,377.211,46.0397,24.2296
357.0,362.8567,47.1282,23.8978
360.0,366.2644,48.227,23.5536
363.0,369.2783,49.3349,23.7088
366.0,365.2972,50.4308,23.5752
369.0,366.6753,51.5308,23.3595
372.0,364.3718,52.6239,23.1913
375.0,373.099,53.7432,23.2698
378.0,371.0144,54.8562,23.3817
381.0,364.9306,55.951,23.06
384.0,375.3562,57.0771,23.155
387.0,371.4511,58.1915,23.3267
390.0,379.5444,59.3301,23.415
393.0,376.6766,60.4601,23.5092
396.0,340.6391,61.482,22.2028
399.0,406.5029,62.7015,22.9964
402.0,423.2489,63.9713,25.38
405.0,393.7294,65.1525,24.8413
408.0,365.3629,66.2486,22.9743
411.0,371.6571,67.3635,22.2487
414.0,380.7924,68.5059,22.7103
417.0,391.2328,69.6796,23.3483
420.0,397.0317,70.8707,23.9236
423.0,388.7771,72.037,23.9442
426.0,384.212,73.1897,23.6308
429.0,377.3012,74.3216,23.3166
432.0,370.3454,75.4326,22.8757
435.0,383.3353,76.5826,22.9905
438.0,398.3776,77.7778,23.7297
441.0,389.1333,78.9452,23.7663
444.0,392.7998,80.1236,23.4614
447.0,393.8697,81.3052,23.4896
450.0,387.0199,82.4662,23.2423
453.0,377.3829,83.5984,22.7218
456.0,384.6901,84.7524,22.6629
459.0,382.3202,85.8994,22.8495
462.0,391.1958,87.073,23.0963
465.0,399.1873,88.2705,23.6481
468.0,383.5364,89.4212,23.4428
471.0,374.2394,90.5439,22.6832
474.0,391.9374,91.7197,22.8809
477.0,402.3028,92.9266,23.6229
480.0,397.0492,94.1177,23.6479
483.0,373.7741,95.2391,22.667
486.0,370.4333,96.3504,21.7543
489.0,392.2432,97.5271,22.1792
492.0,406.7419,98.7473,23.1473
495.0,410.9616,99.9802,23.6428
498.0,387.8478,101.1437,23.0974
501.0,384.3418,102.2968,22.3733
504.0,389.5672,103.4655,22.5086
507.0,390.6381,104.6374,22.8088
510.0,394.9071,105.8221,23.1003
513.0,394.9094,107.0068,23.3622
516.0,404.4655,108.2202,23.7624
519.0,397.779,109.4136,23.9241
522.0,395.6332,110.6005,23.6765
525.0,398.1968,111.7951,23.6325
528.0,384.3024,112.948,23.1655
531.0,399.7426,114.1472,23.0154
534.0,416.4381,115.3965,23.706
537.0,407.384,116.6187,23.6518
540.0,404.1499,117.8311,23.0375
543.0,402.9231,119.0399,22.6907
546.0,398.8099,120.2363,22.3844
549.0,390.4565,121.4077,21.9584
552.0,404.4889,122.6211,22.1175
555.0,414.1399,123.8636,22.8522
558.0,406.2504,125.0823,23.0346
561.0,405.6391,126.2992,22.9599
564.0,410.9788,127.5322,23.2621
567.0,404.15,128.7446,23.3638
570.0,409.8291,129.9741,23.4286
573.0,421.3251,131.2381,23.9629
576.0,418.7065,132.4942,24.1975
579.0,418.5116,133.7497,24.0431
582.0,427.1961,135.0313,24.1778
585.0,428.5082,136.3169,24.3391
588.0,418.387,137.572,23.9714
591.0,417.0531,138.8232,23.553
594.0,428.1787,140.1077,23.7638
597.0,422.0908,141.374,23.8709
600.0,403.8439,142.5855,23.1789
603.0,410.2959,143.8164,22.8539
606.0,426.1828,145.095,23.4912
609.0,427.9197,146.3787,23.9915
612.0,419.1683,147.6362,23.7898
615.0,415.795,148.8836,23.435
618.0,430.3212,150.1746,23.727
621.0,422.821,151.443,23.9008
624.0,428.0488,152.7272,23.8149
627.0,443.3469,154.0572,24.3664
630.0,432.7795,155.3556,24.4698
633.0,442.7247,156.6837,24.4088
636.0,457.9419,158.0576,25.0401
639.0,442.8136,159.386,24.9391
642.0,429.4388,160.6743,24.0149
645.0,437.1915,161.9859,23.6955
648.0,444.1912,163.3185,23.9109
