Time (s),HRRPUA (kW/m2),THRPUA (MJ/m2),HT Comb (MJ/kg),MLR (g/s),Air/Sample (kg/kg),CO2 (kg/kg),CO (kg/kg)
0.0,9.8,0.03,0.0,0.0,0.0,0.0,0.0
3.0,60.5,0.21,0.0,0.147,173.3,0.13,0.004
6.0,154.9,0.68,4.15,0.146,170.0,1.64,0.011
9.0,237.5,1.39,8.05,0.145,172.6,1.63,0.01
12.0,293.9,2.27,11.48,0.142,177.8,1.62,0.009
15.0,313.9,3.21,14.29,0.139,180.9,1.58,0.012
18.0,311.6,4.15,16.42,0.136,184.8,1.54,0.013
21.0,301.7,5.05,17.89,0.133,190.0,1.51,0.011
24.0,291.4,5.92,18.77,0.133,190.2,1.45,0.009
27.0,276.0,6.75,19.17,0.132,191.6,1.41,0.01
30.0,259.4,7.53,19.21,0.132,193.2,1.37,0.01
33.0,249.3,8.28,19.01,0.131,195.2,1.33,0.011
36.0,235.4,8.99,18.66,0.13,197.2,1.28,0.01
39.0,231.3,9.68,18.24,0.128,202.2,1.28,0.01
42.0,219.3,10.34,17.81,0.126,204.9,1.27,0.008
45.0,212.7,10.98,17.38,0.125,208.0,1.28,0.011
48.0,205.7,11.59,16.98,0.123,210.7,1.27,0.01
51.0,202.1,12.2,16.61,0.123,211.1,1.25,0.007
54.0,196.9,12.79,16.28,0.121,213.9,1.24,0.01
57.0,189.5,13.36,15.99,0.12,215.4,1.23,0.01
60.0,184.7,13.91,15.74,0.119,217.6,1.23,0.012
63.0,175.4,14.44,15.52,0.118,219.0,1.23,0.01
66.0,174.9,14.96,15.34,0.118,221.6,1.22,0.007
69.0,168.7,15.47,15.19,0.114,228.1,1.24,0.01
72.0,172.2,15.99,15.06,0.112,234.1,1.26,0.011
75.0,163.5,16.48,14.95,0.111,236.4,1.24,0.012
78.0,163.0,16.97,14.84,0.11,236.8,1.23,0.008
81.0,160.3,17.45,14.74,0.109,241.4,1.24,0.007
84.0,158.1,17.92,14.63,0.107,242.6,1.23,0.009
87.0,158.6,18.4,14.52,0.105,248.7,1.26,0.007
90.0,153.2,18.86,14.4,0.105,249.5,1.24,0.009
93.0,148.0,19.3,14.29,0.104,250.9,1.23,0.008
96.0,142.6,19.73,14.18,0.104,253.0,1.24,0.009
99.0,147.8,20.17,14.08,0.103,256.7,1.27,0.009
102.0,138.0,20.58,14.01,0.102,257.4,1.27,0.008
105.0,134.1,20.99,13.96,0.102,257.5,1.27,0.01
108.0,135.4,21.39,13.93,0.101,259.4,1.28,0.01
111.0,141.5,21.82,13.93,0.1,261.3,1.29,0.009
114.0,135.3,22.22,13.93,0.1,263.6,1.3,0.008
117.0,138.3,22.64,13.93,0.099,264.9,1.29,0.008
120.0,143.3,23.07,13.92,0.099,265.5,1.27,0.008
123.0,146.6,23.51,13.89,0.098,266.9,1.26,0.01
126.0,141.1,23.93,13.83,0.098,270.0,1.26,0.006
129.0,137.1,24.34,13.74,0.099,268.1,1.25,0.007
132.0,129.2,24.73,13.63,0.098,269.6,1.25,0.008
135.0,132.5,25.13,13.51,0.098,270.1,1.24,0.01
138.0,134.2,25.53,13.38,0.098,270.7,1.23,0.009
141.0,125.4,25.91,13.25,0.097,272.0,1.23,0.007
144.0,121.3,26.27,13.14,0.095,276.1,1.25,0.008
147.0,122.4,26.64,13.05,0.096,276.9,1.25,0.009
150.0,122.6,27.01,12.98,0.095,276.7,1.23,0.009
153.0,122.6,27.37,12.94,0.095,275.9,1.23,0.007
156.0,112.9,27.71,12.92,0.095,279.2,1.25,0.006
159.0,123.6,28.08,12.92,0.095,279.3,1.26,0.008
162.0,121.2,28.45,12.93,0.095,278.9,1.25,0.01
165.0,122.5,28.81,12.95,0.094,279.8,1.24,0.008
168.0,123.1,29.18,12.97,0.094,280.5,1.23,0.007
171.0,129.0,29.57,12.98,0.094,280.5,1.23,0.007
174.0,123.7,29.94,12.99,0.093,282.7,1.24,0.009
177.0,117.8,30.29,13.0,0.093,281.9,1.23,0.007
180.0,119.3,30.65,13.0,0.093,284.4,1.24,0.009
183.0,114.6,31.0,13.01,0.093,284.5,1.23,0.009
186.0,124.7,31.37,13.03,0.093,285.1,1.22,0.006
189.0,122.4,31.74,13.05,0.092,287.1,1.25,0.005
192.0,111.2,32.07,13.09,0.092,290.1,1.27,0.009
195.0,119.2,32.43,13.14,0.091,291.1,1.27,0.007
198.0,124.0,32.8,13.19,0.089,297.0,1.29,0.011
201.0,112.5,33.14,13.26,0.088,298.1,1.3,0.01
204.0,113.4,33.48,13.32,0.088,304.3,1.34,0.01
207.0,115.1,33.82,13.37,0.086,304.6,1.34,0.009
210.0,122.2,34.19,13.41,0.086,306.2,1.34,0.01
