Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.15996754,0.0004325,-8.2e-07,-2.323623823464745,0.0133778722994437,0.1100089017098935,-10.49417442
1.0,0.15987932,0.00045103,-1.11e-06,-0.3627030038510802,0.0133048131865694,0.1103356552587169,-10.52174129
2.0,0.15974868,0.00045095,-6.6e-07,2.573413405932305,0.0130908120577505,0.1110717060738506,-10.45059251
3.0,0.15977117,0.00044067,2.1e-07,2.0870437074178856,0.0130129771578293,0.1078073289123582,-10.47881573
4.0,0.15979489,0.00045356,2.12e-06,1.4940358642526446,0.0129718635209863,0.1091743885842534,-10.48039098
5.0,0.15983094,0.00045972,1.6e-06,0.6582271547847897,0.0126755717660537,0.1075605105520985,-10.49128646
6.0,0.15969774,0.00041688,1.14e-06,3.753164733305528,0.0128397743335691,0.1114310691434384,-10.49115519
7.0,0.15979171,0.0004199,3.11e-06,1.6927178377991037,0.0130873906416528,0.1094755476206937,-10.51307742
8.0,0.15985621,0.00041022,5.08e-06,0.2705149787873429,0.0132962450374792,0.1089929219606403,-10.4902363
9.0,0.15981893,0.00038525,5.41e-06,1.2095176734121242,0.0132973141873461,0.1077159841580932,-10.50520117
10.0,0.15981811,0.00041022,5.3e-06,1.1389405438143756,0.0133090193223923,0.1082906773501149,-10.45518699
11.0,0.15981482,0.00041471,3.7e-06,1.2074040687793697,0.0132940353296879,0.1080148873156527,-10.51333996
12.0,0.15984255,0.00040166,3.43e-06,0.621526203288395,0.0132284274477978,0.1045875793953486,-10.47802811
13.0,0.15981708,0.00041341,4.06e-06,1.137591478029938,0.0130584054749424,0.1095953308439331,-10.51832825
14.0,0.15983012,0.0004323,4.09e-06,0.7731790942070373,0.0129825135365493,0.106775116263055,-10.50113177
15.0,0.15988599,0.00043234,3.47e-06,-0.4713294994109956,0.0131045382452373,0.105147731502552,-10.46792026
16.0,0.15987583,0.0004039,4.17e-06,-0.1440691174260161,0.0129789998909019,0.1074150979910155,-10.48052225
17.0,0.15989627,0.00041541,3.54e-06,-0.6361354221568045,0.0129841641364854,0.1063029359888185,-10.50493863
18.0,0.15990756,0.00040121,3.73e-06,-0.8372778078257309,0.0129681771561295,0.1069213732556851,-10.55298375
19.0,0.15992626,0.00042463,5.46e-06,-1.3612066043857591,0.0130911608774364,0.1047479248368675,-10.48997375
20.0,0.15991075,0.00040667,5.25e-06,-0.9305639148510216,0.0128656732375031,0.1060664097402685,-10.52357908
21.0,0.15989092,0.00041112,3.21e-06,-0.494222013424256,0.0128484106664712,0.1069779370616224,-10.48341021
22.0,0.1599431,0.00042859,1.92e-06,-1.7026590072501735,0.0128880607433173,0.1044264347653847,-10.49430569
23.0,0.15992934,0.00042181,2.2e-06,-1.380654814319426,0.0129291181131304,0.1070010195599906,-10.48459165
24.0,0.15992091,0.00041243,1.15e-06,-1.1693393926449107,0.0131092537613526,0.106584853421429,-10.5176719
25.0,0.15994464,0.00041606,2.66e-06,-1.7255265846348282,0.0131019325191502,0.104230453262304,-10.50559498
26.0,0.15993468,0.00040194,4.58e-06,-1.4590240058401776,0.0130576338088726,0.1059571778884323,-10.49745619
27.0,0.15993457,0.00041688,4.66e-06,-1.526985863586401,0.013198745767085,0.1039747936318526,-10.50992692
28.0,0.15991373,0.00041635,2.45e-06,-1.0420892822619965,0.0132520522713238,0.10576802065855,-10.55167104
29.0,0.15994669,0.00040113,1.35e-06,-1.746612258033056,0.0133907606841711,0.1044769553661113,-10.4641134
30.0,0.1599165,0.00041063,2.95e-06,-1.0919069056949546,0.0133030225114526,0.1038241973119273,-10.51662173
31.0,0.1599243,0.00043691,4.05e-06,-1.37667244191771,0.0133333095138304,0.104810971332653,-10.53578727
32.0,0.15993529,0.00045499,5.68e-06,-1.6982180485481175,0.013275307041763,0.1042307173506359,-10.50940183
33.0,0.15993396,0.00044899,4.58e-06,-1.651021168466671,0.013377380375591,0.1059495296128903,-10.52042858
34.0,0.15992287,0.00041308,4.54e-06,-1.2569010689231104,0.0132989139880628,0.1033420969619053,-10.50008161
35.0,0.15996231,0.00041582,4.84e-06,-2.183144732908551,0.0133858379202719,0.1051744869135188,-10.49456823
36.0,0.15991506,0.00043683,5.72e-06,-1.1914986668756156,0.013501790126596,0.1074601937959446,-10.57175547
37.0,0.1599205,0.0003553,4.32e-06,-0.9974344805616854,0.0133934910101976,0.1094264643915894,-10.53933158
38.0,0.15997329,0.00037191,2.64e-06,-2.2677094870657597,0.013440087172936,0.1065973168678498,-10.57306818
39.0,0.15996076,0.000354,1.8e-06,-1.890133633342912,0.0133229115784927,0.1056815236775392,-10.50454481
40.0,0.15997381,0.00043095,3.3e-06,-2.490754918837619,0.0133783110319345,0.1086657451645497,-10.52869864
41.0,0.15997566,0.00043507,3.76e-06,-2.545931465899252,0.0133486789700435,0.1069610595031334,-10.52331654
42.0,0.16003697,0.00045556,2.96e-06,-4.025785120162991,0.0133672835515931,0.1079946219423673,-10.56007237
43.0,0.15998634,0.00044923,4.62e-06,-2.844480858687777,0.0133297692448451,0.1056797037699655,-10.54445114
44.0,0.16000996,0.00044005,4.86e-06,-3.360931723951397,0.0133616470798822,0.1066351298156566,-10.53893777
45.0,0.16003543,0.00042659,4.95e-06,-3.8752677893049863,0.0132895825761092,0.1057397715005861,-10.57175547
46.0,0.15997412,0.00040059,4.65e-06,-2.3793358447738897,0.0132865984711003,0.1055453163486061,-10.51819698
47.0,0.1600038,0.00040047,4.07e-06,-3.0546917917389664,0.0132999855517096,0.105893742928204,-10.56046618
48.0,0.15998788,0.00041451,5.52e-06,-2.7190240904714864,0.0131373416255555,0.1042516364856933,-10.54838927
49.0,0.16003738,0.00042732,3.76e-06,-3.890750177692652,0.0132101349620911,0.1072340213948277,-10.54668275
50.0,0.16001715,0.00042777,3.26e-06,-3.42178814145258,0.0131776476127496,0.1068541082795956,-10.53946285
51.0,0.16000821,0.00043516,4.49e-06,-3.2600586941556133,0.01319887749621,0.1063479715594893,-10.54287589
52.0,0.15998233,0.00042198,6.07e-06,-2.6048669447905834,0.0130384328282313,0.1059282452309154,-10.55324629
53.0,0.16001807,0.00040516,5.9e-06,-3.3986787880851743,0.0132547259105693,0.1079158256180095,-10.53486837
54.0,0.15997535,0.00040492,4.9e-06,-2.381333996980044,0.0130478047918768,0.1071631893128985,-10.535656
55.0,0.16000123,0.00042455,4.99e-06,-3.026797196304568,0.013026234301869,0.1077546513050558,-10.55022706
56.0,0.16002814,0.00043646,5.6e-06,-3.663743264758578,0.0129855117268272,0.1071653720807764,-10.50401973
57.0,0.16001879,0.00041267,5.64e-06,-3.3226685193154037,0.0128003713460019,0.1088222312554623,-10.50336338
58.0,0.16004159,0.00039345,3.85e-06,-3.700632255238417,0.0126520392308215,0.1085268236226897,-10.54838927
59.0,0.16002711,0.00038676,3.19e-06,-3.357773175727337,0.012649068453292,0.1081264970664074,-10.54537004
60.0,0.1600685,0.0004008,4.74e-06,-4.4067726834913605,0.0129166078863652,0.1071893606119328,-10.554559
61.0,0.16009387,0.00038623,5.48e-06,-4.961830599205935,0.0130195646055668,0.1085026809771197,-10.59472787
62.0,0.16009541,0.00039268,4.18e-06,-5.028859619255799,0.013067290909,0.1107452775192229,-10.50651388
63.0,0.16000524,0.00039929,5.13e-06,-3.063677090729611,0.0131840514836146,0.1085912466290685,-10.54077556
64.0,0.1600799,0.00043479,6.62e-06,-4.926492792493154,0.0132764599077323,0.1117421502969139,-10.57608741
65.0,0.16010558,0.00045405,7.92e-06,-5.5986590357542445,0.0132941334655052,0.10829465797946,-10.56361668
66.0,0.16007189,0.00045654,6.58e-06,-4.81386624621145,0.013251223675258,0.1069456943935731,-10.54970198
67.0,0.1601101,0.00044479,4.88e-06,-5.623114221629048,0.0132382756440038,0.1096433916841322,-10.56650464
68.0,0.16003831,0.00044972,6.42e-06,-4.025058988359004,0.0132546687637535,0.1086942971540884,-10.57149293
69.0,0.16006871,0.00046327,6e-06,-4.695265670781878,0.013065463848463,0.1096423990019668,-10.57411835
70.0,0.15998778,0.00045499,3.71e-06,-2.8324965544264806,0.0130547109925862,0.1093745959356574,-10.58462001
71.0,0.16010353,0.00044503,3.76e-06,-5.322690448535433,0.0128890849230109,0.1087933755335572,-10.52607323
72.0,0.16006676,0.00044838,3.32e-06,-4.551762377188527,0.0129856783638375,0.1087992846813917,-10.60234157
73.0,0.16007477,0.00044923,4.38e-06,-4.721433649920655,0.0129332611656729,0.1103058196626308,-10.56637337
74.0,0.16006727,0.00042442,3.76e-06,-4.484908830489172,0.0129982163684123,0.109014409963337,-10.57136166
75.0,0.16005084,0.00043303,1.61e-06,-4.218060307400632,0.0132610829537355,0.1104984884416148,-10.57543106
76.0,0.16008833,0.00041231,1.49e-06,-4.905516100000488,0.0130230651292015,0.1103002597952344,-10.58173206
77.0,0.16008124,0.00042116,2.45e-06,-4.792992612518679,0.0130442082383107,0.110362127997015,-10.55167104
78.0,0.16010568,0.00043507,3.35e-06,-5.357878821064728,0.0129511529284589,0.1109541578135945,-10.61441849
79.0,0.16009007,0.00042328,4.21e-06,-4.935265947014679,0.012848738375098,0.1105468707929173,-10.55941602
80.0,0.16008268,0.00039558,5.08e-06,-4.727197318750287,0.0129776560135392,0.1084324795899485,-10.54550131
81.0,0.1601062,0.00040594,6.17e-06,-5.312458026407624,0.0130189618181953,0.1094679361321021,-10.554559
82.0,0.16012099,0.00039631,6.92e-06,-5.551796717589739,0.012875425911432,0.1095820146000432,-10.59945362
83.0,0.16009521,0.00037766,5.26e-06,-4.95085751858259,0.0129966005871991,0.1114494746571947,-10.5441886
84.0,0.1601252,0.00037432,2.91e-06,-5.549180382014846,0.0128967797561358,0.109655060962589,-10.54143191
