Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956741,0.00063653,5.25e-06,-2.351485405052052,0.0254338759547339,,-7.03989238
1.0,0.20953662,0.0006221,5.48e-06,-0.787535722489418,0.0254577219728247,,-6.96901319
2.0,0.20953569,0.00060064,3.72e-06,-0.5074738668733423,0.025467870437962,,-6.98126554
3.0,0.20953282,0.00059168,2.93e-06,-0.2742054461944892,0.0254597889430572,,-7.02421464
4.0,0.20951424,0.00058129,4.22e-06,0.6654772655481472,0.0253383710986528,,-7.05385742
5.0,0.20952451,0.00059312,5.44e-06,0.0571180081930501,0.0253952124732589,,-7.03897016
6.0,0.20952143,0.00059928,3.23e-06,0.1735552291291237,0.0251433229022827,,-7.00695596
7.0,0.20951424,0.00060663,3.9e-06,0.4258692438207824,0.0253794973437622,,-7.03462255
8.0,0.20948058,0.00062178,3.64e-06,1.8338456193403088,0.0252874397494567,,-6.9886433
9.0,0.2095165,0.00060707,2.86e-06,0.3305055271089527,0.0251398405965575,,-7.01130356
10.0,0.20952707,0.00062322,2.85e-06,-0.3098907948310359,0.0252096170860711,,-7.05082727
11.0,0.20948715,0.0006287,4.36e-06,1.4472465886563244,0.0251938267173586,,-7.01393848
12.0,0.20953087,0.0005898,5.14e-06,-0.1990360925691332,0.0252307009528679,,-7.02078925
13.0,0.20950172,0.00059608,6.75e-06,1.0585856090186394,0.0252992892954501,,-6.90656573
14.0,0.20954442,0.00062526,7.09e-06,-1.2050088313529974,0.0254324349445401,,-7.051486
15.0,0.2095163,0.00060056,8.43e-06,0.3160564813012185,0.0253045826388727,,-7.06808596
16.0,0.20953682,0.00060587,6.88e-06,-0.6586734661715327,0.0253559132255134,,-7.08402719
17.0,0.20955694,0.00058801,9.14e-06,-1.4546686936490634,0.025404528975831,,-7.09232717
18.0,0.20952174,0.00057214,1.087e-05,0.2997522856955119,0.0251948925356895,,-7.07875736
19.0,0.20952143,0.00057461,9.99e-06,0.3035191463928391,0.025140530859546,,-7.11340648
20.0,0.20951568,0.00058813,5.96e-06,0.500144840517334,0.025097930834311,,-7.11274775
21.0,0.20955058,0.00061039,5.2e-06,-1.3053105780210952,0.0252298055714766,,-7.05820503
22.0,0.20953036,0.00058133,6.08e-06,-0.1087437155954669,0.0252108122301258,,-7.03752096
23.0,0.20955119,0.0005661,3.93e-06,-0.8940063113336878,0.0254589091100316,,-7.08995575
24.0,0.20950542,0.00059496,4.66e-06,0.9362438029339434,0.025412544683981,,-7.0333051
25.0,0.20951404,0.0006012,3.95e-06,0.486666208048817,0.0253622063201573,,-7.03580826
26.0,0.2095243,0.00057521,4.26e-06,0.2579132569812696,0.0252328399196421,,-7.03554477
27.0,0.20959081,0.00055419,7.04e-06,-2.6303794278491,0.0251069302051681,,-7.03040669
28.0,0.20949782,0.00055743,8.39e-06,1.5801619058173109,0.0252062993334151,,-7.10062715
29.0,0.20954544,0.00056978,7.78e-06,-0.7176961465767295,0.0252137642126861,,-7.16992539
30.0,0.20954719,0.0005631,7.71e-06,-0.7264405279661548,0.0250001473458301,,-7.12447312
31.0,0.20953364,0.00054979,1e-05,-0.017887824933638,0.0252820971972386,,-7.04832411
32.0,0.20952615,0.00055135,8.11e-06,0.3428096942173068,0.0253137276557995,,-7.06373835
33.0,0.20950069,0.00055663,8.81e-06,1.449848637582577,0.0252154648601182,,-7.07256531
34.0,0.2095204,0.00055703,9e-06,0.5356338892530158,0.0251545480429234,,-7.06123518
35.0,0.20953344,0.00058713,6.15e-06,-0.3059749307636756,0.0250999689356344,,-7.04713839
36.0,0.20949874,0.00058904,3.73e-06,1.298067293215546,0.0250262167413472,,-7.07230182
