Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20937579,0.00069493,-1.94e-06,-14.02294548065912,0.0272006596954509,-0.2355013042782281,103.36832256
1.0,0.20938934,0.00066719,1.29e-06,-14.476614735620682,0.0272276092525926,-0.152825028687929,101.57335292
2.0,0.20939991,0.00064314,5.04e-06,-14.68027627368115,0.0269787538763118,0.2078533457681821,102.56423988
3.0,0.20937261,0.0006287,5.04e-06,-13.222835039940058,0.0270504196317984,0.4036290538585265,102.42266589
4.0,0.2093451,0.00063658,4.99e-06,-11.923067989886,0.0269983142462255,0.3826950970165373,102.15625059
5.0,0.20932632,0.00066933,5.18e-06,-11.38395663153622,0.0271045469176462,0.7282855789843484,101.15817367
6.0,0.20940966,0.00068476,3.6e-06,-15.794795865010771,0.0273771204952863,1.1077508504785405,101.02483549
7.0,0.20938379,0.00069129,3.97e-06,-14.448483622468602,0.0271350817726741,1.052545577673785,101.90395404
8.0,0.20941859,0.0006753,3.49e-06,-15.99799683262676,0.0271363585485471,0.4309511160683012,101.01803765
9.0,0.20942105,0.00068998,2.38e-06,-16.226499815759823,0.0270918931711191,0.1086581272843777,100.08349284
10.0,0.20943552,0.00072048,1.01e-06,-17.387180810383295,0.0273320231533748,0.0949211808236279,101.27347216
11.0,0.20940873,0.00070343,2.28e-06,-15.844377365893372,0.0272453789486843,0.0078680418400636,100.68599933
12.0,0.20937209,0.00067673,4.2e-06,-13.719618186652635,0.0271299436699008,-0.0815599039849789,101.09411895
13.0,0.20945944,0.00068357,2.4e-06,-18.024720416532105,0.0270415567738297,-0.1341928898260856,100.76299579
14.0,0.2094152,0.00070161,4.39e-06,-16.03738256070542,0.0269997298377439,-0.1804336978390095,101.1169958
15.0,0.20944404,0.00070232,2.48e-06,-17.552607092938604,0.0271848676014223,-0.2115673227543778,101.56367922
16.0,0.20944928,0.00070964,3.09e-06,-18.015205457648623,0.0273611716307724,-0.1542730424863216,100.24323734
17.0,0.2094503,0.000724,1.55e-06,-18.119625755992587,0.0272555322394224,-0.1475160404605034,101.52786087
18.0,0.20943891,0.00068674,5.9e-07,-17.075257334713868,0.0271395824803867,-0.1216824802184892,101.02457387
19.0,0.2094464,0.00065505,-6.8e-07,-17.03510900427919,0.0270436511672336,-0.1051657598875775,101.04548966
20.0,0.20947904,0.00063776,1.4e-07,-18.575154823613342,0.0271814562364807,-0.1193839299868358,100.70704562
21.0,0.20941479,0.0006342,3.48e-06,-15.410538764541984,0.027184454682732,-0.1336863005690675,100.92117138
22.0,0.20948725,0.00064449,5.63e-06,-19.170622308741585,0.0272157411141307,-0.1195370554397689,101.36223379
23.0,0.20945769,0.00065928,8.11e-06,-17.96223002160703,0.0273118173709536,-0.1235664746180916,100.56390333
24.0,0.20942033,0.00066059,6.69e-06,-16.08008135257085,0.0272956209391176,-0.1284445913603321,101.0039196
25.0,0.209427,0.00066795,4.49e-06,-16.214624716144506,0.0269030525818855,-0.1448873327931354,101.3783127
26.0,0.20941848,0.0007026,6.03e-06,-16.282315898110358,0.0270749055292837,-0.1619302901018804,101.59766739
27.0,0.20942516,0.00073334,6.22e-06,-16.999046501440954,0.0271791263792235,-0.1728139198029163,101.5849872
28.0,0.20945071,0.00074699,4.53e-06,-18.476488852573823,0.0273229063612586,-0.1828299124365867,101.04575117
29.0,0.20966615,0.00074291,2.95e-06,-29.10015350641139,0.0272725889989935,-0.1760230383310942,101.20105112
30.0,0.20939806,0.00069722,2.93e-06,-15.246706758941192,0.0272208542014244,-0.1776378105069931,100.95110711
31.0,0.20950296,0.00071561,3.25e-06,-20.6053864949392,0.027156018653999,-0.1810419159414285,100.87214985
32.0,0.20958507,0.00072768,2.13e-06,-24.65723587354448,0.0270189411847692,-0.1911067620526533,101.27883181
33.0,0.20965845,0.00072151,3.56e-06,-28.37819909623184,0.0271527505043516,-0.1874517930186652,101.22758805
34.0,0.20950172,0.00071304,4.96e-06,-20.378803774254077,0.0269343701098522,-0.1859113551196713,101.32445445
35.0,0.20957993,0.00069773,5.34e-06,-24.25332168180039,0.02713619913558,-0.1920851262735188,100.42638146
36.0,0.20949988,0.00069204,5.25e-06,-20.22826310496688,0.0271375240047334,-0.1796675651619818,100.61004857
37.0,0.20940863,0.0006842,4.66e-06,-15.625598944657542,0.0271509229192441,-0.1661861332760461,100.83946895
38.0,0.20940976,0.0006791,4.47e-06,-15.599688535599102,0.027106276311701,-0.169286751143725,101.52511573
39.0,0.20957573,0.00070474,3.09e-06,-24.075859885316277,0.0271320425189159,-0.1862466279232242,101.19699879
40.0,0.20969242,0.00072325,6.62e-06,-29.937241559126736,0.0269759033769164,-0.1756245214945221,101.10679931
41.0,0.20965784,0.00070268,9.06e-06,-28.070885925343543,0.0269841162675545,-0.192752173578982,101.15006878
42.0,0.2093918,0.00072994,8.74e-06,-15.316805833342425,0.0271160334880239,-0.1997128589530243,101.45949223
43.0,0.20941027,0.00073259,6.51e-06,-16.204878123685436,0.0270907452768379,-0.2028998066935522,100.69397315
44.0,0.20948458,0.00071819,4.94e-06,-19.67586901908261,0.0270539243609497,-0.2004653638083235,99.90518551
45.0,0.20941571,0.00069643,5.56e-06,-16.204531843388956,0.0272954983911461,-0.2111417020890339,102.18919316
46.0,0.20948212,0.00068215,3.74e-06,-19.161523094231374,0.0270548221474733,-0.2042707781467742,101.09215822
47.0,0.20943634,0.00066984,2.41e-06,-16.67474309406545,0.0269312633739369,-0.1994629907719456,100.95398294
48.0,0.20942434,0.00064651,4.7e-07,-15.852668318000074,0.0270007037925337,-0.2081897368374904,100.82861872
49.0,0.20942095,0.00065054,8e-08,-15.773082970917931,0.0270907871248556,-0.2063310127822724,101.21843744
50.0,0.20941376,0.00062131,1.13e-06,-15.130115893406408,0.0270857832394332,-0.2112527027953178,100.98705613
51.0,0.2094114,0.00061719,1.72e-06,-15.108835276974084,0.0273170699937223,-0.1980559446518675,100.66612897
52.0,0.20936491,0.00071277,3.11e-06,-13.723986174161476,0.0271391307414175,-0.196610935853825,101.25830816
53.0,0.20940945,0.00066284,3.69e-06,-15.388204621189931,0.0270810808162125,-0.2061003330236978,101.66564392
54.0,0.20940237,0.00070849,1.22e-06,-15.485460857696248,0.027110121237748,-0.2103218470401714,101.40367313
55.0,0.20941458,0.00067586,3.2e-07,-15.751629649259876,0.0271373726293748,-0.2052885081942512,101.39007791
56.0,0.20937527,0.00067613,1.4e-07,-13.871786219337716,0.0272683717641809,-0.2063985090409607,100.91175922
57.0,0.20938564,0.0007227,9.4e-07,-14.84048734118064,0.027183469880868,-0.1990227103919438,100.61658468
58.0,0.20938297,0.00073282,2.44e-06,-14.7012274430683,0.0269312009597668,-0.2040022403191049,101.24196767
59.0,0.20941612,0.00074422,4.85e-06,-16.50886262072174,0.026964430428971,-0.2118267792343089,100.21081778
60.0,0.20939775,0.00069647,7.62e-06,-15.287303103224636,0.0271911979793466,-0.2161133777041351,100.14205695
61.0,0.20939775,0.0006808,7.52e-06,-15.119892470843574,0.0271861640023937,-0.2123244640578203,100.86495999
62.0,0.2093956,0.00070489,8.58e-06,-15.256329835064488,0.0271408593293204,-0.2161553351393523,100.8935886
63.0,0.20940894,0.00071629,9.18e-06,-16.073055920407896,0.027187460973017,-0.2178021446211242,101.20196621
64.0,0.20938379,0.00074358,1.025e-05,-15.015525093170217,0.0269862670503883,-0.213608723806772,101.16013452
65.0,0.20942978,0.00074766,9e-06,-17.35989997704568,0.0270780738759901,-0.2160874860233442,100.94823109
66.0,0.20938851,0.00078674,7.09e-06,-15.767119086637036,0.0272064346518184,-0.220042491366025,101.05986933
67.0,0.20939847,0.00073413,6.47e-06,-15.77645795748307,0.0273326076329888,-0.2230188703481693,100.74691649
68.0,0.20943881,0.00071554,7.21e-06,-17.472506055755137,0.0271240483941907,-0.2237297292741063,100.861169
69.0,0.2094074,0.00072958,9.41e-06,-15.978171179092762,0.0269169242881987,-0.2195429734304156,100.95895044
70.0,0.20941736,0.00070663,9.29e-06,-16.334571170975053,0.02709185575843,-0.216872678461106,101.1507224
