Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.17999765,0.00049878,3.22e-06,-0.0043010258075254,0.0254047374049678,,-8.73749112
1.0,0.17995792,0.000534,1.61e-06,1.4510092257506182,0.0255152640310593,,-8.72819544
2.0,0.17991347,0.00053647,2.04e-06,3.327715879625308,0.0254693449976865,,-8.72138733
3.0,0.17991912,0.00050165,2.49e-06,3.332064638767457,0.0253481303248387,,-8.70161762
4.0,0.17999292,0.00047916,8.6e-07,0.3793885333986528,0.02528076432379,,-8.69873727
5.0,0.17999159,0.00051762,4.3e-07,0.1475440935855592,0.0253290595678381,,-8.64715274
6.0,0.18001345,0.00054294,1.1e-06,-0.9965370931341992,0.0255600126669809,,-8.68184792
7.0,0.18003101,0.00053117,4.17e-06,-1.7033344654991227,0.0255652886466635,,-8.75045272
8.0,0.17996572,0.00049833,5.4e-06,1.3299306697593714,0.0253300181325585,,-8.70292687
9.0,0.17999498,0.00049125,6.74e-06,0.1194944731549669,0.0254116297233716,,-8.69520229
10.0,0.17999867,0.00053125,7.03e-06,-0.3487939972367009,0.0253081801715153,,-8.68787048
11.0,0.17995638,0.0005361,6.66e-06,1.437457520366497,0.0256253594638985,,-8.74312091
12.0,0.18001941,0.00054722,5.68e-06,-1.3550058318092002,0.0256686048331678,,-8.74115703
13.0,0.17995535,0.00055321,2.15e-06,1.3970817486095144,0.0253639722723691,,-8.64846199
14.0,0.17997958,0.00054722,7.5e-07,0.4299942302323337,0.0254588449949498,,-8.69075083
15.0,0.18000801,0.00050864,1.5e-07,-0.4810444549634237,0.02541446891026,,-8.73749112
16.0,0.17997321,0.0005122,2.04e-06,0.9621206947026116,0.0256441736639161,,-8.78554067
17.0,0.17993595,0.00054751,5.48e-06,2.2133936766691176,0.0252545582975885,,-8.78252939
18.0,0.18000226,0.00056522,8.97e-06,-0.7880710579159108,0.0252876597387958,,-8.66234006
19.0,0.18003942,0.00055523,1.1e-05,-2.327399057506601,0.0253631736743096,,-8.75974841
20.0,0.17998071,0.00049785,1.216e-05,0.6047727309328204,0.0254303283923818,,-8.74364461
21.0,0.18003542,0.00048236,9.26e-06,-1.5784086727498543,0.0254565512017861,,-8.71536477
22.0,0.18002464,0.00044847,5.27e-06,-0.7887182831947825,0.0250858606181163,,-8.7742811
23.0,0.1800074,0.00044471,4.94e-06,-0.0286284153006906,0.0255686601735204,,-8.69782079
24.0,0.180027,0.00044325,4.62e-06,-0.8481209926302694,0.0253334415356267,,-8.62869229
25.0,0.18002433,0.00046117,1.63e-06,-0.8269984369641493,0.025212659618476,,-8.75215475
26.0,0.18005379,0.00046675,-4.1e-07,-2.108454276885197,0.0254162399522746,,-8.76197414
27.0,0.18001807,0.00049142,1.68e-06,-0.7942900394749371,0.0252458436239486,,-8.69179823
28.0,0.18004784,0.00049615,3.38e-06,-2.134483711830332,0.0254393924370774,,-8.7550351
29.0,0.18004137,0.00047852,3.95e-06,-1.7137240833223089,0.0252083670749969,,-8.71798327
30.0,0.18004055,0.00046367,2.04e-06,-1.5578297681009747,0.0255089515285763,,-8.69873727
31.0,0.18003901,0.00049865,1.19e-06,-1.7349135838792082,0.0252824929861004,,-8.74665589
32.0,0.18003501,0.00050694,2.84e-06,-1.6518387208530347,0.0252981528127214,,-8.72047085
33.0,0.18001869,0.00052292,4.63e-06,-1.107586260366854,0.0253771264675827,,-8.7217801
34.0,0.17997886,0.0005158,4.49e-06,0.649503285726662,0.0253718932364596,,-8.70934221
35.0,0.18002844,0.00049469,3.9e-06,-1.2836799995653452,0.0251207861895854,,-8.76446171
36.0,0.18003983,0.00051321,2.99e-06,-1.9089914571456017,0.0253226534574254,,-8.78527882
37.0,0.18006806,0.00054229,4.79e-06,-3.3545584226399514,0.0252828267704581,,-8.67962219
38.0,0.18002782,0.000556,3.65e-06,-1.7409882558671153,0.0254143795874081,,-8.68066959
39.0,0.18003788,0.00053533,6.56e-06,-2.029918809406997,0.0251415699800867,,-8.74272813
40.0,0.17999159,0.00051855,8.83e-06,0.0252943386204037,0.0251594423905865,,-8.69284563
41.0,0.17999457,0.00053922,8.61e-06,-0.2570189303344318,0.0253163098262748,,-8.70960406
42.0,0.18002947,0.00056287,9.25e-06,-1.9404982172960208,0.025402753909807,,-8.78593345
43.0,0.18003614,0.00058232,1.071e-05,-2.395945615632736,0.0254079870761593,,-8.70017744
44.0,0.18001212,0.00057848,1.195e-05,-1.352272859725372,0.0253309358127894,,-8.74325183
45.0,0.18001417,0.00053861,1.203e-05,-1.136502631665825,0.0253721964848778,,-8.74639404
46.0,0.18002495,0.00053958,1.227e-05,-1.6115766181884652,0.0254368843597289,,-8.7524166
47.0,0.18005266,0.00052409,1.314e-05,-2.695092061950211,0.0254831383269565,,-8.71104424
48.0,0.18004219,0.00054039,1.34e-05,-2.366772277127391,0.0253883774236749,,-8.76760392
49.0,0.18006293,0.00055931,1.32e-05,-3.413240757896403,0.0255187558557093,,-8.71052053
50.0,0.18001335,0.0005431,1.243e-05,-1.1529239233799486,0.0256260085873648,,-8.78593345
51.0,0.18004425,0.00050108,1.158e-05,-2.1453248303737062,0.0256037695203472,,-8.72047085
52.0,0.18005277,0.00050646,1.161e-05,-2.570634279235004,0.0257647229559548,,-8.81054738
53.0,0.18002608,0.00050876,1.001e-05,-1.402676842974892,0.0256454218123282,,-8.72662433
54.0,0.18005266,0.00050957,6.41e-06,-2.4917971991323875,0.0254991361291296,,-8.75136919
55.0,0.18004497,0.00050933,4.34e-06,-2.127319895171462,0.025449697333214,,-8.78763547
56.0,0.18010686,0.00052725,5.54e-06,-4.884015213631056,0.0251976339057544,,-8.7550351
57.0,0.18005544,0.00055325,7.12e-06,-2.891444201966728,0.0249208366156072,,-8.74573941
58.0,0.18006467,0.0005211,6.09e-06,-3.0916226641927524,0.0254970646133561,,-8.75176197
59.0,0.18008551,0.00052401,6.22e-06,-4.009028622984615,0.0254898686704984,,-8.70947313
60.0,0.18010512,0.00054067,5.59e-06,-4.983214966535436,0.0255553258258824,,-8.77807793
61.0,0.18003224,0.00053792,7.39e-06,-1.8325629566911743,0.0252828138544189,,-8.78383864
62.0,0.18003429,0.00049926,9.73e-06,-1.6742066605249843,0.0255687118953183,,-8.74089518
63.0,0.18009454,0.00045789,1.086e-05,-3.9211628155140423,0.0253085325281036,,-8.7550351
64.0,0.18004014,0.00044669,1.036e-05,-1.524347303636341,0.0255208149307371,,-8.76145043
65.0,0.18009783,0.00046072,7.8e-06,-4.030531031715647,0.0252420356637417,,-8.74338276
66.0,0.18005349,0.00045478,7.2e-06,-2.121820298275844,0.0255837446492612,,-8.74024055
67.0,0.17999272,0.00047241,7.49e-06,0.3473353393369612,0.0251567016321226,,-8.76878225
68.0,0.18011754,0.00050549,7.03e-06,-5.23443260695736,0.0254086461926953,,-8.74168073
