Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948358,0.000669,4.71e-06,-0.193884841317071,0.026772592196537,,49.09605873
1.0,0.20947809,0.00067989,9e-07,0.0563549792798819,0.0269839924269738,,49.08045449
2.0,0.20943254,0.0006489,-1.74e-06,3.002208947185958,0.0269739788669055,,49.11717035
3.0,0.20945633,0.00067023,6e-07,1.3824249619921791,0.0269185882930983,,49.10248401
4.0,0.20945745,0.00069481,3.8e-06,0.9741000420633216,0.0269532566195519,,49.12779173
5.0,0.2094607,0.00066271,5.96e-06,1.1122472806589714,0.0266250820033429,,49.13461039
6.0,0.20946742,0.00066575,6.34e-06,0.7042002531128774,0.026744637463921,,49.12608706
7.0,0.20949578,0.00063102,4.24e-06,-0.4195756931473186,0.0268125799979187,,48.51503014
8.0,0.20946314,0.00062206,4.76e-06,1.4844532393595875,0.026907695611342,,47.64053688
9.0,0.20946731,0.00063464,6.44e-06,1.077954414510787,0.0269932857023275,,47.82332944
10.0,0.20947311,0.00063694,9.08e-06,0.671149771015499,0.0267419362649358,,48.09424009
11.0,0.20945847,0.00063427,9.35e-06,1.500701906717436,0.0266788790056477,,47.65351857
12.0,0.2094664,0.00066411,5.88e-06,0.7900210055181274,0.0268067971781922,,48.14590455
13.0,0.20945704,0.00069259,6.3e-06,0.9699608444449156,0.0268212202557191,,47.89754794
14.0,0.20946009,0.00070151,7.46e-06,0.677743849255319,0.0269045157912058,,48.07483313
15.0,0.20946823,0.00066727,4.64e-06,0.6790649721755981,0.0269315826351768,,47.80038203
16.0,0.20946762,0.00065408,3.35e-06,0.8855904678909411,0.0267601274077925,,48.33197532
17.0,0.20948257,0.00066884,4.51e-06,-0.1329446129853819,0.0268734536202665,,48.42153581
18.0,0.20946833,0.00066144,7.47e-06,0.682769367790301,0.0267630667182758,,48.41248797
19.0,0.20948267,0.00064138,9.74e-06,0.0808708602056662,0.0270364874559807,,48.26483774
20.0,0.20947504,0.00062876,8.19e-06,0.6840392385418064,0.027050673607411,,48.08191405
21.0,0.20945877,0.0006085,6.38e-06,1.8510275759433967,0.0268707759710076,,48.5572534
22.0,0.20947626,0.0006011,5.6e-06,0.9803096333160332,0.0268038424178884,,48.35938109
23.0,0.20946467,0.00058109,4.97e-06,1.870309960668365,0.0268834935533525,,48.41157007
24.0,0.20948175,0.00058059,5.82e-06,0.9150620843117386,0.0269447948713087,,48.45339994
25.0,0.20947362,0.00061047,3.48e-06,1.0593573776551763,0.0268339329578528,,48.23703858
26.0,0.20944535,0.00066801,1.88e-06,1.9826730565029205,0.026776023822723,,48.21120634
27.0,0.20945389,0.00068807,2.51e-06,1.2686507664417246,0.0268127306717013,,48.1129914
28.0,0.20941495,0.00067578,7.08e-06,3.4879234948973417,0.0268981561230426,,47.98999325
29.0,0.20944942,0.00066538,1.045e-05,1.6257945787052548,0.0267915081873992,,47.99418935
30.0,0.20941119,0.00066694,1.288e-05,3.6742548856100554,0.0267974504215503,,47.79815285
31.0,0.20942959,0.00066156,1.206e-05,2.733464724753677,0.0267777150539429,,48.19665112
32.0,0.20941434,0.00068154,9.33e-06,3.3939621165319576,0.0267584009478001,,47.78451552
33.0,0.2093937,0.00065774,1.127e-05,4.784038257065369,0.026831955947239,,47.90003937
34.0,0.20942044,0.00064944,1.42e-05,3.3543365221604584,0.0269078347588894,,47.87342037
35.0,0.20945572,0.00068811,1.521e-05,0.9214656382188277,0.0267300245856851,,47.71724681
36.0,0.2092969,0.00074335,1.287e-05,9.005011132520181,0.026505372843852,,47.94895015
37.0,0.20923599,0.00076509,9.71e-06,12.303728854963914,0.0268550598182779,,47.78005717
38.0,0.20934753,0.0008235,8.95e-06,5.37378116779163,0.0264023673075178,,47.76864902
39.0,0.20912374,0.00089509,1.049e-05,16.84827981224788,0.0266236681437105,,47.74137438
40.0,0.20928256,0.00099159,9.31e-06,7.025944901298271,0.0265498141391141,,47.58362728
41.0,0.20879399,0.00110026,7.9e-06,32.3871017118847,0.0264288003854301,,48.2889653
42.0,0.20870532,0.00122229,8.28e-06,35.65907719247968,0.0263125540560867,,49.07048875
43.0,0.20873481,0.00131961,1.312e-05,32.97904181006493,0.0264004273110542,,49.02656084
44.0,0.20853755,0.00139475,1.721e-05,42.31026431279872,0.0261171403491267,,49.05790045
45.0,0.2084498,0.001479,1.885e-05,46.12383471961642,0.0261589026580808,,49.04360749
46.0,0.20832148,0.00158755,1.866e-05,51.88115067599851,0.0261930473436645,,48.98958272
47.0,0.20815228,0.00170259,2.009e-05,59.2372673366444,0.0260005275061573,,48.99967958
48.0,0.20807632,0.00179732,1.953e-05,62.7055900701216,0.026189887973791,,48.95719408
49.0,0.20805914,0.0018427,1.957e-05,62.47246583369002,0.0259210015372648,,48.93083733
50.0,0.20797088,0.00191289,2.006e-05,66.5096659039871,0.0259690123080765,,48.92939492
51.0,0.20793062,0.00194816,2.017e-05,68.6463355738908,0.0261143828162845,,48.91969144
52.0,0.20796051,0.00201458,2.287e-05,65.86044305530017,0.0259611508884089,,48.94106532
53.0,0.20789259,0.0020701,2.084e-05,68.71407519338311,0.0258892690066862,,48.89005649
54.0,0.20781429,0.00208954,2.025e-05,73.1835641120058,0.0260703300882128,,48.86999389
55.0,0.20771251,0.00210319,2.429e-05,77.46729694725785,0.0257575345552614,,48.84743986
56.0,0.20763239,0.00213011,2.251e-05,81.2704482169572,0.0257033657028668,,48.78921899
57.0,0.20732948,0.00224622,2.051e-05,95.89008095479628,0.0256702751715176,,48.79380847
58.0,0.20723614,0.00239492,2.172e-05,98.80684915016684,0.0255797296231121,,48.74948717
59.0,0.20710416,0.00252504,2.411e-05,103.42430752977944,0.0253721586609907,,48.72024561
60.0,0.20699322,0.00263819,2.446e-05,109.02025021662284,0.0256194282024793,,48.69992075
61.0,0.20682342,0.00274682,2.708e-05,114.86366316347186,0.0252147964790763,,48.64471583
62.0,0.20665463,0.00287501,2.978e-05,123.09538988247964,0.0254071592271306,,48.63475009
63.0,0.20649194,0.00299338,3.223e-05,130.1326944718892,0.0253858909565633,,48.56223625
64.0,0.20631105,0.00308515,3.549e-05,136.72919430819195,0.0250634187210707,,48.53483048
65.0,0.20616341,0.00318289,3.923e-05,142.7628161631139,0.0249871530240305,,48.50467102
66.0,0.2059453,0.00328387,3.96e-05,152.26522770414155,0.0248937537070533,,48.43963148
67.0,0.20588674,0.00341527,4.362e-05,153.2092255616678,0.0247991381643682,,48.40409577
68.0,0.20571683,0.00346397,4.902e-05,160.74038892379835,0.0247255443481352,,48.35492274
69.0,0.20559522,0.00369463,5.395e-05,165.89524460042665,0.0249513401834787,,48.32318974
70.0,0.20543131,0.00371838,5.628e-05,169.93432210591092,0.0243739292806704,,48.28254003
71.0,0.20510583,0.00390136,5.753e-05,183.61738408591597,0.0242926033849,,48.19652
72.0,0.20477649,0.00406703,6.034e-05,200.20878521967188,0.0245390368691913,,48.14551117
73.0,0.20451954,0.00424804,6.445e-05,209.21686068581744,0.0243169246474458,,48.06748995
74.0,0.20419599,0.00436994,6.809e-05,224.3203044604184,0.0243585341445331,,48.01975932
75.0,0.20402314,0.00448128,6.759e-05,229.46106000276984,0.024116438707996,,47.97386449
76.0,0.2038699,0.00461962,6.64e-05,235.40179782542737,0.0240953925965809,,47.91013624
77.0,0.20367346,0.0047227,6.756e-05,242.2194294334929,0.023922338410242,,47.86017643
78.0,0.20350202,0.00484642,7.121e-05,250.6423778444891,0.0240547768514369,,47.78648244
79.0,0.20337055,0.0049571,7.618e-05,252.97880297302623,0.0237822492326618,,47.72891721
80.0,0.20316607,0.00507201,7.929e-05,260.55075487392725,0.0236807002324018,,47.60749259
81.0,0.20296281,0.00520066,7.99e-05,267.13466444621935,0.0235124025515186,,47.54468224
82.0,0.20285666,0.00536978,8.233e-05,272.1794516687319,0.0236572735468599,,47.50901539
83.0,0.20266855,0.00549177,8.325e-05,278.1189733980625,0.0234986346793457,,47.41447204
84.0,0.20248908,0.00560118,8.708e-05,284.96559322135045,0.0234510307395325,,47.33763097
85.0,0.20222065,0.00574856,9.181e-05,297.7878336607681,0.0235753976275078,,47.24334987
86.0,0.20206609,0.00587729,9.32e-05,299.6864082215397,0.0232490087577614,,47.15929677
87.0,0.20192618,0.00595842,9.254e-05,306.6015464152588,0.0233324595096577,,47.10212492
88.0,0.20187239,0.00606487,9.418e-05,307.0900355970989,0.0232564369002724,,47.02003873
89.0,0.20164148,0.00618077,9.829e-05,316.0154230906859,0.0232002428388501,,46.93755916
90.0,0.20154417,0.00628714,9.979e-05,316.78918704389105,0.0230002159089209,,46.8654387
91.0,0.20147787,0.00637287,0.00010407,320.6432253524199,0.0231189854408002,,46.76315879
92.0,0.20133155,0.00645314,0.00010934,325.62857074513164,0.023047626882051,,46.67176251
93.0,0.20115646,0.00648162,0.00010943,330.1785364153227,0.022817298394752,,46.59715062
94.0,0.20112707,0.00653407,0.00011194,330.5847360646756,0.0227883868526651,,46.50273839
95.0,0.20110562,0.00657278,0.00011039,333.3029446874931,0.0229306220833034,,46.44950039
96.0,0.20109443,0.0065919,0.00010875,336.36115387638193,0.023115721290323,,46.36216908
97.0,0.2010744,0.00662313,0.00010817,337.4601725958398,0.0231465783651994,,46.28218094
98.0,0.2010985,0.0066161,0.00010851,332.1341975183855,0.0228534265626072,,46.17570493
99.0,0.20121147,0.00658811,0.00010727,330.36334034532945,0.0230743846980189,,46.1097475
100.0,0.20138371,0.00654849,0.00010623,325.7198992138472,0.023288756424591,,46.05034647
101.0,0.20157467,0.00644439,0.00010478,317.9966749903041,0.0233072646529198,,45.93075765
102.0,0.20191652,0.00631805,0.00010268,303.55953226168225,0.0233414223223883,,45.89063245
103.0,0.20196207,0.00616704,0.00010196,303.5299684991004,0.0233923704617811,,45.77720665
