Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20934877,0.00072298,2.84e-06,4.005509017130126,0.0262848566821374,,58.99011705
1.0,0.20909036,0.00077606,9.73e-06,15.777800134164009,0.0263585710345897,,58.98170695
2.0,0.20846652,0.00087883,1.663e-05,42.05777976918614,0.0248864301000998,,58.65436984
3.0,0.20691846,0.00108794,2.945e-05,109.53442748011824,0.0248462836305955,,58.68761604
4.0,0.20584699,0.00130328,4.307e-05,153.75477126596547,0.0245905641592882,,58.6089027
5.0,0.20546277,0.00160693,5.574e-05,168.7853379463642,0.0247350473331714,,58.49773161
6.0,0.20492724,0.00191115,6.778e-05,187.9449879728725,0.0245147331887377,,58.45738938
7.0,0.20462187,0.00223736,7.874e-05,198.14939920450448,0.0244989971080828,,58.34109338
8.0,0.20440512,0.00254033,9.023e-05,202.99593152701632,0.0242858911929889,,58.18379811
9.0,0.20415737,0.00289818,0.00010064,211.9398891138398,0.0244585537922978,,58.02453172
10.0,0.20392985,0.00321312,0.00011304,214.97188717188425,0.0240186567995902,,57.94213896
11.0,0.20367255,0.00346756,0.00012625,223.5742240406751,0.0240137860844068,,57.79377943
12.0,0.20332623,0.00371617,0.00013598,235.1286355148775,0.0239098184744142,,57.62321196
13.0,0.20310643,0.00398129,0.00014491,242.61471062995312,0.0239611624091423,,57.48089719
14.0,0.20268309,0.00422055,0.00015176,255.5394203196486,0.0236794361323383,,57.37498242
15.0,0.20233972,0.00449237,0.00015735,268.83420413118785,0.0237836507254062,,57.17826477
16.0,0.20201718,0.00471967,0.00016409,277.6486656106352,0.0235435264337386,,57.02885398
17.0,0.20175155,0.00499514,0.00016791,287.6391891443729,0.0236445142270654,,56.87339842
18.0,0.20136082,0.00522718,0.0001706,298.5734119873254,0.023368492231553,,56.69481507
19.0,0.20107405,0.00549888,0.00017522,308.397362373709,0.023386189826921,,56.5657725
20.0,0.20103076,0.00572292,0.00018049,311.05870581161463,0.0236001686186089,,56.39310251
21.0,0.20100018,0.0059373,0.00018267,308.80827377065657,0.0234723567602569,,56.20676609
22.0,0.20098849,0.00604709,0.00018108,311.06516440012746,0.0236759162086271,,56.04671126
23.0,0.20096227,0.00620831,0.00017853,306.5995592116284,0.0233535391660021,,55.902951
24.0,0.20089266,0.00639266,0.0001766,309.90987840890324,0.0235003854576665,,55.70097704
25.0,0.20088108,0.00652802,0.00017518,306.3684144138142,0.0232800647505175,,55.5573482
26.0,0.20079064,0.00663605,0.00017585,309.59924612779406,0.023309542270391,,55.36667532
27.0,0.20077702,0.00674986,0.00017405,306.37043063902314,0.0230936803864834,,55.22501759
28.0,0.20072022,0.00688359,0.00017183,308.77296379017497,0.023179649671389,,55.07324146
29.0,0.20062449,0.00701378,0.00017155,309.1656751849748,0.0229950654540624,,54.88664223
30.0,0.20050824,0.00712823,0.00017258,312.5542866399776,0.022964451215508,,54.76127908
31.0,0.20022828,0.00725456,0.00016778,317.2685855527935,0.022554278151181,,54.59728201
32.0,0.20019759,0.00733501,0.00016448,323.6043571925365,0.0229593636425441,,54.40398097
33.0,0.20020928,0.00739483,0.00016209,324.64687374827656,0.0231003522090726,,54.25089076
34.0,0.20019292,0.00744312,0.00016048,328.5736467377713,0.0233585398498573,,54.07835217
35.0,0.20042613,0.00746079,0.0001572,316.8675152400794,0.0232200046661193,,53.94024246
36.0,0.20064614,0.00746685,0.00015429,307.7381049660914,0.023219824595559,,53.78557535
37.0,0.20065742,0.00750161,0.00015563,304.0922717839773,0.0230028873125651,,53.64378622
