Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20936381,0.0007735,1.947e-05,9.339211718355203,0.0264703791526143,-0.0252059876522147,75.15689679
1.0,0.20938242,0.00078992,2.148e-05,6.883898168336384,0.0265781736287784,-0.0240624416825848,74.8658417
2.0,0.20939878,0.00082275,2.251e-05,4.310314384372816,0.0266605684394612,-0.0169175572436397,75.06248508
3.0,0.20942765,0.0008163,1.876e-05,1.421661436229172,0.0265747399791104,-0.0057725834914185,75.03711789
4.0,0.20940773,0.00078103,2.135e-05,4.339482369956443,0.0267084689146258,-0.0131484729912314,75.08270253
5.0,0.20945439,0.00077971,1.747e-05,-0.6176878667253919,0.0264638367994268,-0.0165917130453885,75.07049577
6.0,0.20943619,0.00076385,1.2e-05,1.9482483697197883,0.0265951461717251,-0.019112005012022,75.09948684
7.0,0.20947828,0.00071312,9.52e-06,-1.3992271956501217,0.0264116644462443,-0.0209252070292238,75.17692351
8.0,0.20950024,0.00068674,9.23e-06,-3.181846496395335,0.0264390673976702,-0.0216499227284232,75.17329963
9.0,0.20950268,0.00067972,3.47e-06,-3.1060924036049062,0.0267469601836814,-0.0241936758776574,75.09567222
10.0,0.20949891,0.00066916,5.88e-06,-2.550164972230415,0.0268782986166751,-0.0225794951629422,75.19351709
11.0,0.20950888,0.00064617,6.99e-06,-3.1333969253041927,0.0266200566500205,-0.024614327286256,75.20419801
12.0,0.20951376,0.00066203,4.62e-06,-3.911799588117252,0.0263990449788021,-0.0225922460685819,75.18340836
13.0,0.20950298,0.00064677,1.156e-05,-2.6711499931691387,0.0266044749902107,-0.0256097691589446,75.34247778
14.0,0.20953541,0.00065222,1.455e-05,-6.434064962045802,0.0264584013249331,-0.0235796073538734,75.21678623
15.0,0.20950969,0.00065896,1.036e-05,-3.646286449664091,0.0266313989405385,-0.0247420010014966,75.40351161
16.0,0.20953338,0.00065972,5.13e-06,-6.060582103479262,0.0265982169412956,-0.0232819641362961,75.11798772
17.0,0.20950654,0.0006657,1.54e-06,-3.102299469995634,0.0264756043427001,-0.024118549044728,75.40160431
18.0,0.20951742,0.00062839,-3.4e-06,-3.2063509871507625,0.0261212564712258,-0.0245271469011676,75.32760078
19.0,0.20954324,0.00061257,-3.82e-06,-5.661081270986283,0.0263321358283452,-0.0251014662897863,75.2656133
20.0,0.20951945,0.00062879,-4.27e-06,-3.4384708452746526,0.0264032844338546,-0.0246794260927112,75.15956702
21.0,0.20952494,0.00063848,4.6e-06,-4.63263273934442,0.0266387573458526,-0.0255887094819991,75.17730497
22.0,0.20950664,0.00064003,8.22e-06,-2.7997818593683146,0.0266873691734368,-0.025614782385233,75.20438874
23.0,0.20952209,0.00062413,5.33e-06,-4.011960853397557,0.0266086624985507,-0.0245952298286259,75.22994665
24.0,0.20953378,0.00064302,2.85e-06,-5.59003264195155,0.0263918374964513,-0.0247617196805726,75.2873566
25.0,0.20953073,0.00064764,2.24e-06,-5.336120215028389,0.0263704573620412,-0.0262289875063556,75.24444219
26.0,0.20952118,0.00061943,3.15e-06,-3.701486254068225,0.0264677122000457,-0.0259882372461716,75.02338528
27.0,0.20950918,0.00061811,4.94e-06,-2.457362634210385,0.0267817071520202,-0.0259029950391954,75.34209632
28.0,0.20952321,0.00062999,1.075e-05,-4.46080697009076,0.0265218950302148,-0.0246950652287138,75.14736025
29.0,0.20951935,0.00064944,1.099e-05,-4.488917018215105,0.0264935359774354,-0.0217448645763697,75.40522819
30.0,0.20952728,0.00064103,1.027e-05,-5.125822917776604,0.0264421983213497,-0.0235668282115115,75.20591458
31.0,0.20952646,0.00062409,1.231e-05,-4.749955435775197,0.0265772646722059,-0.0254535026113808,75.13038521
32.0,0.20953165,0.00061225,1.175e-05,-5.026965068961353,0.0265843958989375,-0.0237545801479527,75.07946011
33.0,0.20953104,0.00060504,1.482e-05,-4.916317796646954,0.0266151760171364,-0.0245288068852189,75.29899118
34.0,0.20953582,0.00057399,1.549e-05,-4.777575613646477,0.0267596331530416,-0.0229376778662551,75.31749206
35.0,0.20951589,0.000583,1.683e-05,-2.8270703000402087,0.026664922266938,-0.0210639916031002,75.30585748
36.0,0.20952565,0.00060946,1.891e-05,-4.534834976056353,0.0263444322004182,-0.0224188027390654,75.44470945
37.0,0.20950054,0.00063082,2.028e-05,-2.3642654459808177,0.0265726386077392,-0.0215988129174448,75.31272379
38.0,0.20952199,0.00063824,2.048e-05,-4.874833984036069,0.0264692909429062,-0.0231532881143794,75.41037792
39.0,0.20956428,0.00062218,1.484e-05,-9.002619975832316,0.0267361721489643,-0.0235799060026866,75.08594496
40.0,0.20952189,0.00062704,1.036e-05,-4.263001114350512,0.0267038571588372,-0.0220094451890211,75.12504475
41.0,0.20947919,0.000637,8.25e-06,0.2854874752361545,0.0261836761957403,-0.0213747798092385,75.46607129
42.0,0.20951111,0.00065011,2.83e-06,-3.293977000044942,0.0264821686586387,-0.0222395874398832,75.22708569
43.0,0.20953551,0.00065992,2e-08,-6.07173589126606,0.0264527466618183,-0.0227348215670245,75.29422291
44.0,0.20952067,0.00064406,1.69e-06,-4.147469819043976,0.0264225909152266,-0.0218787339172869,75.2705723
45.0,0.20953887,0.00063266,5.92e-06,-6.085244069804052,0.0266633552824896,-0.0233687666465476,75.27095376
46.0,0.2095044,0.00063134,1.39e-06,-2.0949837698890867,0.0267158864574629,-0.024463041663274,75.34476655
47.0,0.20953388,0.00063074,-1.49e-06,-5.187304273279064,0.0265456290094228,-0.0192361860403832,75.34438509
48.0,0.20949556,0.00060257,-6e-08,-0.3951309358044474,0.0263312974919946,-0.021992466326761,75.29994483
49.0,0.20951355,0.00060675,6e-08,-2.45586282786962,0.0264067613256581,-0.0219576879760461,75.22441546
50.0,0.20952341,0.00062293,2.69e-06,-4.002220825412881,0.0264312049160281,-0.0214712346970358,75.34839043
51.0,0.20951355,0.00063864,8.85e-06,-3.558406060120389,0.0267321648252169,-0.0195000913579962,75.22575058
52.0,0.20952982,0.00064019,1.422e-05,-5.525078918633141,0.0264060719583707,-0.020093299846683,75.11722479
53.0,0.2095225,0.00064338,1.928e-05,-5.006714059462524,0.0264893257573202,-0.0203066879327507,75.31196087
54.0,0.20950735,0.0006588,2.171e-05,-3.803024488588212,0.0265376059738258,-0.0198474118868994,75.45539037
55.0,0.2095103,0.00066657,1.73e-05,-4.169873855423277,0.0267452444208591,-0.0203029164998096,75.27114449
56.0,0.20951711,0.00065211,1.201e-05,-4.386979602787438,0.026756937558793,-0.0212303693227988,75.07030504
57.0,0.20948885,0.00063186,1.125e-05,-0.7596428147621346,0.0263981613285494,-0.0200494382805015,75.0148024
58.0,0.20951213,0.00064358,1.692e-05,-3.793308194559756,0.0265204187883651,-0.0215014630215026,75.45920498
59.0,0.20950999,0.000637,2.07e-05,-3.555147697680869,0.0265501998945153,-0.0208327821582942,75.35849916
60.0,0.20953907,0.00064274,1.788e-05,-6.857089155722991,0.0269090267569158,-0.0202904115000764,75.03444766
61.0,0.20952799,0.00065952,1.459e-05,-5.823727025274307,0.0266003440742553,-0.021535404354244,75.13210179
62.0,0.20951864,0.00062999,1.608e-05,-4.128222506453205,0.0263046673112985,-0.0207800839186278,91.3482186
63.0,0.2095165,0.00060799,1.617e-05,-3.4522630174944946,0.02671817187231,-0.0203406318991302,75.36841716
64.0,0.20952108,0.00062054,1.263e-05,-4.106911346537519,0.0266834125220585,-0.0202642186000171,75.05619096
65.0,0.20949952,0.00060962,8.31e-06,-1.3154112321443372,0.0266448281553218,-0.0216108556938784,75.32912663
66.0,0.20952026,0.00059571,1.154e-05,-3.373158547652006,0.0264561274855904,-0.0186220702937668,75.0806045
67.0,0.2094921,0.00061421,1.726e-05,-0.9412227909921188,0.0265224702069437,-0.0185243173769879,75.16834063
68.0,0.20951477,0.00063222,1.803e-05,-3.8888761666185703,0.0266943017373342,-0.0209485615930897,75.12504475
69.0,0.20948367,0.00060488,1.554e-05,0.2603773974999462,0.0265560104890782,-0.0206452560560806,75.09014103
70.0,0.20952189,0.00059352,1.127e-05,-3.4779338928698587,0.026358894305051,-0.0185229609201705,75.11302872
71.0,0.2094858,0.00059261,6.39e-06,0.6521813599190669,0.0264363129820799,-0.0181385532347766,75.13839591
72.0,0.2095039,0.00060372,6.47e-06,-1.5832755469987594,0.0265155417289487,-0.0155254724894201,74.95453149
73.0,0.20950247,0.00060484,4.27e-06,-1.3640039040901717,0.0264112683815318,-0.0156834706955021,74.99725517
74.0,0.20948438,0.00060169,5.79e-06,0.6216570413691673,0.0264178452071433,-0.0171847808214591,75.10425511
75.0,0.20948966,0.00056666,1.37e-05,0.5496185211113707,0.0264678458416114,-0.0170751803810557,75.11283799
76.0,0.20950949,0.00056371,1.445e-05,-1.5858361782893735,0.0266314973755149,-0.0161144110293503,75.04932466
77.0,0.2094917,0.00056606,1.293e-05,0.3710382650716608,0.0265644536341984,-0.0152136733847093,75.06839773
78.0,0.20948428,0.00060356,1.329e-05,0.3080124527361793,0.0264680990128794,-0.0157711516677653,75.00564732
79.0,0.2094671,0.00062397,1.431e-05,1.6677834883145048,0.026305488428509,-0.0136920207629079,75.18855809
80.0,0.20944992,0.00062265,1.626e-05,3.513459581056006,0.0264920998481132,-0.0138194236583375,74.8751875
81.0,0.20946486,0.00064561,1.484e-05,1.4203808350588731,0.0267112627443812,-0.0112412849704666,74.98962594
82.0,0.20948184,0.00066338,8.13e-06,-0.6012227712626332,0.0265232088147424,-0.0101505539658333,75.14526221
83.0,0.2094552,0.0006747,1.185e-05,1.914270529877076,0.0265382051825998,-0.0120192579228723,75.02929793
84.0,0.20948763,0.00069268,1.824e-05,-2.2901408914075474,0.026535189492347,-0.0103427919708024,74.92706626
85.0,0.2095042,0.00070854,1.961e-05,-4.520682781215021,0.0265389118206709,-0.011674467642891,75.08270253
86.0,0.20942674,0.00071691,1.593e-05,3.8836517429738735,0.0263802120178226,-0.0096026306554457,75.20000193
87.0,0.20942328,0.00069925,1.964e-05,4.534157710332401,0.0264430888873724,-0.0100505088777408,75.26961864
88.0,0.2094552,0.00070901,2.318e-05,0.6993311542709053,0.0265736876874649,-0.0112555699661971,75.00412147
89.0,0.20942958,0.00072802,2.183e-05,3.0990645498023706,0.0263773514261644,-0.0098522185402665,75.14278271
90.0,0.20941627,0.00074086,1.641e-05,4.461016038612137,0.0263939353962372,-0.0103221503212487,75.11970429
91.0,0.20942582,0.0007297,1.153e-05,3.8722146440933,0.0264807369625723,-0.0091760718843247,75.12351891
