Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2095614,0.00061471,9.527e-05,-2.33667354630562,0.0267869342127027,-0.0056388130959696,118.97075687
1.0,0.2095373,0.00058884,7.272e-05,-0.276184738884603,0.0269566773578841,-0.0070981057301586,118.97649363
2.0,0.20955835,0.00057377,9.522e-05,-1.683636697700206,0.0266435332317471,-0.0066229461826575,118.86596527
3.0,0.20953151,0.00056998,6.242e-05,0.4630618554938621,0.0269272193572274,-0.0069802517217042,118.97381647
4.0,0.20952582,0.000609,3.061e-05,0.9025231485693512,0.0259841307097389,-0.005745669311413,119.05738204
5.0,0.20957686,0.00060607,3.25e-06,-1.3419234627386385,0.0269608279640199,0.0093770272843311,119.07784317
6.0,0.20951463,0.00058762,8.63e-06,2.2399094139565507,0.0270772830421864,0.0376470457628222,119.13463716
7.0,0.20951504,0.00057222,-1.146e-05,2.785142295268047,0.0270790392934472,0.0456107114814381,119.05241017
8.0,0.20951616,0.00057356,-2.411e-05,2.9096270478304898,0.0266991733955019,0.0722875591970004,119.46813451
9.0,0.20949206,0.00061744,-3.103e-05,3.8784218157612007,0.0268146703808893,0.0664247747302374,119.27537916
10.0,0.20952266,0.00065129,-1.627e-05,1.5179192243769883,0.0269229723716088,0.0509868098668689,119.12392853
11.0,0.2095126,0.00063907,-1.899e-05,2.270218800872124,0.0269142234793239,0.0561530844355235,119.06273635
12.0,0.20952968,0.00061597,-2.959e-05,1.7829207922532564,0.0267433865509303,0.0547120218997293,119.16217364
13.0,0.2095069,0.00059654,-2.672e-05,3.232114457933615,0.0269343793816728,0.0543813080385636,119.25224087
14.0,0.20954534,0.00059931,-1.361e-05,0.8075766841453541,0.0267548522228767,0.0752884473815463,119.07210641
15.0,0.20952327,0.00063055,3.43e-05,0.7489317398058173,0.0267060634889532,0.0714616043309953,119.33389418
16.0,0.20953375,0.00063316,1.524e-05,0.5086542337074741,0.0269334924803031,0.0978948685192142,119.29144211
17.0,0.20956669,0.00061361,-8.48e-06,-0.6343313247930255,0.0267724829989145,0.286232169513929,119.11169009
18.0,0.20955052,0.00058285,-4.076e-05,1.237509887500276,0.0269198283869276,0.3835108868588983,119.04877689
19.0,0.20957859,0.00059141,-4.435e-05,-0.3505935925207835,0.0268335885087307,0.3759079067452374,119.43046308
20.0,0.2095676,0.00061198,-4.291e-05,-0.008612296720167,0.0268577690137494,0.3249450086296665,118.94130813
21.0,0.20958316,0.00061198,-3.118e-05,-1.09801693654308,0.0269268285733118,0.2796344902802097,119.26122847
22.0,0.20954839,0.0005677,-3.046e-05,1.3294409113308698,0.0268181978737591,0.2194355086501266,119.12354608
23.0,0.2095733,0.00055043,-2.898e-05,0.1239351283514203,0.0268748711919188,0.175384739049742,119.03653845
24.0,0.20955937,0.00057813,-1.053e-05,0.2216049156843088,0.0269877552866386,0.1203833324930473,119.17919271
25.0,0.20958987,0.00059442,-7.61e-06,-1.7189705434371474,0.02693144419008,0.0999182466174101,119.1057621
26.0,0.20957777,0.00063153,-3.82e-06,-1.5393636540865998,0.0267142851126014,0.0807527623648765,119.1648508
27.0,0.20957818,0.00060762,5.013e-05,-2.350846226833494,0.0271480898057017,0.0536650817517792,119.1394178
28.0,0.20954259,0.0005998,8.266e-05,-0.893698071834494,0.0270939534656654,0.0340244251762757,119.25224087
29.0,0.20956577,0.0006312,8.077e-05,-2.491870994183168,0.0267820560158476,0.0280935870979279,119.16217364
30.0,0.20955306,0.00065536,9.25e-05,-2.310708435396623,0.026982071103699,0.0151035988986238,119.17651555
31.0,0.20955439,0.00061813,4.977e-05,-1.1299731658078875,0.0270289462967142,0.0101439378179808,119.19640301
32.0,0.20953161,0.00058713,5.31e-05,0.433282736986642,0.0267170402397098,0.0009471850485857,119.01990183
33.0,0.2095371,0.00061854,1.867e-05,0.4249128366014064,0.0268025310434851,-0.0002872413984067,119.02850698
34.0,0.20953181,0.00061295,4.449e-05,0.2912975436379443,0.0270318461196126,-0.0004325369185318,118.97993569
35.0,0.20954097,0.00058721,8.384e-05,-0.6693850469525774,0.0267340400286477,0.0017914129193944,119.29469294
36.0,0.2095611,0.00060297,6.652e-05,-1.6344699147924373,0.0267801715252866,0.0037266693560675,119.09409734
37.0,0.20955774,0.00061813,4.367e-05,-1.1833571389629032,0.026671767231433,0.0040855191449094,119.1034674
38.0,0.20952409,0.00061817,4.065e-05,0.7391763511170614,0.0271961418792398,0.0062122693751409,119.18569438
39.0,0.209555,0.00060509,8.671e-05,-1.7126252817178833,0.0268595724538402,0.0053047258255234,119.16007016
40.0,0.20953883,0.0006319,0.00011883,-1.720717629005535,0.0265110190118586,0.0083381140805476,119.30903486
41.0,0.20953395,0.00066285,0.00014655,-2.36300071654253,0.0268531829929783,0.0109773830015544,119.1304302
42.0,0.2095309,0.00067552,0.00016961,-2.8064819943015293,0.0270809656091591,0.0111520371642391,119.43753843
43.0,0.20951575,0.00068803,0.00016213,-1.959811057771753,0.0270498190121875,0.0119136009133119,119.4964359
44.0,0.20946125,0.00071426,0.00013359,1.3134135881629372,0.0268102379285893,0.0139180635489058,119.34307301
45.0,0.20948301,0.00072355,0.00014394,-0.1945329912944483,0.0266520590288673,0.0182747316719405,119.26352318
46.0,0.20951199,0.0007442,0.00016879,-2.518706865727625,0.0268660510187875,0.0180257423734311,119.04055419
47.0,0.20948962,0.00074213,0.00018088,-1.494388001707951,0.0270144128944265,0.0198799326692369,119.23636915
48.0,0.20946908,0.00070229,0.00017084,0.3084815095712674,0.0269278205646166,0.0236484202480239,119.34402913
49.0,0.20952815,0.00070827,0.00016126,-2.81554520933326,0.0265176610725075,0.0215096602191839,119.1057621
50.0,0.20948697,0.00069817,0.0001629,-0.4802982419814869,0.0266701481812259,0.0260502433122079,119.22967626
51.0,0.20950111,0.00068375,0.00017919,-1.4161383925882052,0.0269433328176679,0.0290154677711728,118.99963192
52.0,0.2095069,0.00065165,0.00018247,-1.4164257864513343,0.0267471028576996,0.0272742270571561,118.87151081
53.0,0.20950111,0.00063687,0.0001756,-0.7948579386754313,0.0267471692204433,0.0297624420130024,119.28302818
54.0,0.20948403,0.00065471,0.00017376,-0.0236903406216185,0.0267237177058409,0.0335620591080038,119.36315169
55.0,0.20951351,0.00066192,0.00016428,-1.5433699978939923,0.0265796207703134,0.0336248993892603,119.10824803
56.0,0.20947803,0.00069683,0.00015198,0.2381198689791055,0.0270562464369426,0.0381603708374081,119.02410879
57.0,0.20926359,0.00075907,0.00015711,11.128368892221888,0.0264657552131998,0.0403062719928849,118.80917128
58.0,0.20874961,0.00097509,0.00018001,35.29525753516743,0.0257651805295291,0.0380438771893311,119.1566281
59.0,0.20823584,0.00131674,0.00017986,58.78818526147637,0.0257830447190953,0.0307232245997075,118.67034153
60.0,0.20783035,0.00180491,0.0001775,74.15266961269624,0.0255172495519501,0.0159334156983552,118.90574018
61.0,0.2076091,0.00233051,0.00018006,81.02973824300736,0.0258560091471584,0.0087508325492922,118.59557234
62.0,0.2073545,0.00269892,0.0001795,90.46820464405992,0.025849371760801,0.0100923383351602,118.55770968
63.0,0.20709847,0.00301678,0.00018344,99.46315762505174,0.0255879771809053,0.0074750919724938,118.24409978
64.0,0.20701398,0.00320652,0.00018447,102.07950869708212,0.0256551538207126,0.0070356725564258,118.26150131
65.0,0.20701591,0.00331907,0.00018877,100.94678843989422,0.0257261868629382,0.0054184734497218,118.06090571
66.0,0.2069606,0.00337581,0.00017632,103.3394717401258,0.0256931507297907,0.0044567273666403,118.13089426
67.0,0.20698754,0.00335997,0.00017735,103.03853484558604,0.0259361726711131,0.0022752204057251,118.04924095
68.0,0.20705801,0.00334082,0.00018616,99.19464231270793,0.025899447329809,0.0024569431436655,117.7868795
