Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20951178,0.00068131,8e-07,1.6951624408952541,0.026217272178217968,,-1.03015436
1.0,0.20949217,0.00066887,3.08e-06,2.8349093726124353,0.026043119708114657,,-1.0954418
2.0,0.20955532,0.00066907,3.6e-06,-0.5704698065178124,0.026108699938636577,,-1.04378868
3.0,0.20954833,0.00066307,3e-06,-0.1154967466290353,0.02619884538006443,,-1.04877045
4.0,0.2095624,0.00064992,3.12e-06,-0.7271364700397288,0.026129292326543797,,-1.05545652
5.0,0.20951599,0.00066323,3.92e-06,1.614759908733776,0.026226687135743523,,-1.06895974
6.0,0.20955871,0.00066601,4.94e-06,-0.7435478506337978,0.02611295463845536,,-1.03736482
7.0,0.20958931,0.00065795,3.26e-06,-2.263353530301216,0.02604144208836828,,-1.05584981
8.0,0.2095277,0.00065445,2.38e-06,1.100430771532703,0.026007318748939967,,-1.07551471
9.0,0.20953858,0.00061937,3.57e-06,0.8952016851339619,0.026179885432880887,,-1.09072222
10.0,0.20953283,0.00059994,5.17e-06,1.3898357032527484,0.026068754923412263,,-1.05165464
11.0,0.20951743,0.00058611,6.52e-06,2.3442552941865897,0.026021239036543548,,-1.04588627
12.0,0.20954053,0.00060705,7.21e-06,0.8678231917402203,0.026373207248952365,,-1.06935304
13.0,0.20956774,0.00062469,6.3e-06,-0.7934347776968936,0.026275149758156674,,-1.05073694
14.0,0.20955665,0.00060971,5.03e-06,0.0016094182988735902,0.026025805620948396,,-1.06345357
15.0,0.20957318,0.00063121,4.5e-06,-1.1311218386202155,0.026332480058668024,,-1.03120315
16.0,0.20955747,0.00064547,5.98e-06,-0.4663537461582669,0.02623888185769926,,-1.07328602
17.0,0.20955942,0.00065652,6.7e-06,-0.7097913334020658,0.02620253863867388,,-1.02359939
18.0,0.20956815,0.00064297,5.37e-06,-1.0013588472600972,0.026153989912762188,,-1.05362113
19.0,0.20957904,0.00062302,1.99e-06,-1.3065270573996712,0.026282565310841333,,-1.02595918
20.0,0.20954782,0.00062302,0.0,0.4222342340502073,0.026220314892555316,,-1.06188038
21.0,0.20958766,0.0006063,8.1e-07,-1.550103284812595,0.026088274949085444,,-1.01193156
22.0,0.20954515,0.00062167,5.8e-07,0.5716054472158573,0.02624382687498832,,-1.04247769
23.0,0.20960769,0.00059326,-1.35e-06,-2.435820942867792,0.02603644683726167,,-1.05047474
24.0,0.20954474,0.00061977,-8.1e-07,0.6394657105375313,0.0261661611390216,,-1.04378868
25.0,0.2095357,0.00061094,-7e-08,1.2142713220161474,0.026184447208672093,,-1.05309673
