Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20954829,0.0004878,1.35e-06,1.005912491339692,0.025369380601205162,,-2.35008617
1.0,0.2095642,0.00047322,1.95e-06,0.32267336145109443,0.0253785866732412,,-2.31356503
2.0,0.20954562,0.00046964,9.2e-07,1.3541400038149387,0.025398730123457818,,-2.31054349
3.0,0.2095757,0.0004759,-1.14e-06,-0.2525577988441539,0.025355577714903807,,-2.3508744
4.0,0.20955117,0.0005004,-2.02e-06,0.776260036535649,0.025314365988585556,,-2.32000221
5.0,0.2095602,0.00050435,4.4e-07,0.21626153276560078,0.025208021626440782,,-2.32551979
6.0,0.20956544,0.00049719,2.1e-07,0.02614916543911589,0.02534651297031021,,-2.33616084
7.0,0.20954819,0.00046243,3.71e-06,1.2492932784533857,0.025421086266155034,,-2.36795263
8.0,0.20952869,0.00047936,5.64e-06,2.0399926994670494,0.02529028614259429,,-2.31133172
9.0,0.20953803,0.00049583,3.81e-06,1.411877956994392,0.02540024516010784,,-2.30108478
10.0,0.20956143,0.00048187,1.4e-06,0.3790760204687687,0.02513936602145931,,-2.37058005
11.0,0.20955989,0.00052021,5e-08,0.06641112387568657,0.0251767005548109,,-2.36033311
12.0,0.20958145,0.00048866,2.38e-06,-0.7544419194905174,0.025275875405793305,,-2.30817881
13.0,0.20955753,0.00052021,1.6e-06,0.16223138519230498,0.02534634341731972,,-2.32867269
14.0,0.20958525,0.00054718,2.22e-06,-1.5824588295790785,0.02516416177372733,,-2.34299214
15.0,0.20954634,0.00053116,3.09e-06,0.5958821425440551,0.02516054715037657,,-2.32643939
16.0,0.20959418,0.00053367,5.37e-06,-1.9668436513151462,0.025310463605082045,,-2.33051189
17.0,0.20957817,0.00051526,7.4e-06,-0.9665719208225193,0.025325161027274945,,-2.2987201
18.0,0.20954337,0.00046943,6e-06,1.3755067317457177,0.02527311826247103,,-2.28216735
19.0,0.20960937,0.00049365,2.47e-06,-2.271917768901131,0.025338327277393907,,-2.30765333
20.0,0.20957899,0.00053499,3.71e-06,-1.1531363807206743,0.025198954165645212,,-2.37149965
21.0,0.20956841,0.00051918,5.77e-06,-0.46931020065188245,0.0252753502814909,,-2.28190461
22.0,0.20958833,0.00054359,5.95e-06,-1.7749610834144447,0.02523199717410701,,-2.33484713
23.0,0.2095525,0.00048669,2.4e-06,0.7749708251182783,0.025243730717064355,,-2.34075883
24.0,0.20957416,0.00047611,-3.5e-07,-0.1880327469780848,0.025279015523355344,,-2.33235108
25.0,0.20956051,0.00048842,-1.6e-07,0.3870155124962023,0.02536802582183497,,-2.32302374
26.0,0.2095716,0.00051592,-1.45e-06,-0.47288131509678166,0.02543627062636944,,-2.34417448
27.0,0.20958679,0.00050011,-2.93e-06,-1.0667078145416722,0.025379794353448438,,-2.31658656
28.0,0.20956174,0.00046367,-2.4e-06,0.6388869237882542,0.025537111535352913,,-2.33931375
29.0,0.20959521,0.00043785,-2.6e-07,-0.876453419295997,0.025498706816350927,,-2.31750616
30.0,0.20955548,0.00045828,4.03e-06,0.915801450896994,0.02566999594649297,,-2.34351762
31.0,0.20958689,0.00049389,6.34e-06,-1.1796118468301688,0.02555789707278774,,-2.36335465
32.0,0.20958576,0.00047281,5.12e-06,-0.8628723198025547,0.02550133332466119,,-2.33169423
33.0,0.20958217,0.0004486,5.26e-06,-0.41011776364294555,0.025534907311856307,,-2.36059586
34.0,0.20957847,0.00046252,6.92e-06,-0.39788662067676644,0.025451789563600676,,-2.34956069
35.0,0.20960188,0.00049883,7.95e-06,-2.0425867526667987,0.025417779160551372,,-2.32762173
36.0,0.20958217,0.00050394,5.09e-06,-1.0176527718288602,0.025521540130904286,,-2.33235108
37.0,0.20959356,0.00049291,2.72e-06,-1.443931190728863,0.025372968666800173,,-2.35323908
38.0,0.20959469,0.0005116,3.49e-06,-1.7285112325944492,0.02546687694210809,,-2.35297634
39.0,0.20958545,0.00055179,2.68e-06,-1.6700821457283144,0.025450719488653527,,-2.3368177
40.0,0.2095677,0.00055249,4.6e-07,-0.7047204673703705,0.025418353687468476,,-2.3368177
41.0,0.20954716,0.00054862,-1.45e-06,0.4526973204089031,0.025608291496055997,,-2.32788447
42.0,0.20956718,0.0005725,-1.5e-06,-0.8696209255582694,0.025645020651694744,,-2.31211994
43.0,0.20954911,0.00053981,3.8e-07,0.4136296662478092,0.02559416069917466,,-2.32420608
44.0,0.2095524,0.00053598,5.73e-06,0.18351315871077684,0.025425109953052086,,-2.32670213
45.0,0.20957211,0.00055961,6.34e-06,-1.1235113615817367,0.025480085247605307,,-2.3318256
46.0,0.20954162,0.00057102,2.91e-06,0.41630359351911367,0.025524846695122477,,-2.32565116
47.0,0.20955774,0.00054956,1.25e-06,-0.16460791082029727,0.025417767650188956,,-2.34929795
48.0,0.20956174,0.00055586,3.62e-06,-0.48325911522972376,0.025246967605234632,,-2.31855713
49.0,0.20954675,0.0005704,1.75e-06,0.17184824760725773,0.025185286049722984,,-2.31198857
50.0,0.20957303,0.00056443,-7.8e-07,-1.0850340474828988,0.02523326416901765,,-2.30450042
51.0,0.20954326,0.00055661,-2.04e-06,0.5804782881528852,0.025586174211466035,,-2.33944512
52.0,0.20958186,0.00052251,1.97e-06,-1.1470409228580307,0.025465623253681156,,-2.34194117
53.0,0.2095487,0.00053256,1.69e-06,0.4915053183759235,0.025588392093455092,,-2.34207254
54.0,0.20954347,0.00056274,2.1e-06,0.4215096397658797,0.02531283415981454,,-2.31501011
55.0,0.20955086,0.00054919,2.27e-06,0.18165224096730273,0.025413531292276,,-2.31803164
56.0,0.20957704,0.00055772,5.51e-06,-1.333986461306664,0.025238938193447306,,-2.32315511
57.0,0.20955476,0.00052342,8.29e-06,0.1507651890240018,0.02530948403143897,,-2.33576673
58.0,0.20958371,0.00048726,9.57e-06,-0.9882837532734503,0.02532104250636188,,-2.33484713
59.0,0.20959685,0.00051741,7.07e-06,-1.9649207185584847,0.025388345042379877,,-2.34667053
60.0,0.20960434,0.00052132,4.32e-06,-2.3478549207442145,0.02536121115510274,,-2.34338625
61.0,0.2095562,0.00054368,3.2e-06,-0.05371635509996322,0.02502288380608745,,-2.32118455
62.0,0.20960804,0.00056937,6.49e-06,-3.1034509098790806,0.025324547490075594,,-2.33878826
63.0,0.20959808,0.00056678,9.56e-06,-2.619847425030941,0.02541889081599394,,-2.35652335
64.0,0.20961697,0.00056048,8.36e-06,-3.522537523823772,0.025441171084753696,,-2.37662312
65.0,0.20958525,0.00052671,6.99e-06,-1.4648349491982082,0.025505812182325935,,-2.31461599
66.0,0.20960126,0.00054298,6.56e-06,-2.4730318652633487,0.02544510465027859,,-2.33602947
67.0,0.20958628,0.00049678,4.37e-06,-1.1376671996055017,0.0254273872394588,,-2.31947672
