Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948561,0.00061935,4.64e-06,-1.1892774143804614,0.026491438226155097,-0.040928399331121135,51.94767457
1.0,0.20943317,0.00078017,1.344e-05,-0.4317279650626173,0.02651373621970867,0.42143614263718254,51.76226353
2.0,0.20937333,0.00120317,2.696e-05,-2.0618221049051235,0.026641813546077114,0.3090570782532161,51.04088643
3.0,0.20897481,0.00203476,4.858e-05,7.831575862557788,0.02461185466465788,0.19563625135527832,50.79062076
4.0,0.207797,0.00334358,7.262e-05,45.748703805935094,0.02344409950432964,0.14176005460964963,51.28396057
5.0,0.20642511,0.00477993,9.555e-05,90.40054710556866,0.023247908272791173,0.06982079496372373,52.00677598
6.0,0.20503166,0.00592026,0.00012269,139.81561593181365,0.023417581966622757,0.042798091879788724,51.87052893
7.0,0.20395977,0.00660011,0.00014672,179.00492686515662,0.023428610777744118,0.02787259206238881,51.69819342
8.0,0.20294678,0.00700929,0.00016814,219.97797851615672,0.02364839252450224,0.017867261479027518,51.5440329
9.0,0.20258326,0.00718976,0.00018345,234.6169595276973,0.023746147518203243,0.014268626227100806,51.40046356
10.0,0.20197506,0.00718023,0.00019209,259.1941113374024,0.02362618444977404,0.0016005797050634937,51.21165288
11.0,0.20188279,0.00714989,0.00020082,264.91115167278963,0.023776248156325484,0.0010348972002442404,51.10822542
12.0,0.20186391,0.0070433,0.0002083,268.11311980641443,0.02391735050031423,-9.77377600468794e-05,50.93915879
13.0,0.20188987,0.00683828,0.00021259,267.67786016929153,0.02382416215494895,-0.0003123253911392903,50.8101033
14.0,0.20205819,0.00663003,0.00021446,263.417210650309,0.023928204073176078,-0.002058315744900353,50.65842713
15.0,0.20206086,0.00639194,0.00021399,266.7383220091459,0.02405004063537959,-0.005272281912230036,50.56219121
16.0,0.20209268,0.00621608,0.00021262,269.2972370616797,0.024263425411787536,-0.00968641146035635,50.40554634
17.0,0.20245753,0.00608753,0.00021486,253.50300942120194,0.024165208917449943,-0.00029937018073933417,50.29937302
18.0,0.20259876,0.00596627,0.00021544,245.75917317857088,0.023904114451477963,0.002775927041619434,50.15580368
19.0,0.20286345,0.00583335,0.00021703,238.67836181634016,0.024222340140311924,0.007729095686574048,50.04256958
20.0,0.20277836,0.00574672,0.00021744,241.74118818175523,0.024082887763716507,0.012784895328751713,49.90253063
21.0,0.20304336,0.00566776,0.0002119,231.87635523190747,0.02416784970243037,0.01101982623277454,49.81897798
22.0,0.20300652,0.00555815,0.00020402,234.34560971053978,0.02414535993229113,0.015363929852134224,49.70796672
23.0,0.20319526,0.00549521,0.0001964,227.42516614677578,0.02420863857637357,0.0116896499578637,49.59381732
24.0,0.20333638,0.00543409,0.00018799,221.0914801915696,0.024114509117860252,0.007572457790589156,49.47129959
25.0,0.20336943,0.00540295,0.0001785,222.24732405099897,0.02435247575155129,0.009310979722632897,49.36081135
26.0,0.20349269,0.00538544,0.00016783,215.29884275654902,0.024142965731604044,0.011570472127013792,49.24862329
27.0,0.20363514,0.00537099,0.00015772,209.58948288541617,0.024165804581072366,0.006151708225075694,49.11799872
28.0,0.2035869,0.00537009,0.00014884,212.9207339765464,0.024290619915436438,0.0032319522341285583,49.03000039
29.0,0.20373336,0.00536139,0.00014349,205.89855162137818,0.024199065525804777,-0.001128436698901933,48.92526538
30.0,0.20367414,0.00535918,0.00013999,208.78040979204647,0.02422589107974236,-0.0031638334031414347,48.83844385
31.0,0.20383096,0.00533218,0.00013836,201.76015562419892,0.024172196496282973,-0.003016976680365445,48.71841047
32.0,0.20374527,0.00532892,0.0001382,206.11671351112795,0.024242386314063127,-0.0017161814568501742,48.61864417
33.0,0.20377021,0.00529936,0.0001386,205.8329630250912,0.024306874406777864,-0.0020596473548358703,48.49691097
34.0,0.20378201,0.00530971,0.00013671,203.1491949664878,0.024057822545218453,-0.009108432943363541,48.37007831
35.0,0.20374167,0.00534179,0.00013722,205.49374614160985,0.024162475684084847,-0.009938481083913275,48.28887926
36.0,0.20373736,0.00537442,0.00014084,204.97012167393325,0.02411935083315327,-0.0023265713330744187,48.20493434
37.0,0.20370801,0.00537642,0.00014457,207.51036766174443,0.024276043521323353,-0.000195677128643777,48.09836876
38.0,0.20372587,0.00535297,0.0001441,206.33546334729655,0.024204306169910653,-0.002373381391514105,47.93400933
39.0,0.20373141,0.00534848,0.00014439,206.89896706007391,0.024294612945130876,-0.0035652969800092126,47.84470345
40.0,0.20371325,0.00533915,0.00014692,209.56660543893295,0.024508386372994472,0.00020973988657897445,47.75252095
41.0,0.20366952,0.00534844,0.00015068,208.41721245790382,0.02416778375203232,-0.0008155169957712565,47.66059996
42.0,0.20374003,0.00536599,0.00015393,205.23568140146367,0.024178355360665968,0.0010332424365392205,47.5533806
43.0,0.20370134,0.00531573,0.00015879,207.8230520304693,0.02423996281602587,0.010038041299636534,47.40431954
44.0,0.20366788,0.00528239,0.00015928,208.801230971998,0.02415070947323628,0.0028837791364344514,47.3160597
45.0,0.2036921,0.00529408,0.00015686,206.36885334148323,0.023998150931837332,-0.00015869515682539502,47.21485509
46.0,0.20376323,0.00529168,0.00015452,204.66835277574114,0.02415339059050472,0.0012568479332820534,47.14803912
47.0,0.20381403,0.00523304,0.00015115,202.70332724909946,0.024114233839457183,0.004325588138316134,47.00630036
48.0,0.20383661,0.00515267,0.00014797,202.16062256199638,0.024075555139489297,0.004503396325623612,46.91111049
49.0,0.20388875,0.00510933,0.00014523,200.94030004007482,0.024149287989827673,-0.0017379656448153868,46.8191895
50.0,0.20398717,0.00510965,0.00014271,195.40701088289885,0.023991033667898874,0.000667906310644147,46.69523346
51.0,0.20403212,0.005063,0.00014114,194.80257072586525,0.02410249941562401,-0.004039522214697957,46.60409701
52.0,0.20408231,0.00499078,0.00014259,193.88800361921062,0.024182626234659856,-0.00860202748481028,46.4970084
53.0,0.20406774,0.0049698,0.00014833,192.1335610807366,0.02387313299578485,-0.009753481191266214,46.42090881
54.0,0.20414553,0.00495449,0.00015238,192.4811783050934,0.024330310477120528,-0.008245466859389023,46.35278529
55.0,0.20420978,0.00490726,0.00015302,189.05092725767963,0.024198533854856354,-0.0014330674458913767,46.23353644
56.0,0.20422754,0.00488766,0.00015341,188.6380075516017,0.024223157449674664,-0.007321201161445179,46.1230482
57.0,0.20431724,0.00481677,0.00015242,185.27391117594024,0.0242101989459348,-0.01112856418080371,46.04603332
58.0,0.20439462,0.00475533,0.00014842,184.99832130616377,0.02454052978699056,-0.010980953459534494,45.94888212
59.0,0.20443188,0.00469834,0.00014879,180.6293169936507,0.024108986169832418,-0.008371459620899876,45.84283956
60.0,0.20452322,0.00464178,0.00014566,178.63185553128508,0.024302223984442324,-0.01548773018416723,45.75954842
61.0,0.20462339,0.00454606,0.00014335,175.20080246611542,0.02431071970987758,-0.014306116926065971,45.6642278
62.0,0.20465901,0.00450154,0.0001413,173.90085667485226,0.024286903052994403,-0.02101877014836155,45.58198271
63.0,0.2046862,0.00445151,0.00013764,172.7133293723027,0.024216486551320558,-0.01926659747976294,45.49163078
64.0,0.20473146,0.00437882,0.00013608,172.6387804894181,0.024389656827973026,-0.022685441544632822,45.45044286
65.0,0.20485965,0.00427924,0.00013131,167.9168026188218,0.02438151871884765,-0.02545002736510154,45.31380356
66.0,0.20498589,0.00417832,0.00012889,163.37644771651298,0.024390840458018506,-0.03211174171700324,45.24698759
67.0,0.20505147,0.00412538,0.0001287,161.82532885740787,0.024520040148430573,-0.03339489841919024,45.1451292
68.0,0.20515493,0.00407933,0.00012609,156.63109349045757,0.0243529401768415,-0.03334324920383287,45.08380496
69.0,0.20522246,0.00401675,0.00012174,155.99917808226903,0.02462197749538536,-0.030881414588003624,45.01568144
70.0,0.20531257,0.00399632,0.00011342,152.22914498787637,0.02460940819919104,-0.03356096499167887,44.95383417
71.0,0.20542557,0.00396511,0.00010752,147.15279787985435,0.02453782875584368,-0.03990540973530776,44.91434607
72.0,0.20547986,0.00391792,0.00010295,145.01799655151567,0.024499136731134685,-0.039467187204539414,44.83066267
73.0,0.2055475,0.00382349,0.00010129,142.98545285855727,0.024511817696981308,-0.045806859365698026,44.75573987
74.0,0.20569447,0.00373702,0.00010262,136.74441932603148,0.024422423304980387,-0.053129132713341715,44.67846348
75.0,0.2056997,0.00370187,0.00010374,137.69395434310348,0.024578963017136662,-0.05710232222007521,44.58968062
76.0,0.20579771,0.00368034,0.00010332,133.40335769865084,0.024553336702236868,-0.05462062743775295,44.53358659
77.0,0.20587356,0.00360099,0.00010139,131.3505891434841,0.024658037009816943,-0.05909989081407256,44.46062513
78.0,0.20594335,0.00351365,9.649e-05,129.63200435333815,0.024756153890306,-0.05621184172803615,44.42754403
79.0,0.20599836,0.00343639,9.116e-05,127.8074195948862,0.024725496601552946,-0.057254008394933456,44.3726268
80.0,0.20610838,0.00340593,8.971e-05,123.79119330692755,0.024846152779392967,-0.0651020588484529,44.30816443
81.0,0.20616668,0.00339302,9.092e-05,122.16831637605925,0.025029943888054983,-0.07171418163894658,44.24435584
82.0,0.20621461,0.00338652,8.999e-05,119.45621841884225,0.024901514245063084,-0.06760326014263526,44.20002979
83.0,0.20627732,0.00338723,8.552e-05,115.61654953260746,0.02467205076806176,-0.07244340418833464,44.12863739
84.0,0.20625104,0.00337141,8.254e-05,117.13692565241651,0.02470463980812242,-0.0667820978762527,44.04756909
85.0,0.20631817,0.00334736,8.373e-05,114.05538345358308,0.02464341706721256,-0.0569902969852231,43.98389125
86.0,0.20631355,0.00332355,8.757e-05,115.23144416354583,0.02481761776397297,-0.05705661537404114,43.94897959
87.0,0.20626172,0.00330399,9.022e-05,116.5676760759367,0.024578619233774426,-0.061527421794069115,43.88334042
88.0,0.20630708,0.0032997,9.049e-05,115.28611751051972,0.024729066865543305,-0.06600524758050025,43.82842319
89.0,0.20638077,0.00326919,8.982e-05,112.25866163222832,0.02472443482957877,-0.06062480800152318,43.75977665
90.0,0.20637256,0.003244,8.882e-05,112.17403162507979,0.024570855835456932,-0.05778183951609169,43.67949288
91.0,0.2063586,0.00323397,8.595e-05,113.3750043060126,0.02466737327973239,-0.06354501157253262,43.65334182
92.0,0.20644851,0.00322381,8.341e-05,110.08663028781227,0.02480140657433252,-0.06461296989469381,43.60038592
93.0,0.20651471,0.00318024,8.265e-05,108.03712345496012,0.02491839358975536,-0.06767613039423129,43.55383703
94.0,0.20656705,0.0031312,8.084e-05,106.07160893528633,0.02489736036494591,-0.06946231960521054,43.52990881
95.0,0.20659291,0.00309857,8.227e-05,105.03538617222382,0.02486123717086921,-0.07282778772223805,43.4509326
96.0,0.20669657,0.00304957,8.466e-05,101.2771321591666,0.02498235732220251,-0.07946902042669517,43.38986986
97.0,0.20667071,0.00302835,8.387e-05,101.9843916720764,0.024818094576504874,-0.07299742342213258,43.35051252
98.0,0.20667882,0.00306448,8.664e-05,101.4670908671771,0.024873788731820813,-0.06916260199744649,43.32148484
99.0,0.206678,0.00309656,9.137e-05,99.1507125218384,0.02438675459853454,-0.06748461848146547,43.23767068
100.0,0.20664084,0.00312289,9.515e-05,102.0918829168514,0.02477443087712738,-0.06868542768677476,43.21949569
