Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20764537,0.00076134,4.061e-05,-1.4098685485967712,0.026270407824079214,,-65.62219509
1.0,0.20765177,0.00074059,4.164e-05,-1.5209785085446823,0.026173945967350305,,-65.63448222
2.0,0.20764141,0.00072835,4.087e-05,-0.8976866892426704,0.026283048298717675,,-65.58747058
3.0,0.20764537,0.00069853,4.127e-05,-0.8027921171103262,0.026463270255056185,,-65.66132694
4.0,0.20762768,0.00068632,4.162e-05,0.16464763721702247,0.02639727061567777,,-65.63100977
5.0,0.2076287,0.00069539,4.141e-05,0.028758259399943024,0.026492915020083295,,-65.61631863
6.0,0.20760562,0.00069714,3.995e-05,1.141269068311897,0.026347216133815105,,-65.632746
7.0,0.20761243,0.00070902,3.766e-05,0.726535342045268,0.026064884231048177,,-65.64583447
8.0,0.20760511,0.00069958,3.598e-05,1.1930695556518844,0.026046080994964162,,-65.67494963
9.0,0.20764191,0.00072831,3.445e-05,-0.8175092188389158,0.026345045719701324,,-65.65625182
10.0,0.20761497,0.0007399,3.354e-05,0.3757847556563074,0.02653455342910187,,-65.61952397
11.0,0.20760989,0.00074153,3.55e-05,0.569770504342805,0.026427619652412034,,-65.62713665
12.0,0.20761203,0.00076769,3.775e-05,0.1675362580282544,0.026292776994338376,,-65.65264581
13.0,0.20761619,0.00077827,3.896e-05,-0.15678138664319516,0.026342729341700646,,-65.62326353
14.0,0.20762209,0.00076028,3.962e-05,-0.2696075582044832,0.02618265442561054,,-65.69004144
15.0,0.20761142,0.00073559,3.996e-05,0.47825333567767037,0.02623350113170376,,-65.69671923
16.0,0.2076289,0.00075011,4.021e-05,-0.502062670726921,0.02613527938060883,,-65.65718671
17.0,0.20758478,0.00076704,4.019e-05,1.4287168340781138,0.026139885894413403,,-65.68349721
18.0,0.20758194,0.00076976,3.943e-05,1.5428282323365943,0.02603059536957208,,-65.6569196
19.0,0.20760105,0.00073901,4.02e-05,0.9342475027059455,0.02620618851613877,,-65.67802142
20.0,0.20760664,0.00074084,3.951e-05,0.6619817688898887,0.026245661162784956,,-65.65131025
21.0,0.20757868,0.00075992,4.002e-05,1.7980713702306725,0.026230806434459596,,-65.62807154
22.0,0.20758651,0.00074861,4.054e-05,1.5422132224342588,0.026473396766969737,,-65.67281274
23.0,0.2076045,0.00076655,4.176e-05,0.47403144287324883,0.026349161864662473,,-65.64182779
24.0,0.20759759,0.00077831,4.028e-05,0.7124049010317992,0.026345248740109434,,-65.62192798
25.0,0.20756516,0.00077965,3.894e-05,2.2866769549814627,0.026478835300462435,,-65.69070922
26.0,0.20765177,0.00077802,3.863e-05,-1.8590891737267103,0.026415735165325516,,-65.60136038
27.0,0.20764171,0.00079938,3.718e-05,-1.5594260936291535,0.026322021046434572,,-65.63461578
28.0,0.207641,0.00078571,3.556e-05,-1.3674679467837672,0.026414306406794097,,-65.64129357
29.0,0.20764598,0.00078173,3.428e-05,-1.5483226248902393,0.026456197085240732,,-65.64196135
30.0,0.20764537,0.00075447,3.439e-05,-1.2513341699694387,0.026524279092994627,,-65.61631863
31.0,0.20763165,0.00074861,3.426e-05,-0.5240682515568992,0.026306381277817092,,-65.60242883
32.0,0.2076348,0.00077216,3.464e-05,-0.91562099488536,0.026316826873537782,,-65.69645212
33.0,0.20763581,0.000791,3.747e-05,-1.1996565690764491,0.02635244549486098,,-65.65651893
34.0,0.20764456,0.00075984,3.809e-05,-1.3213439811755616,0.02640074287681262,,-65.64022512
35.0,0.20762382,0.00074784,3.587e-05,-0.1695626391130539,0.0265145989459449,,-65.59802149
36.0,0.20762778,0.00071443,3.477e-05,-0.007489039640161319,0.0265603423847892,,-65.61297974
37.0,0.20762097,0.00071114,3.308e-05,0.38058809423360207,0.026418983877533293,,-65.60256238
38.0,0.20764598,0.00071569,3.233e-05,-0.8495982018658385,0.026273168845494663,,-65.64169424
39.0,0.20766418,0.0007574,3.566e-05,-2.1877237725609926,0.02626313803155628,,-65.67267918
40.0,0.20761721,0.00076492,3.817e-05,-0.059608885968283495,0.026299656685622168,,-65.63528356
41.0,0.20763093,0.00073213,4.071e-05,-0.43103655619764114,0.026251701037698263,,-65.60042549
42.0,0.20760318,0.00075133,4.128e-05,0.695488435352721,0.026300492889132974,,-65.61618508
43.0,0.20761782,0.00076212,3.955e-05,-0.08383983069972885,0.02635255145323458,,-65.68162742
44.0,0.20763195,0.00076325,3.846e-05,-0.7483588938642329,0.026138711283229126,,-65.62192798
45.0,0.20761721,0.00074836,3.795e-05,0.1080356291726489,0.02615656652559519,,-65.64583447
46.0,0.20762473,0.00076606,3.694e-05,-0.4087844859591248,0.026192236777700526,,-65.63261244
47.0,0.20761711,0.00075467,3.665e-05,0.07181810767445475,0.026202730333038233,,-65.65905649
48.0,0.20762524,0.00077204,3.544e-05,-0.46797366856511047,0.02620747350117673,,-65.62179442
49.0,0.20763876,0.00079308,3.423e-05,-1.3089837734350784,0.026364924147118662,,-65.65064248
50.0,0.20765523,0.00076492,3.451e-05,-1.8200638845988024,0.026324044923379794,,-65.5834639
51.0,0.20763388,0.00074035,3.473e-05,-0.556714305175218,0.026322051974045493,,-65.66626851
52.0,0.2076776,0.00073498,3.338e-05,-2.5795038584884575,0.026372370496014628,,-65.60696973
53.0,0.20766255,0.00072668,3.286e-05,-1.7654406062636956,0.02636293386457726,,-65.63247889
54.0,0.20766296,0.00073392,3.471e-05,-1.8862909262065775,0.02634189647285734,,-65.62847221
55.0,0.20768898,0.00074731,3.462e-05,-3.2601405992356502,0.026301034189177095,,-65.57999145
56.0,0.20766977,0.00075589,3.324e-05,-2.410425378644793,0.026376760082587346,,-65.62232864
57.0,0.20765645,0.0007729,3.354e-05,-1.948510961853905,0.026413194978391362,,-65.60737039
58.0,0.20767851,0.00078795,3.293e-05,-3.1500073302630964,0.02642262094494925,,-65.61324685
59.0,0.20766845,0.00075203,3.319e-05,-2.307481437455765,0.026373625838833528,,-65.64730358
60.0,0.2076595,0.0007325,3.522e-05,-1.726146607307046,0.026517018285079404,,-65.6511767
61.0,0.20767729,0.00072151,3.458e-05,-2.4428283135420057,0.02629393221057777,,-65.66546717
62.0,0.20768186,0.00071899,3.578e-05,-2.6664833149852423,0.026396309647674518,,-65.64276268
63.0,0.20768258,0.00071171,3.785e-05,-2.67155573558214,0.026485081600273956,,-65.65732027
64.0,0.20767292,0.0007148,3.869e-05,-2.2532812979989285,0.026512313367552925,,-65.62967421
65.0,0.20771429,0.00073551,3.853e-05,-4.42732124063837,0.026354237067309178,,-65.65905649
66.0,0.20763825,0.00074063,3.64e-05,-0.8010864860995328,0.02648167667650513,,-65.67267918
67.0,0.20765676,0.00072749,3.501e-05,-1.5279835727379112,0.026305726866246798,,-65.67121007
68.0,0.20769112,0.00072277,3.419e-05,-3.125424089244364,0.026419764147073078,,-65.66466584
69.0,0.20765157,0.00075923,3.594e-05,-1.6216873508570295,0.02648691802713315,,-65.65518337
70.0,0.20765726,0.00077448,3.753e-05,-2.0634216104264578,0.026339584465974487,,-65.65478271
71.0,0.20766346,0.00077135,3.685e-05,-2.322290742915956,0.026386650069078168,,-65.64449891
72.0,0.20767007,0.00075557,3.481e-05,-2.44596229168098,0.026359597389703154,,-65.5834639
73.0,0.20764232,0.00073958,3.545e-05,-0.9651437372245202,0.026324809457597884,,-65.61191129
74.0,0.20762931,0.00073156,3.737e-05,-0.29294526975070323,0.02623368958472071,,-65.65090959
75.0,0.20761996,0.00073132,3.894e-05,0.12996522102222188,0.02626094114707703,,-65.6569196
76.0,0.20764689,0.00073994,4.056e-05,-1.2695075884460958,0.02627784896153705,,-65.66119339
77.0,0.20763612,0.00078376,3.912e-05,-1.1719917560151025,0.02640624296290113,,-65.64116001
78.0,0.20763449,0.00079776,3.702e-05,-1.1965636335742018,0.026358253999665772,,-65.67842208
79.0,0.2076412,0.00078502,3.816e-05,-1.4095051027944376,0.026345668673231376,,-65.62326353
80.0,0.20765493,0.00078726,3.79e-05,-2.0759182306358097,0.026222982256612216,,-65.64075935
