Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947075,0.00064081,3.69e-06,3.9403467044541616,0.026408162828079364,,47.69469684
1.0,0.20949739,0.00066562,4.31e-06,2.1893354952532347,0.026343788141126482,,46.26834727
2.0,0.20953075,0.00068931,1.72e-06,0.15574153128110405,0.026381104731056468,,46.44973732
3.0,0.20954559,0.00067929,3.7e-07,-0.5142487958581863,0.026492890425419746,,46.31500541
4.0,0.20953604,0.00066017,-2e-08,0.23461841145838952,0.02655514510780523,,46.23912041
5.0,0.20953736,0.00066152,8.4e-07,0.13021328021398185,0.02648980963979928,,46.01697004
6.0,0.20953898,0.0006702,-6.3e-07,-0.02995850325994066,0.026466497280250363,,46.19770477
7.0,0.20953807,0.00065567,8.1e-07,0.15953482248299586,0.026577898258419518,,47.13506139
8.0,0.20953024,0.00063287,2.33e-06,0.8131844546743392,0.02629241213272136,,52.20074523
9.0,0.20950136,0.00061229,3.61e-06,2.596646487639159,0.026368957636971994,,54.43968025
10.0,0.2095461,0.00058941,4.53e-06,0.4067780245901657,0.026340134544033313,,54.49013918
11.0,0.20954163,0.00058749,6.35e-06,0.6363608561779601,0.026301064086635455,,53.31883658
12.0,0.20951621,0.00062011,1.023e-05,1.5741124301837957,0.026344774919710212,,51.65054625
13.0,0.20954966,0.00066361,1.792e-05,-0.8939807444324791,0.026657279563111206,,51.50205281
14.0,0.20952007,0.00073589,2.131e-05,-0.1591749297648,0.025761096203875622,,50.66535193
15.0,0.20924439,0.00106788,2.687e-05,10.504755603280776,0.0253175289154145,,49.39247616
16.0,0.20858401,0.00184033,3.02e-05,36.081286844019075,0.025049646419555687,,47.93047768
17.0,0.20791774,0.00266971,3.283e-05,60.827908934131585,0.02479018121519869,,47.140566
18.0,0.20719055,0.00344776,3.304e-05,90.13976557860308,0.024930358157700217,,47.05589984
19.0,0.2067423,0.00405466,3.378e-05,108.04942559842941,0.025263606294128188,,46.96310783
20.0,0.20621616,0.00444514,3.343e-05,131.59364705462235,0.02535205064991496,,46.548165
21.0,0.20592929,0.00463128,3.467e-05,144.20191312629436,0.02530363323364726,,46.01081012
22.0,0.2059783,0.00466962,3.607e-05,140.76429816254645,0.025221284086244074,,44.93203742
