Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.16629135,0.00080481,8.72e-06,4114.206194389739,0.025509536652654482,-0.00122602086789243,59.45920342
1.0,0.1697087,0.00083175,1.95e-06,3941.303480302619,0.026427963391845225,0.00026905579519630993,59.49779516
2.0,0.16998941,0.00074875,3.81e-06,3599.6156822842363,0.024292415383124523,-0.00014713330583367637,59.62579748
3.0,0.16924388,0.00077848,2.19e-06,3995.0443353579185,0.026487859949974255,0.004794552799744246,59.61013152
4.0,0.17204512,0.00080142,5.14e-06,3224.954084765826,0.02291023065244181,0.0038704196911257794,59.66553551
5.0,0.17364791,0.00072675,3.28e-06,3396.845252416092,0.025157670148108578,0.00997376433579755,59.7364144
6.0,0.18112718,0.00067311,5.07e-06,2381.962288733973,0.022139311926285165,0.02175564917599602,59.96739171
7.0,0.18686692,0.00064908,6.31e-06,2141.8483237082105,0.024899403901961437,0.012542168709650976,59.94198229
8.0,0.17845577,0.00067335,2.78e-06,3115.4634647436565,0.026517603344173944,0.023740319518844373,60.11870191
9.0,0.18890464,0.00070636,4.78e-06,2098.5674972998836,0.026832991682173304,0.0227055464013404,60.30019772
10.0,0.19285036,0.00068593,5.87e-06,1638.4742070904192,0.026005296960823803,0.012352154810192806,60.15404583
11.0,0.2005475,0.00068253,6.97e-06,863.0754386993032,0.026413173784845628,0.009342558272884013,60.07456976
12.0,0.20629741,0.00071315,3.84e-06,252.9757177539115,0.026854106988137425,0.0013025784272402221,60.33630583
13.0,0.20874607,0.00070203,2.29e-06,-16.202637673612045,0.026257204391138916,0.004074976431635382,60.40164433
14.0,0.20919931,0.00063096,-1.21e-06,-61.05346584392173,0.025218766782775612,0.006943792747398446,60.46086928
15.0,0.2094185,0.00063521,-1.83e-06,-86.97841130683028,0.0261252821355871,0.009542188875795445,60.23810705
16.0,0.20943609,0.00061227,2.28e-06,-89.8987430198469,0.026534603342176222,0.007918453475400503,60.2977141
17.0,0.20950166,0.00066013,2.85e-06,-99.56269588750942,0.02689923048511981,0.007297229985855108,60.25587454
18.0,0.20946374,0.00065721,6.2e-06,-94.12808581716891,0.026538839900767625,0.005640277712949569,60.3674467
19.0,0.20946425,0.00062485,6.1e-06,-94.97945829732042,0.02697719220670761,0.007025118717756928,60.24250116
20.0,0.20949506,0.00060811,2.68e-06,-95.94956946895981,0.026441804937100563,0.005058896670469842,59.95325414
21.0,0.20946395,0.0006166,4.08e-06,-92.16953177677664,0.026263172656528937,0.0034812622954736674,60.09233725
22.0,0.20947838,0.00063622,1.67e-06,-94.47406852088257,0.0263697500653576,0.0030558917270528353,60.24727737
23.0,0.20945866,0.00062117,9.7e-07,-91.51221470415416,0.026242992309089896,0.0025643709032731263,60.22874569
24.0,0.20947228,0.00061741,2.43e-06,-94.006329046362,0.0265386795980839,0.0016686464387984997,60.12309602
