Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20950837,0.00064127,-2.79e-06,0.05872612198431664,0.026865236307957455,-0.012164414297218205,52.7779493
1.0,0.20952962,0.0006357,-5.71e-06,-0.9931077537780535,0.026730028706670628,-0.012405645617658834,52.74813376
2.0,0.20952636,0.0006003,-7.47e-06,-0.3653329947113925,0.026345142572842463,-0.015795015656328976,52.88211256
3.0,0.20951467,0.00060038,-1.26e-06,0.15420473588705313,0.026670909069711347,-0.013835580114948235,52.80585358
4.0,0.20948926,0.00059848,7.5e-07,1.51081878474083,0.026241620210927206,0.02706315962088201,52.72902123
5.0,0.20952514,0.00063913,-2.82e-06,-0.833352705697265,0.026492527441836486,0.3320255222561811,52.76724628
6.0,0.20952179,0.00064058,-1.7e-06,-0.6949447123892685,0.0267576236391921,0.429659218903232,52.9149861
7.0,0.20953582,0.00064228,-8.8e-07,-1.5068993194975322,0.02679860585612632,0.34859439532291986,52.91785298
8.0,0.20952708,0.00063937,1.71e-06,-1.0525234999674342,0.027133493738424923,0.2824731849520305,52.81216072
9.0,0.20949821,0.00062726,-1.45e-06,0.7589205482063137,0.02687170006547398,0.2681297883606797,52.99296521
10.0,0.209504,0.00062637,-3.72e-06,0.48927265134373477,0.026730563909964828,0.19318787877970015,52.9111636
11.0,0.20952352,0.00063808,-2.54e-06,-0.7431212472747095,0.0266731573034117,0.12139020750724784,52.92664474
12.0,0.20950227,0.00062088,5.2e-07,0.5593554831298734,0.026355537819670222,0.09334459559065329,52.76762853
13.0,0.20951051,0.00059033,4.82e-06,0.37429719156210545,0.02604167264052155,0.0917865076497881,52.87312967
14.0,0.20948306,0.00062565,8.08e-06,1.4285916208821787,0.026757333113732577,0.07591357487945473,52.9119281
15.0,0.20950624,0.00062593,1.16e-05,0.07893288526843631,0.026710114171845597,0.06737199987505249,52.76093915
16.0,0.20948316,0.00060603,1.588e-05,1.5148237850660853,0.026998742954846233,0.05999595495275487,52.68926718
17.0,0.2094975,0.00062472,1.844e-05,0.4464322906899436,0.026846675316611526,0.05683864110967586,52.85841303
18.0,0.20945531,0.00065624,2.129e-05,2.3281837570782393,0.026462281927039828,0.05790496990773263,53.13917602
