Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20944684,0.00066952,1.248e-05,1.2516990587063843,0.0264246251639458,-0.016984629693143235,56.10917492
1.0,0.20946412,0.000675,1.049e-05,0.2928391352502941,0.027164206384446513,-0.017885014513120693,56.0021834
2.0,0.20946799,0.0007046,1.655e-05,-0.38776114754548113,0.027082272542582324,-0.016140398612879303,55.89652451
3.0,0.20946606,0.00070702,1.5e-05,-0.2796433373585245,0.02720631272628603,0.010442075348187052,56.08671051
4.0,0.20943922,0.00067544,1.479e-05,1.5961613164004156,0.027109503846899717,0.09232765123574906,56.03759341
5.0,0.20945335,0.00064093,1.627e-05,1.1922535791117208,0.027345181811411472,0.2907391833420341,56.12516654
6.0,0.20945193,0.0005959,1.027e-05,1.9167708907980485,0.027278912920360898,0.6016390345647841,55.99590098
7.0,0.20945569,0.00063545,4.44e-06,1.3523140185057139,0.027279213136701935,0.5739232958185405,56.04692185
8.0,0.20945315,0.00067121,7.25e-06,1.014773696478101,0.027167846196590698,0.4067784944216321,56.09185067
9.0,0.2094685,0.00067697,7.69e-06,0.07807119343496853,0.027007849346157492,0.3480136540494055,55.98904743
10.0,0.20942306,0.00065684,1.74e-06,2.983512863902075,0.027236914899930686,0.43116437200122104,55.96905791
11.0,0.20947185,0.00063086,-4e-07,0.5877270078468109,0.027108949384371115,0.28627760910192,56.07262266
12.0,0.20948751,0.00063996,4.93e-06,-0.5002157803424565,0.027260946277001357,0.17190835799631407,56.06995739
13.0,0.20943617,0.00065615,6.55e-06,2.1397302362906325,0.026956688225743416,0.11320751182016131,55.99475872
14.0,0.20970149,0.00069051,3.8e-06,-13.009168753782072,0.027049151092657476,0.08861437983453338,56.04616034
15.0,0.20963135,0.00067198,6.9e-07,-8.84119992982013,0.027125889534294487,0.05219246461266733,55.96011022
16.0,0.20947002,0.00064617,1.25e-06,0.47222685417520877,0.026739469928753788,0.03132144558512572,56.11507659
17.0,0.2094444,0.00061536,7.85e-06,2.120083206436112,0.026800089529876663,0.017249841576623227,56.11241132
18.0,0.20940588,0.00062172,1.204e-05,4.072262190421819,0.026651052370855726,0.012331970004803471,56.05567916
19.0,0.20924953,0.00073134,1.091e-05,11.1878688905225,0.02610534575621581,0.013886138625799732,56.02502857
20.0,0.20881719,0.00113407,8.27e-06,29.60609968609061,0.025800843275543068,0.008655531659926823,55.88719607
21.0,0.20808882,0.00183671,1.116e-05,59.502299668046035,0.02540382535863271,-0.003407677732750939,55.77753928
22.0,0.20722769,0.00262461,2.081e-05,94.62871714299311,0.025117575314562074,-0.008752914457904519,55.54299558
23.0,0.20617494,0.00348097,2.826e-05,138.09234159502785,0.02485439307325182,-0.010891190955710056,55.66978625
24.0,0.20553481,0.00442605,3.486e-05,160.3314591383946,0.0248126839210534,-0.010157148179683953,55.36213802
25.0,0.20449517,0.00526026,4.365e-05,202.17706833096838,0.024570152175316422,-0.002116163273704894,55.2277323
26.0,0.20418797,0.00585767,5.93e-05,211.64737612521802,0.02462737353226537,0.005619834941832243,55.11160271
27.0,0.20364096,0.00634292,8.645e-05,234.6588461316156,0.02473331721644189,0.019565699624425222,54.87096697
28.0,0.20299869,0.00676095,0.00010885,259.95502777535893,0.02451080760663191,0.04372526185484331,54.72076
29.0,0.20240522,0.00729501,0.00013338,276.8050145400846,0.023916428996725782,0.08399361425308507,54.66402784
30.0,0.20165368,0.00775142,0.00016823,308.7695794832052,0.02395989006122455,0.13179867852471341,54.41444441
31.0,0.20103947,0.00824508,0.00019935,334.30140911935604,0.024037869971145705,0.1723146327026597,54.21607223
32.0,0.20055406,0.00860037,0.00022522,354.1416566899021,0.024048033978541078,0.20206531339356223,53.95582772
33.0,0.20024523,0.00887966,0.00024881,363.9694637088117,0.023912951606019,0.23516169742565748,53.78391785
34.0,0.20022633,0.00905348,0.00027244,363.96300060159825,0.023989885401346847,0.2673630514822527,53.5288135
35.0,0.20021768,0.00909613,0.0002914,361.0220268382912,0.02381641754535116,0.29852401140800433,53.38260445
36.0,0.20052255,0.00902243,0.00030333,353.140927922454,0.024248349599669088,0.31982607258455736,53.33196433
37.0,0.20099861,0.00868837,0.00030535,337.59072465718407,0.02457933127956931,0.29782504229961604,53.09209009
38.0,0.20150729,0.00826574,0.00030493,315.83632651477876,0.024526646250171286,0.2684481047219221,52.93141243
39.0,0.2018822,0.00785158,0.00030044,301.68013374711785,0.024546307618838633,0.2457556302704666,52.82156526
40.0,0.20225182,0.00730443,0.00028912,291.41132709922084,0.02475114798770027,0.2208739845154484,52.66222023
41.0,0.20295051,0.0068038,0.00026763,261.49785722690365,0.024726675324472147,0.17698477758861791,52.71152771
42.0,0.20360649,0.00628923,0.0002397,237.8608639764178,0.025108329205737908,0.14915999601556257,52.32373103
43.0,0.2042819,0.00581683,0.00021154,209.1913849967202,0.025164499707571262,0.12011621606012293,52.457756
44.0,0.20480411,0.00537037,0.00019648,189.07768811487364,0.0253989567887623,0.10264851671542471,52.40578325
45.0,0.2052703,0.00495447,0.00018186,168.9581787166402,0.025306464275410546,0.08671450894791873,52.34029378
46.0,0.20556022,0.00453825,0.00016971,159.44092061850213,0.02543913599435757,0.07671559914742125,52.30107624
47.0,0.20606739,0.00413983,0.00015909,138.1024131865735,0.025550849092817473,0.06136645550428533,52.15296342
48.0,0.2062034,0.00382744,0.00014419,134.90390885277404,0.025601869583999317,0.05047854057219527,52.21159935
49.0,0.20641861,0.00358926,0.00012887,126.55987979654435,0.025618781526964778,0.03940177938301378,52.24244032
50.0,0.20667631,0.00336253,0.00010879,116.65706290438074,0.025796213769074525,0.02767076142417874,52.0355012
51.0,0.20686091,0.00316668,0.00010146,109.89369267358732,0.025966658954958734,0.017443991305875563,51.92984231
52.0,0.20715185,0.00298976,9.782e-05,95.48423928294187,0.025716587332209502,0.009054887481960332,51.89005364
53.0,0.20719272,0.00283737,9.363e-05,95.47068763650498,0.0258237405387891,0.0014513740710053148,51.92927118
54.0,0.20733545,0.00271566,8.718e-05,89.6392203194837,0.025903931689486962,-0.005590699570077088,51.88757875
55.0,0.20753347,0.00265848,7.86e-05,80.09966653679477,0.02597130826080731,-0.007118217196032965,51.65931747
56.0,0.20759233,0.0026087,7.255e-05,77.41246637477873,0.025901082476989256,-0.009663673700627633,51.89614569
57.0,0.20772062,0.00252328,7.097e-05,71.62200232784656,0.025924210967916604,-0.012743204835898875,51.80952443
58.0,0.20771981,0.00240685,7.674e-05,73.06910189430053,0.026001672821135444,-0.013848679424278016,51.78553701
59.0,0.207787,0.00232015,7.158e-05,70.47146072284855,0.025977120647275934,-0.014456197615270071,51.71509775
60.0,0.20782024,0.00230081,6.627e-05,68.85193050423048,0.02591791009389448,-0.016302737223298336,51.66997855
61.0,0.20788032,0.002293,6.558e-05,66.18060991568855,0.026087750701318038,-0.017761392444864677,51.76973577
62.0,0.20794315,0.00224616,7.035e-05,63.07861705678868,0.026018944003792076,-0.01576307187033703,51.66179237
