Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20945183,0.00077736,2.2e-07,-0.009582456718937482,0.02664825708806526,-0.020346997057713864,40.85597389
1.0,0.20946017,0.00076325,5.9e-07,-0.3150790909282059,0.026871502458684526,-0.019427185095542192,40.67416338
2.0,0.2094742,0.000739,-3e-08,-0.7954978346837759,0.026750414891779116,-0.019237120027504034,40.83628253
3.0,0.2094926,0.00075106,5.8e-07,-1.959249945990757,0.026713190460258725,-0.017777129935050897,40.95328361
4.0,0.20946128,0.00071596,1.42e-06,0.15579255957806934,0.026677731325289583,-0.015652917687243393,41.01790186
5.0,0.20947145,0.00069501,8.3e-07,-0.15198655362529762,0.026860981600286903,-0.01553835661156785,40.99572518
6.0,0.2094623,0.00071568,1.08e-06,0.10953536184535664,0.02671997905789756,-0.01613795859174634,41.08768192
7.0,0.20946738,0.00074046,1.06e-06,-0.4579103676682431,0.026812278909640653,-0.01619299448011982,40.93569522
8.0,0.20946718,0.00075053,9.4e-07,-0.559976444952275,0.026748990209784055,-0.013786981481356077,41.10240264
9.0,0.20945376,0.00070752,1.43e-06,0.669810588381677,0.026801617495201956,-0.014245616485620241,41.13165291
10.0,0.20946738,0.00067275,1.11e-06,0.3220727787550211,0.026486117397094538,-0.012680979549573689,40.28358624
11.0,0.20946017,0.00066109,9.1e-07,0.8591114138564339,0.02666987809853566,-0.008333828619994769,41.0324314
12.0,0.20946006,0.000665,1.21e-06,0.8197681615678919,0.026846215802102363,-0.006969839130075302,42.19708924
13.0,0.20945742,0.00064926,1.19e-06,1.1521748147566115,0.026921155518771382,-0.0036603320273328236,41.83939476
14.0,0.2094438,0.0006323,6.4e-07,2.1035588887869223,0.026760413108774965,0.0008531302233035005,41.37215514
15.0,0.20944298,0.00064865,4.2e-07,1.9735325387443992,0.02689148630128656,0.004029653780164365,41.36068444
16.0,0.20913412,0.00076966,5.1e-07,17.222915699189375,0.026186673605872103,0.011150739169981693,41.21271248
17.0,0.20902016,0.0010795,5e-07,19.555852176601917,0.02576847257958649,0.015622223955241123,40.69691359
18.0,0.20850837,0.00156123,3.8e-07,41.22613517465307,0.025677170750338842,0.007303043103167966,40.62082465
19.0,0.2075581,0.00219327,5.6e-07,83.5356330314275,0.025405688666849984,-0.0022676526601209026,40.29238044
20.0,0.20674894,0.00296634,1.4e-07,116.19648740413696,0.025156732450630912,0.0023482447513408296,40.30805705
21.0,0.20584005,0.00376721,2.1e-07,153.53268408193352,0.02500344726772836,0.02279033993364351,40.11305525
22.0,0.20533406,0.00460971,3.6e-07,170.00058620444398,0.02492879674423518,0.04386556449003552,40.07424606
23.0,0.20440595,0.00532716,4.2e-07,209.09663966656106,0.02485314649598239,0.07761297140867676,40.32583663
24.0,0.20376372,0.0059195,2e-08,233.3891893982465,0.02463198603180931,0.10726126397909114,39.902568
25.0,0.20332016,0.00635728,-3.1e-07,251.19056295077343,0.02463627107111422,0.1374636231324626,39.8964503
26.0,0.20277208,0.00672913,5.3e-07,272.04447708566704,0.024386322900320955,0.17730912216884395,39.51504971
27.0,0.20245356,0.00702173,2.7e-07,284.2715898405609,0.0243347594162356,0.21117776022680798,39.64677152
28.0,0.20230177,0.00732265,2.6e-07,291.74527895347927,0.02458782154327089,0.24035939201287673,39.24701782
29.0,0.20230512,0.00745181,3.1e-07,289.06527980457145,0.02448642446140798,0.2398800825813999,39.15219341
30.0,0.2022668,0.00746828,3.2e-07,292.7303113424866,0.02464859512877195,0.24698860743946552,39.04781009
31.0,0.20225287,0.00744488,2.2e-07,293.804959005702,0.024660071297829305,0.2589468565018471,38.76639572
32.0,0.20236684,0.00736958,1.4e-07,289.70922444298367,0.024732089087467383,0.26655093587926093,38.58592346
33.0,0.20255827,0.00724315,-8e-08,281.96561501112615,0.024782934524025458,0.27302953932854385,38.43948093
34.0,0.20275123,0.00712423,3.6e-07,272.889040666767,0.024731413913829124,0.27293094648689165,38.41443658
35.0,0.20293454,0.0069682,3.3e-07,265.33894934730296,0.024737784859058795,0.26576116038790787,38.33930353
36.0,0.20307677,0.00679567,1.7e-07,259.60496709669974,0.024704272363182556,0.2580242374588657,38.08484529
37.0,0.20331385,0.00667083,1.6e-07,250.75057546244633,0.02488138783589405,0.25427876605229854,38.05463913
38.0,0.2035972,0.00652276,3.4e-07,239.15010451131732,0.02500994797914398,0.2467607325029499,37.85829907
39.0,0.20388196,0.00629107,2.2e-07,228.2122627330828,0.0251375239881825,0.2383091952242995,37.86288735
40.0,0.20419204,0.00597768,4.6e-07,216.92189310522357,0.02529106967864689,0.224316396793682,37.75620989
41.0,0.20433336,0.00565523,4.6e-07,211.6199642078348,0.02512163890347867,0.21511031126035127,37.55891394
42.0,0.2046596,0.00531697,1e-08,199.70011064716977,0.025278087991468755,0.18456235800323398,37.52794307
43.0,0.20488957,0.00506522,4.6e-07,190.69796584246333,0.025305114399281747,0.16140553703477561,37.63328228
44.0,0.20508792,0.00481983,1.1e-07,182.08906066276995,0.025170570769690013,0.1491105065153097,37.24538163
45.0,0.20553363,0.00458569,4.7e-07,162.67618502163438,0.025333829029195842,0.1357338579395631,37.35588265
46.0,0.20592951,0.00435025,3e-07,145.540025875594,0.025486118325410693,0.1172709720420621,37.13985124
47.0,0.20639138,0.00409251,2.3e-07,125.2636629205751,0.025704116088791744,0.10695415661928019,37.21230779
48.0,0.20658404,0.00383448,5e-08,116.91266415740449,0.02548257927049176,0.09510223915843727,37.20026356
49.0,0.20673532,0.00362342,8e-08,111.77756138132138,0.02559385135176086,0.0867303421882065,36.99455577
50.0,0.20681787,0.00345867,5.6e-07,109.48699902800296,0.025654310828691636,0.07844252646816471,36.96702611
51.0,0.20694648,0.00335728,4.1e-07,102.90882961315727,0.025427578731225465,0.07004156517918463,36.87717233
52.0,0.20702008,0.00323839,2.6e-07,100.68092939609488,0.025509238651384453,0.06723921198963274,37.00105583
53.0,0.20709887,0.00316232,2e-08,97.75044350220536,0.025604539012532762,0.06550128983316857,36.72270031
54.0,0.20720908,0.00313663,-2e-08,92.97051907213692,0.02580811377763556,0.05896802892621359,36.72174442
55.0,0.20735944,0.00306993,-2.3e-07,85.20569985625914,0.02564794767366022,0.051901520663638685,36.85862804
56.0,0.20739401,0.002999,2e-08,84.04322853093282,0.025613326301500598,0.05130219417470035,36.75042116
57.0,0.20746568,0.00293132,5.9e-07,80.99623970220213,0.025611597499358915,0.046745228615586894,36.71103844
58.0,0.20752892,0.00281158,4.7e-07,77.6691659842427,0.025186113896571206,0.03782165301184072,36.49099228
59.0,0.20759582,0.002717,1e-07,76.67389897993999,0.025668913349731134,0.036653809981657993,36.44052123
60.0,0.20768538,0.00263827,6.7e-07,73.11116641941545,0.025777606110544984,0.02938188526383378,36.59269911
61.0,0.20769281,0.00256354,1.1e-07,73.9560632397327,0.025919127800333487,0.02671063058034708,36.49806588
62.0,0.20770216,0.00253219,5.3e-07,73.49334810355617,0.025812127756281555,0.022955599698530855,36.43650648
63.0,0.20781257,0.00250259,3.3e-07,68.01026087678203,0.025829278559689254,0.02072287977590558,36.46174201
64.0,0.20782131,0.0024171,2.6e-07,69.00653300920855,0.02602284559532819,0.02085710244155005,36.33021138
65.0,0.2078755,0.0023705,-1.3e-07,66.15695631309053,0.025836655552602512,0.0184261786429523,36.34531446
66.0,0.20795124,0.00234881,1.1e-07,62.635304437825546,0.025947212072995964,0.014993982949551581,36.19275422
67.0,0.20798845,0.00232586,1.3e-07,60.37057045875497,0.02571979748335569,0.013276953703175722,36.31644655
68.0,0.20804782,0.00226878,1.7e-07,57.73331250618986,0.025664215666388993,0.009785657317767003,36.36825585
69.0,0.20806216,0.00219605,4.6e-07,58.53133388908134,0.026001704436773274,0.008586609093664283,36.26387253
70.0,0.20809662,0.00213318,6.2e-07,56.723866879572725,0.025701494480422613,0.006218844913961668,36.16656281
71.0,0.20815589,0.0021068,5.5e-07,54.38813082128064,0.025942848714520184,0.00536853731028518,36.35410866
72.0,0.20821893,0.00206261,2.5e-07,51.35409142645816,0.02585898443114289,0.007492822518171306,36.14859205
73.0,0.20822859,0.00205433,1.8e-07,51.80589822965378,0.026302020387212494,0.00702737684481671,36.36424111
74.0,0.20826691,0.00204227,2.1e-07,49.640433572498175,0.026182338803622952,0.005745575005956515,36.1340625
75.0,0.2082907,0.00202213,1.3e-07,48.57689634348212,0.026177193389149495,0.006662066759185695,35.99144354
76.0,0.20833411,0.00194678,4e-07,46.55754851989149,0.025886495196628296,0.00455679956527714,36.12756244
77.0,0.2083393,0.0018862,3.6e-07,47.24115584026281,0.026043980075989355,0.004986008123604235,36.05988535
78.0,0.20835729,0.00184706,5.1e-07,46.55882002979619,0.02595856256149751,0.005469632668821795,36.10098867
79.0,0.20836217,0.0018012,8e-08,46.798621315072616,0.02594812261826542,0.0062641290910734745,35.93676656
80.0,0.20839888,0.00176361,5.3e-07,45.43081565322244,0.026052389467018693,0.007744805141434933,35.93332535
81.0,0.2083943,0.00174958,-2e-08,45.717128861802074,0.025980518894452274,0.005724287255649478,36.14056256
82.0,0.20843182,0.00177617,5.6e-07,43.47963798410941,0.02602624177316369,0.006389553544060561,35.94976668
83.0,0.20840325,0.00181677,5.2e-07,44.56941719140719,0.0260336158445059,0.00570285232350311,35.83295677
84.0,0.20843232,0.00178713,9e-07,43.21368179949482,0.025959990169142962,0.006839645614969482,35.87329538
85.0,0.20844808,0.00180315,1e-06,42.172900696108464,0.025948940315866614,0.003960047740272074,35.9363842
86.0,0.20844778,0.00182248,1.49e-06,41.87419541717159,0.02589324885944894,0.00574253774144212,35.88706022
87.0,0.20846343,0.00181905,7.6e-07,41.35158294549997,0.026057114215114082,0.005120232536642683,35.86832475
88.0,0.2084738,0.0018001,9.1e-07,41.324129395241,0.026260034305413432,0.005819487601445539,35.84194215
89.0,0.20847574,0.00174873,5.1e-07,41.6853068073801,0.026183775699813144,0.007146979628558243,35.7668091
90.0,0.20850207,0.00169646,1.16e-06,40.40327628605408,0.02590226863937082,0.0060623055317242745,35.825692
91.0,0.20855148,0.00168187,7e-07,38.14698976528539,0.026044059786117003,0.004633621658952337,35.77407387
92.0,0.20853724,0.00169479,8.4e-07,38.93030814784013,0.0261562858318634,0.004493546711483979,35.66605817
