Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20945686,0.00043758,-2.802e-05,10.81452913572989,0.026496489923100424,-0.0041562197190170925,57.17361892
1.0,0.2094837,0.00043756,-2.477e-05,7.812401956057659,0.026676467925956356,-0.004764369610345746,57.2090169
2.0,0.20952895,0.0004369,-2.704e-05,2.9262445736891207,0.026592046395949052,-0.005021943853093962,57.28478772
3.0,0.20953881,0.00043847,-3.599e-05,2.1562849169274947,0.026695733335868603,-0.0016180684971744829,57.18739543
4.0,0.20954024,0.00043261,-3.91e-05,2.260699538969894,0.026793881292803613,0.004132659469692837,57.2889972
5.0,0.20953698,0.00043051,-3.934e-05,2.6847545928340875,0.02685359045107281,0.015154210244100819,57.2601048
6.0,0.20952987,0.00043059,-4.118e-05,3.547744949464939,0.026906254892438503,0.013353443441961151,57.2941634
7.0,0.20954095,0.00042427,-4.913e-05,2.7605511363601933,0.02681411652021017,0.008337335506105374,57.43575532
8.0,0.20951299,0.00041772,-5.472e-05,6.186476689751347,0.02667822233988915,0.008733913770924334,57.27579471
9.0,0.20953149,0.00042042,-5.439e-05,4.1079282505990085,0.026885636844959156,0.012968078833100711,57.39767857
10.0,0.20954481,0.00041539,-5.07e-05,2.5712046119743297,0.0265220846302228,0.01034095660252042,57.7309936
11.0,0.20953983,0.0004179,-4.631e-05,2.8984524297894017,0.026577000684935907,0.01764397849079579,57.97169986
12.0,0.20954075,0.00041525,-3.701e-05,2.4946426825334918,0.026454235046476596,0.015989614783092965,57.92616084
13.0,0.20955447,0.00041587,-2.785e-05,0.6402728908443546,0.026547674552115347,0.009940214504098958,57.58021734
14.0,0.20952763,0.00041317,-3.093e-05,3.7837886183250844,0.02673197197905988,0.006548928179852574,57.80714709
15.0,0.20952915,0.0004094,-3.862e-05,3.967578776380849,0.026539864918444032,0.0033850922455675664,57.39691321
16.0,0.20955641,0.00040777,-3.639e-05,0.9437425811086184,0.026740459407059214,-0.0013148911493793113,57.65139599
17.0,0.20955742,0.00041125,-2.553e-05,0.3372099556306517,0.026683189041344937,-0.0036547687610025696,57.5430973
18.0,0.20954217,0.00041177,-2.845e-05,2.102825621819328,0.026533514303408386,-0.00383455187885197,57.26087016
19.0,0.20951105,0.00041569,-2.401e-05,5.2619188009522215,0.026590783522601174,-0.0036000744262763315,57.45852483
20.0,0.20954217,0.00041988,-2.18e-05,1.69082516489138,0.026940598306236446,-0.005108344091450382,57.09287326
21.0,0.20953688,0.00042139,-1.794e-05,2.0830041674094546,0.026783027693790717,-0.003522182455774338,57.43250253
22.0,0.20954675,0.00042589,-1.82e-05,0.8965781928728601,0.026730163471929053,-0.004072624160584215,57.29454608
23.0,0.20953098,0.00042638,-2.425e-05,2.845857720784113,0.02664964514341294,-0.0005174954359034082,57.54749813
24.0,0.20953322,0.00043071,-3.198e-05,2.791807419947249,0.026633599476166173,-0.0013921758176240616,57.80772112
25.0,0.20952895,0.00043381,-3.212e-05,3.213063913059305,0.026785823002788547,-0.002336450984415568,57.46330834
26.0,0.20950902,0.00043344,-2.623e-05,5.139147885370599,0.026479814013961073,-0.002951496927227904,57.42217014
27.0,0.20948462,0.00043199,-2.94e-05,7.959452434672904,0.026489613684935857,-0.0029793275109596174,57.58480951
28.0,0.20953485,0.00043038,-3.006e-05,2.544645063530334,0.026604135426805772,-0.0019644993972451038,57.49430548
29.0,0.20948777,0.00042892,-1.923e-05,7.297305333832255,0.02647345565603649,-0.0008391497985096965,57.50942138
30.0,0.20951644,0.00042781,-3.26e-06,3.621352766508649,0.02670500162961718,-0.00045541377876354497,57.24709365
31.0,0.20950973,0.00042745,-1.25e-06,4.273652499339668,0.026589447937277105,0.0013446468612339604,57.38811155
32.0,0.20943042,0.00044478,2.5e-07,12.533242851526218,0.02662814869171971,0.003044140022038056,57.46330834
33.0,0.20951512,0.00048321,-7.39e-06,2.6382314601576087,0.026638118273745064,0.006215601209018571,57.32248178
34.0,0.20943774,0.00054386,-1.449e-05,9.997527086376358,0.026597548186601025,0.011788288754754959,57.44455698
35.0,0.2094594,0.00062728,-1.345e-05,5.65315217138952,0.02654590501276439,0.015630036532751322,57.19619709
36.0,0.20933483,0.00073755,-2.42e-05,17.059429592998647,0.02637693646810657,0.022043902333814813,57.12444443
37.0,0.20910747,0.00087416,-2.623e-05,38.62296684508627,0.026291715860038346,0.012031270807205712,57.22355878
