Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20952299,0.00045751,-6.153e-05,-44.468449800683516,0.025974841879874814,-0.021697978501898932,170.21721884
1.0,0.20952665,0.00066392,-2.6e-05,-48.10773774097655,0.02622579643344849,-0.02049593415302207,171.90904501
2.0,0.20948009,0.00107759,2.236e-05,-50.89189070146295,0.026071187750291634,-0.021173359690386938,171.036471
3.0,0.20938096,0.00154296,1.5e-07,-49.294390173367944,0.02550187666615116,-0.020267204950226332,170.76871913
4.0,0.20843884,0.0019671,-1.958e-05,-3.8081511650916604,0.024555991088161547,-0.01432088984123835,171.00466832
5.0,0.20803977,0.00233086,-3.34e-05,12.782958167951831,0.02451477463992246,0.007631835885108874,170.70606595
6.0,0.2070881,0.00262406,-2.649e-05,58.509716508428745,0.02489400032205877,0.0406661308518409,170.59256658
7.0,0.20639265,0.00285851,-2.156e-05,91.36786091355998,0.02486085355846712,0.053976374687221086,170.5975179
8.0,0.20614447,0.00303974,4.456e-05,100.70081596239481,0.024799132948026992,0.06458451875666851,170.52629514
9.0,0.20584728,0.00317442,5.58e-06,114.79957339007711,0.024740964456647512,0.08408387742577973,170.50096726
10.0,0.20569049,0.00326532,5.295e-05,121.14241923415094,0.024776370878741665,0.08786291795339109,170.2446415
11.0,0.20558516,0.00333261,2.631e-05,126.87853176670313,0.024900834043206387,0.09014981476347299,170.24368933
12.0,0.20556696,0.00336275,-2.008e-05,128.16300978219263,0.024874200343911752,0.08850348557175454,170.03173497
13.0,0.20559329,0.00337598,1.101e-05,125.88757576518461,0.024824313167038776,0.0922058977100509,170.15418479
14.0,0.20567911,0.00337761,4.753e-05,121.32760233371927,0.024917930885857024,0.10202569957106995,169.99840881
15.0,0.20569517,0.00337346,-1.021e-05,122.20446826366405,0.025049484933496367,0.09897989746241495,170.01269145
16.0,0.20576583,0.00334178,-2.551e-05,118.30468576256357,0.02486458404500296,0.09668483194071129,169.91385559
17.0,0.2057696,0.00328036,-3.291e-05,118.33477029521077,0.024748945496463164,0.10216474703543467,169.70628124
18.0,0.20580732,0.00320889,-2.945e-05,118.13126854841279,0.0249646330256707,0.10590986579329667,169.81387712
19.0,0.20602937,0.00312864,-3.3e-06,107.44679083773714,0.02503065918905891,0.10365579107081914,169.82606497
20.0,0.2061891,0.0030316,-3.044e-05,100.47360629483329,0.02495983422302137,0.09633342753796703,169.61963323
21.0,0.20637334,0.00295128,9.53e-06,91.74818828016252,0.02511253197046106,0.08852923925153187,169.70799516
22.0,0.20650643,0.00286953,-3.143e-05,85.98141929013532,0.02496550865062847,0.07762016615522828,169.57107226
23.0,0.20660434,0.00279161,-3.3e-06,81.67544846943919,0.025081953773515724,0.06853476514822944,169.58040359
24.0,0.20673184,0.00271471,1.63e-06,75.28577461547081,0.024897594875281676,0.06334618127890365,169.43795807
25.0,0.20681186,0.00265042,-4.228e-05,73.09608216171816,0.025051232008082663,0.05914239304472992,169.30141604
26.0,0.2069057,0.00259391,1.94e-05,68.26712092430215,0.025231555220035774,0.05877686264119965,169.50784778
27.0,0.20695217,0.00253679,-2.403e-05,67.24231415300441,0.025229891609386157,0.05576125086595678,169.23952461
28.0,0.2070329,0.00249338,-1.465e-05,63.1610724966244,0.025151821739913847,0.05196527773134895,169.28484818
29.0,0.20705638,0.00245498,2.137e-05,62.1887511416509,0.025343237004457193,0.04860985170075687,169.13345221
30.0,0.20711301,0.0024223,9.04e-06,59.46724515868451,0.025196570508327045,0.042007997431382345,169.053279
31.0,0.20716548,0.00238734,2.581e-05,57.00085366987126,0.02527371857545623,0.03706217379098902,169.19248712
