Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20272663,0.00079458,6.97e-06,-10.239185878149474,0.005203639214022259,,-160.40042523
1.0,0.20275296,0.00079393,6.97e-06,-39.074044425854254,0.00600984852594489,,-160.3415819
2.0,0.20274086,0.00079201,6.72e-06,-26.087899324032794,0.0060313316161140045,,-160.37665789
3.0,0.20272612,0.00079332,7.15e-06,-10.570880199849153,0.005727024786346776,,-160.29308887
4.0,0.20272317,0.00079222,7.13e-06,-7.3170791564681705,0.005648160122050253,,-160.33832348
5.0,0.20271951,0.00079316,7.01e-06,-3.139557549450635,0.0045629666788912435,,-160.28983045
6.0,0.20272226,0.00079389,6.99e-06,-5.842260076611781,0.004916078480679813,,-160.34330695
7.0,0.2027312,0.0007945,7.1e-06,-15.43483201811879,0.005585427392483782,,-160.46482704
8.0,0.2027186,0.00079152,6.41e-06,-2.340591700113279,0.00534752134938674,,-160.32049798
9.0,0.20271911,0.00079715,6.68e-06,-4.221107939926591,0.0057080464673847095,,-160.35614898
10.0,0.20270945,0.0007945,6.26e-06,6.595716644509215,0.006282289160782842,,-160.42131748
11.0,0.20270955,0.00079267,6.74e-06,6.093934618221539,0.00570277523929144,,-160.53478735
12.0,0.20267925,0.00079116,6.71e-06,34.55880734590009,0.005428404972341273,,-160.55107947
13.0,0.20269928,0.00079356,6.77e-06,14.349969383574932,0.005101821461195932,,-160.34234859
14.0,0.2027249,0.00079177,6.42e-06,-6.755987504718642,0.004394740155933268,,-160.37416616
15.0,0.20269847,0.00079246,6.11e-06,16.502078871036886,0.0054456657266665764,,-160.27296331
16.0,0.20272703,0.0007956,6.68e-06,-10.446724785420354,0.005081906348993105,,-160.37071606
17.0,0.20272856,0.00079316,6.1e-06,-13.400688872558087,0.00608942662320215,,-160.38394143
18.0,0.20269196,0.00079577,6.42e-06,23.846693903986594,0.005928547144212541,,-160.21622838
