Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20956217,0.00044567,-7.42e-06,-1.253681380841953,0.027358196711541546,0.3518665918090448,95.07982781
1.0,0.20953198,0.00044502,-7.06e-06,2.1203544353214894,0.026923838027818905,0.35170297462608274,95.07196927
2.0,0.20955841,0.00044375,-7.11e-06,-0.7913736213066521,0.02719877102632782,0.353137918439208,95.19732262
3.0,0.20953757,0.00044208,-7.01e-06,1.6093101199793705,0.027666727208499872,0.3528216663442344,95.26804951
4.0,0.20954997,0.00044738,-7e-06,0.06695605254059468,0.027634567093956463,0.35346203608678267,95.22952348
5.0,0.20951653,0.00044725,-7.25e-06,3.8550485146147953,0.02737565288808115,0.3522124198840291,95.03766001
6.0,0.20951948,0.00044843,-7.03e-06,3.4714509884969385,0.027265646852370658,0.3529877153325381,95.19808931
7.0,0.20950261,0.00044453,-7.2e-06,5.469341695258215,0.027277104928791696,0.35181723761323225,95.40356147
8.0,0.20949803,0.00044831,-7.37e-06,5.925109944838085,0.027383677219736616,0.35227353741448797,95.2090146
9.0,0.2095453,0.0004442,-7.41e-06,0.6855614964386942,0.02740013146995742,0.3525871981749111,95.16435507
10.0,0.20950688,0.00044481,-6.4e-06,4.989817317641738,0.02748939648272399,0.35220326003906444,95.03420992
11.0,0.20953117,0.00044672,-6.75e-06,2.19874110583628,0.027421523177335608,0.3550190521114077,95.18812237
12.0,0.20955841,0.00044668,-6.59e-06,-0.8799670678304806,0.02718369925167508,0.3530905804599937,95.44132082
13.0,0.2095579,0.00044795,-6.47e-06,-0.8682609028823642,0.027531728639925424,0.3529362024658906,95.23719035
14.0,0.20951145,0.00044563,-6.71e-06,4.4095976454729024,0.02715220782469619,0.35369070440698697,95.32325099
15.0,0.2095334,0.00044819,-6.32e-06,1.868039348181123,0.02703339948954365,0.35361938905838936,95.29411688
16.0,0.20953462,0.00044595,-6.46e-06,1.7960387570511742,0.027128283336673387,0.35265086682323377,95.29910034
17.0,0.20954652,0.00044086,-6.48e-06,0.586646516054524,0.027221876212100257,0.3523086040353136,95.25214076
18.0,0.20951572,0.00044383,-7.03e-06,4.031841167304687,0.027464087377370862,0.35316712685856605,95.3048505
19.0,0.20954011,0.00044058,-6.75e-06,1.3217902229479757,0.027187630220324464,0.3534561390946026,95.35736857
20.0,0.20956715,0.00044143,-6.77e-06,-1.7529272134857101,0.027549834142447764,0.3531177454631445,95.1444212
21.0,0.20955383,0.00044628,-6.77e-06,-0.3521274120299767,0.027347512921932843,0.35327992064627095,95.18812238
22.0,0.2095577,0.00044261,-6.84e-06,-0.7036296820825511,0.027521880530025883,0.35313243648525894,95.06526075
23.0,0.20955038,0.000442,-7.33e-06,0.15892329242229367,0.027145666421500354,0.35288250934173954,95.37385234
24.0,0.20954387,0.00043984,-6.39e-06,0.906310466856545,0.027269767865391006,0.3523520891988437,95.25367413
25.0,0.20953686,0.00043968,-6.59e-06,1.7125054334778678,0.027368243126789177,0.351484699499032,95.55574888
26.0,0.20953534,0.00044257,-6.94e-06,1.8212308623259228,0.02724668773058837,0.35271857297779746,95.44726264
27.0,0.20955444,0.00044278,-6.95e-06,-0.3297074505336138,0.027228433094699894,0.35330415992929826,95.39838633
28.0,0.20954875,0.00043976,-6.35e-06,0.35496428529864393,0.027059241257801226,0.35204073127265706,95.23987376
29.0,0.2095576,0.00044265,-6.32e-06,-0.70262005199983,0.027097248607533375,0.35271875930178676,95.41889522
30.0,0.2095391,0.00044237,-6.7e-06,1.4042093417622572,0.027445106992348534,0.35381890963919793,95.24409054
31.0,0.20952314,0.00044188,-6.89e-06,3.2161029427858314,0.027327539158731554,0.3535264037862536,95.34893501
32.0,0.20953981,0.00044461,-6.73e-06,1.261480967980979,0.027221332789380614,0.3525447839718488,95.32305932
33.0,0.20949356,0.00044514,-6.48e-06,6.464728165381745,0.027360443325418954,0.352967227067023,95.24734896
34.0,0.209527,0.00043899,-6.43e-06,2.8237864076156853,0.02725408143188897,0.3527733609143893,95.45972131
35.0,0.20949753,0.00044306,-6.7e-06,6.027672712813579,0.027149360605227987,0.35274150868909304,95.23642367
36.0,0.20952995,0.00044261,-6.33e-06,2.423613805674074,0.02748798028368189,0.35381029933618624,95.38669436
37.0,0.20947923,0.00044176,-6.89e-06,8.18386716742467,0.027381681961323717,0.3535149179546168,95.15592151
38.0,0.20953625,0.00044269,-6.32e-06,1.6759340040313786,0.026987079310260814,0.35301215650884343,95.03420992
39.0,0.20956095,0.00044229,-6.26e-06,-1.0733866105520915,0.02715876535147907,0.35195491048648486,95.18888906
40.0,0.20952009,0.00043822,-5.99e-06,3.600229799135155,0.027243876206904577,0.3515696919161253,95.34797665
41.0,0.20954753,0.00044257,-5.9e-06,0.4116000165417631,0.02729620810457657,0.3526025000781131,95.33590133
42.0,0.20949437,0.00044054,-4.66e-06,6.421049089898948,0.02740266922693677,0.3533831049503376,95.09286149
43.0,0.20954184,0.00044265,-4.76e-06,1.009446664007191,0.027389636380595102,0.35296262044926774,95.12506235
44.0,0.20951765,0.00044192,-4.04e-06,3.683481045290371,0.027037923857595212,0.35193941547695196,94.98590863
45.0,0.20953971,0.00043948,-3.39e-06,1.272038466929933,0.027397492136663554,0.3522624977348655,95.12314564
46.0,0.20953574,0.00043972,-2.98e-06,1.6872368736010426,0.027208155886418745,0.35154595358956076,95.0683275
47.0,0.20949173,0.00044143,-2.13e-06,6.518278953423438,0.027065343138844854,0.35306105053980646,95.15515483
48.0,0.20950891,0.00043989,-1.47e-06,4.614052998249059,0.027082107466466377,0.3529292248607936,95.03938506
49.0,0.20937413,0.00044127,-2e-08,19.755045797260674,0.02732962768916686,0.35371508797005574,95.09362818
50.0,0.20949793,0.00045161,8.4e-07,5.4342289304847995,0.026871027333649287,0.35231234756048146,94.97268328
51.0,0.20950057,0.00044668,2.13e-06,5.297256590732894,0.027338001195947093,0.352718710750789,94.97459999
52.0,0.20945758,0.00044184,3.54e-06,10.156157864479015,0.02721165946313893,0.35220509882716633,95.17432201
53.0,0.20946673,0.00044782,5.39e-06,8.917240670274397,0.027212131177479237,0.35330801351979174,95.00335076
54.0,0.20942749,0.00044603,7.76e-06,13.382863521748343,0.027442632675959987,0.35435738317181303,94.98284188
55.0,0.20944609,0.00045047,9.53e-06,10.904673848879288,0.026950666554321837,0.35321450740659954,94.76529439
56.0,0.20937078,0.0004486,1.108e-05,19.20013245724069,0.02687148746295376,0.35173418161002074,94.90099802
57.0,0.20913639,0.00045137,1.213e-05,44.663925294303304,0.02664231670155525,0.35326341029697633,94.95255774
58.0,0.20889144,0.00045438,1.263e-05,71.21699389208713,0.02655842317589695,0.35269226981564894,94.66888348
59.0,0.20862656,0.00046167,1.307e-05,99.05888059588463,0.02631720798592977,0.3528898501046228,94.70165936
60.0,0.20849575,0.00047514,1.332e-05,113.59235702355505,0.02648006369598416,0.35439166727575633,94.62134887
61.0,0.20827356,0.00048565,1.439e-05,136.4006715390542,0.026272418500843296,0.3525588156166488,94.53835499
62.0,0.20812242,0.00050144,1.608e-05,151.9806542870649,0.026220638636841292,0.3510154104451583,94.4818118
63.0,0.20796477,0.0005253,1.907e-05,167.9485086915232,0.026167047576026153,0.3512475590105107,94.53413821
64.0,0.20773333,0.00055336,2.384e-05,191.47866318621914,0.0260997779337663,0.35167945596171235,94.31505734
65.0,0.20767316,0.00058869,2.89e-05,195.23962049709124,0.02587420948944832,0.35228637069268104,94.48756196
66.0,0.20755698,0.00063104,3.505e-05,207.1036572025509,0.025962866591684338,0.35176423704894716,94.21807141
67.0,0.20730908,0.00067741,4.227e-05,232.02796708353532,0.025947509133770252,0.3532510224187861,94.10460171
68.0,0.20719982,0.00072073,4.883e-05,241.09881004460112,0.02580461233518287,0.35261872862351135,94.03617488
69.0,0.2070377,0.00077643,5.574e-05,257.069985268637,0.025837890608610137,0.35220242196448476,94.06703404
70.0,0.20683828,0.0008309,6.254e-05,274.7198450374111,0.02565367796313555,0.35280687744446815,93.89146267
71.0,0.20666112,0.00088326,6.84e-05,287.47862403793425,0.025261754791324913,0.3518139236714475,93.84258636
72.0,0.206598,0.00094401,7.284e-05,296.0426160086112,0.025564533291028726,0.35178611286634615,93.78949328
73.0,0.20659454,0.00100154,7.649e-05,295.88682455342223,0.025638707546772218,0.35361652438503244,93.67794029
74.0,0.20656933,0.0010701,7.817e-05,299.8334748964083,0.02588493872326869,0.3523856379667759,93.69461574
75.0,0.20658112,0.0011275,7.776e-05,292.02205452204106,0.025421397477684144,0.3520272136135539,93.57539588
76.0,0.2065983,0.00119098,7.761e-05,294.12518093849263,0.025882986509426994,0.35170238334413956,93.50332728
77.0,0.20659698,0.00124684,7.677e-05,291.3272701979472,0.025728783216268248,0.35223539566542417,93.57539588
78.0,0.20658509,0.00130701,7.572e-05,289.5255045475327,0.025571479806044954,0.3530223453000209,93.44314234
79.0,0.20658448,0.00135848,7.501e-05,287.84338973266676,0.025513092184569753,0.352576144600868,93.27504617
80.0,0.20649351,0.00140509,7.387e-05,297.8677206567276,0.025642747296299135,0.35348930128941475,93.35669836
81.0,0.20649178,0.00145444,7.303e-05,298.69541370647175,0.02578825955160689,0.35279137262879295,93.05596531
82.0,0.20647582,0.00149975,7.165e-05,297.03535527564907,0.025581204121180184,0.35283299528740436,93.2075777
83.0,0.20646525,0.00154307,7.013e-05,296.86620290266717,0.025547461991324863,0.3511206295027791,93.25319559
84.0,0.20654646,0.00158403,6.895e-05,288.9244778943502,0.025669940742909427,0.35306112910043275,93.18304371
85.0,0.20654728,0.00162299,6.733e-05,285.7643966398464,0.02546616074181518,0.3524921748445168,93.18821885
86.0,0.20654087,0.00165862,6.565e-05,290.1836121169844,0.025863609491953668,0.3530791527995915,92.95936272
87.0,0.20652065,0.00169164,6.492e-05,287.08041839338887,0.02546051589788596,0.35214757781509914,92.93425372
88.0,0.20650367,0.00172596,6.364e-05,287.78014175773677,0.025427451857937815,0.3525421281091909,93.08299103
89.0,0.20643567,0.00175829,6.279e-05,292.7299434584833,0.02530191678524506,0.3519057607094779,92.95322923
90.0,0.20633586,0.00178907,6.262e-05,306.58496957913064,0.025652352767291525,0.3517882425304104,92.80909203
