General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.96179602,146.408226,0.00050687,0.04232577,0.999995,1.000016,-0.525788,-0.0001,69.917,0,267.446,317.343,319.445,971.031,0,0
Standard used,ASTM E 1354,1,20.95403274,143.894045,0.00021356,0.0420109,0.999985,0.999994,-0.525788,-0.0001,69.94,0,267.467,317.359,319.464,971.781,0,0
Date of test,24/06/2024,2,20.94626947,141.379863,-7.975E-05,0.04169603,0.999975,0.999971,-0.525788,0,69.963,0,267.488,317.375,319.484,972.53,0,0
Time of test,13:58,3,20.94682391,143.874812,-0.00012722,0.04289127,0.999952,0.999961,-0.525788,-0.0001,69.9671,0,267.497,317.419,319.506,972.109,0,0
Heat flux (kW/m²),35,4,20.95049218,140.714903,-9.05E-06,0.04516105,0.999971,0.999978,-0.525788,-0.0001,69.9661,0,267.493,317.45,319.525,971.998,0,0
Nominal duct flow rate (l/s),24,5,20.95278077,141.508301,0.00022967,0.0452401,0.999998,1.000003,-0.525788,0.0001,69.9712,0,267.47,317.416,319.497,972.007,0,0
Sampling interval (s),1,6,20.95260962,139.10031,0.00021014,0.04338256,1.000002,1.000007,-0.525788,0.0002,69.9725,0,267.489,317.414,319.542,972.031,0,0
Separation (mm),25,7,20.94800034,143.369223,1.585E-05,0.04203798,1.000016,1.000014,-0.525788,0.0004,69.9746,0,267.493,317.458,319.607,972.016,0,0
Orientation,Vertical,8,20.94355535,145.873987,-0.00011761,0.04195264,1.000027,1.000037,-0.525788,0.0003,69.9838,0,267.483,317.512,319.616,972.016,0,0
Edge frame?,Yes,9,20.9455033,141.037875,-0.00013247,0.04288735,1.000022,1.00003,-0.525788,0,69.974,0,267.49,317.533,319.641,972.022,0,0
Grid?,No,10,20.95040874,143.875363,3.822E-05,0.04543456,0.999995,1.000003,-0.525788,-0.0002,69.9836,0,267.481,317.569,319.684,972.031,0,0
Non-scrubbed?,Yes,11,20.95292309,141.967762,0.00022498,0.04559396,0.999976,0.999966,-0.525788,-0.0001,69.9708,0,267.489,317.564,319.69,972.058,0,0
Substrate used? {Y/N},No,12,20.95227314,142.140609,0.00016827,0.04317539,1.000016,1.000005,-0.525788,0.0001,69.986,0,267.492,317.54,319.7,972.084,0,0
Substrate,none,13,20.94858789,143.060411,6.8E-06,0.04196382,0.999976,0.99999,-0.525788,0,69.9823,0,267.5,317.553,319.702,972.109,0,0
Additional specimen preparation details,kaowool blankets. al foil pan. drierite stored specimen. retainer frame,14,20.94533725,145.347291,-0.0001216,0.04202922,0.999954,0.99995,-0.525788,0.0007,69.9944,0,267.518,317.552,319.73,972.091,0,0
,,15,20.94806733,144.647827,-0.00011746,0.04327812,0.999988,0.999974,-0.525788,0.0003,69.9921,0,267.498,317.564,319.732,972.068,0,0
Specimen,,16,20.95161596,142.928898,7.083E-05,0.04556494,0.999983,0.999973,-0.525788,0,69.9928,0,267.5,317.588,319.754,972.039,0,0
Sample description,Composite3_Vert_35kWm-2_R3,17,20.95304139,142.657043,0.00026388,0.04470689,0.99997,0.999958,-0.525788,0,70.0054,0,267.516,317.613,319.775,972.031,0,0
Material name/ID,Composite3,18,20.9518096,144.691089,0.00015199,0.04285123,1.000005,0.999983,-0.525788,0,70.0127,0,267.516,317.634,319.826,971.996,0,0
