Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20789177,0.00201879,0.00162204,-3.390547360346351,0.002800259093500914,,-222.31403191
1.0,0.20772821,0.00203631,0.00162029,-2.1361844651024913,0.002327810503704278,,-222.3371222
2.0,0.20787339,0.0020058,0.00162177,-1.6487397301607212,0.0014066577250756369,,-222.34341956
3.0,0.20771014,0.00199602,0.00162394,-2.7889575762796777,0.003199670229093666,,-222.3192797
4.0,0.20788366,0.00200995,0.00162511,-4.845166415417035,0.004056079458315697,,-222.31993568
5.0,0.20778304,0.00199158,0.00162448,-4.226716726431637,0.0042124828738889925,,-222.32649542
6.0,0.20774884,0.00197741,0.00161953,-3.0440373718913643,0.0032646594642070223,,-222.34696182
7.0,0.20783828,0.00195578,0.00161797,-3.16319711709757,0.0029113584256386777,,-222.32872573
8.0,0.20768929,0.00195549,0.00161699,-1.9569722753730145,0.002404817519686925,,-222.3347607
9.0,0.20790727,0.00196902,0.00161559,-1.8738809381593298,0.0015409466251335646,,-222.32387152
10.0,0.20779823,0.00199549,0.00161813,-1.9039941233932964,0.0018510396757193458,,-222.33069366
11.0,0.20765223,0.00201944,0.00162098,-2.4360457095224772,0.0031514363314348736,,-222.32610184
12.0,0.20782719,0.00199924,0.00162304,-4.104804937306194,0.0037796963380662342,,-222.33607265
13.0,0.20775254,0.00201529,0.00162125,-3.9121354919270432,0.004097790606687201,,-222.33095605
14.0,0.20797638,0.00202983,0.00161864,-5.4378361154813275,0.003976603380716093,,-222.34302597
15.0,0.20764709,0.00200983,0.00161726,-2.445971615169777,0.0032285142454045956,,-222.33003768
16.0,0.20774032,0.00200959,0.00161486,-2.6758818058933422,0.002889130830479578,,-222.32728259
17.0,0.20804445,0.00204087,0.00161441,-3.9374625976879933,0.0026365516395742226,,-222.35876936
18.0,0.20732726,0.00203736,0.00161892,-0.38116821659270794,0.002051790604844081,,-222.33804057
19.0,0.20767081,0.00201427,0.00162484,-1.2451484640285602,0.0015422343188976602,,-222.34971691
20.0,0.20809322,0.00199749,0.00162699,-2.338914931293457,0.0014860425452772313,,-222.33148083
21.0,0.20778909,0.00200849,0.00162419,-3.1488954936882028,0.0030850668040810192,,-222.34853616
22.0,0.2080003,0.00198759,0.00162043,-5.073884875887695,0.0036341528043764447,,-222.34551868
23.0,0.20781025,0.00202115,0.00161822,-4.3495815429975835,0.004101840834565585,,-222.3628364
24.0,0.20779618,0.00200502,0.00161685,-4.413582822224461,0.004294656396557488,,-222.32321555
25.0,0.20761311,0.00198959,0.00161845,-2.426380828199987,0.0035233870575894243,,-222.33567906
26.0,0.20742788,0.00201806,0.00162372,-1.1221308719663674,0.00307510573775095,,-222.32032926
27.0,0.2076436,0.00198849,0.00162451,-2.0811789896414856,0.002783507819079011,,-222.32255957
28.0,0.20809486,0.00198018,0.00162056,-3.5701507853322747,0.0022794282170168143,,-222.3422388
29.0,0.20794424,0.00199606,0.00162032,-1.4874767186797448,0.0011469504173225505,,-222.32374033
30.0,0.20800461,0.00204527,0.00162385,-3.560149514962468,0.0024927016869644623,,-222.31862373
31.0,0.20805061,0.00202437,0.00162537,-5.163864490601769,0.00343049889477059,,-222.29763255
32.0,0.20807546,0.00198425,0.00162254,-6.282007742635442,0.004096277060385356,,-222.33016888
33.0,0.20743486,0.00203459,0.0016219,-1.4746298331368886,0.0038524663670354057,,-222.3296441
34.0,0.20755941,0.00199651,0.00161878,-1.7951269518892323,0.0030245781651413012,,-222.35404634
35.0,0.20797597,0.00199113,0.00161559,-3.4178271879935473,0.0025317064980361352,,-222.34512509
36.0,0.20797381,0.00199639,0.0016137,-2.326683699165203,0.0017274625026799631,,-222.34761779
37.0,0.20792843,0.00199472,0.00161287,-1.8977739987685267,0.0015028224393848018,,-222.32229718
38.0,0.2083955,0.00197928,0.0016171,-7.14888655891526,0.003382299694699581,,-222.32833215
39.0,0.20785799,0.00197745,0.00162161,-4.600532577894848,0.004060292162771767,,-222.31731178
40.0,0.20763395,0.00195614,0.00162489,-3.0241205685826116,0.004211889842912242,,-222.36322998
41.0,0.20819836,0.00195236,0.00162608,-6.053846543623095,0.0034626435321910226,,-222.30314274
42.0,0.20794095,0.00198604,0.00162826,-3.9365260592824067,0.00304669299016844,,-222.35404634
43.0,0.20763754,0.0020038,0.00162674,-1.9876303293123798,0.002672068801195778,,-222.33253038
44.0,0.20726226,0.00199024,0.00162121,-0.07369599018101627,0.0014490929884903587,,-222.32597064
45.0,0.20734553,0.00199598,0.00162131,-0.21298206264482453,0.001039621835707032,,-222.33751579
46.0,0.20729984,0.00202938,0.00162413,-0.33789218945558025,0.0024838782980535737,,-222.32597064
47.0,0.20759021,0.00201345,0.00162185,-2.31390016747358,0.0035161164141747276,,-222.31875492
48.0,0.2081307,0.00196726,0.00162068,-6.823596360709311,0.004194215373891846,,-222.34906094
49.0,0.20762687,0.00197468,0.00162042,-3.038027338491305,0.004282999143815536,,-222.3397461
50.0,0.20744348,0.00201386,0.0016227,-1.415998451089891,0.0036203793332631145,,-222.31009606
51.0,0.20782914,0.00202808,0.00162603,-3.5768849281386834,0.003244466632211848,,-222.33030007
52.0,0.20845957,0.00201887,0.0016239,-6.621805942046199,0.0029425465488866743,,-222.30930889
53.0,0.20800081,0.00200115,0.00161995,-3.642304146189083,0.002597980783160288,,-222.34013969
54.0,0.20761947,0.00201838,0.001619,-1.3564819946772224,0.0019063490275929619,,-222.35863816
55.0,0.20755232,0.00202983,0.00161696,-0.3822495975946505,0.0006455715323563724,,-222.33292397
56.0,0.20818984,0.00204681,0.00161457,-4.801697043261137,0.002725735246161273,,-222.35142244
57.0,0.20756485,0.00203671,0.0016133,-2.1626158024246425,0.0035148070975984116,,-222.33922132
