Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20948057,0.00058015,1.024e-05,1.195631404834593,0.030701783178009073,,-47.94552281
1.0,0.20949852,0.00057605,1.158e-05,0.2555299397765733,0.030754372600341855,,-47.93119578
2.0,0.20951473,0.00055008,1.103e-05,-0.31209609833806157,0.030751301581142632,,-47.91912394
3.0,0.20949226,0.00055455,1.018e-05,0.8563456731895137,0.030645893104847447,,-47.94194105
4.0,0.20953197,0.00055775,7.47e-06,-1.2569831703365548,0.030734604216466673,,-47.90506223
5.0,0.20948241,0.00054027,5.71e-06,1.6373585426865895,0.03086379906878778,,-47.93756335
6.0,0.20949165,0.00054323,5.31e-06,1.116809375255329,0.030949111132361186,,-47.9142156
7.0,0.20949226,0.0005629,6.73e-06,0.8370570182732839,0.031037389833115502,,-47.92443024
8.0,0.20952355,0.00056842,8.8e-06,-0.9572384627179846,0.03097024361610048,,-47.91275637
9.0,0.20951124,0.00054303,7.49e-06,0.020235368720294123,0.03083595131451856,,-47.93544083
10.0,0.20948108,0.00056777,7.05e-06,1.379521655945294,0.030996672959664184,,-47.91991988
11.0,0.20952858,0.00055893,6.3e-06,-1.0721460602693693,0.030891223494339662,,-47.95374758
12.0,0.20948724,0.00054891,4.71e-06,1.3114810574510463,0.031177235804196762,,-47.95414556
13.0,0.20950057,0.00056315,4.21e-06,0.4301401287578826,0.03095616643300436,,-47.92098114
14.0,0.2094899,0.00058485,3.55e-06,0.7763716553054337,0.03108458452454374,,-47.89564353
15.0,0.20951986,0.00056583,4.89e-06,-0.6592434125855008,0.03115246122433751,,-47.91023587
16.0,0.20947954,0.00054294,4.09e-06,1.788259431583853,0.030800424454390435,,-47.90811335
17.0,0.20951227,0.00053584,3.42e-06,0.11892526926681292,0.030156063811036443,,-47.9220424
18.0,0.20952171,0.00055994,3.56e-06,-0.6461953516396937,0.030148977894446337,,-47.94963519
19.0,0.20950591,0.00057852,3.51e-06,-0.018469150185592934,0.02953395182414015,,-47.89060254
20.0,0.20954202,0.0005952,3.39e-06,-2.038213849501987,0.02924930967330405,,-47.96223767
21.0,0.20950786,0.00061236,3.78e-06,-0.4782360012375076,0.02885619573671067,,-47.94393092
22.0,0.20952755,0.00058818,4.13e-06,-1.2102619980495581,0.02860881341139734,,-47.92628745
23.0,0.20954787,0.00057743,4.5e-06,-2.0972717366534965,0.0283178965218313,,-47.9045316
24.0,0.20948693,0.00056246,5.48e-06,1.04685778133642,0.028152195107076148,,-47.96144173
25.0,0.20952602,0.00054538,6.46e-06,-0.7085817622716418,0.027921633742566048,,-47.92575682
26.0,0.20957321,0.00056108,4.82e-06,-3.082994812208801,0.027403336868309723,,-47.95600276
27.0,0.20950283,0.0005612,5.68e-06,0.2664876573727797,0.027254377809940826,,-47.94340029
28.0,0.20953412,0.00056664,7.19e-06,-1.2996199576077043,0.02722577256459979,,-47.95454353
29.0,0.20949873,0.00057313,7.44e-06,0.3144371978861602,0.02732494071372593,,-47.93729803
30.0,0.20951176,0.00058846,7.16e-06,-0.4556396453015757,0.02732664782522216,,-47.92310367
31.0,0.20952448,0.00060437,6.27e-06,-1.2065301406287186,0.027321333421656987,,-47.98134037
32.0,0.20949739,0.00059463,7.28e-06,0.1669412852132693,0.027472081590305272,,-47.93437957
