Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20947527,0.00063917,6.53e-06,9.871940368543259,0.027082052178944858,,42.7428428
1.0,0.20943855,0.00065764,8.02e-06,13.492781213643825,0.0271017572302201,,42.73495631
2.0,0.20948747,0.00067155,1.024e-05,7.643699471459971,0.02720914267336513,,42.72930432
3.0,0.2095008,0.00070426,1.16e-05,5.287167804525033,0.027014016137193144,,42.72522963
4.0,0.20944821,0.00074685,1.252e-05,10.161873126961286,0.027134727747046714,,42.75151795
5.0,0.20947974,0.00074775,1.302e-05,6.552998953534262,0.02697190815999418,,42.72496675
6.0,0.20948696,0.0007206,1.124e-05,6.47955805122178,0.02708957321522644,,42.72891
7.0,0.209477,0.00069286,8.07e-06,8.343184471994,0.027020279922238433,,42.72641261
8.0,0.20950273,0.00067637,7.88e-06,5.915234455013074,0.027236603467251118,,42.72877856
9.0,0.20951941,0.00069616,5.97e-06,3.6328263162678462,0.0271136750613941,,42.69276357
10.0,0.20951819,0.00066892,5.95e-06,4.408595850422693,0.027112367584041418,,42.73140739
11.0,0.20955277,0.00065238,2.24e-06,1.0747495353519259,0.02717046738514943,,42.71931476
12.0,0.20955714,0.00068348,-2.4e-07,-0.04982621541755205,0.027084072563912112,,42.70117583
13.0,0.20954911,0.00066748,1.48e-06,1.1510369583882119,0.026971553999562376,,42.71208548
14.0,0.20954738,0.00075314,2.04e-06,-0.6806287123522954,0.02712530934180147,,42.72299513
15.0,0.20953853,0.00064892,4.99e-06,2.6411827673910473,0.027125346644757162,,42.72457243
16.0,0.20953975,0.00060704,7.82e-06,3.381124099346316,0.02715245719699897,,42.7226008
17.0,0.20960728,0.00063975,9.11e-06,-4.960884316802444,0.026931785293335064,,42.70091295
18.0,0.20959844,0.00063765,9.34e-06,-3.9663691053819115,0.027122523121600864,,42.74113406
19.0,0.20954636,0.00062884,4.81e-06,2.2451611634006294,0.02714987482105253,,42.69420943
20.0,0.20960627,0.00065464,3.85e-06,-5.042721721119812,0.02719641383824552,,41.40687092
21.0,0.20954606,0.00067538,3.19e-06,1.2426530045073,0.027022269579065256,,41.07931841
22.0,0.20956853,0.00068805,1.94e-06,-1.5269031666106818,0.02731832425813754,,40.01069853
23.0,0.20957352,0.00069455,1.75e-06,-2.2134552840341977,0.02704813617927036,,40.23296623
24.0,0.20955297,0.00071484,8.4e-07,-0.36220974734346295,0.0272196644907664,,40.78686098
25.0,0.20954453,0.00067554,2.2e-06,1.4582026487242403,0.0272199598664197,,40.80079375
26.0,0.20951768,0.00065271,3.89e-06,4.916201792383861,0.027062193515865213,,41.09798312
27.0,0.20950171,0.00068023,5.74e-06,5.967875758490213,0.026991823361715243,,41.00584274
28.0,0.20951066,0.00069093,9e-06,4.583055464970987,0.026914459579417488,,41.75847699
29.0,0.20948279,0.0006467,1.119e-05,8.723922349156425,0.027231959702160767,,41.66147321
30.0,0.20948229,0.00066748,1.237e-05,8.247453237570145,0.027239889279060153,,41.37585059
31.0,0.209471,0.0006878,1.099e-05,9.0885605113802,0.02723296269843732,,41.74953893
