Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20925552,0.00062731,8.714e-05,27.79531699582418,0.007530671314056351,,-217.0060192
1.0,0.20924381,0.00061676,8.638e-05,27.787475310077575,0.007478672104428174,,-216.99171896
2.0,0.20925932,0.00058812,8.437e-05,26.655161199201544,0.007203594536894607,,-216.98581519
3.0,0.20924197,0.00057542,8.501e-05,26.884070359973737,0.007198645815372919,,-217.04524646
4.0,0.20924967,0.00058063,8.422e-05,25.86246718911753,0.006952615448688227,,-217.00300172
5.0,0.20925757,0.00059623,8.241e-05,24.333651190907386,0.006573955358563449,,-217.031471
6.0,0.20921691,0.00061252,8.161e-05,25.10903668062618,0.006666148293321937,,-217.04603363
7.0,0.20924289,0.00060238,8.296e-05,24.876394131511578,0.006679236837201751,,-217.01244775
8.0,0.20927421,0.00057941,8.546e-05,24.86553660419304,0.006762586335407168,,-216.98660236
9.0,0.20920572,0.00057387,8.762e-05,26.24324355127014,0.006912475430610876,,-217.02740396
10.0,0.20927575,0.00059941,8.929e-05,25.312033204558855,0.006907011732191485,,-217.03015905
11.0,0.20969087,0.00063505,8.719e-05,20.63706197290218,0.007038950107182112,,-217.0264856
12.0,0.21430258,0.00062645,8.379e-05,-36.27034786346225,0.007041103502604978,,-216.99801631
13.0,0.2158148,0.00061562,8.232e-05,-55.58571271399123,0.007099552092548856,,-217.00168977
14.0,0.21666055,0.00066963,8.184e-05,-67.68493718430102,0.007233192769898178,,-217.0137597
15.0,0.21665182,0.00065602,8.329e-05,-66.81990518894837,0.00715600445923548,,-217.00706876
16.0,0.21394547,0.0006012,8.233e-05,-32.76865849973278,0.007266784716317675,,-217.01585881
17.0,0.21120042,0.00056694,7.862e-05,2.421287305412553,0.007332448288256576,,-217.05429891
18.0,0.21154633,0.00060682,7.707e-05,-2.0981780605431517,0.007265705877366172,,-217.0340949
19.0,0.21174625,0.00057049,7.686e-05,-4.682885352709669,0.007488995793584511,,-217.02412409
20.0,0.21186196,0.00060381,7.713e-05,-6.399308481839593,0.007612688029521015,,-217.02228736
21.0,0.21189677,0.00057533,7.924e-05,-6.844095656200026,0.007669920207472012,,-217.01494045
22.0,0.21191494,0.00055656,8.017e-05,-6.968838544368268,0.007593223715217862,,-217.01428448
23.0,0.21191114,0.00053464,7.738e-05,-6.711936051768963,0.007447269773776869,,-216.98607758
24.0,0.21191135,0.0005157,7.653e-05,-6.625128661701736,0.0074100652406614,,-217.0162524
25.0,0.21192644,0.00049143,7.758e-05,-6.615227591582773,0.00725241774810638,,-217.01192297
26.0,0.21190673,0.00048536,7.742e-05,-6.464367038633036,0.007385828131508977,,-217.02005705
27.0,0.21192305,0.00045505,7.52e-05,-6.394430450710059,0.00717486131608855,,-216.99460525
28.0,0.21195981,0.0005102,7.524e-05,-7.091842818265592,0.0072648008554962035,,-217.04065464
29.0,0.21194759,0.00043253,7.726e-05,-6.6427511652176054,0.007164891379500668,,-217.01323492
30.0,0.21192367,0.00059802,7.595e-05,-6.716910857755017,0.00710094096390501,,-216.99788512
31.0,0.21193199,0.00050206,7.474e-05,-6.565364125552583,0.00710467235873463,,-217.03173339
32.0,0.21192264,0.00048984,7.424e-05,-6.286427993793128,0.006962837262688917,,-217.04773916
33.0,0.2118981,0.00053191,7.588e-05,-6.1820898362709364,0.00705335360933796,,-217.00142738
34.0,0.21194523,0.00054548,7.728e-05,-6.676477934603421,0.006918685253227622,,-216.98135457
35.0,0.21191546,0.00054177,7.786e-05,-6.249326060620411,0.0068540079480520644,,-217.0136285
36.0,0.21191022,0.0005098,7.924e-05,-5.922764874019781,0.006643231763945578,,-216.97846828
37.0,0.21192038,0.00050043,7.795e-05,-5.942460927756132,0.006565607528259118,,-217.00615039
38.0,0.21189461,0.00053692,7.718e-05,-6.023299109523196,0.0068994475550912425,,-216.98712714
39.0,0.21194297,0.00049285,7.825e-05,-6.637922791926563,0.007046227455171178,,-217.03370131
40.0,0.21195386,0.00055705,7.923e-05,-7.158521611455212,0.007263011779202406,,-217.01441567
41.0,0.21199801,0.00053937,7.789e-05,-7.840665449440415,0.007427446503557128,,-217.0187451
42.0,0.21196638,0.0005355,7.62e-05,-7.638292783232217,0.007655869290359955,,-217.02097541
43.0,0.21197717,0.00052495,7.77e-05,-7.475701164966386,0.007375300410800249,,-217.01310372
44.0,0.21199092,0.00050096,7.633e-05,-7.38204682061419,0.007181228329978466,,-217.04918231
45.0,0.21196813,0.00051745,7.54e-05,-6.991918975348758,0.007037150386422572,,-217.0288471
46.0,0.21197337,0.00054226,7.618e-05,-6.856988848126067,0.006772589944283296,,-217.01271014
47.0,0.2119863,0.00057342,7.481e-05,-7.064360731243785,0.0067544074780814065,,-217.03986747
48.0,0.211986,0.00057354,7.282e-05,-7.429634861988717,0.007115181818001162,,-217.00562561
49.0,0.21200653,0.00058238,7.146e-05,-8.1977668338667,0.007571902976356614,,-216.99775392
50.0,0.21197758,0.00059578,7.146e-05,-7.603392461069797,0.007332997485375557,,-217.01717076
51.0,0.21199298,0.00059994,7.153e-05,-7.5392628310596566,0.007076000848972137,,-217.00155857
52.0,0.21200263,0.00060401,7.322e-05,-7.476018948384732,0.006890738939350487,,-217.03488207
53.0,0.2119745,0.00061566,7.465e-05,-6.943902147138458,0.006671618731992604,,-217.00654398
54.0,0.21204976,0.00058841,7.359e-05,-8.540869649905723,0.007350033151568336,,-217.01034863
55.0,0.21200633,0.000579,7.243e-05,-8.092153613883296,0.007481380318682674,,-217.00798712
56.0,0.21199524,0.00057603,7.167e-05,-7.69637472108879,0.00725646625417444,,-217.00168977
57.0,0.2120017,0.00056153,7.331e-05,-7.3833431645607694,0.006916113534992624,,-217.01310372
58.0,0.21200222,0.00053603,7.518e-05,-7.09950842693456,0.006696877854323112,,-217.00064021
59.0,0.21204349,0.00051505,7.43e-05,-8.01326013927944,0.0071282666251109095,,-217.00405128
60.0,0.2120247,0.00051982,7.282e-05,-8.23078868209421,0.007536844603457401,,-217.00444486
61.0,0.21203744,0.00054283,7.354e-05,-8.103746750441017,0.007213484973790552,,-216.99499883
62.0,0.21202922,0.00056295,7.375e-05,-7.645410812481266,0.006846952753033862,,-216.98214174
63.0,0.21198487,0.000579,7.376e-05,-7.077104969242469,0.006773534489939279,,-216.99499883
64.0,0.2120169,0.00057582,7.424e-05,-8.044550158842002,0.007312587873625011,,-217.02110661
65.0,0.21195735,0.00053835,7.312e-05,-7.375202732139513,0.00751762341726138,,-216.99119418
66.0,0.21199616,0.00051236,7.395e-05,-7.265438285352486,0.00698638994368012,,-217.04511527
