Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20946916,0.0005152,6.51e-06,55009.96922658483,0.02646636897981955,,84.46611214
1.0,0.20953416,0.00050534,4.7e-06,25842.623196953762,0.026425039536423063,,84.45614369
2.0,0.20956692,0.00052284,3.14e-06,9037.02537459523,0.0262761026512713,,84.45679951
3.0,0.20956733,0.00049684,2.04e-06,11464.067582453177,0.026071807621342456,,84.42007364
4.0,0.20951372,0.00048227,5.29e-06,37751.481670425805,0.026570052760208917,,84.43332118
5.0,0.20956065,0.00046097,7.65e-06,17140.604935451032,0.02611590169368489,,84.43345235
6.0,0.20952913,0.00045536,7.28e-06,32500.864639108473,0.026292374741048518,,84.42991092
7.0,0.20961066,0.00043105,6.91e-06,-2950.755007310503,0.026389192017824036,,84.43292769
8.0,0.20961241,0.00042358,8.63e-06,-3313.760314362174,0.026391380550047066,,84.43830541
9.0,0.20952071,0.00041669,1.007e-05,39786.59618766235,0.026331532351809548,,84.43266536
10.0,0.20948107,0.00044521,7.83e-06,55928.8290505571,0.02639218131888061,,84.48578671
11.0,0.20980793,0.00049118,4.15e-06,-99186.05120567286,0.026069297051050433,,84.45063481
12.0,0.20955952,0.00051215,1.45e-06,13750.62009175735,0.026212675035099504,,84.4173192
13.0,0.20949678,0.00048239,-8.2e-07,46137.417704926804,0.026261158488097815,,84.44460127
14.0,0.20950746,0.00051004,-9.7e-07,38397.68584379427,0.02617802053121509,,84.43804308
15.0,0.20969528,0.0004975,-2.6e-06,-47320.42333044332,0.02635685759160551,,84.46047209
16.0,0.20955049,0.00046997,-4.13e-06,22929.64376036178,0.026223680011209304,,84.42754998
17.0,0.2097608,0.00049746,-4.8e-07,-76817.68377675753,0.02589595069477356,,84.42204109
18.0,0.20969733,0.0005379,3.75e-06,-52304.8131542283,0.025890451558780152,,84.44001054
19.0,0.20967741,0.00051446,7.17e-06,-42207.697576435756,0.02634507191601435,,84.42833696
20.0,0.20960286,0.00053579,7.45e-06,-9617.958128004051,0.026321895126275776,,84.39830044
21.0,0.2097609,0.00054112,3.77e-06,-83680.43498745124,0.02651345580406161,,84.44892968
22.0,0.2097036,0.00051974,3.47e-06,-54173.995956162515,0.026272478869295172,,84.46440701
23.0,0.20953549,0.0005426,5.28e-06,21363.194732827236,0.026279189280346903,,84.43515748
24.0,0.20956363,0.00052969,6.74e-06,9321.680952260884,0.026280913979014546,,84.42361506
25.0,0.20956004,0.00048095,8.64e-06,15466.780507092513,0.02634623956760533,,84.41443359
26.0,0.20956579,0.00045784,7.5e-06,15300.61981525912,0.026469965792351093,,84.46781727
27.0,0.20958489,0.0004443,6.05e-06,7889.799641611855,0.026332252442025843,,84.43948588
28.0,0.20974478,0.0004833,3.33e-06,-70039.9033518565,0.02639094115589921,,84.42518903
29.0,0.20948322,0.00052779,2.93e-06,47538.69103943162,0.026331212916927083,,84.43699377
30.0,0.20953303,0.00054285,3.46e-06,22639.55453233059,0.026125302239380862,,84.46139024
31.0,0.20959382,0.00053629,4.07e-06,-4895.027691602074,0.026194853422441676,,84.44748688
32.0,0.20950037,0.0005469,6.06e-06,37294.69558418844,0.02640072448886921,,84.40407165
33.0,0.20974005,0.00050901,8.33e-06,-70588.84087813948,0.026180298706413592,,84.41482708
34.0,0.20954237,0.00047987,8.43e-06,23557.320802959417,0.026045014042162144,,84.42282808
35.0,0.2096387,0.00047604,6.1e-06,-20156.639524123384,0.026210428992942694,,84.46257072
36.0,0.20954104,0.00047414,5.11e-06,25368.010664121965,0.02616700698378598,,84.44119101
37.0,0.20959875,0.0004918,4.57e-06,-2908.8953985490684,0.02593001598320809,,84.44210916
38.0,0.20975659,0.00048384,2.41e-06,-74396.9937071761,0.02602111743350515,,84.47529361
39.0,0.20960389,0.0005131,4.01e-06,-7344.939494743892,0.026372630849904544,,84.46703029
40.0,0.20946351,0.00052614,3.79e-06,56131.54330159735,0.02605467238004318,,84.43305886
41.0,0.20942017,0.00053798,4.07e-06,75020.73272485909,0.026101355204098516,,84.44525709
42.0,0.209551,0.00053559,3.89e-06,14884.667192243774,0.025959650979314748,,84.3969888
43.0,0.20960563,0.00050732,1.91e-06,-7208.752401906428,0.026212900117125862,,84.42886161
44.0,0.2093755,0.00052271,2.17e-06,98167.73934072125,0.026311424808882194,,84.49063977
45.0,0.20969138,0.00049188,4.11e-06,-45875.95596891485,0.02626582982610099,,84.45496321
46.0,0.20960368,0.00046357,6.58e-06,-2828.6821215512136,0.026444478203339162,,84.45745533
47.0,0.20974118,0.00050554,6.75e-06,-71507.29539881005,0.026546081874469146,,84.44302731
48.0,0.20935712,0.00052923,8.47e-06,105118.09839387088,0.026325983703567295,,84.4434208
49.0,0.2097228,0.00056105,6.4e-06,-67650.09925964777,0.026296800694565647,,84.45338925
50.0,0.20968778,0.00057673,1.7e-06,-52154.16635222606,0.02630188621666714,,84.44722455
51.0,0.20956137,0.00059877,1.5e-06,4513.173683733407,0.026439568055015968,,84.43489515
52.0,0.20969456,0.00059237,3.47e-06,-57027.34340046026,0.026260668687496665,,84.45338925
53.0,0.20946043,0.00055412,5.2e-06,54844.1467603025,0.026158571540228916,,84.43987937
54.0,0.20963644,0.00056951,1.52e-06,-27377.956980232997,0.026134449940687705,,84.42072946
55.0,0.2094785,0.00057863,-1.3e-06,45276.644838103784,0.026226256857452952,,84.48093365
56.0,0.20971181,0.00056534,-1.38e-06,-61358.99627449545,0.026147683957126043,,84.47673641
57.0,0.20959629,0.00052106,-7e-07,-3793.2536959165423,0.02616961259379441,,84.4481427
58.0,0.20947295,0.0004819,3.24e-06,56463.37208883858,0.026204047909518538,,84.42518903
59.0,0.20969066,0.00044376,3.9e-06,-40807.20466504185,0.026256553983675695,,84.41968015
60.0,0.20955151,0.00044595,2.66e-06,23698.258661598506,0.026218628401456986,,84.42269691
61.0,0.20971017,0.00049597,6.4e-07,-53934.52059278631,0.026021533327178194,,84.43476399
62.0,0.20952677,0.0004878,1.91e-06,31241.536667638975,0.02624279624541717,,84.42689416
63.0,0.20952974,0.00048115,5.33e-06,29981.321777539404,0.026258703185192203,,84.43738726
64.0,0.20984357,0.00048082,6.46e-06,-115114.38639323242,0.02609935703479114,,84.46257072
65.0,0.20965739,0.00048933,5.03e-06,-29843.47993839311,0.02613171742627432,,84.41653221
66.0,0.20953272,0.00053596,4.7e-07,23997.03521580959,0.026202677977360898,,84.47017822
67.0,0.20956353,0.00056939,-1.93e-06,6931.967683166064,0.02642468757616043,,84.44447011
68.0,0.20951506,0.00055065,1.78e-06,30682.74287208937,0.026328276450527117,,84.45994744
69.0,0.20956117,0.00052552,2.6e-06,11596.74861778438,0.02642338888009961,,84.46388235
70.0,0.20954782,0.0005152,-2e-07,19315.45269417836,0.026457704497070616,,84.46099675
71.0,0.20954874,0.00049717,2.8e-06,20077.300542959718,0.026339190948820083,,84.41207264
