Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20975528,0.00048733,4.26e-06,-6320.511397890024,0.026219914550481,,55.32779414
1.0,0.20965728,0.00050785,2.06e-06,-1214.388087562939,0.026301739749017335,,55.37633619
2.0,0.20951779,0.00052174,2.03e-06,6230.88826965559,0.026455176111103568,,55.32845012
3.0,0.20963243,0.00050322,1.15e-06,205.11701860845213,0.026495655404336436,,55.3487853
4.0,0.20970053,0.00049704,2.86e-06,-3458.4098705384604,0.02634156224876617,,55.3237271
5.0,0.20970926,0.00051707,4.52e-06,-4240.353144223384,0.02664229175881293,,55.34143839
6.0,0.20948533,0.00052633,4.41e-06,7913.01237340378,0.026485156449611334,,55.36046163
7.0,0.20962246,0.00051658,3.73e-06,548.9941714374941,0.026537804798456972,,55.34786694
8.0,0.20975507,0.00049363,3.35e-06,-6474.495123499406,0.026676577697130163,,55.37712336
9.0,0.20953977,0.00047885,3.42e-06,5488.037786066807,0.026415980602547243,,55.34655499
10.0,0.20975374,0.00050257,3.2e-06,-6421.214297755421,0.02634631904418136,,55.30706537
11.0,0.20946941,0.00048921,3.15e-06,9258.482301022928,0.026564636844358558,,55.33317313
12.0,0.20975775,0.00047036,1.03e-06,-6241.332328454028,0.026390286450400174,,55.36439747
13.0,0.20951789,0.00046807,2.12e-06,6837.626969525948,0.0264561023359313,,55.32346472
14.0,0.20978548,0.00050572,8.6e-07,-8212.780715487013,0.026585252285013333,,55.35652579
15.0,0.2095256,0.00051355,1.7e-07,5921.553963351489,0.02640153192505699,,55.36544703
16.0,0.20978209,0.0004974,-1.66e-06,-7825.596485890622,0.026391156149216298,,55.32779414
17.0,0.20957439,0.00050248,-1.96e-06,3441.2021984022094,0.0264740380163444,,55.33474746
18.0,0.20964712,0.0005058,1.3e-07,-608.0719767316306,0.026496251790841044,,55.32543264
19.0,0.20965975,0.00049138,-6.5e-07,-1114.9616515539687,0.026416296943645466,,55.39063642
20.0,0.20956247,0.00052534,-1.91e-06,3802.432375596309,0.02628794271087787,,55.32503905
21.0,0.20959144,0.00053608,-1.61e-06,2098.7699085259596,0.026221270801387465,,55.35652579
22.0,0.20969971,0.00055472,-6e-08,-3983.8505083388004,0.026125975950137662,,55.38053443
23.0,0.20965246,0.00054247,4.3e-07,-1320.4824770921912,0.026384900089023382,,55.33422268
24.0,0.20963941,0.00049994,3.6e-06,-184.92263457568595,0.02647759367574105,,55.34931008
25.0,0.20956463,0.00049605,4.68e-06,3923.315989335008,0.02648048208618176,,55.34576782
26.0,0.2096202,0.00050994,4.43e-06,726.5704514078427,0.02620891368652747,,55.34498065
27.0,0.20975857,0.0004945,5.08e-06,-6608.980054031326,0.026274351831837812,,55.34052003
28.0,0.20964331,0.00049814,3.79e-06,-375.84508010133345,0.026126498396011933,,55.36295433
29.0,0.20949992,0.00052371,2.54e-06,7116.6712665584155,0.026245676125861404,,55.35691937
30.0,0.20964814,0.00053874,2.89e-06,-1090.223225928302,0.02641362936182166,,55.3336979
31.0,0.20963736,0.00051666,5.67e-06,-299.6941677281461,0.026138766091756572,,55.34261915
32.0,0.20972179,0.00052805,6.71e-06,-5048.485943143712,0.026386283209242262,,55.37476186
33.0,0.20964619,0.00050969,6.95e-06,-730.137145233965,0.026476082051909055,,55.3361906
34.0,0.2096314,0.0004838,6.94e-06,374.38002265808865,0.026477921854795448,,55.37266274
35.0,0.20963561,0.00047864,2.04e-06,295.6651796058974,0.02644244126155525,,55.33947047
36.0,0.20961743,0.0004974,3e-07,1106.5903008892499,0.02647049258150749,,55.30273595
37.0,0.2096919,0.00048659,1.43e-06,-2860.822345014078,0.026503166782985532,,55.34996605
38.0,0.20958271,0.00048102,3.45e-06,3119.3198565827206,0.02637906085890686,,55.35796893
39.0,0.20962986,0.00048454,3.37e-06,513.0548408680762,0.02625535944613062,,55.39024284
40.0,0.20964773,0.00047204,4.37e-06,-330.57450327566266,0.02618597664848213,,55.36675898
41.0,0.20970474,0.00050396,1.84e-06,-3742.950243338027,0.02631335600375288,,55.35482026
42.0,0.20963982,0.00052399,-1.31e-06,-380.6100758446842,0.02583141056438801,,55.36479106
43.0,0.20964301,0.00053137,-3.83e-06,-591.4673912322057,0.02604305597428859,,55.33960167
44.0,0.20956217,0.00052428,-4.49e-06,3869.7141606284604,0.026224447194289856,,55.33960167
45.0,0.20971481,0.00050625,-4.8e-06,-4174.313239627593,0.026207787337050325,,55.33527224
46.0,0.20956966,0.00048413,-1.36e-06,3888.4433123917274,0.026408019083564334,,55.32595742
47.0,0.20964177,0.00047667,1.61e-06,-9.668059797850324,0.026440529014818602,,55.3586249
48.0,0.20975271,0.00051977,3.54e-06,-6561.986298525082,0.026322752452688676,,55.34261915
49.0,0.20960346,0.00053563,1.11e-06,1392.8380766743326,0.02603213946047232,,55.36741495
50.0,0.20968738,0.00055214,-9.2e-07,-3287.721973739428,0.026235743999917086,,55.30614701
