Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20955172,0.00057837,-4.34e-06,-0.3016281231485538,0.0261436165629382,,-1.04182219
1.0,0.20952503,0.00057411,-3.03e-06,1.1631621308572422,0.026186867028474413,,-1.03933131
2.0,0.20943713,0.00054765,3.2e-07,6.09525276665576,0.025969055730193216,,-1.03028546
3.0,0.2095277,0.00054896,1.18e-06,1.2202427528443154,0.02608219179371913,,-1.08980453
4.0,0.20961272,0.00058965,1.34e-06,-3.837864703172422,0.026232952661603266,,-1.09334421
5.0,0.20949412,0.00060967,3.24e-06,2.305345039082729,0.026101800770530408,,-1.08377396
6.0,0.20948796,0.00057781,4.49e-06,2.97704974837676,0.02613612478662808,,-1.08088978
7.0,0.20958273,0.00058003,2.6e-06,-2.1128321335354348,0.026030601769131915,,-1.04890155
8.0,0.20957298,0.00060765,1.36e-06,-1.8896325558140659,0.026201815675789792,,-1.10081687
9.0,0.20958356,0.00059342,2.74e-06,-2.3327548873329937,0.026278129343579405,,-1.08036538
10.0,0.20950059,0.00057952,2.05e-06,2.330239988328042,0.026223637951708213,,-1.10383215
11.0,0.20947779,0.00061134,4.1e-07,3.240938589827662,0.026286754897805395,,-1.0586029
12.0,0.20946834,0.00062664,3.19e-06,3.5347544148694294,0.026342459263896154,,-1.06515786
13.0,0.20958592,0.00060971,4.52e-06,-2.676171807311937,0.026248073280705584,,-1.07249942
14.0,0.20949853,0.00057892,3.6e-06,2.432114937439745,0.02636062421615808,,-1.08338066
15.0,0.20957195,0.00058421,3.36e-06,-1.612549584427452,0.02631436641408558,,-1.05637421
16.0,0.20957822,0.00057388,2.55e-06,-1.8114107417881242,0.02618857356177079,,-1.09019782
17.0,0.20956333,0.00056557,-6.5e-07,-0.8538926844071446,0.026210114943490993,,-1.06070049
18.0,0.2095471,0.00060737,-4.06e-06,-0.38647144129131933,0.026202584482494393,,-1.07105733
19.0,0.2095625,0.0006055,-3.19e-06,-1.206748001805052,0.02604890980802137,,-1.08062758
