Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20949024,0.0005684,-2.59e-06,1.6438011433926474,0.025493670508519577,0.10345483685959497,-2.45425746
1.0,0.20951632,0.00056031,-2.6e-07,0.3180792063645328,0.025388208108744433,0.10559551394624006,-2.40300469
2.0,0.2095351,0.00052602,-1.33e-06,-0.2699097566895724,0.02542484000335733,0.10015267507659187,-2.41943186
3.0,0.20953951,0.00050858,4e-07,-0.3408719877676313,0.02543112592773352,0.10228537615487081,-2.42639698
4.0,0.20955193,0.00053653,4.02e-06,-1.3645149545450774,0.02541570797814001,0.10474081121718838,-2.45754289
5.0,0.20954988,0.00056486,2.45e-06,-1.5415911714902604,0.025441987946890437,0.10193902943406552,-2.44886935
6.0,0.20952247,0.00056907,-1.58e-06,-0.07599475964735797,0.025309085811066986,0.10238306050963693,-2.43980155
7.0,0.2095233,0.00056486,-1.17e-06,-0.08100761775333207,0.025422618432089,0.10188154619887946,-2.38999438
8.0,0.20955676,0.00052656,2.49e-06,-1.4812912740059827,0.025430701519194975,0.10231091314229931,-2.39183422
9.0,0.20955532,0.0005032,4.67e-06,-1.1894017980763105,0.025452851223689062,0.10198961875541945,-2.42311155
10.0,0.20950667,0.00053657,4.49e-06,1.009405352437946,0.025678634866597994,0.10331114400883762,-2.44361265
11.0,0.20951437,0.00056657,8.6e-07,0.33393648002157483,0.02559767859041489,0.10073903405325539,-2.42153454
12.0,0.20955748,0.0005422,-1.97e-06,-1.6195850699066847,0.025578613584383427,0.10065460241153085,-2.45452029
13.0,0.20952997,0.00051497,-7.5e-07,0.11053854155801547,0.02553578211895926,0.1032462509034608,-2.44361265
14.0,0.20953962,0.00047455,-2.46e-06,0.08007346762092411,0.025654148397172342,0.10233767419756905,-2.45504596
15.0,0.20954146,0.00048564,-2.52e-06,-0.13877603271867728,0.025578353562003834,0.10311572247954871,-2.46661069
16.0,0.20958355,0.00046729,7.3e-07,-2.213298039099365,0.0255521701469966,0.09943722091507264,-2.44440116
17.0,0.20951591,0.00046303,3.24e-06,1.3503129699179084,0.02550899368054879,0.101543676200986,-2.47909534
18.0,0.20949651,0.00047772,4.55e-06,2.19001198822112,0.025567416941893906,0.09924345949040488,-2.4599084
19.0,0.20953838,0.00052318,6.36e-06,-0.5521546838282612,0.025522175112348174,0.10234064567960018,-2.45399462
20.0,0.20950831,0.00049252,7.96e-06,1.3398774589507096,0.025523221957084848,0.10181642754165084,-2.44834368
21.0,0.2095776,0.0005095,8.6e-06,-2.4989568805715403,0.02544426390486746,0.10079572015970073,-2.43296785
22.0,0.20950205,0.0005274,8.94e-06,1.2663123885064023,0.025515140134142553,0.10159642242056806,-2.44768659
23.0,0.20949137,0.00054713,5.81e-06,1.6637546272102677,0.025456542865739878,0.10306794626112206,-2.46661069
24.0,0.20952494,0.00054613,3.33e-06,-0.04269000885461329,0.025444105328637383,0.10127145720197173,-2.48303786
25.0,0.20950225,0.00058496,4.22e-06,0.7026125203523236,0.025367805965447236,0.09923773182607727,-2.44466399
26.0,0.2095158,0.00056093,3.45e-06,0.2718265389340621,0.02543109740917212,0.10070588466653459,-2.45898848
27.0,0.20952093,0.00054279,1.18e-06,0.2444456366302282,0.02554474035373883,0.10005277871487987,-2.45977699
28.0,0.20951242,0.00055664,3.16e-06,0.5032275764323305,0.025516797992591007,0.10158185002615337,-2.45452029
29.0,0.20953869,0.00055501,3.24e-06,-0.8590480856223555,0.025405118918403538,0.10397389769848885,-2.45780573
30.0,0.20948162,0.00057729,5.17e-06,1.8572961809340272,0.025483325813403287,0.10320209533188655,-2.44965785
31.0,0.20955255,0.00058667,6.99e-06,-2.005853784854731,0.025464644567997078,0.10040031299928995,-2.43914446
32.0,0.20952966,0.00058396,3.89e-06,-0.7179304665527466,0.025484911773012615,0.1034412480423987,-2.4363847
33.0,0.20948244,0.00059293,-4e-07,1.7354637392316292,0.025372128242937615,0.09917053434876263,-2.43217934
34.0,0.20956281,0.00058976,-1.82e-06,-2.4035856467881778,0.025303293806424983,0.10286869368110176,-2.49066006
35.0,0.20949117,0.00051793,-8e-08,2.094385779064855,0.025359493342570982,0.10167895917796618,-2.4363847
36.0,0.20948922,0.00048927,1.88e-06,2.477192273832961,0.025381280658574666,0.10446727880368613,-2.45438888
37.0,0.2094769,0.00050925,2.67e-06,2.8901429631800375,0.025395485969282212,0.10154314599159683,-2.44098431
38.0,0.20952648,0.00053482,1.93e-06,0.02619827278217611,0.0253354593888765,0.10211997865761112,-2.47988384
39.0,0.20953695,0.00055464,2.81e-06,-0.7571349751117179,0.02544268293180252,0.10253509571150086,-2.46240533
40.0,0.20955563,0.0005606,3.58e-06,-1.8086493244806552,0.02532535752088121,0.09976767369714282,-2.48645471
41.0,0.20951642,0.00054746,4.92e-06,0.36087739459811274,0.025438581539525836,0.10001467838355778,-2.44413832
42.0,0.2095582,0.00051693,3.26e-06,-1.4702898402424596,0.025524731976568727,0.10170862046028632,-2.44650384
43.0,0.20950595,0.00048689,-4e-07,1.6745445131032288,0.025466791036164733,0.10024204958997812,-2.40721005
44.0,0.20964452,0.00048385,-1.64e-06,-5.575281422842114,0.02558993847784437,0.10437503892706229,-2.41811769
45.0,0.20956589,0.00050621,4.8e-07,-1.7102885907984124,0.0255853057958304,0.10125223497213937,-2.44098431
46.0,0.2095508,0.00053511,-1.51e-06,-1.1998798434260003,0.025638002708038177,0.10059933401041116,-2.45622872
47.0,0.20956682,0.0005495,-1.42e-06,-2.186521290019915,0.025385183550952473,0.1009197764125484,-2.42074604
48.0,0.20952658,0.00053945,-2.28e-06,0.046246716493271695,0.025318492755264377,0.10297642676440982,-2.45254903
49.0,0.20950718,0.00051338,-4.26e-06,1.3770961431283688,0.025259548426638787,0.1008682395760499,-2.44440116
50.0,0.20955902,0.00049227,-5.32e-06,-1.0716428512532998,0.025207135728602698,0.10239375852810581,-2.46582219
51.0,0.20960634,0.00052694,-3.12e-06,-3.9765611024519036,0.02537857754815142,0.1006978994293611,-2.44124714
52.0,0.20952371,0.00052051,-3.4e-07,0.3713530316276453,0.025519096929602,0.10285858435172324,-2.4522862
53.0,0.20958488,0.00050483,3.09e-06,-2.7368310490973937,0.02551064418010101,0.10060199969744488,-2.46779345
54.0,0.20958139,0.00053695,5.24e-06,-2.959999214657493,0.025625567253331975,0.10250715330146755,-2.46043407
55.0,0.20956928,0.00055993,3.23e-06,-2.538046710794839,0.02562772507652446,0.10129460836250073,-2.45938274
56.0,0.20949076,0.00054404,-1e-07,1.8384394464495895,0.025476594320853953,0.10210885106355073,-2.4712103
57.0,0.20957123,0.00057257,-1.74e-06,-2.667228029226161,0.025406503441451466,0.10440421830358211,-2.46279959
58.0,0.20951724,0.00054237,1.29e-06,0.4377773028597974,0.025330064071476643,0.10223176951226103,-2.44269273
59.0,0.20957718,0.00051125,4.32e-06,-2.4209682145307627,0.025469888439831046,0.10309268351809632,-2.4492636
60.0,0.20951262,0.00049194,6.86e-06,1.1371421415866345,0.025471974136282386,0.10215924572373815,-2.42863108
61.0,0.2095429,0.000506,7.52e-06,-0.6217843394461117,0.02553009257665047,0.10234391884000091,-2.45268045
62.0,0.20960131,0.00051751,2.9e-06,-3.745373498056199,0.02556125259364022,0.09863056621421054,-2.42061462
63.0,0.20959689,0.00049073,-7.4e-07,-3.1333993189292615,0.02542791565334266,0.1028611004787443,-2.45386321
64.0,0.20958416,0.00048447,-2.9e-06,-2.364358677544013,0.02550004655228477,0.10286488568893727,-2.46187966
65.0,0.20959525,0.00050888,-4.42e-06,-3.1658383568306245,0.025312276530589824,0.10178252486467108,-2.47081604
66.0,0.20953489,0.00054024,-1.3e-06,-0.41352285125580907,0.025287329621673335,0.10177953064658458,-2.4454525
67.0,0.20955943,0.00057061,2e-08,-2.057392404873257,0.0253852223222548,0.1018987954416543,-2.46858195
68.0,0.20962533,0.00057837,2.91e-06,-5.677813685759837,0.025526772147743352,0.10365273020260041,-2.46306242
69.0,0.20961989,0.00057533,9.5e-07,-5.375145205297696,0.02578162529023099,0.10244110283924804,-2.42823682
70.0,0.20952196,0.0005563,-2.78e-06,0.11303657845170492,0.025538487901378294,0.10264427171680178,-2.4500521
71.0,0.20960387,0.00058021,-3.27e-06,-4.440158840017386,0.02543983108377231,0.1018325893781613,-2.40865564
72.0,0.20961886,0.00053478,-1.51e-06,-4.784445075322939,0.025577030324819446,0.10283417592675385,-2.47843825
73.0,0.20961188,0.00052702,6.7e-07,-4.358330980146355,0.02550874636135762,0.10195336027032145,-2.44571533
74.0,0.20958673,0.00055247,5.6e-07,-3.323010689450141,0.025580721625993532,0.10432411040588188,-2.446241
75.0,0.20952596,0.00054379,-2.47e-06,0.03495097048593924,0.02561924807128045,0.10192860038046007,-2.45189195
76.0,0.20958899,0.00055947,-3.32e-06,-3.4430360730291736,0.02553667258136344,0.10316661786920976,-2.40721005
77.0,0.20960736,0.00055422,-9.4e-07,-4.3894979314955584,0.025497812159693652,0.104561428394943,-2.40904989
78.0,0.20957636,0.00056264,2.76e-06,-2.9073815618627235,0.025396859478864907,0.10385099973484326,-2.42849966
79.0,0.20953531,0.00055105,1.63e-06,-0.6129765025374037,0.025559648584312516,0.10257813505507456,-2.4484751
80.0,0.20955624,0.00050641,8e-07,-1.2091151399190267,0.025586107056633074,0.10079169482645159,-2.4242943
81.0,0.20955163,0.00047826,4.1e-06,-0.7144058166751143,0.025580400899120788,0.10496703172366152,-2.45780573
82.0,0.20960336,0.00048552,4.71e-06,-3.524683769235302,0.0255031979357273,0.10507933246930422,-2.44676667
83.0,0.20963805,0.00051084,1.81e-06,-5.561056458944899,0.025432268973208477,0.10355251976586428,-2.46739919
84.0,0.20954906,0.00056481,2.65e-06,-1.493302088074385,0.025300818905865732,0.10377067418813747,-2.45491455
85.0,0.20960551,0.00055947,3.06e-06,-4.431577719324475,0.025548238967826105,0.10327850509941167,-2.46187967
86.0,0.20962933,0.00058554,9e-07,-5.930469691713429,0.02552395427275701,0.10195457254295395,-2.41535792
87.0,0.20958478,0.00057299,-4e-07,-3.4400020710234824,0.025657683833672056,0.10363208566888912,-2.42600273
88.0,0.20953469,0.00054033,-3.58e-06,-0.3631408549740777,0.02529854584573029,0.10342121425826205,-2.44729234
89.0,0.20954978,0.00052761,-4.3e-06,-1.0016381053339278,0.025380580482093427,0.10440223620329903,-2.44440116
90.0,0.20954444,0.00053541,-8.2e-07,-0.8728749414041767,0.025445201264323015,0.10238285675798195,-2.43612187
91.0,0.20955471,0.00052093,1.86e-06,-1.2980990320610062,0.025385339617519966,0.10384383900565664,-2.41404375
92.0,0.20953818,0.00052631,2.17e-06,-0.5009409395492392,0.025573013841571,0.10478812287339012,-2.44387549
93.0,0.20963703,0.00055472,2.43e-06,-6.054552863286475,0.025656011072629978,0.10614123934883588,-2.41680352
94.0,0.20959392,0.00057745,1.84e-06,-3.99142583012799,0.025511366533941208,0.10417325126833807,-2.46358809
95.0,0.20958909,0.00058809,-3.8e-07,-3.8203964879592403,0.025552394843035103,0.10283787709572316,-2.48001526
96.0,0.2095624,0.00057549,-4.27e-06,-2.1928416830981936,0.02543138106941031,0.10533897687637472,-2.47107888
97.0,0.20951457,0.00054158,-6.82e-06,0.7355359589103336,0.025441265713508573,0.10450606433432905,-2.43914446
98.0,0.20952894,0.00055359,-4.95e-06,-0.18318492510494067,0.02526076039173418,0.10386281619149935,-2.47646699
99.0,0.20959217,0.00058955,-3.34e-06,-3.924259050886415,0.025418207362378112,0.10342400880414332,-2.44939502
100.0,0.20952268,0.00058509,-3.08e-06,-0.23572093225840632,0.025363381160707896,0.10489493790742674,-2.46385093
101.0,0.20956343,0.00055497,-2.37e-06,-2.060368632497636,0.025490320614671644,0.10508072590166963,-2.42639698
102.0,0.20953992,0.00050746,1.89e-06,-0.37900005726193187,0.02556132918688434,0.1036609237491151,-2.42074604
103.0,0.20952894,0.0004901,3.83e-06,0.35691152410616944,0.025601093794048,0.10365874293451471,-2.41956328
104.0,0.20957585,0.00048702,6.19e-06,-2.130875227951184,0.025623236299004228,0.10247039643507724,-2.44886935
105.0,0.20956374,0.00051142,3.56e-06,-1.7026401722853322,0.025465499285447883,0.10187159106678484,-2.44571533
106.0,0.2095777,0.00049594,2e-06,-2.2399881424748767,0.025498215953898572,0.10388542739703467,-2.50958416
107.0,0.20950708,0.00053182,4.49e-06,1.0265863844291965,0.025337144497584188,0.10258425097592225,-2.45741148
108.0,0.20956713,0.00051034,6.56e-06,-1.9140639963773574,0.025343519474718156,0.10210066660968459,-2.46621644
109.0,0.20954321,0.00048472,3.47e-06,-0.32938509685890943,0.025521353286947834,0.10398538634474977,-2.45465171
110.0,0.20953325,0.00048147,3.07e-06,0.23699605083612757,0.02541429603051678,0.1037733574629004,-2.44532108
111.0,0.20956056,0.0004959,6e-06,-1.4138566835588717,0.025553717166293517,0.10188174080718569,-2.43783029
112.0,0.20953099,0.00049486,7.45e-06,0.13049078701803146,0.025710089253646526,0.10310877936415648,-2.4355962
113.0,0.20957051,0.00051834,6.36e-06,-2.1992957512686813,0.02562851018314716,0.10572372149408038,-2.50918991
114.0,0.20957893,0.00049611,6.2e-06,-2.3815843054240027,0.025484091427232437,0.10229874485591318,-2.4500521
115.0,0.20957133,0.00051463,6.18e-06,-2.1765073521142875,0.025375233151053302,0.10289332323804738,-2.42849966
116.0,0.20955809,0.00052556,4.11e-06,-1.5581873303606493,0.025248564694452923,0.10288318189200181,-2.44308698
117.0,0.20958981,0.00056511,3.36e-06,-3.6416337444248024,0.025338012579207893,0.10595625565039207,-2.43231076
118.0,0.20955696,0.00058634,2.3e-06,-2.1372048922493785,0.025328033484190604,0.10187539513363139,-2.45662297
119.0,0.20955214,0.00055539,-1.9e-07,-1.5100258238670978,0.025474294508506,0.10122270828705134,-2.46227392
120.0,0.20958221,0.00055267,1.17e-06,-3.056620035713128,0.025240528794879067,0.10460948486262284,-2.48763746
121.0,0.20953305,0.00056598,3.32e-06,-0.6898646197001717,0.025567992543678888,0.1018811459458047,-2.45504596
122.0,0.20954424,0.00056027,1.09e-06,-1.1795675331562232,0.025640579548718175,0.10666568160115873,-2.4522862
123.0,0.20955922,0.00058004,-2.31e-06,-2.124927048238452,0.025591866887139294,0.10392170743525168,-2.44308698
124.0,0.20954567,0.00060044,-3.26e-06,-1.6282040934442068,0.025752172776621448,0.10511113708913906,-2.45636014
125.0,0.20956425,0.00057391,-1.39e-06,-2.337874417373166,0.025575117953939373,0.10296843344643118,-2.46687352
126.0,0.20949907,0.00057495,-3.4e-06,1.1256650025516326,0.025575121671691004,0.10358049119842995,-2.40024493
127.0,0.20949609,0.00059197,-4.93e-06,1.1236453022079795,0.02559999617023629,0.10483691634280788,-2.43007667
128.0,0.20952894,0.00059343,-5.92e-06,-0.6047619063855921,0.025423055771327117,0.10355334591512431,-2.43927588
129.0,0.20954444,0.00057766,-4.7e-06,-1.269898776623197,0.02549500649416409,0.10175831967545733,-2.41522651
130.0,0.20951498,0.00052519,-7.5e-07,0.7810551702375059,0.025338124159321136,0.10301616407463633,-2.43073375
131.0,0.20953448,0.00052143,1.8e-06,-0.24181112087780385,0.0252319451734907,0.10251448280285791,-2.45215478
132.0,0.20949363,0.00052761,2.31e-06,1.8200371204312924,0.025409637468392886,0.10462791002293152,-2.44781801
133.0,0.20955132,0.00055572,4e-06,-1.5348609487281946,0.025279872267175384,0.10170164244847267,-2.40431887
134.0,0.20952812,0.00055484,4.56e-06,-0.32539317305920773,0.02526426235032057,0.10125879103333753,-2.40878706
135.0,0.20955122,0.0005264,1.19e-06,-1.1586039758356421,0.02528316614822242,0.10026123118095609,-2.44492683
136.0,0.20954711,0.00053194,-2.05e-06,-0.9464154100850678,0.025282291843814402,0.10603768922583558,-2.43848738
137.0,0.20959084,0.00053036,-2.05e-06,-3.198904100819979,0.025196998556605774,0.10355372085306853,-2.42692265
138.0,0.20951909,0.0004967,-3.26e-06,0.9241293158901167,0.02535025672142631,0.10434321155865493,-2.45084061
139.0,0.20952391,0.00047571,-5.15e-06,0.9313177348840039,0.025214964226650035,0.10251924659111938,-2.44532108
140.0,0.2095662,0.00049136,-6.75e-06,-1.4105873416793586,0.02522968737287664,0.10048258121403987,-2.44939502
141.0,0.20956456,0.00051034,-6.32e-06,-1.548732564770005,0.02537165541200426,0.10333723580807845,-2.46056549
142.0,0.20955624,0.00048906,-4.18e-06,-0.9221464242613902,0.02547073716012122,0.102490871576066,-2.45438888
143.0,0.20954352,0.00051622,-5.57e-06,-0.5265818224109106,0.02541101389426609,0.10181164841050509,-2.46503368
144.0,0.20956589,0.00056919,-6.3e-06,-2.260110161524992,0.02532254043162933,0.1017927372746397,-2.42889391
145.0,0.20957554,0.00058283,-1.24e-06,-3.0206694243147103,0.02545468443749368,0.10193862695655544,-2.40090202
146.0,0.20953335,0.00058976,1.16e-06,-0.9183905064364968,0.02526913874568314,0.10145064956724203,-2.42836824
147.0,0.20955553,0.00056285,8e-08,-1.785451734103348,0.02562057428081538,0.10137470559202431,-2.46634785
148.0,0.20952945,0.00055718,-1.44e-06,-0.3157333595373624,0.025549184871013233,0.1005234289998492,-2.41838052
149.0,0.20954885,0.0005455,1.27e-06,-1.2669023890513595,0.025721982460814762,0.10142945734048718,-2.40523879
150.0,0.20959494,0.00051663,4.81e-06,-3.456109645215872,0.025721715313687714,0.10420967997181468,-2.46385093
151.0,0.20954701,0.00051568,6.72e-06,-0.928645670358182,0.025478881710683948,0.10181736648793423,-2.46463943
152.0,0.20952299,0.0004967,3.71e-06,0.5957651090771247,0.025411984261102107,0.10095875797868265,-2.44256132
