Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20957798,0.0005751,7e-06,-1.7560780957690894,0.028392822790736672,0.12315853002954365,-158.13127913
1.0,0.2095787,0.00055131,6.85e-06,-1.5495151717132851,0.028532368215482707,0.12686409409436966,-158.13745868
2.0,0.20957665,0.00056349,8.91e-06,-1.6047369943047916,0.028437603174821764,0.12383397929417705,-158.08854821
3.0,0.20958445,0.00053354,1.052e-05,-1.6775853813489574,0.02793464698979702,0.12368677285447358,-158.14495302
4.0,0.20957767,0.00051847,1.187e-05,-1.2387227607969407,0.028464891589982673,0.124710961438552,-158.11418676
5.0,0.20955458,0.00050087,1.019e-05,0.11993655872027055,0.028301373273780694,0.12420117434514227,-158.18360807
6.0,0.20957121,0.00050829,7.01e-06,-0.7322484013385303,0.028620984621433334,0.12640789206259065,-158.12154963
7.0,0.20952574,0.00051855,5.43e-06,1.44952567621748,0.028437921320299236,0.12429633210761526,-158.11129421
8.0,0.20958609,0.00049961,6.85e-06,-1.3678487166951083,0.028329786938223977,0.12602313440857035,-158.14271787
9.0,0.20954689,0.00048873,7.25e-06,0.6782652801030454,0.028410295143743446,0.1238032644045154,-158.12076075
10.0,0.20953354,0.00048128,8.38e-06,1.3907964330512534,0.02825932849692235,0.1259141867692975,-158.13482908
11.0,0.20953734,0.00049407,8.39e-06,1.083724531998194,0.02859514340847576,0.12448268227724735,-158.12273294
12.0,0.2095785,0.00049395,5.88e-06,-0.9241205350993623,0.028541189319644722,0.12210217555220854,-158.16191391
13.0,0.20959184,0.0004983,4.07e-06,-1.594052424865415,0.028382620679675005,0.12327602396471807,-158.16375462
14.0,0.20950358,0.00051444,4.04e-06,2.594148492674412,0.028202348633426803,0.12418835760638526,-158.14758262
15.0,0.20949403,0.00053147,4.04e-06,2.908743555828465,0.028400467952056422,0.12483968578052593,-158.14021975
16.0,0.20952944,0.00053224,5.94e-06,1.12273317680407,0.028642360112576933,0.1230751432732213,-158.15757508
17.0,0.20957767,0.00054793,6.39e-06,-1.4568845714276826,0.02856939302539145,0.12465178835905821,-158.13088469
18.0,0.20956392,0.00056153,6.85e-06,-0.9266697159428658,0.028735017871761147,0.1260555897555757,-158.13496056
19.0,0.20953241,0.00056292,7.46e-06,0.6190231745106003,0.028301216680753614,0.12516358593031401,-158.14561042
20.0,0.20956885,0.00052947,8.67e-06,-0.8516762624824512,0.028184362340116318,0.12421994254815019,-158.13167357
21.0,0.20953888,0.00054353,7.89e-06,0.49748922943511387,0.02856476739756239,0.1222869403307553,-158.12851805
22.0,0.20954237,0.00054043,5.32e-06,0.3920831764644323,0.027986831832819588,0.124201674753674,-158.14074567
23.0,0.20954945,0.00052291,3.9e-06,0.25428455287160356,0.028506514042272058,0.12431068664043211,-158.10169618
24.0,0.20954986,0.00055041,5.25e-06,-0.07499929341733277,0.028059550995695782,0.12523867351107687,-158.11997187
25.0,0.20956762,0.00054287,5.72e-06,-0.8874479843060007,0.02844764672562515,0.12326280458336161,-158.15389364
26.0,0.20952164,0.00055253,5.91e-06,1.2820723667477754,0.028236006591520244,0.12527238972133417,-158.09893511
27.0,0.20954483,0.00057514,5.01e-06,-0.07971607884689765,0.02848279510789447,0.1244805480966791,-158.11931447
28.0,0.20954473,0.00058569,6.43e-06,-0.20944296689617412,0.028527747449384754,0.12430891154862513,-158.12575698
29.0,0.20956618,0.00055738,5.71e-06,-0.9635946844230017,0.028351867031340648,0.12533878643114071,-158.09709439
30.0,0.20955161,0.00054418,4.43e-06,-0.0837874590814787,0.02837576679042746,0.12510250123513258,-158.16546386
31.0,0.20955551,0.00055261,2.99e-06,-0.33942066040028335,0.028341226556439003,0.1241736024976471,-158.16809346
32.0,0.20954945,0.00056675,2.4e-06,-0.17568142681559337,0.028254677311746648,0.12375300734263754,-158.13114765
33.0,0.20953796,0.00058757,3.2e-06,0.1614027201736601,0.02814180867737274,0.1231770801590229,-158.11905151
34.0,0.20949188,0.00057714,3.43e-06,2.5468630028983115,0.02835089133916841,0.12703304641615717,-158.11103125
35.0,0.20955325,0.0005344,2.37e-06,-0.02825909337967536,0.02843990118873424,0.12574695504870032,-158.13496056
36.0,0.20958907,0.00051525,1.74e-06,-1.6078636688033932,0.028647172902581803,0.12831032822537056,-158.09946103
37.0,0.20955048,0.00051224,6.6e-07,0.36803720760611547,0.028351705215906835,0.12597110589461277,-158.11984039
38.0,0.20957716,0.00052381,4e-08,-1.0612118258928112,0.02834044857684056,0.1261088856439513,-158.1269403
39.0,0.20952995,0.00055013,5.3e-07,1.004570011655885,0.028680943034437734,0.1291741418250199,-158.15994171
40.0,0.20950881,0.00055827,4.3e-07,1.9588635155580563,0.02838890095899975,0.12730671269083021,-158.15139553
41.0,0.209567,0.00055844,2.01e-06,-0.9536273701390093,0.02840362280728255,0.12371008761955761,-158.11878855
42.0,0.20952092,0.00054312,1.43e-06,1.503936240025465,0.028480016791384163,0.12648111742378162,-158.11076829
43.0,0.20957059,0.00052935,2.54e-06,-0.8471069384301284,0.028702595295930274,0.12434799779636044,-158.15376216
44.0,0.2095435,0.00053081,4.72e-06,0.450138498073745,0.028276169753354466,0.1262515152962114,-158.19583568
45.0,0.20952769,0.00053159,6.69e-06,1.1931597906461937,0.02838294926618657,0.12572122474791175,-158.12575698
46.0,0.20947166,0.00055371,4.9e-06,3.769061231193716,0.028381446482711944,0.12625900723185035,-158.14889741
47.0,0.20940885,0.00056056,2.73e-06,6.850713641062904,0.02840417235279374,0.1275368190274927,-158.0938074
48.0,0.20958034,0.00053249,2.62e-06,-1.3552389154534454,0.02839430762359612,0.12663532115209172,-158.11352936
49.0,0.2094969,0.00050735,5.47e-06,3.008018427893375,0.028547068612349107,0.12627852497099454,-158.12444218
50.0,0.20945216,0.00049007,5.93e-06,5.460884427112824,0.028821773946558334,0.1267758032800576,-158.1567862
51.0,0.2095242,0.0004979,4.92e-06,1.7585990175523154,0.028585376516646898,0.1255332796140213,-158.13035877
52.0,0.20956546,0.00050283,3.14e-06,-0.3200227441613023,0.028533055715845884,0.1255165876228886,-158.11839411
53.0,0.20963956,0.00049965,4.49e-06,-3.972663499173394,0.028332982828584943,0.12880723022004578,-158.17545632
54.0,0.20953118,0.00050258,4.47e-06,1.3709740806800266,0.0286218361728323,0.1248932494953446,-158.13285688
55.0,0.20949865,0.00051696,5.7e-06,2.834876091645189,0.028732817611016707,0.12495338985962338,-158.12588846
56.0,0.20954719,0.00051973,4.37e-06,0.3930581394550344,0.028597119199314004,0.12659319930959712,-158.15086961
57.0,0.20958219,0.00052079,4.61e-06,-1.360480785267079,0.028416440005172856,0.12413188356665496,-158.10577206
58.0,0.20954791,0.00052112,6.39e-06,0.3053122185708574,0.02837192377981793,0.1253463035306775,-158.12549402
59.0,0.20956823,0.0005322,7.82e-06,-0.8353643181823664,0.028200570939216883,0.1299001629844963,-158.12943841
60.0,0.20952892,0.00050584,8.09e-06,1.3782312793195652,0.02843605178443431,0.12567216479094376,-158.14837149
61.0,0.20955499,0.00053819,8.23e-06,-0.2526501858582886,0.028221711269753084,0.12819051485560917,-158.12404774
62.0,0.20950091,0.0005412,5.5e-06,2.4602017643381817,0.028615654291791033,0.12803270300899583,-158.11300344
63.0,0.20957706,0.00061547,6.37e-06,-2.1215819374059945,0.028423428442556617,0.12694210539285902,-158.15021221
64.0,0.20954216,0.00055171,3.85e-06,0.31603365754071416,0.028381591778557317,0.12720752736425633,-158.11339788
65.0,0.20955181,0.00055021,2.61e-06,-0.12428027192714657,0.028177050731743678,0.1272439413619415,-158.15915283
66.0,0.2095397,0.00053285,3.11e-06,0.6400119489060688,0.02810026291812884,0.12759576506875053,-158.1886043
67.0,0.20954483,0.00052641,5.68e-06,0.4109450176256976,0.028090921291582024,0.1264286304039626,-158.1769026
68.0,0.20956423,0.0006002,4.25e-06,-1.2796217676121484,0.028200685198364404,0.12749421870102184,-158.15389364
69.0,0.20952934,0.000543,3.88e-06,1.0494720884486355,0.02861272080217346,0.12687365858791724,-158.13574944
70.0,0.20955356,0.00051493,4.14e-06,0.12918721367321084,0.028566322087841416,0.1268391989648734,-158.08052794
71.0,0.20956639,0.00050046,6.18e-06,-0.3990235272197641,0.02890331388082358,0.12674958602310338,-158.12680882
72.0,0.20955079,0.00056601,7.58e-06,-0.3280121559655545,0.028746250914647727,0.12711885707200982,-158.1022221
73.0,0.20955407,0.0004858,7.49e-06,0.3474146694802048,0.02831252960936908,0.1265137117762917,-158.14206047
74.0,0.20957757,0.00052597,5.59e-06,-1.199312801240593,0.028352874021520404,0.12564786173084275,-158.1450845
75.0,0.20954268,0.00053909,5e-06,0.40169143333353824,0.02838436141487265,0.1269925156410267,-158.1041943
76.0,0.20956474,0.00056182,6.34e-06,-0.9431037915008152,0.028170354332246027,0.12723852113273312,-158.12930693
77.0,0.20957932,0.00054597,5.96e-06,-1.5128350467662381,0.02859913933491242,0.12612122974196888,-158.15888987
78.0,0.20953354,0.00055888,5.08e-06,0.6451985560869745,0.02828046769015447,0.12636875382513946,-158.16677866
79.0,0.20957716,0.00055603,5.81e-06,-1.4948050327912463,0.02835401495456674,0.12800661884310693,-158.15244737
80.0,0.20956875,0.00057164,5.78e-06,-1.240163201768628,0.028356485604451667,0.12842608169725267,-158.11694783
81.0,0.20956402,0.00057033,4.18e-06,-0.9639549832425965,0.028323735410497156,0.1279200505570843,-158.11734227
82.0,0.20957819,0.00055261,5.18e-06,-1.4954859716224473,0.028277892136092646,0.1277333000578677,-158.07211324
83.0,0.20958742,0.00052246,5.79e-06,-1.6667964077846957,0.028575871233525795,0.12573814984662537,-158.12891249
84.0,0.20958106,0.00051374,3.6e-06,-1.2110950323489145,0.028353301961431248,0.1282555730653875,-158.11747375
85.0,0.20956074,0.00052776,2.94e-06,-0.3397358586827339,0.028357791087584946,0.1278136085178119,-158.09617403
86.0,0.20955386,0.00048331,2.68e-06,0.466876267147846,0.028382626813972456,0.12564575757963484,-158.1360124
87.0,0.209567,0.00051872,5.24e-06,-0.59250972449468,0.028234154650942103,0.13042526986715663,-158.14837149
88.0,0.2095865,0.0005276,6.32e-06,-1.6821064074047711,0.028547000995474244,0.1262513245592775,-158.12010335
89.0,0.20954145,0.00051069,7.15e-06,0.7217225093027828,0.028421749572084203,0.12722442123538175,-158.14981777
90.0,0.20957696,0.00054324,8.27e-06,-1.3994186150181374,0.02845922098691582,0.12795753981450553,-158.15731212
91.0,0.20954062,0.00053293,9.46e-06,0.4866789300084478,0.028113766338512997,0.12855438885331075,-158.15178997
92.0,0.20958034,0.00052409,1.068e-05,-1.4036778795873917,0.028347284242241085,0.12535385342191463,-158.11642192
93.0,0.20956669,0.00053627,9.06e-06,-0.8346004411550321,0.028609770378096155,0.12698246865440266,-158.12273294
94.0,0.20956967,0.00055037,8.18e-06,-1.0967048532435482,0.02811830776101009,0.1237991055533483,-158.13890495
95.0,0.20955448,0.0005342,7.69e-06,-0.17825742784505175,0.028401695622844468,0.12448542205963116,-158.16743606
96.0,0.20956269,0.00052385,5.95e-06,-0.44532923355247134,0.02824148298071712,0.12559843524196218,-158.10603501
97.0,0.20957347,0.00054642,8.24e-06,-1.257131120095996,0.028424724521995678,0.12806507322215716,-158.15297329
98.0,0.20959492,0.00052927,9.89e-06,-2.1987340661781594,0.02878404359935825,0.1293779245057238,-158.15047517
99.0,0.20957542,0.00055351,9.04e-06,-1.4585817039235853,0.028764148229405116,0.12609739959819752,-158.12707177
100.0,0.2095905,0.00055693,6.38e-06,-2.1629931638374846,0.02820825270629812,0.1260586646415882,-158.15652324
101.0,0.20958753,0.00056263,6.23e-06,-2.1129942629303904,0.028751760279075687,0.12436986685489765,-158.10169618
102.0,0.2095865,0.00055746,7.74e-06,-2.0088969846492275,0.028409817738490776,0.12557268738868502,-158.13522352
103.0,0.20958075,0.00053473,7.79e-06,-1.4661075669472838,0.027987761743206652,0.12526440565371139,-158.14271786
104.0,0.2095747,0.00054275,6.08e-06,-1.2420785134312093,0.028405126424976505,0.1251630822418559,-158.12654586
105.0,0.20955561,0.0005254,3.65e-06,-0.07313464410113019,0.02822332524509956,0.12425669592115593,-158.16467498
106.0,0.20952872,0.00052022,3.31e-06,1.3217695937393283,0.028462699787596753,0.12766616110231108,-158.08197422
107.0,0.20962129,0.00051851,4.52e-06,-3.284704362583748,0.02850273616625134,0.12580180774771704,-158.11957743
108.0,0.20959122,0.00051794,5.92e-06,-1.8081558376208167,0.028526185964264424,0.12441794699414224,-158.09065188
109.0,0.20961719,0.00052735,5.31e-06,-3.1592740629566696,0.02825890090543134,0.12623126876534185,-158.08933709
110.0,0.20957809,0.00052442,5.88e-06,-1.2068028810737488,0.02818658045236077,0.12515845906869844,-158.17046009
111.0,0.20960395,0.00053823,5.47e-06,-2.619171997106654,0.028234808804271695,0.12562039099488054,-158.14718818
112.0,0.20958671,0.00056186,4.51e-06,-1.9943787292176849,0.028193147510662563,0.12642534187031187,-158.12878101
113.0,0.20958948,0.00054931,4.82e-06,-2.0162177432357318,0.02833035540284893,0.12765919926094657,-158.06593369
114.0,0.20961103,0.00054076,3.53e-06,-2.9681861003547443,0.028300948577477506,0.12563687196110082,-158.11721079
115.0,0.2095983,0.0005201,3.49e-06,-2.1466216598590706,0.02859526012769781,0.12652134401100318,-158.12799213
116.0,0.20954401,0.00050079,5.01e-06,0.734038971374564,0.028408689406641634,0.12707284864140683,-158.10143322
117.0,0.2095437,0.00050014,4.42e-06,0.7699498600390751,0.028544986074638207,0.12533375122828536,-158.13496056
118.0,0.20957767,0.00050401,2.84e-06,-0.9258828464482888,0.028247301113779218,0.12520156461428097,-158.16073059
119.0,0.20962345,0.00049782,3.06e-06,-3.1365405711986574,0.028370543396053004,0.12792757864440288,-158.0619893
120.0,0.20957706,0.0005212,2.24e-06,-1.070271879039792,0.028432535085115795,0.1229019175652607,-158.09801475
121.0,0.20958127,0.00052654,2.24e-06,-1.343036130226447,0.02860841270449032,0.125197319084784,-158.15520844
122.0,0.20957685,0.00054434,5.08e-06,-1.3565337829796418,0.02858336692739605,0.12570030290839315,-158.14455858
123.0,0.20958075,0.00053713,5.32e-06,-1.4831343212115715,0.028647313451293965,0.1251949295793491,-158.11839411
124.0,0.20954278,0.00052988,5.39e-06,0.48042462665879093,0.02807508383601249,0.12282357588565586,-158.13114765
125.0,0.20960251,0.00052385,5.61e-06,-2.447985141480973,0.02877607851020934,0.12411905614552247,-158.13693276
126.0,0.20956987,0.0005588,5.28e-06,-1.1551995270857098,0.028391423184537145,0.1252244376523922,-158.14455858
127.0,0.20954237,0.00057229,5.69e-06,0.06020824786926057,0.028296543551417277,0.12454815024927993,-158.15231589
128.0,0.20955397,0.00058891,4.79e-06,-0.6675642311804857,0.02821576332330726,0.1252064553964368,-158.12917545
129.0,0.2095668,0.00058097,3.65e-06,-1.1962838069177342,0.02817379704302564,0.12265498476853468,-158.12391626
130.0,0.20955202,0.00056838,4.31e-06,-0.35250945317781357,0.02830886207045415,0.12476288119996914,-158.07263916
131.0,0.20957614,0.00055041,6.14e-06,-1.3985018658399013,0.028493857874981477,0.1255795491180784,-158.11865707
132.0,0.20956474,0.00053623,6.2e-06,-0.6799407144210408,0.028297513081571288,0.12404968701911204,-158.10879609
133.0,0.20954524,0.000517,3.53e-06,0.5317128233047238,0.028504734546770973,0.12367726607806061,-158.13022729
134.0,0.20959687,0.00052218,2.27e-06,-2.052775212711241,0.028275812224303715,0.12151727505006488,-158.11011089
135.0,0.20951569,0.00053884,3.59e-06,1.7659243280310712,0.028392476668333617,0.1240022365967034,-158.16638422
136.0,0.20960118,0.00052169,4.72e-06,-2.3349749120672096,0.02867790105435961,0.1240121316990829,-158.12076075
137.0,0.20955448,0.00053811,5.67e-06,-0.18704395634174964,0.028826205377132548,0.12304969057951555,-158.13167357
138.0,0.20956207,0.00055876,6.18e-06,-0.7855748216661098,0.028461221229228596,0.12429488406352494,-158.12904397
