Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20961609,0.00057148,5.88e-06,-34169.153704270066,0.026751816104641717,-0.39228766473373633,211.92163796
1.0,0.20958057,0.00055652,2.66e-06,-15390.935593828042,0.026856555662279985,-0.3887415700516649,210.82749849
2.0,0.20955029,0.00058706,1.48e-06,-3813.650638976813,0.026641129958558857,-0.3903411336638731,210.80548994
3.0,0.20959741,0.00059172,1.98e-06,-26644.228028268175,0.02670332299130819,-0.3911896610651351,210.84086083
4.0,0.20954095,0.00060974,3.18e-06,-1930.6474114214861,0.02667189410604854,-0.3909952453734761,210.81046807
5.0,0.20956538,0.00061326,2.58e-06,-13707.78503598,0.026652900532727595,-0.39028645015745517,210.82147234
6.0,0.20952237,0.00061203,1.12e-06,6924.056046778047,0.026565120209209977,-0.3892847867754416,210.83431066
7.0,0.20958283,0.00060091,3.58e-06,-20936.5477745357,0.02672041346551926,-0.38998669853885914,210.86483443
8.0,0.20958509,0.00059556,4.3e-06,-21572.729745313307,0.02669567106042692,-0.3917129164586953,210.84570795
9.0,0.20957134,0.00059871,2.05e-06,-14872.793285888793,0.026437320074901727,-0.3888675259022652,210.78243337
10.0,0.20952298,0.00057304,1.4e-06,10467.308278436092,0.026645742501440365,-0.3896121009183163,210.79920179
11.0,0.20951723,0.00056323,1.15e-06,14196.325220664843,0.02665746127110307,-0.2814872462807659,209.38816594
12.0,0.20952124,0.00055758,3.02e-06,12455.11997823146,0.026438788459204155,0.6162542254060072,209.70021528
13.0,0.20954115,0.00058628,4.09e-06,149.153111232448,0.02669883336914834,0.38637915876616963,208.68638101
14.0,0.20952401,0.00058297,2.6e-06,8794.827972294646,0.02661809995487767,0.1647477823311277,209.28729299
15.0,0.2095196,0.00056306,1.32e-06,13109.999559312053,0.026744943250932428,0.059203144024308985,209.0584303
16.0,0.20952586,0.00053367,2.15e-06,12845.564182627066,0.026575487531818476,-0.01314163388159712,209.57890621
17.0,0.20954896,0.00053547,2.74e-06,1718.8214206438556,0.02678350044149938,-0.08528188460917902,209.6383817
18.0,0.20955522,0.00057381,1.11e-06,-4777.041548582347,0.026690372822916208,-0.19626104126273144,209.70388334
19.0,0.20952637,0.00056784,2.15e-06,9262.85828480245,0.026653128961912128,-0.2812459535437049,209.12707672
20.0,0.20959875,0.00057749,1.14e-06,-25666.37734217771,0.026637859493832964,-0.2867883642860626,210.70972699
21.0,0.2095544,0.00059237,-8.1e-07,-5885.813868359635,0.026559172718477752,-0.3241602739943739,210.19462179
22.0,0.2095624,0.00056163,3e-08,-6773.328539906922,0.02663823043026294,-0.3353985169835278,209.6784691
23.0,0.20954772,0.00055219,2.35e-06,703.3392832168087,0.026586251187392308,-0.3547098493231152,209.77252914
24.0,0.20959002,0.00056711,2.97e-06,-20669.369936150928,0.026444584486210485,-0.4071611901984933,209.53305529
25.0,0.20955737,0.00059041,2e-06,-7566.897262930107,0.026633626570093317,-0.4249772368601052,209.33537121
26.0,0.20953705,0.00059912,1.07e-06,1308.7329541977053,0.026715327331577943,-0.36105571244724705,209.61480111
27.0,0.20956138,0.00057275,1.37e-06,-7629.3764980309625,0.02670496740602066,-0.3640124262393059,209.84353284
28.0,0.20949239,0.00056126,1.62e-06,26076.00543970572,0.02669958430242446,-0.32915233878287714,209.32266406
29.0,0.20955142,0.00056032,3.07e-06,-1954.8913136903127,0.02655163745724796,-0.354726542344175,210.38130143
30.0,0.20957965,0.00055742,4.17e-06,-15070.657531048557,0.02646889639096411,-0.3646008356718905,209.54065326
31.0,0.20955286,0.00058375,1.55e-06,-4657.342604526477,0.026344065610244178,-0.37399337211404776,210.14562646
32.0,0.20957873,0.00056678,6.7e-07,-15050.15109950746,0.02657079699126745,-0.3801334690727717,209.96628291
33.0,0.20958561,0.00056323,-1.79e-06,-17697.1430108965,0.026814102657978265,-0.3907317509948683,210.05025605
34.0,0.20966301,0.00059634,-1.37e-06,-57255.63280764045,0.02655434437002048,-0.3865951290030984,210.03388061
35.0,0.20970048,0.00059499,2.89e-06,-75654.06202061227,0.026629983356261346,-0.3801644149623058,209.40860213
36.0,0.20958489,0.00058599,4.99e-06,-20351.956674686386,0.026320201798430674,-0.3831657735060202,209.93065002
37.0,0.20958848,0.00056985,6.38e-06,-20700.066309509188,0.02635655066591893,-0.37945660554640537,210.00479789
38.0,0.20956394,0.00059867,4.1e-06,-11838.27427652342,0.02666607191504664,-0.3766509648316997,210.16632495
39.0,0.20956661,0.00060018,5.3e-06,-13433.022814267693,0.026643972886417417,-0.3829062393378028,210.01409911
40.0,0.20954475,0.00062998,7.07e-06,-6330.676106676404,0.02653282458723745,-0.3812866109354379,210.16645597
41.0,0.20957021,0.00062536,6e-06,-17689.687397961432,0.026573730291713116,-0.37334265120980453,209.8254544
42.0,0.2095544,0.00059752,4.88e-06,-7249.209630398851,0.026308582837031393,-0.37395912882828486,209.5048896
43.0,0.20956672,0.00058497,6.1e-06,-12087.799355064362,0.026593408724977653,-0.3774865610211254,210.27977379
44.0,0.20956887,0.00056515,4.67e-06,-10908.845901615949,0.026589152436779243,-0.38441907682513465,209.85820521
45.0,0.20951672,0.0005499,3.57e-06,15294.096152624175,0.02654150949376794,-0.37956677133085504,209.63104559
46.0,0.20954926,0.00055566,2.12e-06,-325.4738273238882,0.026506408173094614,-0.3753403901357499,210.00414313
47.0,0.20953674,0.00058346,3.94e-06,2516.190698700521,0.02647475891855896,-0.3702526181477608,209.95134864
48.0,0.20955932,0.00057909,6.22e-06,-8072.615558093188,0.026692272721368607,-0.37115117531698466,209.89698218
49.0,0.20956507,0.0005593,4.84e-06,-8626.32489705278,0.026763092311125922,-0.3682005374700806,209.95161054
50.0,0.20959351,0.00056482,2.45e-06,-22090.25123606585,0.026559759576438358,-0.37531339559877996,210.07383661
51.0,0.20953746,0.00052962,2.45e-06,7692.45281891128,0.026413946360497386,-0.3659951614042797,210.07907718
52.0,0.20959536,0.00052742,3.89e-06,-19383.234096903725,0.02639258466383677,-0.3576789601430573,209.93300808
53.0,0.20952873,0.00055914,4.76e-06,8599.733475556815,0.026700794354138083,-0.34942849157100514,209.64742094
54.0,0.20958519,0.00058391,5.43e-06,-20545.449864730486,0.0265607765736613,-0.35265129715435606,210.03807276
55.0,0.20956179,0.00055836,4.26e-06,-6882.626094678983,0.026758265709135576,-0.359210171125591,209.91977675
56.0,0.2095775,0.00053559,3.07e-06,-11774.620218842278,0.026547347902719603,-0.3620948333499875,209.90065028
57.0,0.20959864,0.0005669,4.58e-06,-25087.35297028096,0.026595007838084418,-0.3330768718805522,210.04973218
58.0,0.20955327,0.000592,6.19e-06,-6474.4344287480435,0.02663678884268493,-0.30857453386353023,209.8338386
59.0,0.2095313,0.00059732,5.31e-06,3508.898587171562,0.026679490663007562,-0.3154010870254179,209.88375085
60.0,0.20956066,0.00057586,3.17e-06,-7839.899109043276,0.026530673091056084,-0.3096917190002913,209.98292033
61.0,0.20955316,0.00056425,3.27e-06,-3155.9184945800926,0.02624670043400338,-0.30367581551288525,209.91885972
62.0,0.20957154,0.00054459,4.81e-06,-10151.421276098354,0.026569176457267765,-0.3092440347796651,209.98134831
63.0,0.20957965,0.0005573,5.21e-06,-15411.702698843945,0.026789409557574577,-0.3160530300781058,209.79610965
64.0,0.20955943,0.00059033,4.19e-06,-8945.726606598184,0.026808879930884703,-0.3242233591845202,209.87209156
65.0,0.20956169,0.00059924,3.64e-06,-10652.385133701013,0.02640583684564575,-0.32977823246455396,209.90837946
66.0,0.2095197,0.00061289,4.72e-06,7499.296538739529,0.026527923466943607,-0.3328260186509506,209.86305232
67.0,0.20953725,0.0005956,6.19e-06,721.770471580511,0.02654816366272921,-0.3430648700204362,209.86907848
68.0,0.20954218,0.00061702,6.07e-06,-3691.8860599870472,0.02658564110766529,-0.34857664797523485,209.88178579
69.0,0.20953777,0.00062303,5.02e-06,-2042.9406938704722,0.026643436716481842,-0.3541768954025613,209.91637066
70.0,0.20949917,0.00062667,8.55e-06,15041.536783727055,0.026317074102781595,-0.35768598220133746,210.03126056
71.0,0.2092416,0.00060639,1.245e-05,133035.54287157793,0.0256823669968463,-0.35809902899876433,209.61637327
72.0,0.2088633,0.00063537,1.885e-05,300644.34286480956,0.02565419203197732,-0.35704431840542106,210.32444589
73.0,0.20844219,0.00064122,2.455e-05,487413.2706221119,0.0255274481698466,-0.3382191994040675,210.52645295
74.0,0.2079868,0.00068181,3.658e-05,679636.6507620801,0.025270454706176698,-0.3126856820069388,210.42544942
75.0,0.20744384,0.0007155,5.152e-05,914598.3841402059,0.025244674238728077,-0.2856087077432877,210.37868125
76.0,0.20700969,0.00073606,6.673e-05,1086928.1752399907,0.02488155124884831,-0.2638620755040161,210.30374737
