Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20796488,0.00044617,-1.525e-05,-0.0033842783099354594,0.003042701363849425,,-218.09257498
1.0,0.20797679,0.000499,-1.504e-05,-0.1126691261718622,0.002739329056740245,,-218.07761877
2.0,0.20800595,0.00049904,-1.574e-05,-0.27069596902847565,0.0029576604657666804,,-218.06358092
3.0,0.20797063,0.00050401,-1.418e-05,-0.11878979357917659,0.0036292359259823583,,-218.0436393
4.0,0.20794444,0.00046715,-1.261e-05,0.09540049431659492,0.003770317348339173,,-218.03996584
5.0,0.20796026,0.00042573,-1.479e-05,0.05740154813863275,0.004081150274295075,,-218.06804154
6.0,0.20799065,0.00040108,-1.678e-05,-0.13808147064838816,0.004804587461624894,,-218.06620482
7.0,0.20794218,0.00044483,-1.521e-05,0.16913001002390682,0.004349506967861949,,-218.08037386
8.0,0.20790296,0.00048206,-1.703e-05,0.38115501445585204,0.00402100772954973,,-218.0945429
9.0,0.20789444,0.00047277,-1.546e-05,0.3456597719831877,0.0030848364352870665,,-218.07027186
10.0,0.20795235,0.00051794,-1.307e-05,-0.0192523784063185,0.0029155321661069153,,-218.06331853
11.0,0.20797052,0.00046515,-1.291e-05,-0.06809197081366206,0.00354326438618914,,-218.07814355
12.0,0.20799126,0.0004432,-1.512e-05,-0.17537483496935746,0.003807285748758351,,-218.08011147
13.0,0.20793161,0.00044805,-1.726e-05,0.22627809034798618,0.0039451880891503465,,-218.03747314
14.0,0.20795779,0.00047395,-1.537e-05,0.005653377043072618,0.004552016477119923,,-218.06003866
15.0,0.20793151,0.00047526,-1.411e-05,0.2095149090409434,0.004576219594243291,,-218.08601524
16.0,0.20797022,0.00048442,-1.299e-05,-0.1044443650109219,0.004074984543165826,,-218.07761877
17.0,0.2079541,0.00050462,-1.566e-05,-0.011673696954455425,0.0035685210837805236,,-218.06777915
18.0,0.20795748,0.00048332,-1.689e-05,-0.0019088442920619016,0.0027185473448925355,,-218.09296857
19.0,0.20796231,0.00048238,-1.444e-05,-0.03235974752300293,0.0031590175019990618,,-218.05846432
20.0,0.2079503,0.00049872,-1.419e-05,0.017686664684978648,0.003841389613860199,,-218.0462632
21.0,0.20794752,0.00046487,-1.726e-05,0.0906854979186447,0.003850295181309671,,-218.07473248
22.0,0.20795656,0.00042748,-1.671e-05,0.09557185759766683,0.00454537858932882,,-218.08968869
23.0,0.20793756,0.00046316,-1.318e-05,0.18173893561154314,0.004651272622848486,,-218.07630682
24.0,0.20795276,0.00045375,-1.316e-05,0.06441997300712031,0.004026905217096319,,-218.06633601
25.0,0.20795605,0.00044988,-1.508e-05,0.04824487414833315,0.0037630316158547422,,-218.09664202
