Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20951004,0.00057982,9.08e-06,0.25643474229787006,0.028764333256522952,,-277.71128479
1.0,0.20950994,0.00060495,8.05e-06,0.004062734551677685,0.028791375927644157,,-277.73076853
2.0,0.20954236,0.00061434,8.83e-06,-1.8125539901485737,0.028745409741157874,,-277.76398242
3.0,0.20951573,0.00063017,9.83e-06,-0.6053991637061786,0.028585833733168267,,-277.71455388
4.0,0.20949296,0.00063821,1.008e-05,0.489364486728918,0.028603276911883527,,-277.72684563
5.0,0.20951248,0.00063421,1.081e-05,-0.5029600356913088,0.028882265626941756,,-277.74985998
6.0,0.20950953,0.00059418,1.083e-05,0.09352095670476379,0.028743714042555872,,-277.77470501
7.0,0.20951817,0.00058859,1.013e-05,-0.2858206656864944,0.028807386989098488,,-277.73560677
8.0,0.20951603,0.00057488,1.063e-05,-0.03157915845172829,0.028850657080808226,,-277.74332181
9.0,0.20955822,0.00055358,9.37e-06,-1.9934873882507265,0.028855470264286566,,-277.77339738
10.0,0.20953321,0.00054146,9.19e-06,-0.5395390900926754,0.02879639991156244,,-277.75417517
11.0,0.20953372,0.00056709,8.14e-06,-0.8283771259915406,0.02876123659143979,,-277.73939891
12.0,0.20951197,0.00056496,9.82e-06,0.3038757692748319,0.028641659850191604,,-277.76986677
13.0,0.20951614,0.0005615,1.07e-05,0.10828323840436488,0.02868544631455579,,-277.78869669
14.0,0.20950323,0.0005608,8.15e-06,0.8409636069818779,0.02881408972635958,,-277.74711395
15.0,0.20949377,0.00055831,5.79e-06,1.4059065510050819,0.02876812018140296,,-277.70749265
16.0,0.20952508,0.00053942,5.15e-06,-0.01693914777659864,0.028788352523511987,,-277.73547601
17.0,0.2094952,0.00053518,7.33e-06,1.563759892455465,0.02888805826119267,,-277.75927494
18.0,0.20953962,0.00055586,1.035e-05,-1.061036006817941,0.028943247476324273,,-277.7726128
19.0,0.20954135,0.00055117,1.043e-05,-1.0962477140720643,0.02879476241883648,,-277.70683884
20.0,0.20952224,0.00054105,9.06e-06,0.04349998956472973,0.028944205756578578,,-277.75862112
