Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20958479,0.00050666,-3.97e-06,1.3614597916135864,0.026468043881713577,-0.10617968874439151,37.03934881
1.0,0.20959312,0.00056423,-3.44e-06,0.36928194550532,0.026551648796460763,0.023574151512116084,36.57688108
2.0,0.20959729,0.00062202,-1.67e-06,-0.446658105489341,0.02641524931955643,0.09656505930726032,35.38564065
3.0,0.20933723,0.00071912,8e-07,10.914930636277832,0.026083929108481143,0.07324504914830687,35.74080122
4.0,0.2078893,0.00099757,7.33e-06,70.1983608801952,0.023875053007376534,0.1279341437507587,36.15341034
5.0,0.20628308,0.00147051,1.789e-05,133.53336043250073,0.02358938661263446,0.15034682877754524,36.46865787
6.0,0.20508505,0.00190066,2.643e-05,182.49627179150542,0.02384781486471596,0.04216751922412738,36.41709808
7.0,0.20355834,0.00236392,3.214e-05,241.4753981582676,0.023638351513180122,-0.011030326377729018,36.32379319
8.0,0.20265026,0.00286472,3.825e-05,275.97720923698336,0.023686759442163568,-0.031023361847300052,36.18848146
9.0,0.20219479,0.00326043,4.65e-05,289.461137776555,0.023505194269176324,-0.040389914158584665,36.04400937
10.0,0.20204097,0.00363718,4.955e-05,292.5818407653124,0.023498975265412513,-0.04901951321153939,35.85739958
11.0,0.20192355,0.00394564,5.284e-05,298.8398854921823,0.023818359042670267,-0.04911449317036471,35.71397439
12.0,0.20188593,0.00416576,5.918e-05,296.8086486323006,0.02368730925860093,-0.049721300760250886,35.59659082
13.0,0.20190901,0.00438713,6.297e-05,295.18896324697147,0.02379252522674986,-0.04793925861866318,35.44217318
14.0,0.2020363,0.00460054,6.378e-05,286.1179514795153,0.023642311383156225,-0.05123496041308246,35.2952147
15.0,0.20221269,0.00477605,6.243e-05,277.3632134444939,0.02365748157302569,-0.05238267220792995,35.18293476
16.0,0.20234953,0.00488739,6.266e-05,272.2955010018461,0.023804215597354513,-0.049620489840260844,35.08779779
17.0,0.20247987,0.00495436,6.033e-05,265.6297212325952,0.02375318225143847,-0.04652134991508997,34.92971601
18.0,0.20263145,0.00497643,6.205e-05,259.07867538830993,0.0237630978972549,-0.045439160367535966,34.81730521
19.0,0.20287128,0.00498437,6.533e-05,251.47458549508198,0.024022837371251753,-0.05195774206232166,34.68735884
20.0,0.20306119,0.00501566,6.796e-05,240.92307300052596,0.023819117283296807,-0.05278443022410038,34.58986635
21.0,0.20335775,0.00506024,6.935e-05,227.90253331487133,0.02382568975797744,-0.049118126500651275,34.4790259
22.0,0.20346674,0.00504187,6.904e-05,223.77184090759206,0.023864819985256074,-0.05279389195960673,34.38153341
23.0,0.20352143,0.00506898,6.606e-05,221.1777640624697,0.023858811814988813,-0.04611224421579278,34.26519673
24.0,0.20369538,0.00508926,6.529e-05,215.27804765436,0.024051546623869078,-0.04541180520946622,34.1619463
25.0,0.20381545,0.00504518,6.736e-05,210.04447322193198,0.024005718714102984,-0.044716313580472365,34.06811796
26.0,0.2039469,0.00499936,6.695e-05,205.56196391898442,0.024097381592170793,-0.05207373288022804,33.96447493
27.0,0.20417555,0.00498027,6.345e-05,195.86539179960377,0.024097197134320653,-0.05407108791619885,33.88242421
28.0,0.2043314,0.00494215,5.924e-05,189.01585155208636,0.024035162431342967,-0.049435284322371084,33.75169267
29.0,0.2044044,0.00489414,5.841e-05,187.28591588478957,0.024163132775544396,-0.054644480425508825,33.68155042
30.0,0.20457408,0.00484318,5.529e-05,180.2054043454784,0.024137204244464604,-0.05866285734387328,33.56953221
31.0,0.20464738,0.00476433,5.355e-05,177.7412685757397,0.02413642188779347,-0.061973748043383715,33.4808075
32.0,0.2047708,0.00472083,5.436e-05,173.11932801708429,0.024188520970836184,-0.05885656295277933,33.4132825
33.0,0.20486912,0.00467099,5.479e-05,170.48592861123143,0.024362257283415335,-0.059590944734346694,33.34287853
34.0,0.20499132,0.00464206,5.39e-05,165.07115372340195,0.024315486345589173,-0.05720243022654743,33.21738148
35.0,0.20508383,0.0046123,5.449e-05,161.95038844415367,0.024417992073155672,-0.05633048766781216,33.15286632
36.0,0.20511637,0.00457447,5.399e-05,160.92137445706715,0.02442624913032744,-0.05762054452475195,33.10693362
37.0,0.20514473,0.00452086,5.203e-05,160.77505772596078,0.02451584672126179,-0.0570411480327845,33.0165077
38.0,0.20527273,0.00446788,4.715e-05,155.0743418838222,0.02442275797126738,-0.06031778952811949,32.95892824
39.0,0.20532244,0.00443245,4.496e-05,153.85184358308854,0.02452079886415267,-0.057860496136320584,32.83290775
40.0,0.20533851,0.00442806,4.34e-05,152.50670013964006,0.024409230868724145,-0.05981833589394073,32.76184947
