Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20805404,0.00066623,1.629e-05,-0.42670377115795066,0.026770803072430616,,-0.62681618
1.0,0.20808293,0.00064329,1.523e-05,-1.5842142504849241,0.026777601714873953,,-0.61647021
2.0,0.20807286,0.00065433,1.714e-05,-1.2392779206523357,0.026815497175971446,,-0.60311212
3.0,0.20808669,0.00068077,1.844e-05,-2.2113845703167216,0.02689489915041286,,-0.58503941
4.0,0.20807591,0.00071256,1.658e-05,-1.9738166419587408,0.02686035650739769,,-0.57966998
5.0,0.20803654,0.00068353,1.266e-05,0.31134967773668415,0.026772065371161523,,-0.63035214
6.0,0.20809127,0.00064816,1.677e-05,-2.0795688412349027,0.02695391687654094,,-0.58556325
7.0,0.2080399,0.00067557,1.754e-05,0.14687396902785496,0.026839837751661103,,-0.58752768
8.0,0.20795802,0.00067122,1.624e-05,4.232885114654531,0.026974289535619925,,-0.59787365
9.0,0.20805404,0.00068775,1.308e-05,-0.5888162862289201,0.02666553789705568,,-0.62589945
10.0,0.20799809,0.00070619,8.2e-06,2.0213587302273535,0.026663196479116105,,-0.57443151
11.0,0.20803797,0.00069271,8.71e-06,0.21507500516480085,0.026801497611235323,,-0.61450578
12.0,0.20807652,0.00070042,1.198e-05,-1.8032139142634223,0.026869680792926107,,-0.60049288
13.0,0.20808394,0.00065608,8.7e-06,-1.6495135662759917,0.026711002651344705,,-0.56303785
14.0,0.20805089,0.00065831,5.28e-06,-0.00813699848023066,0.026670119443695028,,-0.60507654
15.0,0.20806777,0.00068138,6.19e-06,-1.0735305792786378,0.02661334888016995,,-0.65078216
16.0,0.2080695,0.00069997,3.61e-06,-1.317443753298482,0.026933551908422015,,-0.61162462
17.0,0.20804,0.00071366,8.16e-06,-0.08812345806054925,0.027008730626625888,,-0.59708788
18.0,0.2080574,0.00068942,1.066e-05,-0.7339249774884852,0.026871116805620845,,-0.63218561
19.0,0.20806543,0.0006465,1.429e-05,-0.7477158376794267,0.026762583387684977,,-0.59132557
20.0,0.20807459,0.00067114,1.482e-05,-1.4468316358565683,0.02665498320838984,,-0.58359883
21.0,0.20802841,0.00065376,1.797e-05,0.9201774883525123,0.026768729224244236,,-0.58909922
22.0,0.20805323,0.0006629,1.296e-05,-0.2973949404050006,0.026753478834934077,,-0.63480484
23.0,0.20804855,0.00066639,8.91e-06,-0.03708309363210251,0.0268140209722435,,-0.5939448
24.0,0.20800409,0.0006644,9.64e-06,2.15205409938777,0.026961777982416772,,-0.61568444
25.0,0.20803614,0.00067419,5.3e-06,0.5529388249943635,0.026961215177630685,,-0.60979116
26.0,0.20800338,0.00067021,8.79e-06,2.124443973649445,0.026741833513439606,,-0.57665786
27.0,0.20803675,0.00066156,1.026e-05,0.5657312699284693,0.026843709005618485,,-0.61358905
28.0,0.20804132,0.0006281,1.314e-05,0.632619804302034,0.02677231630720347,,-0.61358905
29.0,0.20806747,0.00062526,1.56e-05,-0.655004089891122,0.026817639077991496,,-0.58844441
30.0,0.20806146,0.00064536,1.585e-05,-0.5681957200120988,0.026726724454733307,,-0.61162462
31.0,0.20803654,0.00061397,1.513e-05,0.9759769129964504,0.026788020431602007,,-0.59119461
32.0,0.208052,0.00059521,1.6e-05,0.39812184600917727,0.026787167830229667,,-0.57102651
33.0,0.20806482,0.0005708,1.364e-05,0.060849734945808025,0.02692375180507067,,-0.60913635
34.0,0.20803512,0.0005449,1.432e-05,1.7862297868601162,0.027193707539220097,,-0.62563752
35.0,0.20803003,0.00053304,1.321e-05,2.149203304409733,0.026820488088076272,,-0.61123174
36.0,0.20802932,0.00053617,9.88e-06,2.2131918479962347,0.02688342024545044,,-0.5782294
37.0,0.20804773,0.00053316,1.042e-05,1.33581116536721,0.026914258811625274,,-0.60913635
38.0,0.20804204,0.00053763,8.77e-06,1.5829528951754652,0.026682480294298424,,-0.60939828
39.0,0.20799453,0.00052947,7.97e-06,3.9938319545411605,0.026741660772997583,,-0.57259805
40.0,0.20802312,0.00056642,1.027e-05,2.205189181891929,0.026923457761891766,,-0.60232635
41.0,0.20802495,0.00060832,9.04e-06,1.7133990539670074,0.026991804252206958,,-0.59983807
42.0,0.20805475,0.00061433,9.58e-06,0.17893459776153567,0.02695617386229356,,-0.58032479
43.0,0.20799494,0.000589,1.007e-05,3.3474623512744666,0.026833431811358093,,-0.61188655
44.0,0.20812646,0.00060106,1.1e-05,-3.216707071744205,0.026865226166391528,,-0.63467388
45.0,0.20801447,0.00063228,1.321e-05,1.886476305854604,0.026622636241133386,,-0.57927709
46.0,0.20781123,0.00064946,1.591e-05,11.531171052132418,0.026671627337344014,,-0.58805153
47.0,0.2078977,0.00064666,1.657e-05,7.357824823263812,0.02668415924344667,,-0.58372979
48.0,0.20810398,0.00066513,1.703e-05,-2.8686814224521417,0.02683940488962905,,-0.55557303
49.0,0.20803247,0.00068499,1.583e-05,0.4436075586194672,0.026890721188040596,,-0.60114769
50.0,0.20797317,0.00071837,1.301e-05,3.0643611605855043,0.02699193860942586,,-0.58071767
51.0,0.20804214,0.00071057,1.126e-05,-0.21366674262919644,0.02694504351608383,,-0.5860871
52.0,0.20801376,0.00068568,1.409e-05,1.3671360857044381,0.026611389484177524,,-0.57796748
53.0,0.2080815,0.00067801,1.346e-05,-1.8357313587810733,0.02675670139546589,,-0.54627476
54.0,0.20802159,0.00065324,1.519e-05,1.3071698613728422,0.02682773515255561,,-0.59525442
55.0,0.2080457,0.00065202,1.51e-05,0.14420903552481287,0.026861327659769424,,-0.61372001
56.0,0.20800104,0.00068089,1.278e-05,2.084978812582207,0.027023055592643754,,-0.56827631
57.0,0.2079987,0.00068783,1.478e-05,2.0667930444895184,0.02665736587549153,,-0.56984785
58.0,0.20805933,0.00066668,1.637e-05,-0.6885692294393906,0.02670171150225418,,-0.56434746
59.0,0.20802637,0.00061738,1.515e-05,1.4370870912894782,0.026793946833863033,,-0.57980094
60.0,0.20798436,0.00063894,1.287e-05,3.312164274963735,0.026855067772007683,,-0.64331735
61.0,0.20803919,0.00064247,9.01e-06,0.6647906090632403,0.026969127863433594,,-0.59551634
62.0,0.20798233,0.00061527,7.72e-06,3.749975065826314,0.026936310142798788,,-0.61647021
63.0,0.20805974,0.00060958,8.72e-06,-0.0027850042028543572,0.026736471051455043,,-0.61293424
64.0,0.2080222,0.00061957,8.55e-06,1.7219366611460296,0.02668495765607108,,-0.59289711
65.0,0.20797816,0.00064788,8.63e-06,3.598289482146512,0.026875790099432705,,-0.59106364
66.0,0.20799738,0.00067305,1.24e-05,2.344414910308324,0.026940275080045237,,-0.60573135
67.0,0.20799301,0.00066749,1.491e-05,2.551326107472346,0.02671345658614848,,-0.6540562
68.0,0.20800257,0.00062903,1.69e-05,2.449503091275788,0.02679072508039186,,-0.61175559
69.0,0.20795435,0.0006078,1.54e-05,5.046523808325753,0.02682409309743276,,-0.62511368
70.0,0.20798619,0.0006305,1.532e-05,3.2592204269344496,0.026788187721127208,,-0.59433769
71.0,0.20799118,0.00065941,1.652e-05,2.687531082150576,0.026638737133947314,,-0.61647021
72.0,0.20798528,0.00065291,1.753e-05,3.0183029663183207,0.0266043155217695,,-0.65353236
73.0,0.20800582,0.00061714,1.662e-05,2.4153888453681347,0.026779349267046296,,-0.61869655
74.0,0.20799138,0.00058591,1.877e-05,3.418025868328656,0.02692497023132333,,-0.61463674
75.0,0.20801589,0.00057978,1.973e-05,2.2534616904634044,0.026803311163334658,,-0.62642329
76.0,0.2080283,0.00059968,2.017e-05,1.4354514409350925,0.026740090374044345,,-0.64737716
77.0,0.20799006,0.00062408,2.086e-05,3.0477048438072347,0.02683177251257812,,-0.58674191
78.0,0.20798579,0.00061027,2.112e-05,3.4069922222725473,0.026949662664431946,,-0.63126887
79.0,0.20802759,0.00059951,2.089e-05,1.464234792719421,0.026823988689724933,,-0.60560039
80.0,0.20798355,0.00062522,1.978e-05,3.341771518985775,0.026590652886795057,,-0.61725598
81.0,0.20802546,0.00066079,1.988e-05,0.9583549623427391,0.026707520462999103,,-0.60756481
82.0,0.20800918,0.00064974,2.087e-05,1.8534852752157056,0.026833744992874456,,-0.66846199
83.0,0.2079867,0.00060857,2.154e-05,3.368544694772675,0.026917007637439587,,-0.644496
84.0,0.20797541,0.00058067,1.939e-05,4.206298610000445,0.02669064409054922,,-0.6052075
85.0,0.20796188,0.00057011,1.451e-05,5.080880178840156,0.026845988429088783,,-0.62183963
86.0,0.20797704,0.00061275,1.437e-05,3.907602593018145,0.026832649253750243,,-0.65025831
87.0,0.20797022,0.00065271,1.487e-05,3.817976405286172,0.026775222776913316,,-0.63166176
88.0,0.20795842,0.00068146,1.124e-05,4.120843652975001,0.026509056680053853,,-0.58896826
89.0,0.20794886,0.0006979,1.297e-05,4.4451634483249505,0.026853288174701312,,-0.60219538
90.0,0.20797429,0.00069798,1.277e-05,3.213977939631691,0.02692614471849394,,-0.60468366
91.0,0.20795191,0.00070119,1.058e-05,4.29864940518055,0.026826694419037057,,-0.59014691
92.0,0.20794856,0.0007111,9.94e-06,4.364838103879012,0.026781190758215605,,-0.60992212
93.0,0.20794835,0.00068572,1.216e-05,4.618599687924327,0.02691780162868541,,-0.63388811
94.0,0.20794001,0.00067748,8.97e-06,5.159911785521693,0.02689255516072095,,-0.62851868
95.0,0.20793788,0.00065933,7.9e-06,5.4377852982422485,0.026749356724711314,,-0.62275637
