Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20843776,0.00060445,6.75e-06,-0.659918780585915,0.026999127672732676,,-277.76573717
1.0,0.20841742,0.00064591,7.66e-06,-0.10054550480511572,0.02700493012996762,,-277.7485897
2.0,0.20842555,0.00064889,8.04e-06,-0.5388027421911324,0.027080621511732714,,-277.74701894
3.0,0.2084043,0.00063325,6.06e-06,0.7053552303650614,0.027155140112357496,,-277.69466025
4.0,0.20839636,0.00059941,7.52e-06,1.4230081222518909,0.027176998184788956,,-277.76220296
5.0,0.20838731,0.00062252,6.44e-06,1.6258251980945573,0.026766600269250575,,-277.75081495
6.0,0.20843735,0.00062695,7.83e-06,-0.8882577033905902,0.02698389124017619,,-277.69479115
7.0,0.20845362,0.00063679,8.93e-06,-1.803291134281108,0.02692616844597656,,-277.74322294
8.0,0.20840674,0.00061433,1.031e-05,0.7059654790726171,0.027101332241302123,,-277.73720169
9.0,0.20848668,0.00060869,1.025e-05,-3.1835755203858804,0.027133659519128446,,-277.6925659
10.0,0.20846908,0.00061808,7.37e-06,-2.3510919271671376,0.027012261778835138,,-277.71076055
11.0,0.20840084,0.00060607,5.47e-06,1.159514875937614,0.026988629742043756,,-277.74544818
12.0,0.20844945,0.00063514,4.37e-06,-1.4882698531657126,0.0266288461356854,,-277.74911329
13.0,0.20840033,0.00066668,5.29e-06,0.5637852107889066,0.026855130786488123,,-277.70905889
14.0,0.20841538,0.00067773,7.17e-06,-0.31523573720590514,0.026749907556839224,,-277.71953063
15.0,0.20835894,0.00069039,9.59e-06,2.275981384583529,0.026887498313842833,,-277.74165218
16.0,0.20842016,0.000692,9.94e-06,-0.7421462489260444,0.026844436436713522,,-277.7048702
17.0,0.20842047,0.00069184,7.24e-06,-0.7061895703293473,0.026693759450419335,,-277.71992332
18.0,0.20839016,0.00069946,6.99e-06,0.6930449120770316,0.026658552920830195,,-277.7328821
19.0,0.2084045,0.00066885,7e-06,0.3088438207993233,0.02684621459209869,,-277.70670275
20.0,0.20841681,0.00062877,6.36e-06,0.12679925824850338,0.02691255221431595,,-277.70984427
21.0,0.20845983,0.00060296,9.65e-06,-1.7748596823839577,0.026939947099548736,,-277.72502829
22.0,0.20845576,0.00063276,1.035e-05,-1.8947919719720505,0.026980126695982952,,-277.70094329
23.0,0.20841284,0.00063433,1.206e-05,0.16864046671133415,0.026976233950965905,,-277.75631261
24.0,0.20842952,0.00063966,1.366e-05,-0.7298626277753529,0.02688563451773453,,-277.74701894
25.0,0.20840338,0.00066345,1.368e-05,0.3082022626154633,0.027031270401461135,,-277.70395392
26.0,0.2083984,0.00067325,1.3e-05,0.4630106753913979,0.026959117865050213,,-277.72411201
27.0,0.20838294,0.00067349,1.221e-05,1.237520097266977,0.027063427776143827,,-277.72227946
28.0,0.20839087,0.00065538,1.409e-05,0.9935684647312987,0.026864089656286592,,-277.73523824
29.0,0.20841691,0.00064171,1.321e-05,-0.12637692802686765,0.026987056420629818,,-277.73824886
30.0,0.20843338,0.00062284,1.12e-05,-0.7077906572440751,0.026969895839547564,,-277.70212137
31.0,0.20840836,0.00064252,1.298e-05,0.28842253913093246,0.026902497870173382,,-277.73824886
32.0,0.2084104,0.0006455,1.258e-05,0.16470004413033273,0.02688404930000384,,-277.7328821
33.0,0.20843979,0.00062804,1.019e-05,-1.058927255601442,0.02697485939272483,,-277.73471465
34.0,0.20842372,0.00064897,9.69e-06,-0.4744400830322685,0.026910780727355484,,-277.72502829
35.0,0.20838914,0.00068031,9.99e-06,0.8967387094686255,0.026975676808502876,,-277.69753998
36.0,0.20839057,0.00064667,8.83e-06,1.1901162047205147,0.026963204308768626,,-277.7288243
37.0,0.20840287,0.00062183,9.07e-06,0.8335957577105502,0.02686818032866956,,-277.74230666
38.0,0.20835619,0.00064446,7.11e-06,2.928560961513636,0.026955769149974707,,-277.72529009
39.0,0.20838833,0.00067527,9.36e-06,0.9973128099988265,0.0269354112858605,,-277.75513454
40.0,0.20837155,0.00068111,9.05e-06,1.7581619689737291,0.026820430989625523,,-277.73550003
41.0,0.2083866,0.00065422,6.34e-06,1.3472266156106698,0.026910991920381655,,-277.74296114
42.0,0.20836321,0.00066075,5.01e-06,2.4487937588515725,0.026910106449429958,,-277.7048702
43.0,0.20837938,0.00068446,4.84e-06,1.4186170023776805,0.0269351146194947,,-277.72267215
44.0,0.20841793,0.00069148,7.33e-06,-0.5812278594799604,0.026723234750100067,,-277.73510734
45.0,0.20837979,0.00064159,1.031e-05,1.7396258346123377,0.0268611788491885,,-277.72385022
46.0,0.2083809,0.00063885,1.153e-05,1.690112363503278,0.02681974214962966,,-277.7128549
47.0,0.20839341,0.00067289,1.096e-05,0.7389058704228175,0.02669774812117594,,-277.73785617
48.0,0.20838884,0.00064885,1.154e-05,1.1980433447859054,0.02676592699329039,,-277.70146688
49.0,0.20836667,0.00062708,1.018e-05,2.524981341449764,0.026794098713385874,,-277.70840441
50.0,0.20838945,0.000643,1.1e-05,1.2429877541338397,0.02689914477154738,,-277.70434661
51.0,0.20838274,0.00066107,9.03e-06,1.4212198399229703,0.02691638656757913,,-277.66285235
52.0,0.20839148,0.00063635,6.39e-06,1.2873728820739876,0.02685905186202107,,-277.72188677
53.0,0.20839097,0.00061385,5.15e-06,1.567103183013228,0.026936124983342538,,-277.76586807
54.0,0.20838914,0.00058574,4.56e-06,1.9615772786696042,0.02703757723925598,,-277.72738443
55.0,0.20837979,0.0006122,4.02e-06,2.166365566691281,0.02712505035427276,,-277.77031856
56.0,0.20835121,0.00064534,5.83e-06,3.1794456509157714,0.026904034821514246,,-277.77516174
57.0,0.20832202,0.00064546,9.83e-06,4.5521627342894515,0.02697517967348266,,-277.73995052
58.0,0.2083868,0.00063308,1.244e-05,1.456735162999355,0.027028664754430522,,-277.69767088
59.0,0.20827574,0.00063216,1.466e-05,6.896419648266439,0.02704525211924971,,-277.71769808
60.0,0.20843888,0.00061824,1.526e-05,-1.003034416706828,0.027065581493700412,,-277.68903169
61.0,0.20829791,0.00059788,1.654e-05,6.097632425491256,0.026924198219028937,,-277.70434661
62.0,0.20840959,0.00059429,1.694e-05,0.6579455342763393,0.027066422982718955,,-277.72031601
63.0,0.20836717,0.00063123,1.583e-05,2.388487066924824,0.027078360607642255,,-277.75958503
64.0,0.20835161,0.0006503,1.238e-05,3.0065277863046025,0.026974604893110734,,-277.71521104
65.0,0.20839514,0.00067607,8.97e-06,0.6649310345107309,0.027064552515406782,,-277.71377117
66.0,0.20834755,0.00069886,8.63e-06,2.793857945821534,0.027185341696350725,,-277.70657185
67.0,0.20833849,0.00069958,8.89e-06,3.181691670525635,0.02677577768886528,,-277.7288243
68.0,0.20836504,0.00069615,7.32e-06,1.9535203724467403,0.026841080962931342,,-277.73955783
69.0,0.2083565,0.00069644,7.58e-06,2.3842319886450927,0.027076634674625226,,-277.70591737
70.0,0.2083507,0.00068837,1.008e-05,2.7052164063288964,0.02702292664258022,,-277.7407359
71.0,0.20836067,0.00067018,1.164e-05,2.3836991652957202,0.027123259050843562,,-277.71926884
72.0,0.20835853,0.00064748,9.81e-06,2.704380763775021,0.026632709192014044,,-277.71599642
73.0,0.20833971,0.00064728,7.09e-06,3.733951449756724,0.027139542108453447,,-277.69845626
74.0,0.20832588,0.00067797,6.46e-06,4.095196883526049,0.02702987332801264,,-277.74427011
75.0,0.20836656,0.00068152,8.73e-06,2.0250784411889944,0.027115777018573928,,-277.76992587
76.0,0.20831063,0.00068777,1.018e-05,4.698320699589819,0.027124663910090944,,-277.73091864
77.0,0.20838385,0.00068865,7.99e-06,1.1083325333255896,0.02705731299166132,,-277.73131133
78.0,0.20836636,0.00067462,7.93e-06,2.1211313112161676,0.027135578891511747,,-277.72411201
79.0,0.20831368,0.00066934,6.65e-06,4.78891319093595,0.02707627112054745,,-277.73484555
80.0,0.20840684,0.00065292,5.22e-06,0.39002227738626777,0.027067209187029824,,-277.71364028
81.0,0.20857943,0.00067329,4.58e-06,-8.310988277973388,0.027047889538266257,,-277.66023441
82.0,0.20833575,0.00068027,5.64e-06,3.5839678582062264,0.026910281570396818,,-277.71010607
83.0,0.20833605,0.00067357,9.49e-06,3.5802512487020492,0.026967148653103207,,-277.72777712
84.0,0.20833575,0.00070107,9.56e-06,3.3268480719741933,0.02708514914989109,,-277.72214856
85.0,0.20833188,0.00069632,9.02e-06,3.5482519175941807,0.026877562014479595,,-277.72437381
86.0,0.20840155,0.00065918,7.74e-06,0.5427926647848119,0.02702810487106323,,-277.71298579
87.0,0.20816224,0.00066147,1.086e-05,12.173312393282556,0.02688645053277121,,-277.7008124
88.0,0.2083924,0.0006641,1.146e-05,0.882220765416642,0.027112599186925837,,-277.71377117
89.0,0.20824971,0.00065772,1.115e-05,7.963343307383896,0.027006298738495565,,-277.75238571
90.0,0.20815583,0.00063849,8.47e-06,12.829506864150277,0.027030448008207066,,-277.75225481
91.0,0.20830717,0.00063954,7.41e-06,5.40059967252981,0.027064588242100385,,-277.75212391
92.0,0.20818116,0.00065623,7.91e-06,11.417562239776426,0.02704399806704417,,-277.78785872
93.0,0.20840806,0.00065768,7.99e-06,0.2347085642090331,0.02715764014751641,,-277.7288243
94.0,0.20826628,0.00062712,6.89e-06,7.504615480954371,0.026898931789593884,,-277.71861435
95.0,0.20836392,0.00063006,5.9e-06,2.7170476659753633,0.026955785923608942,,-277.70827351
96.0,0.20834612,0.00064546,4.58e-06,3.4757866821939847,0.027116241945889477,,-277.72843161
97.0,0.2084225,0.00064067,4.78e-06,-0.2491234137712362,0.02715121769546988,,-277.71717449
98.0,0.20826771,0.00068523,5.99e-06,6.888574973130802,0.027022774053271203,,-277.73550003
99.0,0.20828866,0.000697,9.31e-06,5.687965598754847,0.027054204623377882,,-277.74662625
100.0,0.20829903,0.00068813,1.187e-05,5.280622658808166,0.02734248607227681,,-277.76194117
101.0,0.20830941,0.00065631,1.286e-05,5.008929608656082,0.026975001084153776,,-277.72581367
102.0,0.20828062,0.00062691,1.242e-05,6.7403333435774275,0.0270141825198528,,-277.72738443
103.0,0.20832425,0.00061099,1.388e-05,4.762643581980258,0.02717893557086213,,-277.72777712
104.0,0.20831154,0.0006082,1.473e-05,5.393395001043103,0.02711748570840552,,-277.71508014
105.0,0.20831907,0.00061933,1.429e-05,4.916658036811198,0.027127995712042597,,-277.72843161
106.0,0.20832171,0.00066248,1.45e-05,4.342298397975229,0.027151088096235496,,-277.73602362
107.0,0.20829293,0.00062619,1.433e-05,6.125396258836416,0.027081403641241807,,-277.71455655
108.0,0.20830381,0.00065446,1.082e-05,5.358436518143475,0.027081785693705472,,-277.73602362
109.0,0.20829151,0.00063087,9.05e-06,6.237104761148665,0.027081971808741293,,-277.7008124
110.0,0.2083029,0.00065696,7.35e-06,5.4075230091062165,0.02693722969347406,,-277.73353658
111.0,0.20830788,0.00067563,6.48e-06,5.020010854295131,0.02711405713173604,,-277.71167683
112.0,0.20827462,0.00068761,8.99e-06,6.51745541016515,0.027206150275441765,,-277.73131133
113.0,0.20828673,0.00070277,1.016e-05,5.73457813813734,0.02717372245036479,,-277.69570743
114.0,0.20829364,0.00066793,8.34e-06,5.769419777656674,0.02710991193394119,,-277.72123229
115.0,0.20828296,0.00067797,8.92e-06,6.183974887234729,0.027113111686248047,,-277.7085353
116.0,0.2082972,0.00070571,9.42e-06,5.1723757885471375,0.027034281989193436,,-277.71704359
117.0,0.20828825,0.0007093,8.41e-06,5.625321551441768,0.027190205447844354,,-277.70840441
118.0,0.20832588,0.00070591,9.68e-06,3.753440531952002,0.02702574602484212,,-277.71795987
119.0,0.20828276,0.00070438,9.42e-06,5.880453078564962,0.02696060778494662,,-277.7488515
120.0,0.20828642,0.00069829,1e-05,5.759364184321531,0.026988833891003684,,-277.74793522
121.0,0.20828683,0.00070543,8.5e-06,5.701055840806729,0.027034089303578434,,-277.69531474
122.0,0.20823567,0.0006843,6.78e-06,8.439835556302796,0.026957571883841378,,-277.72921699
123.0,0.20826445,0.00066337,7.15e-06,7.2538917826701566,0.02702510284423996,,-277.73327479
124.0,0.20830269,0.00066422,8.76e-06,5.295694043156245,0.026815132279769956,,-277.73837976
125.0,0.20827411,0.00066938,1.132e-05,6.604364301472641,0.02685358917464904,,-277.72843161
126.0,0.20825733,0.00068285,1.278e-05,7.287001907945152,0.026943805035664483,,-277.69125694
127.0,0.208279,0.00066414,1.268e-05,6.392118029737434,0.026837871146359247,,-277.73458375
128.0,0.20828134,0.00064111,1.146e-05,6.551260515412735,0.026913736443829495,,-277.7407359
129.0,0.20826283,0.00063401,1.091e-05,7.517037513243017,0.026833379424978664,,-277.76927138
130.0,0.20828896,0.00060389,1.151e-05,6.555924911210884,0.02690873429064195,,-277.71206952
131.0,0.2082616,0.00059909,1.22e-05,7.929565920197724,0.0268973664158908,,-277.73785617
132.0,0.20826181,0.00058191,1.38e-05,8.08957847617414,0.026970913058247954,,-277.708928
133.0,0.208267,0.00060453,1.126e-05,7.67138822625657,0.02705868776975192,,-277.70971338
134.0,0.20827798,0.0006059,1.047e-05,7.128685880667963,0.027053258053746032,,-277.72332663
135.0,0.20824137,0.00059506,1.299e-05,8.950286507316097,0.026906139657203586,,-277.72581367
136.0,0.20825337,0.00059272,1.422e-05,8.36851976360725,0.026914347804414304,,-277.74413921
137.0,0.20824676,0.00060457,1.26e-05,8.58497511346671,0.02687163549390209,,-277.72371932
138.0,0.20823048,0.00063413,1.067e-05,9.14595168489434,0.026970898658897572,,-277.78602616
139.0,0.20820292,0.00068426,1.022e-05,9.921854093412477,0.026777772442227715,,-277.72358843
140.0,0.20828052,0.00069882,1.095e-05,6.024151711574538,0.026973108714073324,,-277.73052595
141.0,0.20824381,0.0006899,9.18e-06,7.945470119358375,0.026966857119054877,,-277.76887869
142.0,0.20824848,0.00067305,8.51e-06,7.938584638278994,0.027098757424147375,,-277.75631261
143.0,0.20826435,0.00063643,8.51e-06,7.548128304521522,0.027155567136248185,,-277.69230411
144.0,0.20823842,0.00064091,1.082e-05,8.709423989049245,0.027048451248861852,,-277.73864155
145.0,0.20826008,0.00067063,9.05e-06,7.346927607897418,0.02696904862902647,,-277.69897984
146.0,0.20820882,0.00065889,9.87e-06,9.915497460155025,0.026825633071673932,,-277.75552723
147.0,0.20818848,0.00063401,1.004e-05,11.256766077457927,0.027062502371492367,,-277.75173122
148.0,0.20826811,0.00064796,7.32e-06,7.195588536733692,0.026900360446361776,,-277.74544818
149.0,0.20821879,0.00064401,6.17e-06,9.644732462201068,0.026832026143624156,,-277.72947878
150.0,0.20821828,0.00063421,8.69e-06,9.709207071727509,0.026783157878323426,,-277.69963433
151.0,0.20815715,0.00065401,1.1e-05,12.553412925836076,0.027010226544154158,,-277.74557908
152.0,0.20834734,0.00064994,1.211e-05,3.2368524015091467,0.027078379773301714,,-277.71625821
153.0,0.20822631,0.00066587,1.249e-05,9.020986533456504,0.0270480167056443,,-277.73419106
154.0,0.20827961,0.00066232,1.294e-05,6.432086554631078,0.027071929985595152,,-277.71442566
155.0,0.20818309,0.00065292,1.372e-05,11.286454849468981,0.027112203384083936,,-277.72568278
156.0,0.20806389,0.00063692,1.15e-05,17.24822346431924,0.026928048664109035,,-277.70735723
157.0,0.20796839,0.0006157,8.73e-06,22.33093963455257,0.027103795595446182,,-277.75879965
158.0,0.20837745,0.00059893,7.77e-06,2.3440602842778273,0.02700236108153752,,-277.71560373
159.0,0.20835772,0.00060534,6.81e-06,3.286961922185333,0.027189108353064845,,-277.70028881
160.0,0.20820851,0.00063284,5.62e-06,10.374697081771986,0.027107114361798315,,-277.74361563
