Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20935286,0.00062947,0.0001222,0.0014727329135550216,0.004056191667160336,,28.4587125
1.0,0.20924299,0.00065513,0.00012267,0.6773816969077128,0.0037137243784149837,,28.45927697
2.0,0.20943839,0.00067252,0.00012166,-0.5526367870827467,0.003362623168274904,,28.45947453
3.0,0.2094274,0.0006849,0.00012156,-0.4418270929669592,0.0029527798754028865,,28.46037767
4.0,0.20939331,0.00070221,0.00012142,-0.31184621964566217,0.003235929041764249,,28.4555233
5.0,0.20941179,0.00072014,0.00012068,-0.5405690592444127,0.004011824537088397,,28.45824682
6.0,0.20941231,0.00071187,0.00012046,-0.605457257182175,0.00456973384251706,,28.45927697
7.0,0.20935912,0.00067741,0.00012033,-0.12284775148331525,0.0045558460825536615,,28.45903707
8.0,0.20934813,0.00064279,0.00012235,0.013947513176203272,0.0038143449742506397,,28.46294596
9.0,0.2093391,0.00066364,0.00012199,0.04214201505665973,0.0035093834456889007,,28.46036355
10.0,0.20941621,0.00067867,0.0001205,-0.4143025436960529,0.0032576765547489978,,28.45989787
11.0,0.20937945,0.00069012,0.00011966,-0.18113502996760883,0.0027159609238165505,,28.4593193
12.0,0.20938438,0.00069997,0.00011928,-0.2967127850117485,0.003771518085410848,,28.45803515
13.0,0.20939783,0.00071052,0.00011986,-0.48299553997589795,0.004541163937385176,,28.46177471
14.0,0.20937185,0.0006801,0.00012169,-0.22918233047000375,0.004494931565209461,,28.46088568
15.0,0.20941025,0.00067256,0.0001229,-0.4387849247265238,0.003783103992266928,,28.45755536
16.0,0.20936959,0.00067786,0.00012459,-0.16949027770471087,0.003533120888111619,,28.45900885
17.0,0.2093736,0.00067887,0.00012386,-0.17264252604295782,0.0031446728602155,,28.45926285
18.0,0.20938407,0.00065794,0.00012443,-0.1971334088958606,0.0029931050224800923,,28.46047645
19.0,0.20938684,0.00066307,0.00012428,-0.29424198627949183,0.0040594445345014055,,28.45789404
20.0,0.20937534,0.00068315,0.00012355,-0.28170734552200255,0.004749301147599767,,28.46056112
21.0,0.20938561,0.00070409,0.00012553,-0.3743205192789664,0.004347726492231433,,28.45912174
22.0,0.20940389,0.00072291,0.00012669,-0.4708074944855463,0.003748720874743558,,28.45905118
23.0,0.20937144,0.00072629,0.0001264,-0.2544965894392609,0.0036352942294706546,,28.45810571
24.0,0.20939906,0.0006904,0.00012461,-0.3005768697821507,0.0028898710699285174,,28.45850083
25.0,0.2094042,0.00066384,0.00012359,-0.3016950220480587,0.002939048619286559,,28.45961564
26.0,0.20939177,0.00066727,0.00012408,-0.3395706251971861,0.004115800761111621,,28.4558902
27.0,0.20940029,0.00067533,0.00012552,-0.45677951564267605,0.004513941209984601,,28.46068812
28.0,0.20940686,0.00068568,0.00012661,-0.5164676042183812,0.004410264771884527,,28.45933341
29.0,0.20938602,0.00069256,0.00012643,-0.3180481930887026,0.003825626634485932,,28.45954508
30.0,0.20940224,0.00069496,0.0001254,-0.41748355389479225,0.003737329108070326,,28.45799282
31.0,0.2093585,0.00070914,0.00012261,-0.13152065964880197,0.0033842853391659027,,28.45762592
32.0,0.20939003,0.00067639,0.00012238,-0.22513238025020418,0.0027529734413045976,,28.46049056
33.0,0.20938541,0.00065362,0.00012246,-0.21674705767916144,0.0033124953985416545,,28.45924874
34.0,0.20936004,0.00063061,0.00012455,-0.0557154665118987,0.00397949350339034,,28.45946042
35.0,0.20940656,0.00062943,0.00012387,-0.41856702401479184,0.004436291408513388,,28.46051878
36.0,0.20936045,0.00061932,0.00012204,-0.042186556008114544,0.004648946237582941,,28.45899474
37.0,0.20941149,0.00062898,0.0001219,-0.4504952746395859,0.004433874422554834,,28.46105502
38.0,0.20941785,0.00065211,0.00012253,-0.4893332262528555,0.004025883253817462,,28.45889595
39.0,0.20940409,0.00067244,0.00012125,-0.38323774572405,0.0036781360526096174,,28.45879717
40.0,0.20944188,0.00068474,0.00012175,-0.6508223670881097,0.0037197014913542626,,28.45948864
41.0,0.20940912,0.00069228,0.00012182,-0.4246609812945978,0.003521921293181406,,28.45867017
42.0,0.20939074,0.00070812,0.00012114,-0.26732857199957283,0.0028476469267265897,,28.45948864
43.0,0.20942001,0.00071891,0.00012245,-0.39587221774816156,0.00264422437097805,,28.45641232
44.0,0.20939999,0.00071834,0.00012458,-0.40076604002018107,0.0034597033492343283,,28.45947453
45.0,0.20939999,0.00072926,0.00012302,-0.46715472258528534,0.003929209833914268,,28.46094213
46.0,0.20942761,0.00072551,0.0001216,-0.6861516553832097,0.004161443230529261,,28.45632766
47.0,0.20936364,0.0007023,0.00012018,-0.20306234568803605,0.004629114325596865,,28.46012366
48.0,0.2094005,0.00070376,0.00011916,-0.5075449711746396,0.004694066690671664,,28.45814804
49.0,0.20939126,0.00069639,0.00012077,-0.3992264154726274,0.004422567894286578,,28.45713201
50.0,0.20941056,0.00067496,0.00012256,-0.49418054511119913,0.004216572769057755,,28.45855728
51.0,0.20938417,0.00067879,0.00012483,-0.2935720494906179,0.003972293884914151,,28.45855728
52.0,0.20938992,0.00070714,0.00012589,-0.3451832121139724,0.0036353416584889104,,28.45972853
53.0,0.20942001,0.00070653,0.00012685,-0.5439517109864507,0.003679425776921815,,0.00114257
54.0,0.20943202,0.00069663,0.00012697,-0.5875438462016026,0.003555423908424302,,-0.00411346
55.0,0.20940717,0.00070323,0.00012773,-0.424210066224854,0.0034006483662343406,,-0.00295413
56.0,0.20941282,0.00068401,0.00012811,-0.42073951360958917,0.0032920751633353637,,-0.00196113
57.0,0.20942576,0.00068079,0.00012542,-0.48240744102304617,0.0032685110899886103,,-0.00083533
58.0,0.20941251,0.00070001,0.00012236,-0.37950017099156463,0.002927146808077097,,0.00149096
59.0,0.20941806,0.00068596,0.00011917,-0.36572237185749373,0.0027649278620679968,,-0.0002602
60.0,0.20938982,0.00067615,0.00011885,-0.2308012878392536,0.0029143565275225234,,0.00173431
61.0,0.20938807,0.00068116,0.00011919,-0.22421317435763005,0.0028679924859016277,,0.00038416
62.0,0.20937801,0.00068694,0.00011817,-0.16816389044963556,0.0027071862784576644,,0.00034616
63.0,0.20940502,0.00069089,0.00011779,-0.28460542333994915,0.002576081409884377,,-0.00034908
64.0,0.20939116,0.0006748,0.00011719,-0.21974903160571208,0.00274553990299159,,0.00044194
65.0,0.20937247,0.0006522,0.00011806,-0.10295973108160991,0.002595024260930092,,0.0012123
66.0,0.20937093,0.00066657,0.00011819,-0.1068443785521802,0.0025245601324050265,,0.00122508
67.0,0.20939074,0.00067822,0.0001173,-0.24814005768538835,0.0030777884160618973,,0.00256835
68.0,0.20942596,0.00065554,0.00011766,-0.4800028415387667,0.003581542665994075,,-0.0029127
