Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20951832,0.00066512,8.03e-06,-2.0401397350797326,0.02687431477610889,,43.48266737
1.0,0.20954059,0.00069015,9.24e-06,-3.396112864611161,0.026770493720818963,,40.69306053
2.0,0.2094584,0.00073002,1.022e-05,0.18987165889162969,0.02652800407380848,,42.18938276
3.0,0.20930796,0.00080993,1.097e-05,6.558327069883912,0.02619095668649964,,41.74610579
4.0,0.20790159,0.00107736,1.493e-05,66.18706780734696,0.024483085086355747,,43.09938462
5.0,0.20598408,0.00154437,2.129e-05,140.83650232590617,0.023507224254101608,,43.48830003
6.0,0.20386435,0.00218628,3.045e-05,222.00929154055345,0.023232714213472592,,43.40616801
7.0,0.20217204,0.0029984,3.649e-05,283.47351981744754,0.023086776361190744,,43.2197663
8.0,0.20073566,0.00374383,4.063e-05,334.6133961422174,0.02297954126449513,,43.02432615
9.0,0.20052927,0.00431264,4.553e-05,341.2257508295264,0.023179107263596885,,42.8715894
10.0,0.20051778,0.00476691,5.218e-05,341.07427595333985,0.023400973155793623,,42.67221949
11.0,0.20059722,0.00520203,5.727e-05,336.16339954872814,0.023548787953282933,,42.5448952
12.0,0.20078723,0.00555562,6.078e-05,324.31525670592515,0.023487194899822237,,42.37539147
13.0,0.20115301,0.00584013,6.387e-05,308.04007778340167,0.023600691742770456,,42.23313409
14.0,0.20138341,0.00604323,6.495e-05,297.24135895260576,0.023652530540743837,,42.12860243
15.0,0.20156406,0.00618325,6.712e-05,289.386616608166,0.02373524410468622,,42.00337402
16.0,0.2017022,0.00627858,6.929e-05,282.14823035502616,0.023691206311162744,,41.8321674
17.0,0.20180382,0.00633857,6.779e-05,275.9428558339441,0.02357125917371012,,41.71230966
18.0,0.20198274,0.00637763,6.79e-05,270.82391846354767,0.02381451128080423,,41.58839117
19.0,0.2019746,0.00639581,6.836e-05,267.5510979345969,0.02351084988048053,,41.47455907
20.0,0.20201641,0.00638116,6.863e-05,266.73217312033535,0.023583333403648387,,41.35470133
21.0,0.20206798,0.00639832,6.815e-05,263.1261454476102,0.023468518487462234,,41.22056546
22.0,0.20209392,0.00639792,6.942e-05,261.32621009918375,0.02340630149822075,,41.0912763
23.0,0.20217306,0.00641069,7.203e-05,258.4422496613323,0.023459061655173006,,40.95727142
