Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20952963,0.00056579,5.62e-06,-0.4952614910463176,0.0258248919006625,,279.40740321
1.0,0.2095102,0.00056249,6.66e-06,0.5648065247278303,0.026173494595453945,,279.10656325
2.0,0.20952871,0.00063598,6.22e-06,-1.2402955369039463,0.025807184947242965,,279.13837652
3.0,0.20955109,0.00056941,3.65e-06,-1.642718891249688,0.025828720723771688,,279.12887214
4.0,0.20947012,0.00060644,2.89e-06,2.2685047360399855,0.025801818609296607,,279.12425195
5.0,0.20947663,0.00061803,5.45e-06,1.7429498704642488,0.025759698410461957,,279.14682485
6.0,0.20948121,0.00058804,4.4e-06,1.8401176739630614,0.02558262593560862,,278.96822175
7.0,0.20950257,0.00059175,3.49e-06,0.6871431659296845,0.025521388546916844,,279.04782092
8.0,0.20948996,0.00062141,3.92e-06,1.0225228775467987,0.02569078549775518,,278.71490369
9.0,0.20949036,0.00063028,6.11e-06,0.8689996772043255,0.025877862005623586,,278.90340718
10.0,0.20946035,0.0006256,6e-06,2.512085539241711,0.02574651076614153,,278.67226599
11.0,0.20943716,0.00063964,8.55e-06,3.556317984317911,0.025863325949939144,,279.01415958
12.0,0.20949168,0.00064155,1.266e-05,0.554247909506572,0.025999360006524735,,278.85496125
13.0,0.20944713,0.00065042,1.226e-05,2.823319616407502,0.025750035629589184,,279.07422197
14.0,0.20941874,0.00068594,1.045e-05,3.9865607679610413,0.02586578135786075,,279.05164907
15.0,0.20945191,0.00071121,8.89e-06,1.9695407149432298,0.02594523871811016,,278.96082946
16.0,0.20944794,0.00073468,9.4e-06,1.9042050377093787,0.025875902404016687,,278.91951182
17.0,0.20942556,0.00074612,1.274e-05,2.898654823185414,0.02578405462473597,,278.95515323
18.0,0.20943177,0.000758,2.441e-05,2.1883206423313575,0.025397999196809885,,278.90380319
19.0,0.2092574,0.00078286,4.987e-05,10.568820220787014,0.025356227027690657,,278.89350678
20.0,0.20902597,0.00083181,7.833e-05,21.624671332483114,0.025371642927438265,,278.84532487
21.0,0.20884052,0.00090928,0.00010955,29.642800151669245,0.025149847197608488,,278.82420403
22.0,0.20848284,0.00100477,0.00015053,46.709557624677565,0.02532405116719658,,278.73312041
23.0,0.20824113,0.00112834,0.00018988,56.278170814218726,0.024896425659134257,,278.67147396
24.0,0.20803024,0.00122823,0.00022613,65.9159467348318,0.025107573458397647,,278.59345886
25.0,0.20780644,0.00137125,0.00026372,74.53594056568815,0.024868857235405283,,278.5164998
26.0,0.20768854,0.00148998,0.00029889,79.3003937152748,0.02506658192408631,,278.45590939
27.0,0.20756412,0.00160118,0.00033042,83.62243158649466,0.024967985739210056,,278.34093282
28.0,0.20739606,0.00169126,0.00035358,91.0930584603044,0.02503092069157576,,278.25077323
