Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.18032941,0.00051493,1.97e-06,426.4161823543852,0.013316436240000782,,180.86153656
1.0,0.18035199,0.00052617,5.06e-06,432.68331279671025,0.013549360513660125,,180.67674575
2.0,0.18037467,0.00054983,3.4e-06,426.0679508279365,0.013380219909915086,,180.18486039
3.0,0.18040853,0.00055586,1.83e-06,415.0556746425745,0.013083005566776329,,179.92249483
4.0,0.1803407,0.00056283,-1.01e-06,415.19851280710475,0.012992561887874789,,179.0002765
5.0,0.18032545,0.00050468,9.7e-07,420.5709211567962,0.013125264785212611,,178.96115537
6.0,0.18035097,0.00047491,4.37e-06,423.6305505583756,0.013250922667340903,,179.12805459
7.0,0.18030663,0.00043104,3e-06,430.3982163151227,0.013386836724057027,,178.59371008
8.0,0.18031731,0.00045494,4.33e-06,430.68104479401114,0.013417731177730034,,178.49784317
9.0,0.18034243,0.00045978,6.23e-06,424.31346843947085,0.013257087496055711,,178.63082846
10.0,0.18031345,0.00048848,3.14e-06,429.67690956326476,0.0133890363435279,,178.56139839
11.0,0.18034019,0.00047725,2.43e-06,418.70707139255705,0.01308148466386631,,179.10642445
12.0,0.18032372,0.00048389,4.83e-06,417.86556053283215,0.013034916209153861,,179.07531444
13.0,0.18030826,0.00051436,7.72e-06,418.09252006015134,0.013029389729003846,,178.59985194
14.0,0.18033358,0.00052129,7.9e-06,425.03147451900134,0.013283492196919048,,178.96662967
15.0,0.18032901,0.00048709,7.45e-06,426.03034231651185,0.013299170913310504,,178.77529642
16.0,0.18035128,0.00050222,6.53e-06,423.9645302348584,0.013269828797121706,,179.13993781
17.0,0.18034294,0.00055344,4.49e-06,438.3078371201533,0.013719126669655288,,179.16570705
18.0,0.18032941,0.0004859,4.95e-06,434.5326167872127,0.013563680002117247,,179.16957911
19.0,0.1803106,0.00044703,6.78e-06,427.7766385133977,0.013316777825038562,,179.27118735
20.0,0.18031945,0.00048028,5.03e-06,419.7620858483772,0.013087267358978352,,179.30576887
21.0,0.18033724,0.00050386,5.64e-06,416.81698153169054,0.013026466827450602,,179.29214989
22.0,0.18029789,0.00054069,7.74e-06,413.55669854671584,0.012880297619575922,,179.32179119
23.0,0.18029636,0.00050993,8.72e-06,419.8320991679993,0.013066294511959684,,179.31711802
