Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.00146539,-7.023e-05,-4.709e-05,155604.53878652834,0.007138632930713247,0.1456995877268277,-211.98584826
1.0,0.0011896,-0.00011141,-4.483e-05,155405.8554275603,0.0071211128204242006,0.14845115546067786,-211.96708739
2.0,0.00111146,-7.519e-05,-4.577e-05,155177.14590234423,0.0071082521628034676,0.14867376177744185,-211.99765579
3.0,0.00092552,-6.139e-05,-4.601e-05,153965.19504407822,0.007047132700577367,0.14609159571077052,-211.97495908
4.0,0.00081,-0.00010183,-4.486e-05,153521.99310106173,0.007023387955538796,0.14740149775285588,-211.98952171
5.0,0.0007793,-0.00010982,-4.64e-05,147701.32814311632,0.006756208071803193,0.1471302804450239,-211.99319517
6.0,0.00073803,-0.00012815,-4.774e-05,146825.175916818,0.006714940893011646,0.14750062015671367,-212.00119805
7.0,0.00073259,-0.0001378,-4.545e-05,145723.5684466849,0.006664417276887898,0.14812915626924364,-211.99253919
8.0,0.00071996,-0.00012126,-4.27e-05,144835.29440287675,0.006623451972578605,0.14577945498688144,-211.98716021
9.0,0.00067232,-8.025e-05,-4.107e-05,153681.41750051815,0.007026576097912156,0.14668010428054007,-211.98532348
10.0,0.0006757,-3.947e-05,-4.239e-05,160275.9148315167,0.007328186332704613,0.1488832958681145,-211.956723
11.0,0.00064634,-1.85e-05,-4.494e-05,161733.60794906065,0.0073938950720799975,0.14723868465241371,-211.95567344
12.0,0.00061574,-4.261e-05,-4.64e-05,168645.0371014045,0.007708846375732586,0.14608680790008927,-212.01510471
13.0,0.0006334,-6.31e-05,-4.807e-05,171317.13188162708,0.00783156748237006,0.14742352058418765,-211.99909894
14.0,0.00062118,-9.739e-05,-4.849e-05,170976.8050546449,0.007815599428680493,0.14749334758139224,-211.96630022
15.0,0.00062755,-0.00010542,-4.984e-05,171633.34914908433,0.007845815231605623,0.14753806850938234,-211.98020688
16.0,0.00061399,-7.988e-05,-4.985e-05,166712.3235486253,0.007620422198078758,0.14661460114502986,-212.01444873
17.0,0.00055506,-6.892e-05,-4.699e-05,161290.6561653033,0.0073707642529216985,0.14767481598454704,-211.9746967
18.0,0.00060999,-6.986e-05,-4.611e-05,162890.309997824,0.007445613800657465,0.1459799729263833,-211.99949252
19.0,0.00059839,-7.776e-05,-4.65e-05,159974.6748503835,0.0073119780629095285,0.146386435358023,-211.99857416
20.0,0.00058011,-7.707e-05,-4.59e-05,158032.71278070315,0.007222657599295653,0.14724052700128604,-211.97745179
21.0,0.00058607,-4.025e-05,-4.705e-05,159918.81452666371,0.007309038591876427,0.14914035023822553,-211.97430311
22.0,0.00055567,-1.475e-05,-4.516e-05,158529.99106674918,0.007244636095593535,0.14858010584658327,-211.946621
23.0,0.00057067,-1.153e-05,-4.444e-05,157615.89378189505,0.007203327458979588,0.14845734549224202,-212.00657704
24.0,0.00057251,-4.815e-05,-4.507e-05,159570.4046817617,0.007292704890406386,0.14730986120225978,-211.95239357
25.0,0.00056861,-8.086e-05,-4.366e-05,159187.7848137246,0.007275105235868562,0.14906383617848148,-211.98755379
26.0,0.00059089,-7.874e-05,-4.373e-05,156894.87294971023,0.007170996205601501,0.1468263894068151,-211.99516309
27.0,0.00055947,-6.917e-05,-4.377e-05,160608.2478572684,0.0073397361628640845,0.14848744209563922,-211.96275796
28.0,0.00057323,-6.917e-05,-4.303e-05,157631.8100850123,0.007204140676599039,0.14617524285880448,-211.97915732
29.0,0.00055034,-9.939e-05,-4.549e-05,157671.61242007994,0.0072052422622714135,0.14798307577099742,-211.97902613
30.0,0.00061615,-0.00011585,-4.658e-05,158421.71589886455,0.007241543631052583,0.1482523154924878,-211.98965291
31.0,0.00052528,-7.792e-05,-4.735e-05,156354.69517384257,0.007144289094363653,0.14540091774708924,-211.99713101
32.0,0.00055845,-5.027e-05,-4.631e-05,158215.1850339576,0.0072303281027283756,0.14709126080877913,-212.00460912
33.0,0.00052241,-7.05e-06,-4.353e-05,159419.24702378534,0.007284251819856814,0.14702495928591988,-211.9973934
34.0,0.00054797,-1.14e-06,-4.314e-05,156572.59699086525,0.007154962729680172,0.147003144379409,-211.98125644
35.0,0.00039683,-9.17e-06,-4.391e-05,158515.42946048066,0.007239081009992859,0.14794491189732786,-211.96564425
36.0,0.00067283,-1.129e-05,-4.342e-05,158513.96614001654,0.007247531789152893,0.14742057811756454,-212.01156245
37.0,0.00056276,-4.79e-05,-4.226e-05,155618.9186809408,0.007111834445958426,0.14528419836339734,-212.04501713
38.0,0.00054931,-5.744e-05,-4.187e-05,159893.64189847384,0.007306774178855309,0.1477055404091627,-211.99870535
39.0,0.00057364,-6.416e-05,-4.391e-05,157353.17333834482,0.007191413841224658,0.14844700455240775,-212.0077578
40.0,0.00060486,-8.941e-05,-4.648e-05,154836.88333886565,0.007077339537572946,0.14760318951925638,-211.98519228
41.0,0.00058771,-0.0001167,-4.853e-05,156186.57152835853,0.007138497572449206,0.14941435819485993,-211.99673743
42.0,0.000568,-0.00014721,-4.882e-05,154830.31724279118,0.007075913722064514,0.14733625291234226,-211.99267039
43.0,0.00056173,-0.0001354,-4.457e-05,153369.071859941,0.00700897039071221,0.14801919343016126,-212.00329717
44.0,0.00060106,-8.957e-05,-3.978e-05,154446.107335705,0.007059401892778908,0.14748053915709203,-211.97509028
45.0,0.00057467,-5.353e-05,-3.747e-05,149979.32822829153,0.006854477674580151,0.14873860201399489,-211.99818057
46.0,0.00056173,-5.165e-05,-3.605e-05,148579.04692692033,0.006790114409909684,0.14880007080605756,-211.96971129
47.0,0.00054448,-4.88e-05,-3.625e-05,147797.07319479025,0.006753880598511826,0.14636998219551492,-211.97404072
48.0,0.00053709,-3.695e-05,-4.171e-05,144364.08866699925,0.0065967668725929055,0.14833440727684732,-211.99896774
49.0,0.00056235,-1.711e-05,-4.152e-05,151106.80242888842,0.006905621874723521,0.1484655444694715,-211.98296197
50.0,0.00055034,-2.94e-06,-3.906e-05,158031.11594185367,0.007221710053286202,0.14810333102890486,-212.0050027
51.0,0.00057097,5.41e-06,-3.809e-05,159364.95356962428,0.007283309744714461,0.1472583929604489,-212.00749541
52.0,0.00055085,2.8e-07,-4.114e-05,164813.49832793945,0.007531655249194994,0.14672971723136555,-211.98899693
53.0,0.00054099,-1.866e-05,-4.197e-05,169087.2426879218,0.0077266269684737685,0.14847100849602435,-211.97377833
54.0,0.00056184,-1.402e-05,-4.437e-05,168522.3034869013,0.007701480513690411,0.14693179649735771,-212.00093566
55.0,0.00050177,-8.03e-06,-4.553e-05,170096.2118565248,0.007771412497599202,0.1471855324415976,-211.99096486
56.0,0.00059058,-5.104e-05,-4.158e-05,161003.9684928836,0.0073588090832473335,0.14844787032242754,-211.97627103
57.0,0.00057457,-6.558e-05,-3.862e-05,158351.8877184687,0.007237117174749939,0.14913234049223295,-212.00788899
58.0,0.00053514,-8.843e-05,-3.817e-05,157940.42219015036,0.007217102067217205,0.1483844122076965,-211.99253919
59.0,0.00064326,-0.00013389,-4.174e-05,147920.28136100702,0.0067623247578124,0.14909108951476974,-211.9872914
60.0,0.00057806,-0.00010774,-4.446e-05,147617.7607494936,0.006746605671967074,0.14743424118587314,-211.98309317
61.0,0.0005874,-7.646e-05,-4.565e-05,159474.63371663945,0.007288786382627275,0.14766494836389293,-212.00657704
62.0,0.00057991,-6.872e-05,-4.673e-05,165275.70069080722,0.007553676562850226,0.1494995767331117,-212.01628546
63.0,0.00058946,-9.853e-05,-4.525e-05,171700.1347888001,0.007847623769783159,0.14908106473916746,-211.97404072
64.0,0.00053124,-0.00011947,-4.272e-05,163986.34169090947,0.007493218282185091,0.14804476429288735,-211.97561506
65.0,0.00055229,-0.00011031,-4.326e-05,156857.03146755652,0.007168090044173411,0.1480110734018901,-212.01090647
66.0,0.00054058,-7.98e-05,-4.543e-05,156804.15874211417,0.007165304362244881,0.1502354964581059,-211.9619708
67.0,0.00055875,-6.322e-05,-4.634e-05,147284.6617948657,0.006730818737180619,0.14849966565391884,-211.98899693
68.0,0.00052169,-8.974e-05,-4.584e-05,152579.52636989683,0.006971692705934732,0.14765548211094032,-211.98309317
69.0,0.00051399,-8.452e-05,-4.33e-05,163901.07517397605,0.007488769019331615,0.1496428099667073,-211.97810776
70.0,0.00054808,-9.369e-05,-4.144e-05,168438.87446098911,0.007697233502762174,0.14784978267688131,-211.95055684
71.0,0.0005568,-0.00010778,-4.39e-05,172400.97390601662,0.00787856813435765,0.14768755642858483,-212.00421554
72.0,0.00057015,-6.078e-05,-4.333e-05,162609.05974196497,0.007431513402951216,0.14859427804441713,-212.00565868
73.0,0.00055557,-6.183e-05,-4.4e-05,157144.7680985578,0.007181335929410576,0.14918728738598896,-211.98611065
74.0,0.00058946,-5.344e-05,-4.3e-05,155411.25338017248,0.0071031476520048735,0.1498163158029065,-211.9771894
75.0,0.00055598,-5.841e-05,-4.14e-05,149670.41236855602,0.006839792859902102,0.14876362651647582,-212.0051339
76.0,0.00060917,-8.118e-05,-4.051e-05,147139.81284187752,0.006725675341938175,0.14993889388587758,-212.01733502
77.0,0.00067981,-4.811e-05,-4.164e-05,154557.5054176896,0.0070668553601795185,0.14903229289857356,-211.99083366
78.0,0.0005412,-1.043e-05,-4.326e-05,160373.47897499896,0.007328441003773665,0.15135444124223862,-211.96236438
79.0,0.00057128,9.65e-06,-4.508e-05,169483.40439688982,0.007745710360263392,0.1483374526314924,-211.99713101
80.0,0.00056101,2.15e-05,-4.54e-05,169850.0859622633,0.007762126978035736,0.14910752397807403,-211.98374914
81.0,0.00056471,1.629e-05,-4.363e-05,171266.4427932776,0.007826988819760359,0.14788580267262091,-211.99083366
82.0,0.00060537,-1.304e-05,-4.251e-05,165477.18632254913,0.0075637325849487,0.14680202553801297,-211.97797657
83.0,0.00052261,-4.998e-05,-4.117e-05,159310.7983920736,0.007279315986992041,0.1497391906208326,-211.95960929
84.0,0.0005414,-4.078e-05,-4.001e-05,157961.16660819377,0.007218232440591372,0.14936227183723705,-212.01628546
85.0,0.00055639,-3.361e-05,-4.282e-05,155807.87293737335,0.00712027350746798,0.14913794385709914,-211.99411353
86.0,0.00056748,-3.41e-05,-4.14e-05,152482.7950498515,0.006968657801121107,0.1497599159351354,-212.01143125
87.0,0.00056923,-3.34e-05,-4.05e-05,151212.3996762852,0.0069106556944372715,0.15011541375671078,-212.01379276
88.0,0.00055044,-2.143e-05,-4.038e-05,144425.5540792867,0.006599958194261465,0.1481846979713605,-212.00395315
