Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.20864056,0.00055922,8.93e-06,-0.6795924812194384,0.027904130464350526,0.1431375459902042,-197.8826231
1.0,0.20862735,0.00056818,9.04e-06,-0.10461662644675741,0.027730625422122436,0.14345749425100776,-197.90221627
2.0,0.20862502,0.00061868,8.39e-06,-0.510005967422661,0.027838659475375106,0.14532767920361095,-197.91707552
3.0,0.20862603,0.00059333,5.09e-06,-0.23562039132569845,0.027886747111408903,0.14343829929227078,-197.88472707
4.0,0.20863254,0.00057379,6.58e-06,-0.38719277957733056,0.028032776171941668,0.14177428547510523,-197.89353742
5.0,0.20863477,0.00055369,5.92e-06,-0.2745719059001512,0.02796788386939825,0.14543957982327896,-197.89301143
6.0,0.20863396,0.00061396,5.78e-06,-0.8678201562754317,0.02784289592585581,0.14235981493800606,-197.8944579
7.0,0.20864544,0.00058994,3.95e-06,-1.165856637113318,0.02789497076857175,0.14494634265130682,-197.86658038
8.0,0.20865428,0.00060407,2.76e-06,-1.7413561433426763,0.02785245799552968,0.1459930713710179,-197.8653969
9.0,0.20862471,0.00063931,3.13e-06,-0.6179668616445523,0.0277171038757254,0.14162923049717874,-197.87736319
10.0,0.20862766,0.00059418,3.59e-06,-0.3015632534703892,0.027925570943455328,0.14491335500302946,-197.8828861
11.0,0.20862298,0.00063688,4.23e-06,-0.5281715402045174,0.027928408816493687,0.14480664314682004,-197.88617354
12.0,0.20858579,0.00062017,2.07e-06,1.5831039855092939,0.028007180966772308,0.14552787217734403,-197.83988633
13.0,0.20858975,0.00062958,-4e-08,1.3220429881551474,0.02809141919579396,0.1443869507657877,-197.88906649
14.0,0.20857654,0.00057516,-2.34e-06,2.600065045819557,0.027885238992542225,0.1442034687223311,-197.90576671
15.0,0.20857237,0.00064677,-5.4e-07,2.0218413835233915,0.027890695096858226,0.14508170116156463,-197.89919182
16.0,0.20858996,0.00063757,3.44e-06,1.1567692532631204,0.02790248968044571,0.14514022954505643,-197.90208477
17.0,0.20858223,0.00054404,6.33e-06,2.471815560547192,0.027691173559067302,0.14368511647941756,-197.90865966
18.0,0.20861241,0.00061121,5.34e-06,0.26132993361206314,0.027798935934550732,0.1451090654163356,-197.9122101
19.0,0.20861953,0.0005528,2.84e-06,0.5639067159968446,0.0279052784724224,0.14210691402549674,-197.87276077
20.0,0.20862512,0.00060261,1.25e-06,-0.21918423249375146,0.02771569081395803,0.14165056249021557,-197.89314293
21.0,0.20863223,0.00064924,-5e-08,-1.04866104834526,0.027764121217843607,0.14479343101829403,-197.88459557
22.0,0.20862847,0.0006561,1.65e-06,-0.9592715828062913,0.027726022215872333,0.14607406544815796,-197.89774535
23.0,0.20862512,0.00057646,3.41e-06,0.018801386084633748,0.02779454727951753,0.14394054119048053,-197.88840901
24.0,0.2086305,0.00051518,6.65e-06,0.33684732030438697,0.027749245162841565,0.14388555562380118,-197.92680635
25.0,0.20862674,0.00054909,8.58e-06,0.13657553152117294,0.027963254467431805,0.14466043614697605,-197.88420108
26.0,0.20863132,0.00061125,8.08e-06,-0.7473633114241625,0.0279133117655592,0.1434485670429222,-197.91865349
27.0,0.20863335,0.00070611,3.73e-06,-1.7847623385816138,0.027969307568769825,0.14590059888803952,-197.90879116
28.0,0.20861811,0.000667,1.39e-06,-0.5504544924870903,0.027927536939318834,0.14383693200966713,-197.89287993
29.0,0.20863558,0.00070651,4.19e-06,-1.9127842562035393,0.02799958571414548,0.14476214575776633,-197.90984314
30.0,0.20860683,0.00057601,6.65e-06,0.8986528216558409,0.027978055041683634,0.1427957682482235,-197.90681869
31.0,0.20868345,0.00063269,6.21e-06,-3.574443644294195,0.02777170600183636,0.1462795327800142,-197.91470856
32.0,0.20863874,0.00062893,3.49e-06,-1.2296477212348296,0.027865322925672627,0.14393964914071855,-197.89051297
33.0,0.2086551,0.00071887,1.63e-06,-2.974562787413898,0.027808209179436924,0.1457878691526601,-197.89564138
34.0,0.20863162,0.00064588,4.59e-06,-1.0661327543151176,0.027839151097150888,0.14592829317169648,-197.91602353
35.0,0.20861922,0.00068564,5.22e-06,-0.8663334008227633,0.027744781376267024,0.14311565873098395,-197.87841518
36.0,0.20865825,0.00075087,4.78e-06,-3.533090504988998,0.02785061111988234,0.14557830179751713,-197.89340592
37.0,0.20865174,0.00060197,4.81e-06,-1.615314002466715,0.027667294639875425,0.14336981797385787,-197.89761385
38.0,0.2086427,0.0006081,6.84e-06,-1.2643649311011402,0.027773319564029116,0.14520942245956941,-197.87433875
39.0,0.20865733,0.00061783,6.57e-06,-2.0937248321442667,0.027657386559411426,0.14790327586685875,-197.88143963
40.0,0.20863304,0.00067289,6.51e-06,-1.4578292227003158,0.02784263403101985,0.14367316470679806,-197.92246692
41.0,0.20863558,0.00067519,7.24e-06,-1.6143739915292659,0.02768156904353087,0.14476475294202357,-197.88380658
42.0,0.20862796,0.0006343,6.41e-06,-0.7823970870017498,0.027578308402534085,0.14248209693920746,-197.92851582
43.0,0.20861069,0.00064806,5.35e-06,-0.04112836989963072,0.02774827848095076,0.14429891643735604,-197.92259842
44.0,0.20863447,0.00060314,5.61e-06,-0.7707584401641202,0.02764895111022917,0.14406629374610538,-197.90353125
45.0,0.20863091,0.00067374,7.78e-06,-1.37464516004063,0.027714150037317347,0.14372850241787363,-197.92338741
46.0,0.20862339,0.00061763,6.42e-06,-0.3802085926368774,0.027722225669551778,0.14395030812072102,-197.86723787
47.0,0.2086055,0.00060003,7.14e-06,0.6963585042955234,0.027738886024638917,0.1432846551276934,-197.92115195
48.0,0.20863934,0.00062187,6.93e-06,-1.2358350381169796,0.02764903046991861,0.14383604641880582,-197.92496538
49.0,0.20863345,0.0005941,7.6e-06,-0.6600846643102432,0.0276977757750315,0.14278024905068132,-197.90905415
50.0,0.20862837,0.00061383,1.056e-05,-0.6653205862725547,0.027790899873426953,0.14172806542294172,-197.91115812
51.0,0.20863284,0.00063587,1.232e-05,-1.144152329077369,0.0275252689997173,0.14562931928145864,-197.88722553
52.0,0.20863701,0.00057504,1.355e-05,-0.7447374271281529,0.027782946726099267,0.14535091814760645,-197.91457706
53.0,0.20863243,0.00062958,1.44e-05,-1.1034456125393095,0.027769905659810662,0.1446444331877771,-197.91089512
54.0,0.20863904,0.0006083,1.371e-05,-1.1965445542309505,0.027666100241615848,0.14285811367121448,-197.87184029
55.0,0.20860683,0.00061872,1.099e-05,0.36454346863227366,0.027701710046849928,0.14235004579821853,-197.92115195
56.0,0.20863894,0.00059571,8.09e-06,-0.9654507059165883,0.02778250417589781,0.14456599134423676,-197.89787684
57.0,0.2086176,0.00065678,6.83e-06,-0.5092865281235471,0.027811338137055528,0.14508062981981268,-197.88630504
