Time (s),O2 (Vol fr),CO2 (Vol fr),CO (Vol fr),HRR (kW/m2),MFR (kg/s),k_smoke (1/m),Mass (g)
0.0,0.2095513,0.00063275,1.8e-06,-166.6203124194479,0.028732089854908084,,-83.62278674
1.0,0.2094907,0.00065869,3.67e-06,107.02754798159748,0.028805044347264518,,-83.59976875
2.0,0.20953859,0.00067771,6.04e-06,-159.98172240700933,0.02918360607160425,,-83.61339434
3.0,0.2095569,0.00065929,5.66e-06,-230.07992179377177,0.028828761718240583,,-83.57873506
4.0,0.20957744,0.00065962,5.08e-06,-333.1795965210406,0.028862615168842167,,-83.62225759
5.0,0.2095391,0.00065417,6.36e-06,-135.49781306211315,0.028654578438323586,,-83.58839203
6.0,0.20939806,0.00066966,8.92e-06,549.9918957180572,0.028701444878753743,,-83.61365892
7.0,0.20924034,0.00068514,7.72e-06,1330.024386125175,0.028802522779884467,,-83.60625082
8.0,0.20965086,0.0006771,6.39e-06,-729.1757933675372,0.029071427966166116,,-83.61537865
9.0,0.20948409,0.00066373,6.54e-06,130.4500951330537,0.02891392834550876,,-83.58640772
10.0,0.20944911,0.00067478,6.93e-06,293.70632186513035,0.028828191322640643,,-83.60744141
11.0,0.20953839,0.00068823,5.11e-06,-166.61231016377454,0.02884594023204183,,-83.60797056
12.0,0.20948378,0.00069035,3.82e-06,109.25355410859846,0.029088155707311877,,-83.62000871
13.0,0.20955425,0.00066279,2.46e-06,-215.57359690666576,0.028922923198021287,,-83.59249294
14.0,0.20951175,0.00062288,1.22e-06,43.249961417476676,0.028835972416462522,,-83.64077782
15.0,0.20952903,0.00059975,3.46e-06,-22.900538704391572,0.02845917865933351,,-83.58640772
16.0,0.20950331,0.00061617,6.46e-06,83.7178980458148,0.028845953529061778,,-83.63641234
17.0,0.20953147,0.00065247,7.09e-06,-98.07657092799522,0.029027926018215806,,-83.62384504
18.0,0.20949954,0.00067137,5.89e-06,45.815820609303074,0.029089359129189998,,-83.57661846
19.0,0.20951622,0.0006821,6.48e-06,-51.705147798631316,0.02930376202674644,,-83.6075737
20.0,0.20952303,0.00068921,4.19e-06,-89.13504870383623,0.028985452864601385,,-83.63098856
21.0,0.20952954,0.00068262,9.5e-07,-109.11780459117732,0.02890657149979301,,-83.58733374
22.0,0.20952293,0.00066084,-6.1e-07,-49.896877453648045,0.028842985069261497,,-83.59672614
23.0,0.20950717,0.00065482,1.8e-07,34.63371936919879,0.02902361716564293,,-83.62133158
24.0,0.20954988,0.00067226,2.11e-06,-199.85939081040894,0.028485910834149808,,-83.62172844
25.0,0.20954002,0.00066629,2.64e-06,-147.19012402996398,0.02881323922422125,,-83.620141
26.0,0.20951073,0.00065828,2.96e-06,7.959667680835844,0.0286625613570071,,-83.62106701
27.0,0.2095209,0.00064934,1.74e-06,-31.71670087371062,0.02892350761685111,,-83.61815668
28.0,0.20952741,0.00062109,1.92e-06,-35.39878630885663,0.02925744506737168,,-83.65850432
29.0,0.20952212,0.00060617,2.37e-06,6.720930809437696,0.028955978779115727,,-83.6169661
30.0,0.2095271,0.0006052,3.7e-06,-19.723610386815658,0.028931299399713877,,-83.64977336
31.0,0.20954093,0.00062247,4.87e-06,-110.1293868355551,0.028996302859539285,,-83.59632927
32.0,0.20954286,0.00065251,5.1e-06,-151.26097383300686,0.02882149057105813,,-83.60188534
33.0,0.20952181,0.00067047,2.56e-06,-59.83983238273032,0.02879567719932012,,-83.59527098
34.0,0.20951083,0.0006321,3.14e-06,35.096564288840916,0.02907055894808239,,-83.61405578
35.0,0.20952527,0.00062308,5.75e-06,-32.9860703339688,0.028928951045349538,,-83.56246372
36.0,0.2095272,0.00062215,6.97e-06,-43.97945710973688,0.02899787931391978,,-83.62688765
37.0,0.2095149,0.00064422,7.41e-06,-5.955170869908896,0.029187425231582603,,-83.60704455
38.0,0.20954419,0.00064535,5.12e-06,-152.51606629074652,0.02922041417456301,,-83.63813207
39.0,0.20954073,0.00063389,3.42e-06,-118.98658637141158,0.029066440761156137,,-83.60109162
40.0,0.20956269,0.00064409,2.96e-06,-240.28870346507358,0.0290472895002442,,-83.60916115
41.0,0.20952385,0.00062215,2.96e-06,-19.925987364429325,0.02887395994818827,,-83.62265445
